param_name,biome,criteria,variable,measure,ssp_rank,ssp_range,pi_rank,pi_range,diff_range,diff_rank
csol_sand,global,ALBEDO_allSW_IAV_global,ALBEDO_allSW,iav,1,0.0002493475268492,159,4.9250035111872426e-06,0.00024442252333801274,1
accum_factor,global,ALBEDO_allSW_IAV_global,ALBEDO_allSW,iav,51,3.1165540900727194e-05,1,0.0001566716521788,0.0001255061112780728,2
d_max,global,ALBEDO_allSW_IAV_global,ALBEDO_allSW,iav,106,8.258355933117101e-06,7,0.0001189022853731,0.0001106439294399829,3
snw_rds_refrz,global,ALBEDO_allSW_IAV_global,ALBEDO_allSW,iav,33,4.1865239817270405e-05,4,0.0001428573213321,0.0001009920815148296,4
sand_pf,global,ALBEDO_allSW_IAV_global,ALBEDO_allSW,iav,3,0.0001246812003096,65,2.701332205557014e-05,9.766787825402987e-05,5
nstem,global,ALBEDO_allSW_IAV_global,ALBEDO_allSW,iav,5,0.0001043716309017,128,9.81157164356818e-06,9.456005925813182e-05,6
zsno,global,ALBEDO_allSW_IAV_global,ALBEDO_allSW,iav,4,0.000117474291455,66,2.636730151703531e-05,9.110698993796468e-05,7
k_nitr_max_perday,global,ALBEDO_allSW_IAV_global,ALBEDO_allSW,iav,168,1.434672475436041e-06,17,8.409422565451585e-05,8.265955317907981e-05,8
kmax,global,ALBEDO_allSW_IAV_global,ALBEDO_allSW,iav,6,9.680235732210018e-05,96,1.5701145446067534e-05,8.110121187603265e-05,9
leafcn,global,ALBEDO_allSW_IAV_global,ALBEDO_allSW,iav,54,2.808646192010305e-05,12,0.0001063186181403,7.823215622019694e-05,10
medlynintercept,global,ALBEDO_allSW_IAV_global,ALBEDO_allSW,iav,31,4.246433101951755e-05,6,0.0001205082301975,7.804389917798245e-05,11
vcmaxha,global,ALBEDO_allSW_IAV_global,ALBEDO_allSW,iav,9,8.610067073626642e-05,138,8.377285684884879e-06,7.772338505138154e-05,12
cpha,global,ALBEDO_allSW_IAV_global,ALBEDO_allSW,iav,7,8.88887019306568e-05,119,1.1918249402423604e-05,7.697045252823319e-05,13
tpuhd,global,ALBEDO_allSW_IAV_global,ALBEDO_allSW,iav,114,6.979168524615543e-06,21,7.943034756035139e-05,7.245117903573585e-05,14
wc2wjb0,global,ALBEDO_allSW_IAV_global,ALBEDO_allSW,iav,10,8.295896205370629e-05,2,0.0001541912688118,7.123230675809371e-05,15
e_ice,global,ALBEDO_allSW_IAV_global,ALBEDO_allSW,iav,119,6.4212599206599176e-06,22,7.63333530665063e-05,6.991209314584639e-05,16
dleaf,global,ALBEDO_allSW_IAV_global,ALBEDO_allSW,iav,35,3.987096604670293e-05,9,0.0001088986840953,6.902771804859708e-05,17
froot_leaf,global,ALBEDO_allSW_IAV_global,ALBEDO_allSW,iav,38,3.815263781984323e-05,13,0.0001049068609935,6.675422317365677e-05,18
z0mr,global,ALBEDO_allSW_IAV_global,ALBEDO_allSW,iav,136,3.5315441407387377e-06,23,6.948278722706939e-05,6.595124308633065e-05,19
lmrha,global,ALBEDO_allSW_IAV_global,ALBEDO_allSW,iav,59,2.4706475877212192e-05,14,8.889685442633197e-05,6.419037854911978e-05,20
lmr_intercept_atkin,global,ALBEDO_allSW_IAV_global,ALBEDO_allSW,iav,15,6.871218142146321e-05,5,0.0001300849059781,6.13727245566368e-05,21
KCN,global,ALBEDO_allSW_IAV_global,ALBEDO_allSW,iav,13,8.049644648742125e-05,83,1.968697697705241e-05,6.0809469510368836e-05,22
theta_cj,global,ALBEDO_allSW_IAV_global,ALBEDO_allSW,iav,23,5.351929724895107e-05,8,0.0001101074127988,5.658811554984894e-05,23
minpsi_hr,global,ALBEDO_allSW_IAV_global,ALBEDO_allSW,iav,60,2.3997326227667053e-05,20,8.041845432725525e-05,5.6421128099588195e-05,24
som_diffus,global,ALBEDO_allSW_IAV_global,ALBEDO_allSW,iav,14,6.919070335058774e-05,97,1.5568399860810896e-05,5.3622303489776844e-05,25
tpu25ratio,global,ALBEDO_allSW_IAV_global,ALBEDO_allSW,iav,47,3.361908083741123e-05,16,8.642437263681787e-05,5.280529179940664e-05,26
maxpsi_hr,global,ALBEDO_allSW_IAV_global,ALBEDO_allSW,iav,71,1.670014963621241e-05,25,6.76627732613662e-05,5.096262362515379e-05,27
fd_pft,global,ALBEDO_allSW_IAV_global,ALBEDO_allSW,iav,77,1.3795318974022582e-05,27,6.299390454943667e-05,4.9198585575414085e-05,28
freelivfix_slope_wet,global,ALBEDO_allSW_IAV_global,ALBEDO_allSW,iav,109,7.581221496457129e-06,32,5.4782216968739706e-05,4.720099547228258e-05,29
jmaxb1,global,ALBEDO_allSW_IAV_global,ALBEDO_allSW,iav,20,6.259771598645129e-05,10,0.0001087107954963,4.611307950984871e-05,30
fsr_pft,global,ALBEDO_allSW_IAV_global,ALBEDO_allSW,iav,69,1.704207342634865e-05,28,6.297216465822651e-05,4.593009123187786e-05,31
