param_name,biome,criteria,variable,measure,ssp_rank,ssp_range,pi_rank,pi_range,diff_range,diff_rank
csol_sand,Boreal forest,ALBEDO_allSW_iav_Boreal forest,ALBEDO_allSW,iav,1,0.000360506747701,116,1.103239817559711e-06,0.0003594035078834403,1
accum_factor,Boreal forest,ALBEDO_allSW_iav_Boreal forest,ALBEDO_allSW,iav,30,1.1655736793694262e-05,2,3.62273551255582e-05,2.457161833186394e-05,2
jmaxb0,Boreal forest,ALBEDO_allSW_iav_Boreal forest,ALBEDO_allSW,iav,3,3.771310733156517e-05,19,1.6725772796511123e-05,2.0987334535054044e-05,3
frac_sat_soil_dsl_init,Boreal forest,ALBEDO_allSW_iav_Boreal forest,ALBEDO_allSW,iav,82,2.766169212472072e-06,8,2.2335182892583736e-05,1.9569013680111665e-05,4
snowcan_unload_wind_fact,Boreal forest,ALBEDO_allSW_iav_Boreal forest,ALBEDO_allSW,iav,58,5.658114296113012e-06,10,2.1471139967759183e-05,1.581302567164617e-05,5
q10_mr,Boreal forest,ALBEDO_allSW_iav_Boreal forest,ALBEDO_allSW,iav,15,1.579614828395808e-05,165,2.698802154298477e-07,1.552626806852823e-05,6
sand_pf,Boreal forest,ALBEDO_allSW_iav_Boreal forest,ALBEDO_allSW,iav,76,3.3609479566867758e-06,15,1.86923943368627e-05,1.5331446380175925e-05,7
leafcn,Boreal forest,ALBEDO_allSW_iav_Boreal forest,ALBEDO_allSW,iav,16,1.449334135657091e-05,162,2.838724938479596e-07,1.4209468862722951e-05,8
tpu25ratio,Boreal forest,ALBEDO_allSW_iav_Boreal forest,ALBEDO_allSW,iav,11,1.949401964078173e-05,4,3.33699330952443e-05,1.3875913454462568e-05,9
lmrse,Boreal forest,ALBEDO_allSW_iav_Boreal forest,ALBEDO_allSW,iav,19,1.398086056082022e-05,159,3.0907135297635665e-07,1.3671789207843864e-05,10
om_frac_sf,Boreal forest,ALBEDO_allSW_iav_Boreal forest,ALBEDO_allSW,iav,9,2.0715635476239915e-05,37,7.1536778267999824e-06,1.3561957649439933e-05,11
baseflow_scalar,Boreal forest,ALBEDO_allSW_iav_Boreal forest,ALBEDO_allSW,iav,14,1.614323748662036e-05,55,3.798730571915904e-06,1.2344506914704456e-05,12
nstem,Boreal forest,ALBEDO_allSW_iav_Boreal forest,ALBEDO_allSW,iav,34,1.0863293726788288e-05,7,2.302892693651276e-05,1.2165633209724471e-05,13
rhosnir,Boreal forest,ALBEDO_allSW_iav_Boreal forest,ALBEDO_allSW,iav,13,1.6965553629286157e-05,6,2.861959524391147e-05,1.1654041614625314e-05,14
pc,Boreal forest,ALBEDO_allSW_iav_Boreal forest,ALBEDO_allSW,iav,33,1.1231354434990744e-05,167,2.5182814727872085e-07,1.0979526287712023e-05,15
tpuhd,Boreal forest,ALBEDO_allSW_iav_Boreal forest,ALBEDO_allSW,iav,31,1.1539683575683389e-05,93,2.0592178331141787e-06,9.48046574256921e-06,16
k_nitr_max_perday,Boreal forest,ALBEDO_allSW_iav_Boreal forest,ALBEDO_allSW,iav,29,1.1801716638687877e-05,83,2.4661128380848094e-06,9.335603800603067e-06,17
fbw,Boreal forest,ALBEDO_allSW_iav_Boreal forest,ALBEDO_allSW,iav,26,1.263760064704433e-05,66,3.32681807890242e-06,9.310782568141911e-06,18
medlynintercept,Boreal forest,ALBEDO_allSW_iav_Boreal forest,ALBEDO_allSW,iav,27,1.2276726844165072e-05,12,2.1195981953250377e-05,8.919255109085306e-06,19
lmrha,Boreal forest,ALBEDO_allSW_iav_Boreal forest,ALBEDO_allSW,iav,20,1.3517943565143228e-05,9,2.2322713189332756e-05,8.804769624189529e-06,20
zbedrock_sf,Boreal forest,ALBEDO_allSW_iav_Boreal forest,ALBEDO_allSW,iav,39,9.52896884846003e-06,111,1.2612652960932672e-06,8.267703552366763e-06,21
