param_name,biome,criteria,variable,measure,ssp_rank,ssp_range,pi_rank,pi_range,diff_range,diff_rank
vcmaxse_sf,global,ALBEDO_allSW_IAV_global,ALBEDO_allSW,iav,4,9.653717115640325e-05,173,1.506395920558459e-06,9.503077523584479e-05,1
d_max,global,ALBEDO_allSW_IAV_global,ALBEDO_allSW,iav,3,0.000100966362159,1,0.0001922748733902,9.130851123119999e-05,2
kcha,global,ALBEDO_allSW_IAV_global,ALBEDO_allSW,iav,6,8.837614927769799e-05,72,1.3882249921854696e-05,7.449389935584329e-05,3
leafcn,global,ALBEDO_allSW_IAV_global,ALBEDO_allSW,iav,5,8.8855220866889e-05,56,1.732693410044176e-05,7.152828676644724e-05,4
vcmaxha,global,ALBEDO_allSW_IAV_global,ALBEDO_allSW,iav,7,8.407922006389216e-05,55,1.8273644210711868e-05,6.58055758531803e-05,5
lmrhd,global,ALBEDO_allSW_IAV_global,ALBEDO_allSW,iav,8,7.66614341669718e-05,90,1.1134765397016377e-05,6.552666876995543e-05,6
rhosnir,global,ALBEDO_allSW_IAV_global,ALBEDO_allSW,iav,1,0.0001289065414315,7,6.467424084468504e-05,6.423230058681496e-05,7
jmaxse_sf,global,ALBEDO_allSW_IAV_global,ALBEDO_allSW,iav,13,6.528717842451152e-05,160,2.748461468767612e-06,6.253871695574391e-05,8
sand_pf,global,ALBEDO_allSW_IAV_global,ALBEDO_allSW,iav,9,7.258491375723491e-05,88,1.127112606949868e-05,6.131378768773623e-05,9
cv,global,ALBEDO_allSW_IAV_global,ALBEDO_allSW,iav,190,9.419125804007496e-08,8,6.110132379881332e-05,6.1007132540773245e-05,10
dleaf,global,ALBEDO_allSW_IAV_global,ALBEDO_allSW,iav,14,6.393263915690595e-05,149,3.771656846072828e-06,6.016098231083312e-05,11
vcmaxhd,global,ALBEDO_allSW_IAV_global,ALBEDO_allSW,iav,10,6.997199402128103e-05,87,1.1519359828657846e-05,5.845263419262318e-05,12
medlynslope,global,ALBEDO_allSW_IAV_global,ALBEDO_allSW,iav,112,8.498848903450477e-06,6,6.574633686980353e-05,5.724748796635305e-05,13
medlynintercept,global,ALBEDO_allSW_IAV_global,ALBEDO_allSW,iav,2,0.0001112143607995,9,5.652683670444672e-05,5.468752409505328e-05,14
kmax,global,ALBEDO_allSW_IAV_global,ALBEDO_allSW,iav,79,1.7063844207449168e-05,4,7.049517640987711e-05,5.3431332202427944e-05,15
tpuse_sf,global,ALBEDO_allSW_IAV_global,ALBEDO_allSW,iav,19,5.5171383442472887e-05,120,6.400596299932547e-06,4.877078714254034e-05,16
lmrse,global,ALBEDO_allSW_IAV_global,ALBEDO_allSW,iav,15,6.189986538526618e-05,75,1.3330973156759586e-05,4.85688922285066e-05,17
accum_factor,global,ALBEDO_allSW_IAV_global,ALBEDO_allSW,iav,12,6.688862082131859e-05,2,0.000113020936624,4.613231580268141e-05,18
jmaxhd,global,ALBEDO_allSW_IAV_global,ALBEDO_allSW,iav,22,4.79317586928416e-05,132,5.344424909223375e-06,4.258733378361823e-05,19
zsno,global,ALBEDO_allSW_IAV_global,ALBEDO_allSW,iav,16,6.146879216994332e-05,47,2.1097389502002027e-05,4.037140266794129e-05,20
som_diffus,global,ALBEDO_allSW_IAV_global,ALBEDO_allSW,iav,26,4.228020571003289e-05,162,2.6257435506656145e-06,3.965446215936728e-05,21
maximum_leaf_wetted_fraction,global,ALBEDO_allSW_IAV_global,ALBEDO_allSW,iav,103,1.0529432192084105e-05,10,4.917900706394491e-05,3.864957487186081e-05,22
rootprof_beta,global,ALBEDO_allSW_IAV_global,ALBEDO_allSW,iav,23,4.65419966004572e-05,110,8.129165908072927e-06,3.8412830692384275e-05,23
kn_nonmyc,global,ALBEDO_allSW_IAV_global,ALBEDO_allSW,iav,24,4.305842504003106e-05,139,4.901413087300666e-06,3.815701195273039e-05,24
frootcn,global,ALBEDO_allSW_IAV_global,ALBEDO_allSW,iav,183,8.137897205115398e-07,18,3.832440092446936e-05,3.751061120395782e-05,25
q10_mr,global,ALBEDO_allSW_IAV_global,ALBEDO_allSW,iav,29,3.944171048782957e-05,153,3.3528110403127946e-06,3.6088899447516776e-05,26
cp25_yr2000,global,ALBEDO_allSW_IAV_global,ALBEDO_allSW,iav,92,1.2274433995280412e-05,12,4.679125490794362e-05,3.451682091266321e-05,27
fff,global,ALBEDO_allSW_IAV_global,ALBEDO_allSW,iav,25,4.280258136370651e-05,3,7.57880024257674e-05,3.298542106206089e-05,28
akc_active,global,ALBEDO_allSW_IAV_global,ALBEDO_allSW,iav,100,1.0834091695245186e-05,15,4.248086623425285e-05,3.1646774539007667e-05,29
liq_canopy_storage_scalar,global,ALBEDO_allSW_IAV_global,ALBEDO_allSW,iav,135,5.621359991845936e-06,21,3.701528084315759e-05,3.1393920851311655e-05,30
tau_s2,global,ALBEDO_allSW_IAV_global,ALBEDO_allSW,iav,34,3.6145846722484025e-05,138,4.991081503065995e-06,3.115476521941803e-05,31
tau_l1,global,ALBEDO_allSW_IAV_global,ALBEDO_allSW,iav,39,3.0076834280610715e-05,184,5.568894138001769e-07,2.951994486681054e-05,32
kc_nonmyc,global,ALBEDO_allSW_IAV_global,ALBEDO_allSW,iav,35,3.453870621837336e-05,117,6.84801449598346e-06,2.76906917223899e-05,33
jmaxha,global,ALBEDO_allSW_IAV_global,ALBEDO_allSW,iav,21,4.843019438415658e-05,46,2.141642561885853e-05,2.701376876529805e-05,34
decomp_depth_efolding,global,ALBEDO_allSW_IAV_global,ALBEDO_allSW,iav,171,1.6432559022525788e-06,32,2.845407099102688e-05,2.68108150887743e-05,35
tau_s3,global,ALBEDO_allSW_IAV_global,ALBEDO_allSW,iav,114,8.286825751275336e-06,25,3.479383406259891e-05,2.6507008311323576e-05,36
xdrdt,global,ALBEDO_allSW_IAV_global,ALBEDO_allSW,iav,17,5.926338720877442e-05,27,3.283242568780868e-05,2.6430961520965742e-05,37
KCN,global,ALBEDO_allSW_IAV_global,ALBEDO_allSW,iav,148,3.432744661287755e-06,30,2.9715074003133736e-05,2.628232934184598e-05,38
theta_ip,global,ALBEDO_allSW_IAV_global,ALBEDO_allSW,iav,41,2.902001169236804e-05,155,3.2029246708881447e-06,2.5817087021479897e-05,39
rhosvis,global,ALBEDO_allSW_IAV_global,ALBEDO_allSW,iav,31,3.901324997195e-05,74,1.3491635379593906e-05,2.5521614592356094e-05,40
tau_cwd,global,ALBEDO_allSW_IAV_global,ALBEDO_allSW,iav,120,7.160536836635129e-06,28,3.2436486384543155e-05,2.5275949547908026e-05,41
tpuhd,global,ALBEDO_allSW_IAV_global,ALBEDO_allSW,iav,44,2.838204584988842e-05,154,3.328889582977627e-06,2.5053156266910794e-05,42
slatop,global,ALBEDO_allSW_IAV_global,ALBEDO_allSW,iav,27,4.195572615024517e-05,57,1.7039019296647665e-05,2.4916706853597508e-05,43
upplim_destruct_metamorph,global,ALBEDO_allSW_IAV_global,ALBEDO_allSW,iav,99,1.1208401327179678e-05,24,3.538188624239221e-05,2.417348491521253e-05,44
cpha,global,ALBEDO_allSW_IAV_global,ALBEDO_allSW,iav,178,1.112478203699457e-06,40,2.4477211842561576e-05,2.336473363886212e-05,45
z0mr,global,ALBEDO_allSW_IAV_global,ALBEDO_allSW,iav,54,2.546437002738352e-05,164,2.482072242951036e-06,2.2982297784432483e-05,46
zlnd,global,ALBEDO_allSW_IAV_global,ALBEDO_allSW,iav,101,1.0592632650419488e-05,26,3.288381919568843e-05,2.2291186545268945e-05,47
wc2wjb0,global,ALBEDO_allSW_IAV_global,ALBEDO_allSW,iav,131,6.235909766328404e-06,37,2.745695758099207e-05,2.1221047814663665e-05,48
xl,global,ALBEDO_allSW_IAV_global,ALBEDO_allSW,iav,58,2.426972409450912e-05,156,3.185186178833151e-06,2.1084537915675968e-05,49
slopebeta,global,ALBEDO_allSW_IAV_global,ALBEDO_allSW,iav,48,2.647909521762192e-05,11,4.708459272984348e-05,2.0605497512221558e-05,50
rh_hgh,global,ALBEDO_allSW_IAV_global,ALBEDO_allSW,iav,170,1.6476642089693124e-06,44,2.2073414848788843e-05,2.042575063981953e-05,51
a_coef,global,ALBEDO_allSW_IAV_global,ALBEDO_allSW,iav,117,8.042838216419006e-06,33,2.8397963474671348e-05,2.0355125258252342e-05,52
ufuel,global,ALBEDO_allSW_IAV_global,ALBEDO_allSW,iav,140,4.404714241993627e-06,41,2.4264738477910956e-05,1.986002423591733e-05,53
frac_sat_soil_dsl_init,global,ALBEDO_allSW_IAV_global,ALBEDO_allSW,iav,18,5.669899837879933e-05,19,3.7299731125967246e-05,1.9399267252832083e-05,54
tau_l2_l3,global,ALBEDO_allSW_IAV_global,ALBEDO_allSW,iav,57,2.439268849914792e-05,131,5.49044391630186e-06,1.8902244582846058e-05,55
fsr_pft,global,ALBEDO_allSW_IAV_global,ALBEDO_allSW,iav,91,1.242097466699107e-05,29,3.086864636540616e-05,1.844767169841509e-05,56
denitrif_nitrateconc_coefficient,global,ALBEDO_allSW_IAV_global,ALBEDO_allSW,iav,50,2.6030019704622502e-05,111,8.006876645492707e-06,1.8023143059129796e-05,57
rholvis,global,ALBEDO_allSW_IAV_global,ALBEDO_allSW,iav,36,3.376866113964693e-05,63,1.606327773096862e-05,1.7705383408678308e-05,58
tau_ref,global,ALBEDO_allSW_IAV_global,ALBEDO_allSW,iav,38,3.028893270014569e-05,79,1.2825506597200768e-05,1.746342610294492e-05,59
taulvis,global,ALBEDO_allSW_IAV_global,ALBEDO_allSW,iav,73,1.781543200586144e-05,183,5.813839585792728e-07,1.7234048047282168e-05,60
cc_other,global,ALBEDO_allSW_IAV_global,ALBEDO_allSW,iav,71,1.953318625876467e-05,163,2.487399834984693e-06,1.7045786423779976e-05,61
ndays_on,global,ALBEDO_allSW_IAV_global,ALBEDO_allSW,iav,67,1.978925073865508e-05,157,3.1405851630321798e-06,1.66486655756229e-05,62
psi50,global,ALBEDO_allSW_IAV_global,ALBEDO_allSW,iav,60,2.2269410273439896e-05,126,5.8315048945822845e-06,1.643790537885761e-05,63
rf_s2s1_bgc,global,ALBEDO_allSW_IAV_global,ALBEDO_allSW,iav,75,1.777013215263244e-05,172,1.5108365297963108e-06,1.6259295622836128e-05,64
Q10,global,ALBEDO_allSW_IAV_global,ALBEDO_allSW,iav,78,1.7093245078830203e-05,178,9.377080844873196e-07,1.6155536994342883e-05,65
fd_pft,global,ALBEDO_allSW_IAV_global,ALBEDO_allSW,iav,97,1.1847182941142538e-05,34,2.7856234929178903e-05,1.6009051988036365e-05,66
r_mort,global,ALBEDO_allSW_IAV_global,ALBEDO_allSW,iav,56,2.4827274926448087e-05,106,8.969108627110726e-06,1.585816629933736e-05,67
FUN_fracfixers,global,ALBEDO_allSW_IAV_global,ALBEDO_allSW,iav,43,2.8742516369586308e-05,76,1.320293194523466e-05,1.5539584424351647e-05,68
cc_dstem,global,ALBEDO_allSW_IAV_global,ALBEDO_allSW,iav,182,8.469126341910773e-07,62,1.6293309036485978e-05,1.54463964022949e-05,69
pd,global,ALBEDO_allSW_IAV_global,ALBEDO_allSW,iav,80,1.702791329082217e-05,166,2.2647584921068817e-06,1.476315479871529e-05,70
displar,global,ALBEDO_allSW_IAV_global,ALBEDO_allSW,iav,61,2.1435303340528894e-05,116,6.9478775787939085e-06,1.4487425761734986e-05,71
rf_l3s2_bgc,global,ALBEDO_allSW_IAV_global,ALBEDO_allSW,iav,108,9.386380113219227e-06,42,2.3437452785437683e-05,1.4051072672218456e-05,72
lmrha,global,ALBEDO_allSW_IAV_global,ALBEDO_allSW,iav,32,3.83189810927992e-05,39,2.46617009794528e-05,1.3657280113346399e-05,73
freelivfix_slope_wet,global,ALBEDO_allSW_IAV_global,ALBEDO_allSW,iav,53,2.5726429135793745e-05,84,1.2175288532830343e-05,1.3551140602963401e-05,74
drift_gs,global,ALBEDO_allSW_IAV_global,ALBEDO_allSW,iav,89,1.401181584802019e-05,181,6.156147447312823e-07,1.3396201103288907e-05,75
kc25_coef,global,ALBEDO_allSW_IAV_global,ALBEDO_allSW,iav,52,2.580418035655037e-05,82,1.2421023833339472e-05,1.3383156523210897e-05,76
ceta,global,ALBEDO_allSW_IAV_global,ALBEDO_allSW,iav,83,1.5514018266305895e-05,158,2.9646629677017268e-06,1.2549355298604168e-05,77
nstem,global,ALBEDO_allSW_IAV_global,ALBEDO_allSW,iav,45,2.758231147233225e-05,17,3.9401831608644575e-05,1.1819520136312323e-05,78
