param_name,biome,criteria,variable,measure,ssp_rank,ssp_range,pi_rank,pi_range,diff_range,diff_rank
e_ice,Boreal forest,ALBEDO_allSW_iav_Boreal forest,ALBEDO_allSW,iav,91,3.358183310583148e-06,7,2.147458328919283e-05,1.8116399978609682e-05,1
lmrha,Boreal forest,ALBEDO_allSW_iav_Boreal forest,ALBEDO_allSW,iav,31,7.474694687050821e-06,5,2.3901630415504088e-05,1.6426935728453267e-05,2
accum_factor,Boreal forest,ALBEDO_allSW_iav_Boreal forest,ALBEDO_allSW,iav,13,1.3448731022601064e-05,3,2.9656692489436865e-05,1.6207961466835803e-05,3
jmaxb1,Boreal forest,ALBEDO_allSW_iav_Boreal forest,ALBEDO_allSW,iav,38,6.580243366080443e-06,8,2.0091024397106105e-05,1.3510781031025662e-05,4
liq_canopy_storage_scalar,Boreal forest,ALBEDO_allSW_iav_Boreal forest,ALBEDO_allSW,iav,11,1.3703614585252428e-05,105,1.3508728585975803e-06,1.2352741726654847e-05,5
vcmaxha,Boreal forest,ALBEDO_allSW_iav_Boreal forest,ALBEDO_allSW,iav,158,5.995092707386973e-07,19,1.2534949976357695e-05,1.1935440705618998e-05,6
zsno,Boreal forest,ALBEDO_allSW_iav_Boreal forest,ALBEDO_allSW,iav,122,1.8788399243295484e-06,15,1.3425917234879264e-05,1.1547077310549716e-05,7
rhosnir,Boreal forest,ALBEDO_allSW_iav_Boreal forest,ALBEDO_allSW,iav,8,1.5339837877641682e-05,4,2.678611572079097e-05,1.1446277843149287e-05,8
kcha,Boreal forest,ALBEDO_allSW_iav_Boreal forest,ALBEDO_allSW,iav,115,2.2190959330060326e-06,17,1.2892099765659192e-05,1.067300383265316e-05,9
medlynslope,Boreal forest,ALBEDO_allSW_iav_Boreal forest,ALBEDO_allSW,iav,111,2.3295792367983618e-06,16,1.295539993102524e-05,1.0625820694226878e-05,10
froot_leaf,Boreal forest,ALBEDO_allSW_iav_Boreal forest,ALBEDO_allSW,iav,116,2.1298295762846938e-06,24,1.0123866231254652e-05,7.994036654969958e-06,11
psi50,Boreal forest,ALBEDO_allSW_iav_Boreal forest,ALBEDO_allSW,iav,18,9.828813036593213e-06,86,1.944654593752338e-06,7.884158442840875e-06,12
tpu25ratio,Boreal forest,ALBEDO_allSW_iav_Boreal forest,ALBEDO_allSW,iav,10,1.4017000110350215e-05,6,2.1779808883366462e-05,7.762808773016247e-06,13
lmr_intercept_atkin,Boreal forest,ALBEDO_allSW_iav_Boreal forest,ALBEDO_allSW,iav,113,2.289268540450989e-06,25,9.84076810961568e-06,7.551499569164691e-06,14
cp25_yr2000,Boreal forest,ALBEDO_allSW_iav_Boreal forest,ALBEDO_allSW,iav,139,1.0905145387795623e-06,31,7.948698381428127e-06,6.858183842648564e-06,15
rho_max,Boreal forest,ALBEDO_allSW_iav_Boreal forest,ALBEDO_allSW,iav,21,8.816476533370359e-06,85,2.0256340912257697e-06,6.790842442144589e-06,16
krmax,Boreal forest,ALBEDO_allSW_iav_Boreal forest,ALBEDO_allSW,iav,17,9.88261116656393e-06,68,3.1877765671846164e-06,6.694834599379313e-06,17
cv,Boreal forest,ALBEDO_allSW_iav_Boreal forest,ALBEDO_allSW,iav,16,9.961693426830669e-06,67,3.334480936797242e-06,6.6272124900334265e-06,18
zbedrock_sf,Boreal forest,ALBEDO_allSW_iav_Boreal forest,ALBEDO_allSW,iav,39,6.457619450056051e-06,181,8.301080701609512e-08,6.374608643039956e-06,19
nstem,Boreal forest,ALBEDO_allSW_iav_Boreal forest,ALBEDO_allSW,iav,2,2.5960243557987257e-05,9,1.982815676937347e-05,6.132086788613786e-06,20
taulnir,Boreal forest,ALBEDO_allSW_iav_Boreal forest,ALBEDO_allSW,iav,3,2.4888372603346163e-05,2,3.097835642059467e-05,6.089983817248509e-06,21
snowcan_unload_wind_fact,Boreal forest,ALBEDO_allSW_iav_Boreal forest,ALBEDO_allSW,iav,22,8.577537800545426e-06,13,1.4626363956495914e-05,6.048826155950488e-06,22
k_nitr_max_perday,Boreal forest,ALBEDO_allSW_iav_Boreal forest,ALBEDO_allSW,iav,141,1.0516506939954983e-06,33,7.080281942621505e-06,6.0286312486260065e-06,23
slopebeta,Boreal forest,ALBEDO_allSW_iav_Boreal forest,ALBEDO_allSW,iav,140,1.074193218878177e-06,38,6.385160448917255e-06,5.310967230039078e-06,24
sand_pf,Boreal forest,ALBEDO_allSW_iav_Boreal forest,ALBEDO_allSW,iav,46,5.769951817890379e-06,23,1.105486558730407e-05,5.28491376941369e-06,25
tau_s3,Boreal forest,ALBEDO_allSW_iav_Boreal forest,ALBEDO_allSW,iav,49,5.406653628238077e-06,168,2.7544181965805494e-07,5.131211808580022e-06,26
minpsi_hr,Boreal forest,ALBEDO_allSW_iav_Boreal forest,ALBEDO_allSW,iav,40,6.2638431733363855e-06,115,1.1366175613274855e-06,5.1272256120089e-06,27
maxpsi_hr,Boreal forest,ALBEDO_allSW_iav_Boreal forest,ALBEDO_allSW,iav,179,1.3963024557959484e-07,47,5.15413131915287e-06,5.014501073573275e-06,28
tau_s1,Boreal forest,ALBEDO_allSW_iav_Boreal forest,ALBEDO_allSW,iav,56,5.071426803299672e-06,182,8.24187916871914e-08,4.989008011612481e-06,29
a_coef,Boreal forest,ALBEDO_allSW_iav_Boreal forest,ALBEDO_allSW,iav,44,5.911972802180869e-06,114,1.1533395401215989e-06,4.7586332620592705e-06,30
ndays_off,Boreal forest,ALBEDO_allSW_iav_Boreal forest,ALBEDO_allSW,iav,146,7.711141468906666e-07,46,5.326494802985527e-06,4.555380656094861e-06,31
br_root,Boreal forest,ALBEDO_allSW_iav_Boreal forest,ALBEDO_allSW,iav,45,5.800126897650244e-06,104,1.3519070812843467e-06,4.448219816365897e-06,32
rstem,Boreal forest,ALBEDO_allSW_iav_Boreal forest,ALBEDO_allSW,iav,51,5.3178813426178815e-06,125,9.225761907476638e-07,4.395305151870218e-06,33
theta_ip,Boreal forest,ALBEDO_allSW_iav_Boreal forest,ALBEDO_allSW,iav,32,7.128098305114012e-06,75,2.7859684487921837e-06,4.342129856321829e-06,34
rf_l1s1_bgc,Boreal forest,ALBEDO_allSW_iav_Boreal forest,ALBEDO_allSW,iav,60,4.897894480181836e-06,149,5.794539575110767e-07,4.31844052267076e-06,35
rootprof_beta,Boreal forest,ALBEDO_allSW_iav_Boreal forest,ALBEDO_allSW,iav,53,5.228496774350414e-06,120,1.0140283095252706e-06,4.214468464825143e-06,36
denitrif_respiration_exponent,Boreal forest,ALBEDO_allSW_iav_Boreal forest,ALBEDO_allSW,iav,65,4.369401127520196e-06,170,1.984143359116909e-07,4.1709867916085055e-06,37
dleaf,Boreal forest,ALBEDO_allSW_iav_Boreal forest,ALBEDO_allSW,iav,119,2.018688708131113e-06,40,6.181067976890027e-06,4.162379268758914e-06,38
C2_liq_Brun89,Boreal forest,ALBEDO_allSW_iav_Boreal forest,ALBEDO_allSW,iav,69,4.134979006493317e-06,186,6.000627312846996e-08,4.074972733364847e-06,39
a_exp,Boreal forest,ALBEDO_allSW_iav_Boreal forest,ALBEDO_allSW,iav,163,4.047045907990812e-07,57,4.414188558274194e-06,4.009483967475113e-06,40
zlnd,Boreal forest,ALBEDO_allSW_iav_Boreal forest,ALBEDO_allSW,iav,59,4.913529458012967e-06,123,9.558383058313482e-07,3.957691152181619e-06,41
tausnir,Boreal forest,ALBEDO_allSW_iav_Boreal forest,ALBEDO_allSW,iav,28,7.722853892465082e-06,21,1.1639102288088943e-05,3.916248395623861e-06,42
snowcan_unload_temp_fact,Boreal forest,ALBEDO_allSW_iav_Boreal forest,ALBEDO_allSW,iav,157,6.169153980984093e-07,53,4.484628060548901e-06,3.867712662450492e-06,43
theta_cj,Boreal forest,ALBEDO_allSW_iav_Boreal forest,ALBEDO_allSW,iav,19,9.773584322321678e-06,43,5.929146210158567e-06,3.844438112163111e-06,44
cpha,Boreal forest,ALBEDO_allSW_iav_Boreal forest,ALBEDO_allSW,iav,130,1.5299508473828774e-06,45,5.354928723471286e-06,3.824977876088409e-06,45
rf_s2s3_bgc,Boreal forest,ALBEDO_allSW_iav_Boreal forest,ALBEDO_allSW,iav,68,4.141547077038551e-06,161,3.771131044368677e-07,3.764433972601683e-06,46
kmax,Boreal forest,ALBEDO_allSW_iav_Boreal forest,ALBEDO_allSW,iav,29,7.585022198337951e-06,22,1.1333837344223344e-05,3.7488151458853923e-06,47
aq_sp_yield_min,Boreal forest,ALBEDO_allSW_iav_Boreal forest,ALBEDO_allSW,iav,61,4.857766133442695e-06,116,1.1320169467758396e-06,3.7257491866668556e-06,48
leaf_long,Boreal forest,ALBEDO_allSW_iav_Boreal forest,ALBEDO_allSW,iav,98,3.0525833650922054e-06,36,6.736231201045421e-06,3.683647835953216e-06,49
cmb_cmplt_fact_cwd,Boreal forest,ALBEDO_allSW_iav_Boreal forest,ALBEDO_allSW,iav,78,3.707409444507633e-06,187,3.3962805214764024e-08,3.673446639292869e-06,50
fnps,Boreal forest,ALBEDO_allSW_iav_Boreal forest,ALBEDO_allSW,iav,50,5.3552621225207565e-06,93,1.6922351893058798e-06,3.6630269332148767e-06,51
n_baseflow,Boreal forest,ALBEDO_allSW_iav_Boreal forest,ALBEDO_allSW,iav,58,4.996737256065446e-06,103,1.37830521447003e-06,3.6184320415954163e-06,52
fm_leaf,Boreal forest,ALBEDO_allSW_iav_Boreal forest,ALBEDO_allSW,iav,80,3.6890639306694857e-06,184,7.33332672200925e-08,3.6157306634493932e-06,53
fun_cn_flex_c,Boreal forest,ALBEDO_allSW_iav_Boreal forest,ALBEDO_allSW,iav,82,3.602036678020332e-06,188,2.266869255208945e-08,3.5793679854682426e-06,54
wood_density,Boreal forest,ALBEDO_allSW_iav_Boreal forest,ALBEDO_allSW,iav,64,4.423397002948834e-06,129,8.620171649061808e-07,3.5613798380426534e-06,55
lfuel,Boreal forest,ALBEDO_allSW_iav_Boreal forest,ALBEDO_allSW,iav,77,3.71338318035894e-06,172,1.8001840159525848e-07,3.5333647787636814e-06,56
LF,Boreal forest,ALBEDO_allSW_iav_Boreal forest,ALBEDO_allSW,iav,70,4.117789550627448e-06,144,6.200676535750749e-07,3.4977218970523734e-06,57
theta_psii,Boreal forest,ALBEDO_allSW_iav_Boreal forest,ALBEDO_allSW,iav,170,3.046593696467352e-07,63,3.794044323472516e-06,3.489384953825781e-06,58
xdrdt,Boreal forest,ALBEDO_allSW_iav_Boreal forest,ALBEDO_allSW,iav,27,7.937424846983455e-06,52,4.561001027656841e-06,3.3764238193266147e-06,59
cc_other,Boreal forest,ALBEDO_allSW_iav_Boreal forest,ALBEDO_allSW,iav,76,3.785719125526995e-06,158,4.253641783000077e-07,3.3603549472269872e-06,60
wimp,Boreal forest,ALBEDO_allSW_iav_Boreal forest,ALBEDO_allSW,iav,84,3.5113685746371607e-06,171,1.8121721620723745e-07,3.3301513584299233e-06,61
rholvis,Boreal forest,ALBEDO_allSW_iav_Boreal forest,ALBEDO_allSW,iav,20,9.43677863587993e-06,41,6.129843789880315e-06,3.3069348459996146e-06,62
frac_sat_soil_dsl_init,Boreal forest,ALBEDO_allSW_iav_Boreal forest,ALBEDO_allSW,iav,36,6.929543237198363e-06,64,3.648343777796841e-06,3.281199459401522e-06,63
csol_om,Boreal forest,ALBEDO_allSW_iav_Boreal forest,ALBEDO_allSW,iav,73,3.859691655201691e-06,143,6.249659677592988e-07,3.234725687442392e-06,64
cc_lstem,Boreal forest,ALBEDO_allSW_iav_Boreal forest,ALBEDO_allSW,iav,75,3.823762118640732e-06,147,5.928201511591147e-07,3.230941967481617e-06,65
drift_gs,Boreal forest,ALBEDO_allSW_iav_Boreal forest,ALBEDO_allSW,iav,74,3.854532679091179e-06,138,6.898836791843039e-07,3.1646489999068747e-06,66
om_frac_sf,Boreal forest,ALBEDO_allSW_iav_Boreal forest,ALBEDO_allSW,iav,9,1.5121838007725488e-05,20,1.197561213337996e-05,3.1462258743455286e-06,67
vcmaxhd,Boreal forest,ALBEDO_allSW_iav_Boreal forest,ALBEDO_allSW,iav,95,3.250937728883094e-06,39,6.380311155177094e-06,3.129373426294e-06,68
cc_leaf,Boreal forest,ALBEDO_allSW_iav_Boreal forest,ALBEDO_allSW,iav,79,3.700055009119908e-06,148,5.858919528040378e-07,3.11416305631587e-06,69
ekn_active,Boreal forest,ALBEDO_allSW_iav_Boreal forest,ALBEDO_allSW,iav,52,5.256561675149457e-06,82,2.1425253201516983e-06,3.1140363549977588e-06,70
tkd_om,Boreal forest,ALBEDO_allSW_iav_Boreal forest,ALBEDO_allSW,iav,71,4.064316557661452e-06,122,9.78352105304389e-07,3.0859644523570633e-06,71
z_dl,Boreal forest,ALBEDO_allSW_iav_Boreal forest,ALBEDO_allSW,iav,96,3.1068938666446635e-06,180,9.277521452135839e-08,3.014118652123305e-06,72
denitrif_nitrateconc_coefficient,Boreal forest,ALBEDO_allSW_iav_Boreal forest,ALBEDO_allSW,iav,87,3.4546840534443253e-06,156,4.487642815078794e-07,3.005919771936446e-06,73
fm_other,Boreal forest,ALBEDO_allSW_iav_Boreal forest,ALBEDO_allSW,iav,90,3.408644973113483e-06,155,4.600614840970349e-07,2.9485834890164483e-06,74
stem_leaf,Boreal forest,ALBEDO_allSW_iav_Boreal forest,ALBEDO_allSW,iav,83,3.541839889792397e-06,146,5.940309529817427e-07,2.9478089368106543e-06,75
KCN,Boreal forest,ALBEDO_allSW_iav_Boreal forest,ALBEDO_allSW,iav,30,7.53068346001889e-06,50,4.609283821389442e-06,2.9213996386294482e-06,76
rh_low,Boreal forest,ALBEDO_allSW_iav_Boreal forest,ALBEDO_allSW,iav,81,3.674191849665934e-06,128,8.892320347120937e-07,2.78495981495384e-06,77
tpuse_sf,Boreal forest,ALBEDO_allSW_iav_Boreal forest,ALBEDO_allSW,iav,57,5.021893553569913e-06,80,2.2907567067670777e-06,2.7311368468028356e-06,78
tpuha,Boreal forest,ALBEDO_allSW_iav_Boreal forest,ALBEDO_allSW,iav,34,7.009098626030723e-06,27,9.713307067559808e-06,2.7042084415290855e-06,79
z0mr,Boreal forest,ALBEDO_allSW_iav_Boreal forest,ALBEDO_allSW,iav,93,3.296933259967316e-06,42,5.973287584986741e-06,2.6763543250194247e-06,80
lmrhd,Boreal forest,ALBEDO_allSW_iav_Boreal forest,ALBEDO_allSW,iav,37,6.8308591968482585e-06,60,4.160394459348012e-06,2.670464737500246e-06,81
fff,Boreal forest,ALBEDO_allSW_iav_Boreal forest,ALBEDO_allSW,iav,35,6.9683005874713005e-06,28,9.624321403983466e-06,2.656020816512166e-06,82
fun_cn_flex_a,Boreal forest,ALBEDO_allSW_iav_Boreal forest,ALBEDO_allSW,iav,67,4.361925075380103e-06,92,1.7102504687652306e-06,2.651674606614872e-06,83
jmaxse_sf,Boreal forest,ALBEDO_allSW_iav_Boreal forest,ALBEDO_allSW,iav,66,4.366831164077402e-06,91,1.7237012366808882e-06,2.643129927396514e-06,84
q10_mr,Boreal forest,ALBEDO_allSW_iav_Boreal forest,ALBEDO_allSW,iav,47,5.704773097054566e-06,73,3.076018987769984e-06,2.628754109284582e-06,85
d_max,Boreal forest,ALBEDO_allSW_iav_Boreal forest,ALBEDO_allSW,iav,4,1.986320677217307e-05,12,1.7242060516150896e-05,2.621146256022173e-06,86
kn_nonmyc,Boreal forest,ALBEDO_allSW_iav_Boreal forest,ALBEDO_allSW,iav,33,7.02429272466629e-06,56,4.4423094703606426e-06,2.5819832543056472e-06,87
fm_lstem,Boreal forest,ALBEDO_allSW_iav_Boreal forest,ALBEDO_allSW,iav,89,3.429261770887841e-06,130,8.557892859307396e-07,2.5734724849571012e-06,88
ck,Boreal forest,ALBEDO_allSW_iav_Boreal forest,ALBEDO_allSW,iav,63,4.556574854915584e-06,83,2.029736321275291e-06,2.5268385336402934e-06,89
clay_pf,Boreal forest,ALBEDO_allSW_iav_Boreal forest,ALBEDO_allSW,iav,123,1.7750921529811848e-06,58,4.247542230220605e-06,2.4724500772394203e-06,90
zetamaxstable,Boreal forest,ALBEDO_allSW_iav_Boreal forest,ALBEDO_allSW,iav,48,5.4886637887867394e-06,71,3.1562610935473717e-06,2.3324026952393677e-06,91
