param_name,biome,criteria,rank,variable,measure,xmin,xmax,range
medlynintercept,global,EFLX_LH_TOT_MEAN_global,1,EFLX_LH_TOT,mean,37.48253501824885,45.316865814574356,7.834330796325503
liq_canopy_storage_scalar,global,EFLX_LH_TOT_MEAN_global,2,EFLX_LH_TOT,mean,36.55257459845743,43.95266832409481,7.400093725637376
kmax,global,EFLX_LH_TOT_MEAN_global,3,EFLX_LH_TOT,mean,32.9949315006343,39.00511755313211,6.010186052497808
medlynslope,global,EFLX_LH_TOT_MEAN_global,4,EFLX_LH_TOT,mean,35.183210994373404,40.442684394923,5.259473400549595
maximum_leaf_wetted_fraction,global,EFLX_LH_TOT_MEAN_global,5,EFLX_LH_TOT,mean,34.33138449003134,39.58654643662839,5.255161946597049
fff,global,EFLX_LH_TOT_MEAN_global,6,EFLX_LH_TOT,mean,34.331271815035116,38.572792889459905,4.241521074424789
tpuse_sf,global,EFLX_LH_TOT_MEAN_global,7,EFLX_LH_TOT,mean,37.42644126458289,33.929097419729445,3.4973438448534466
leafcn,global,EFLX_LH_TOT_MEAN_global,8,EFLX_LH_TOT,mean,39.1203458569666,36.21316904313885,2.9071768138277534
jmaxb0,global,EFLX_LH_TOT_MEAN_global,9,EFLX_LH_TOT,mean,36.18160561504395,39.01545884884274,2.8338532337987914
frac_sat_soil_dsl_init,global,EFLX_LH_TOT_MEAN_global,10,EFLX_LH_TOT,mean,39.50958116702553,36.917600370784534,2.591980796240996
cv,global,EFLX_LH_TOT_MEAN_global,11,EFLX_LH_TOT,mean,36.18024812122796,38.592620732818375,2.4123726115904134
jmaxb1,global,EFLX_LH_TOT_MEAN_global,12,EFLX_LH_TOT,mean,35.98810956881,38.31262953643993,2.324519967629925
wc2wjb0,global,EFLX_LH_TOT_MEAN_global,13,EFLX_LH_TOT,mean,36.68047342361275,38.99707510875356,2.31660168514081
tpu25ratio,global,EFLX_LH_TOT_MEAN_global,14,EFLX_LH_TOT,mean,35.830612980985315,38.083448532592115,2.2528355516068004
psi50,global,EFLX_LH_TOT_MEAN_global,15,EFLX_LH_TOT,mean,36.111026804062526,38.246228086859404,2.135201282796878
d_max,global,EFLX_LH_TOT_MEAN_global,16,EFLX_LH_TOT,mean,38.01450242026282,35.94778025050529,2.066722169757533
krmax,global,EFLX_LH_TOT_MEAN_global,17,EFLX_LH_TOT,mean,36.23400892278553,38.17791758718147,1.9439086643959413
theta_cj,global,EFLX_LH_TOT_MEAN_global,18,EFLX_LH_TOT,mean,36.146927911834936,38.03604191177663,1.8891139999416922
dleaf,global,EFLX_LH_TOT_MEAN_global,19,EFLX_LH_TOT,mean,39.55430005962043,37.74323545051002,1.8110646091104101
FUN_fracfixers,global,EFLX_LH_TOT_MEAN_global,20,EFLX_LH_TOT,mean,36.673458470508606,38.34486447098962,1.6714060004810136
sand_pf,global,EFLX_LH_TOT_MEAN_global,21,EFLX_LH_TOT,mean,38.27211752195815,36.658303715351714,1.6138138066064371
leaf_long,global,EFLX_LH_TOT_MEAN_global,22,EFLX_LH_TOT,mean,36.87604421098378,38.017829976655264,1.1417857656714858
vcmaxhd,global,EFLX_LH_TOT_MEAN_global,23,EFLX_LH_TOT,mean,36.74040868246278,37.86447534914195,1.1240666666791697
lmr_intercept_atkin,global,EFLX_LH_TOT_MEAN_global,24,EFLX_LH_TOT,mean,38.049147557469226,36.98429342737974,1.0648541300894863
kcha,global,EFLX_LH_TOT_MEAN_global,25,EFLX_LH_TOT,mean,37.9324238672354,36.88832781220005,1.0440960550353466
fnps,global,EFLX_LH_TOT_MEAN_global,26,EFLX_LH_TOT,mean,37.74817997589098,36.736783582009195,1.0113963938817818
interception_fraction,global,EFLX_LH_TOT_MEAN_global,27,EFLX_LH_TOT,mean,36.302796048859406,37.30046474613194,0.9976686972725304
jmaxhd,global,EFLX_LH_TOT_MEAN_global,28,EFLX_LH_TOT,mean,36.5878118772953,37.56783026620191,0.9800183889066076
vcmaxha,global,EFLX_LH_TOT_MEAN_global,29,EFLX_LH_TOT,mean,36.97188640315177,37.817103590812145,0.8452171876603742
vcmaxse_sf,global,EFLX_LH_TOT_MEAN_global,30,EFLX_LH_TOT,mean,37.862518692278975,37.06018327031084,0.802335421968138
jmaxse_sf,global,EFLX_LH_TOT_MEAN_global,31,EFLX_LH_TOT,mean,37.56832465578556,36.80267160567418,0.7656530501113821
nstem,global,EFLX_LH_TOT_MEAN_global,32,EFLX_LH_TOT,mean,37.043225201132344,37.77783247571298,0.7346072745806325
theta_ip,global,EFLX_LH_TOT_MEAN_global,33,EFLX_LH_TOT,mean,37.30046474613194,38.02672795592572,0.7262632097937853
theta_psii,global,EFLX_LH_TOT_MEAN_global,34,EFLX_LH_TOT,mean,37.328110215081516,38.027072276509884,0.698962061428368
taulnir,global,EFLX_LH_TOT_MEAN_global,35,EFLX_LH_TOT,mean,37.79263261472579,37.174041605333564,0.618591009392226
froot_leaf,global,EFLX_LH_TOT_MEAN_global,36,EFLX_LH_TOT,mean,37.848472828786825,37.23982759393569,0.6086452348511315
stem_leaf,global,EFLX_LH_TOT_MEAN_global,37,EFLX_LH_TOT,mean,37.851609899053344,37.24638233627108,0.605227562782261
baseflow_scalar,global,EFLX_LH_TOT_MEAN_global,38,EFLX_LH_TOT,mean,37.773281947305286,37.16848376543065,0.6047981818746351
tpuha,global,EFLX_LH_TOT_MEAN_global,39,EFLX_LH_TOT,mean,37.73878314868655,37.17300995160101,0.5657731970855409
csoilc,global,EFLX_LH_TOT_MEAN_global,40,EFLX_LH_TOT,mean,37.374471404704835,37.9378002915376,0.5633288868327639
grperc,global,EFLX_LH_TOT_MEAN_global,41,EFLX_LH_TOT,mean,37.66399896219107,37.15032535719622,0.5136736049948496
KCN,global,EFLX_LH_TOT_MEAN_global,42,EFLX_LH_TOT,mean,37.50167876974808,36.99588631331672,0.5057924564313652
rholvis,global,EFLX_LH_TOT_MEAN_global,43,EFLX_LH_TOT,mean,37.2694115965478,37.768692700807385,0.4992811042595875
z0mr,global,EFLX_LH_TOT_MEAN_global,44,EFLX_LH_TOT,mean,37.26624383542916,37.75132240300415,0.4850785675749947
rholnir,global,EFLX_LH_TOT_MEAN_global,45,EFLX_LH_TOT,mean,37.68801747987978,37.21841822308859,0.4695992567911915
cp25_yr2000,global,EFLX_LH_TOT_MEAN_global,46,EFLX_LH_TOT,mean,37.901272681249964,37.43515556198948,0.46611711926048116
xl,global,EFLX_LH_TOT_MEAN_global,47,EFLX_LH_TOT,mean,37.782890827639214,37.318159445559274,0.4647313820799397
frootcn,global,EFLX_LH_TOT_MEAN_global,48,EFLX_LH_TOT,mean,37.26869061948019,37.71680829725364,0.44811767777345324
lmrha,global,EFLX_LH_TOT_MEAN_global,49,EFLX_LH_TOT,mean,37.23189670396732,37.666666270442825,0.43476956647550224
maxpsi_hr,global,EFLX_LH_TOT_MEAN_global,50,EFLX_LH_TOT,mean,37.71019268756029,37.30046474613194,0.40972794142835056
rootprof_beta,global,EFLX_LH_TOT_MEAN_global,51,EFLX_LH_TOT,mean,37.34130713390797,37.70672841690945,0.36542128300148136
kc25_coef,global,EFLX_LH_TOT_MEAN_global,52,EFLX_LH_TOT,mean,37.240414079270934,37.5899050227722,0.34949094350126586
clay_pf,global,EFLX_LH_TOT_MEAN_global,53,EFLX_LH_TOT,mean,37.31933267030999,37.667312244375715,0.3479795740657252
kn_nonmyc,global,EFLX_LH_TOT_MEAN_global,54,EFLX_LH_TOT,mean,37.49901481869462,37.17620362334925,0.3228111953453663
pc,global,EFLX_LH_TOT_MEAN_global,55,EFLX_LH_TOT,mean,37.30046474613194,37.61140150708239,0.3109367609504545
k_nitr_max_perday,global,EFLX_LH_TOT_MEAN_global,56,EFLX_LH_TOT,mean,37.66781436910205,37.39280279702991,0.2750115720721382
taulvis,global,EFLX_LH_TOT_MEAN_global,57,EFLX_LH_TOT,mean,37.39664990507953,37.65968227265404,0.2630323675745103
displar,global,EFLX_LH_TOT_MEAN_global,58,EFLX_LH_TOT,mean,37.40314210707646,37.654243539247915,0.25110143217145264
cpha,global,EFLX_LH_TOT_MEAN_global,59,EFLX_LH_TOT,mean,37.62747249003031,37.37770539093658,0.24976709909372374
wind_snowcompact_fact,global,EFLX_LH_TOT_MEAN_global,60,EFLX_LH_TOT,mean,37.30046474613194,37.55006707907408,0.24960233294214618
rf_s2s1_bgc,global,EFLX_LH_TOT_MEAN_global,61,EFLX_LH_TOT,mean,37.30046474613194,37.544643583871505,0.24417883773956817
accum_factor,global,EFLX_LH_TOT_MEAN_global,62,EFLX_LH_TOT,mean,37.30046474613194,37.54325836010547,0.24279361397353227
lai_dl,global,EFLX_LH_TOT_MEAN_global,63,EFLX_LH_TOT,mean,37.30046474613194,37.53928540311979,0.23882065698785482
fd_pft,global,EFLX_LH_TOT_MEAN_global,64,EFLX_LH_TOT,mean,37.65946286743695,37.422031738717756,0.23743112871919436
