param_name,biome,criteria,rank,variable,measure,xmin,xmax,range
kmax,global,EFLX_LH_TOT_MEAN_global,1,EFLX_LH_TOT,mean,34.29020716434212,41.38422866413919,7.094021499797066
fff,global,EFLX_LH_TOT_MEAN_global,2,EFLX_LH_TOT,mean,35.081639688002255,40.68042999064303,5.598790302640772
medlynslope,global,EFLX_LH_TOT_MEAN_global,3,EFLX_LH_TOT,mean,36.59011665636799,41.72259576305556,5.132479106687569
liq_canopy_storage_scalar,global,EFLX_LH_TOT_MEAN_global,4,EFLX_LH_TOT,mean,38.6450012220386,43.40250365387357,4.757502431834972
medlynintercept,global,EFLX_LH_TOT_MEAN_global,5,EFLX_LH_TOT,mean,39.188503381960956,43.889113763878434,4.700610381917478
maximum_leaf_wetted_fraction,global,EFLX_LH_TOT_MEAN_global,6,EFLX_LH_TOT,mean,36.936955066493496,41.18548875973355,4.248533693240056
krmax,global,EFLX_LH_TOT_MEAN_global,7,EFLX_LH_TOT,mean,37.26602052745365,40.60772561187492,3.341705084421271
jmaxb0,global,EFLX_LH_TOT_MEAN_global,8,EFLX_LH_TOT,mean,37.56391505681974,40.64033007173855,3.0764150149188154
leafcn,global,EFLX_LH_TOT_MEAN_global,9,EFLX_LH_TOT,mean,40.64458705315101,37.77822668836437,2.8663603647866367
psi50,global,EFLX_LH_TOT_MEAN_global,10,EFLX_LH_TOT,mean,37.45755223430996,40.23816033076395,2.7806080964539888
wc2wjb0,global,EFLX_LH_TOT_MEAN_global,11,EFLX_LH_TOT,mean,38.14248055278,40.87991492633562,2.7374343735556224
jmaxb1,global,EFLX_LH_TOT_MEAN_global,12,EFLX_LH_TOT,mean,37.281805200948085,39.95082893840882,2.6690237374607335
frac_sat_soil_dsl_init,global,EFLX_LH_TOT_MEAN_global,13,EFLX_LH_TOT,mean,41.1572772969762,38.61690885603137,2.5403684409448246
cv,global,EFLX_LH_TOT_MEAN_global,14,EFLX_LH_TOT,mean,37.931865447895746,40.28366810139282,2.3518026534970744
theta_cj,global,EFLX_LH_TOT_MEAN_global,15,EFLX_LH_TOT,mean,37.546240587118234,39.74123387494562,2.194993287827387
sand_pf,global,EFLX_LH_TOT_MEAN_global,16,EFLX_LH_TOT,mean,40.151454481403405,38.111005268143074,2.040449213260331
d_max,global,EFLX_LH_TOT_MEAN_global,17,EFLX_LH_TOT,mean,39.6815095375123,37.82261244739167,1.858897090120628
dleaf,global,EFLX_LH_TOT_MEAN_global,18,EFLX_LH_TOT,mean,41.20697355640562,39.348107048294914,1.858866508110708
FUN_fracfixers,global,EFLX_LH_TOT_MEAN_global,19,EFLX_LH_TOT,mean,38.47528316188226,40.143964926567676,1.6686817646854166
tpu25ratio,global,EFLX_LH_TOT_MEAN_global,20,EFLX_LH_TOT,mean,38.06802280370742,39.541851396768365,1.4738285930609436
nstem,global,EFLX_LH_TOT_MEAN_global,21,EFLX_LH_TOT,mean,38.63037527560674,40.00988747475036,1.379512199143619
lmr_intercept_atkin,global,EFLX_LH_TOT_MEAN_global,22,EFLX_LH_TOT,mean,39.804918394569526,38.4900445397566,1.314873854812923
leaf_long,global,EFLX_LH_TOT_MEAN_global,23,EFLX_LH_TOT,mean,38.43036685265981,39.73035357594268,1.2999867232828706
vcmaxhd,global,EFLX_LH_TOT_MEAN_global,24,EFLX_LH_TOT,mean,38.38246388912726,39.49385303537751,1.1113891462502536
kcha,global,EFLX_LH_TOT_MEAN_global,25,EFLX_LH_TOT,mean,39.49538113009886,38.397619612767066,1.0977615173317972
cp25_yr2000,global,EFLX_LH_TOT_MEAN_global,26,EFLX_LH_TOT,mean,39.85906840868216,39.03859701036352,0.8204713983186451
fnps,global,EFLX_LH_TOT_MEAN_global,27,EFLX_LH_TOT,mean,39.38298278449447,38.584309305593656,0.7986734789008167
KCN,global,EFLX_LH_TOT_MEAN_global,28,EFLX_LH_TOT,mean,39.38762480275704,38.596004177214084,0.7916206255429543
baseflow_scalar,global,EFLX_LH_TOT_MEAN_global,29,EFLX_LH_TOT,mean,39.53807646497914,38.76956515372363,0.7685113112555086
vcmaxse_sf,global,EFLX_LH_TOT_MEAN_global,30,EFLX_LH_TOT,mean,39.49264427207608,38.72515563007487,0.7674886420012044
stem_leaf,global,EFLX_LH_TOT_MEAN_global,31,EFLX_LH_TOT,mean,39.573786664205,38.88816671395354,0.6856199502514642
lmrha,global,EFLX_LH_TOT_MEAN_global,32,EFLX_LH_TOT,mean,38.730007870242744,39.391053750051164,0.6610458798084196
kn_nonmyc,global,EFLX_LH_TOT_MEAN_global,33,EFLX_LH_TOT,mean,39.38961741363171,38.74099147291048,0.6486259407212316
interception_fraction,global,EFLX_LH_TOT_MEAN_global,34,EFLX_LH_TOT,mean,38.580878194555304,39.20921347250218,0.6283352779468743
vcmaxha,global,EFLX_LH_TOT_MEAN_global,35,EFLX_LH_TOT,mean,38.65911510776648,39.27514875017771,0.6160336424112316
tpuha,global,EFLX_LH_TOT_MEAN_global,36,EFLX_LH_TOT,mean,39.39793278831303,38.79880028128644,0.5991325070265887
theta_psii,global,EFLX_LH_TOT_MEAN_global,37,EFLX_LH_TOT,mean,39.04007698557846,39.630940575311044,0.5908635897325851
grperc,global,EFLX_LH_TOT_MEAN_global,38,EFLX_LH_TOT,mean,39.34630290226229,38.78732271097765,0.5589801912846397
taulnir,global,EFLX_LH_TOT_MEAN_global,39,EFLX_LH_TOT,mean,39.42670652584815,38.912899527679265,0.5138069981688815
jmaxha,global,EFLX_LH_TOT_MEAN_global,40,EFLX_LH_TOT,mean,39.283408428365505,38.77229838687272,0.5111100414927847
z0mr,global,EFLX_LH_TOT_MEAN_global,41,EFLX_LH_TOT,mean,38.933936679840926,39.425204616343464,0.4912679365025383
froot_leaf,global,EFLX_LH_TOT_MEAN_global,42,EFLX_LH_TOT,mean,39.41331745135513,38.931407271841614,0.48191017951351256
rootprof_beta,global,EFLX_LH_TOT_MEAN_global,43,EFLX_LH_TOT,mean,38.947973601888776,39.39740663905739,0.4494330371686104
frootcn,global,EFLX_LH_TOT_MEAN_global,44,EFLX_LH_TOT,mean,38.952623719754904,39.40109126996721,0.4484675502123068
