param_name,biome,criteria,variable,measure,ssp_rank,ssp_range,pi_rank,pi_range,diff_range,diff_rank
csol_sand,global,EFLX_LH_TOT_IAV_global,EFLX_LH_TOT,iav,1,0.1702164881620146,86,0.0062691970896882,0.1639472910723264,1
kcha,global,EFLX_LH_TOT_IAV_global,EFLX_LH_TOT,iav,78,0.0090101942495962,8,0.0629079059576231,0.0538977117080269,2
vcmaxhd,global,EFLX_LH_TOT_IAV_global,EFLX_LH_TOT,iav,42,0.0172118411565659,6,0.0677702951199723,0.0505584539634064,3
krmax,global,EFLX_LH_TOT_IAV_global,EFLX_LH_TOT,iav,27,0.0242117459725147,5,0.0711542455531741,0.046942499580659394,4
KCN,global,EFLX_LH_TOT_IAV_global,EFLX_LH_TOT,iav,10,0.0474065802467443,102,0.0037477650671137,0.043658815179630606,5
d_max,global,EFLX_LH_TOT_IAV_global,EFLX_LH_TOT,iav,4,0.1291956088335102,4,0.0863628650303407,0.042832743803169496,6
clay_pf,global,EFLX_LH_TOT_IAV_global,EFLX_LH_TOT,iav,12,0.0423727773462873,187,0.0003703336109586,0.0420024437353287,7
vcmaxha,global,EFLX_LH_TOT_IAV_global,EFLX_LH_TOT,iav,50,0.0140978060863373,11,0.0558384962393951,0.0417406901530578,8
vcmaxse_sf,global,EFLX_LH_TOT_IAV_global,EFLX_LH_TOT,iav,76,0.009063938069911,14,0.0502624604982043,0.0411985224282933,9
lmrhd,global,EFLX_LH_TOT_IAV_global,EFLX_LH_TOT,iav,30,0.0228285362777179,9,0.0582966488849419,0.035468112607223996,10
freelivfix_slope_wet,global,EFLX_LH_TOT_IAV_global,EFLX_LH_TOT,iav,14,0.0385887593090435,73,0.0084418198878601,0.030146939421183398,11
sand_pf,global,EFLX_LH_TOT_IAV_global,EFLX_LH_TOT,iav,5,0.1233511556954687,3,0.0938803424901145,0.029470813205354204,12
tpuse_sf,global,EFLX_LH_TOT_IAV_global,EFLX_LH_TOT,iav,77,0.0090339238917546,19,0.0384130709841097,0.029379147092355097,13
maximum_leaf_wetted_fraction,global,EFLX_LH_TOT_IAV_global,EFLX_LH_TOT,iav,6,0.0738641285284665,15,0.0478781548640849,0.025985973664381594,14
fsr_pft,global,EFLX_LH_TOT_IAV_global,EFLX_LH_TOT,iav,22,0.0290752311247837,110,0.0034194363246342,0.0256557948001495,15
FUN_fracfixers,global,EFLX_LH_TOT_IAV_global,EFLX_LH_TOT,iav,11,0.0425235182077987,7,0.0676645142271222,0.025140996019323507,16
fd_pft,global,EFLX_LH_TOT_IAV_global,EFLX_LH_TOT,iav,23,0.0284243361319846,109,0.0034467925675569,0.024977543564427697,17
medlynslope,global,EFLX_LH_TOT_IAV_global,EFLX_LH_TOT,iav,7,0.0690187097694703,17,0.0443542229056462,0.024664486863824102,18
n_baseflow,global,EFLX_LH_TOT_IAV_global,EFLX_LH_TOT,iav,102,0.0062459730773584,26,0.0302165714741965,0.0239705983968381,19
q10_mr,global,EFLX_LH_TOT_IAV_global,EFLX_LH_TOT,iav,17,0.0324572784296038,72,0.0086195572783558,0.023837721151248003,20
kmax,global,EFLX_LH_TOT_IAV_global,EFLX_LH_TOT,iav,104,0.00604090428752,27,0.0297778974220236,0.0237369931345036,21
lmrse,global,EFLX_LH_TOT_IAV_global,EFLX_LH_TOT,iav,19,0.0293266365772184,13,0.0526791738355894,0.023352537258370998,22
nstem,global,EFLX_LH_TOT_IAV_global,EFLX_LH_TOT,iav,122,0.0045201986767791,28,0.0278189327394974,0.023298734062718297,23
baseflow_scalar,global,EFLX_LH_TOT_IAV_global,EFLX_LH_TOT,iav,16,0.0326650764031236,12,0.0557244124090678,0.023059336005944203,24
rootprof_beta,global,EFLX_LH_TOT_IAV_global,EFLX_LH_TOT,iav,40,0.0176329935072423,18,0.0384897121024908,0.020856718595248503,25
cpha,global,EFLX_LH_TOT_IAV_global,EFLX_LH_TOT,iav,51,0.0139911295478639,20,0.0345058909427455,0.0205147613948816,26
wc2wjb0,global,EFLX_LH_TOT_IAV_global,EFLX_LH_TOT,iav,123,0.0042095634549195,32,0.0234296065195825,0.019220043064663,27
maxpsi_hr,global,EFLX_LH_TOT_IAV_global,EFLX_LH_TOT,iav,158,0.0015780256118561,36,0.0201272334863266,0.018549207874470498,28
tau_s1,global,EFLX_LH_TOT_IAV_global,EFLX_LH_TOT,iav,21,0.0290965799721932,60,0.0111946974120746,0.017901882560118598,29
taulnir,global,EFLX_LH_TOT_IAV_global,EFLX_LH_TOT,iav,25,0.027616524652361,68,0.0097230795377569,0.017893445114604098,30
rholvis,global,EFLX_LH_TOT_IAV_global,EFLX_LH_TOT,iav,41,0.0173316053457152,145,0.001543203804293,0.0157884015414222,31
psi50,global,EFLX_LH_TOT_IAV_global,EFLX_LH_TOT,iav,9,0.0481185097872381,22,0.0330435931091507,0.0150749166780874,32
jmaxse_sf,global,EFLX_LH_TOT_IAV_global,EFLX_LH_TOT,iav,45,0.015514476923683,25,0.0304952248952268,0.014980747971543801,33
rf_l1s1_bgc,global,EFLX_LH_TOT_IAV_global,EFLX_LH_TOT,iav,185,0.0001698722098443,48,0.0143575046002171,0.0141876323903728,34
jmaxb0,global,EFLX_LH_TOT_IAV_global,EFLX_LH_TOT,iav,63,0.0116425633046464,31,0.0254802927212541,0.0138377294166077,35
a_exp,global,EFLX_LH_TOT_IAV_global,EFLX_LH_TOT,iav,49,0.0141434131001478,176,0.0005540119548056,0.013589401145342201,36
taulvis,global,EFLX_LH_TOT_IAV_global,EFLX_LH_TOT,iav,48,0.0142540528664493,170,0.0007240425667017,0.013530010299747599,37
rf_l2s1_bgc,global,EFLX_LH_TOT_IAV_global,EFLX_LH_TOT,iav,39,0.018738793451977,94,0.0052308475357806,0.0135079459161964,38
tau_l1,global,EFLX_LH_TOT_IAV_global,EFLX_LH_TOT,iav,35,0.0197853387231743,82,0.0071256933872362,0.012659645335938101,39
rholnir,global,EFLX_LH_TOT_IAV_global,EFLX_LH_TOT,iav,138,0.0028395697269508,44,0.0152959662991951,0.0124563965722443,40
