param_name,biome,criteria,variable,measure,ssp_rank,ssp_range,pi_rank,pi_range,diff_range,diff_rank
csol_sand,Boreal forest,EFLX_LH_TOT_iav_Boreal forest,EFLX_LH_TOT,iav,1,0.506660582354466,179,0.00029196425565,0.506368618098816,1
cv,Boreal forest,EFLX_LH_TOT_iav_Boreal forest,EFLX_LH_TOT,iav,2,0.2557709974202118,35,0.0224387684141061,0.2333322290061057,2
nstem,Boreal forest,EFLX_LH_TOT_iav_Boreal forest,EFLX_LH_TOT,iav,3,0.2373703876502905,95,0.0045215292589644,0.2328488583913261,3
fff,Boreal forest,EFLX_LH_TOT_iav_Boreal forest,EFLX_LH_TOT,iav,4,0.2018817975626802,31,0.0251146146443899,0.1767671829182903,4
z0mr,Boreal forest,EFLX_LH_TOT_iav_Boreal forest,EFLX_LH_TOT,iav,6,0.16467995665319,49,0.0149958945701068,0.14968406208308319,5
medlynslope,Boreal forest,EFLX_LH_TOT_iav_Boreal forest,EFLX_LH_TOT,iav,44,0.0492577139847362,1,0.1971154660596878,0.1478577520749516,6
slatop,Boreal forest,EFLX_LH_TOT_iav_Boreal forest,EFLX_LH_TOT,iav,9,0.1343844851170679,40,0.0189150227986599,0.11546946231840802,7
q10_mr,Boreal forest,EFLX_LH_TOT_iav_Boreal forest,EFLX_LH_TOT,iav,14,0.1193938666849928,67,0.0082706016615983,0.11112326502339451,8
medlynintercept,Boreal forest,EFLX_LH_TOT_iav_Boreal forest,EFLX_LH_TOT,iav,37,0.0600805360971951,3,0.160925898951128,0.10084536285393289,9
lmrha,Boreal forest,EFLX_LH_TOT_iav_Boreal forest,EFLX_LH_TOT,iav,7,0.1539854956803872,13,0.0653384913435105,0.0886470043368767,10
tpuha,Boreal forest,EFLX_LH_TOT_iav_Boreal forest,EFLX_LH_TOT,iav,11,0.1257491779681178,17,0.0414484976060512,0.08430068036206659,11
leaf_long,Boreal forest,EFLX_LH_TOT_iav_Boreal forest,EFLX_LH_TOT,iav,18,0.1042023238185126,34,0.0237236682784568,0.0804786555400558,12
grperc,Boreal forest,EFLX_LH_TOT_iav_Boreal forest,EFLX_LH_TOT,iav,16,0.1062286444227682,29,0.0267436309290478,0.0794850134937204,13
FUN_fracfixers,Boreal forest,EFLX_LH_TOT_iav_Boreal forest,EFLX_LH_TOT,iav,15,0.1104386235557453,22,0.0333325443312502,0.0771060792244951,14
tpu25ratio,Boreal forest,EFLX_LH_TOT_iav_Boreal forest,EFLX_LH_TOT,iav,8,0.1409034698508343,12,0.0695047131316269,0.0713987567192074,15
br_root,Boreal forest,EFLX_LH_TOT_iav_Boreal forest,EFLX_LH_TOT,iav,27,0.0773331678914599,75,0.0064371469145014,0.0708960209769585,16
r_mort,Boreal forest,EFLX_LH_TOT_iav_Boreal forest,EFLX_LH_TOT,iav,31,0.0713833899430982,141,0.0011369359229103,0.0702464540201879,17
