param_name,biome,criteria,variable,measure,ssp_rank,ssp_range,pi_rank,pi_range,diff_range,diff_rank
csol_sand,global,EFLX_LH_TOT_IAV_global,EFLX_LH_TOT,iav,1,0.1702164881620146,94,0.0053128097109549,0.1649036784510597,1
vcmaxhd,global,EFLX_LH_TOT_IAV_global,EFLX_LH_TOT,iav,42,0.0172118411565659,5,0.0821326441447827,0.0649208029882168,2
vcmaxha,global,EFLX_LH_TOT_IAV_global,EFLX_LH_TOT,iav,50,0.0140978060863373,7,0.0714039966106139,0.0573061905242766,3
vcmaxse_sf,global,EFLX_LH_TOT_IAV_global,EFLX_LH_TOT,iav,76,0.009063938069911,9,0.0612647741976059,0.0522008361276949,4
kcha,global,EFLX_LH_TOT_IAV_global,EFLX_LH_TOT,iav,78,0.0090101942495962,10,0.0601635401954246,0.051153345945828405,5
wc2wjb0,global,EFLX_LH_TOT_IAV_global,EFLX_LH_TOT,iav,123,0.0042095634549195,13,0.0521153269396332,0.047905763484713704,6
jmaxhd,global,EFLX_LH_TOT_IAV_global,EFLX_LH_TOT,iav,66,0.0112019251318178,14,0.051699877485665,0.0404979523538472,7
lmrhd,global,EFLX_LH_TOT_IAV_global,EFLX_LH_TOT,iav,30,0.0228285362777179,8,0.063140394561337,0.04031185828361909,8
psi50,global,EFLX_LH_TOT_IAV_global,EFLX_LH_TOT,iav,9,0.0481185097872381,75,0.0079587957514069,0.0401597140358312,9
tpuse_sf,global,EFLX_LH_TOT_IAV_global,EFLX_LH_TOT,iav,77,0.0090339238917546,17,0.0486793268444604,0.0396454029527058,10
leafcn,global,EFLX_LH_TOT_IAV_global,EFLX_LH_TOT,iav,38,0.019049498025876,11,0.0566429257015322,0.037593427675656196,11
KCN,global,EFLX_LH_TOT_IAV_global,EFLX_LH_TOT,iav,10,0.0474065802467443,59,0.0098434625204993,0.037563117726245,12
theta_cj,global,EFLX_LH_TOT_IAV_global,EFLX_LH_TOT,iav,88,0.0078873857734048,22,0.0419839146753667,0.034096528901961895,13
sand_pf,global,EFLX_LH_TOT_IAV_global,EFLX_LH_TOT,iav,5,0.1233511556954687,4,0.0909304783406609,0.0324206773548078,14
maxpsi_hr,global,EFLX_LH_TOT_IAV_global,EFLX_LH_TOT,iav,158,0.0015780256118561,28,0.0336992665714626,0.0321212409596065,15
jmaxb0,global,EFLX_LH_TOT_IAV_global,EFLX_LH_TOT,iav,63,0.0116425633046464,21,0.0429148570911291,0.0312722937864827,16
clay_pf,global,EFLX_LH_TOT_IAV_global,EFLX_LH_TOT,iav,12,0.0423727773462873,49,0.0123047896995178,0.030067987646769496,17
freelivfix_slope_wet,global,EFLX_LH_TOT_IAV_global,EFLX_LH_TOT,iav,14,0.0385887593090435,63,0.009293876312153,0.029294882996890502,18
tau_s1,global,EFLX_LH_TOT_IAV_global,EFLX_LH_TOT,iav,21,0.0290965799721932,157,0.001546405065501,0.027550174906692197,19
tau_l2_l3,global,EFLX_LH_TOT_IAV_global,EFLX_LH_TOT,iav,18,0.0321816189350775,102,0.0049732897068798,0.027208329228197697,20
n_baseflow,global,EFLX_LH_TOT_IAV_global,EFLX_LH_TOT,iav,102,0.0062459730773584,29,0.0330289802970809,0.0267830072197225,21
cpha,global,EFLX_LH_TOT_IAV_global,EFLX_LH_TOT,iav,51,0.0139911295478639,24,0.0405750706909443,0.0265839411430804,22
fd_pft,global,EFLX_LH_TOT_IAV_global,EFLX_LH_TOT,iav,23,0.0284243361319846,149,0.0019194971112188,0.026504839020765798,23
fsr_pft,global,EFLX_LH_TOT_IAV_global,EFLX_LH_TOT,iav,22,0.0290752311247837,122,0.0033378365419087,0.025737394582875002,24
jmaxse_sf,global,EFLX_LH_TOT_IAV_global,EFLX_LH_TOT,iav,45,0.015514476923683,23,0.040998061215773,0.02548358429209,25
taulnir,global,EFLX_LH_TOT_IAV_global,EFLX_LH_TOT,iav,25,0.027616524652361,144,0.0021988534235046,0.0254176712288564,26
FUN_fracfixers,global,EFLX_LH_TOT_IAV_global,EFLX_LH_TOT,iav,11,0.0425235182077987,36,0.0199394678931373,0.0225840503146614,27
maximum_leaf_wetted_fraction,global,EFLX_LH_TOT_IAV_global,EFLX_LH_TOT,iav,6,0.0738641285284665,15,0.0513838781871214,0.02248025034134509,28
jmaxb1,global,EFLX_LH_TOT_IAV_global,EFLX_LH_TOT,iav,61,0.0120680350906638,25,0.0343643457212242,0.022296310630560402,29
jmaxha,global,EFLX_LH_TOT_IAV_global,EFLX_LH_TOT,iav,32,0.0223118717323184,185,0.0003780832052245,0.021933788527093902,30
lmrha,global,EFLX_LH_TOT_IAV_global,EFLX_LH_TOT,iav,20,0.0292241524350771,76,0.0076732596862473,0.0215508927488298,31
cp25_yr2000,global,EFLX_LH_TOT_IAV_global,EFLX_LH_TOT,iav,26,0.0270139019609014,78,0.0074649735081043,0.0195489284527971,32
nstem,global,EFLX_LH_TOT_IAV_global,EFLX_LH_TOT,iav,122,0.0045201986767791,34,0.0239534038903846,0.0194332052136055,33
d_max,global,EFLX_LH_TOT_IAV_global,EFLX_LH_TOT,iav,4,0.1291956088335102,3,0.1098276308515074,0.019367977982002793,34
ufuel,global,EFLX_LH_TOT_IAV_global,EFLX_LH_TOT,iav,34,0.0208879898833955,154,0.0017746783312402,0.019113311552155298,35
frac_sat_soil_dsl_init,global,EFLX_LH_TOT_IAV_global,EFLX_LH_TOT,iav,2,0.1669710299576958,1,0.1496365725287197,0.017334457428976102,36
baseflow_scalar,global,EFLX_LH_TOT_IAV_global,EFLX_LH_TOT,iav,16,0.0326650764031236,16,0.0494872420460036,0.01682216564288,37
dleaf,global,EFLX_LH_TOT_IAV_global,EFLX_LH_TOT,iav,15,0.0372821625119254,12,0.0536193101666503,0.016337147654724903,38
zsno,global,EFLX_LH_TOT_IAV_global,EFLX_LH_TOT,iav,60,0.0123266353822146,33,0.0282488347536917,0.0159221993714771,39
lmrse,global,EFLX_LH_TOT_IAV_global,EFLX_LH_TOT,iav,19,0.0293266365772184,20,0.0451546170763483,0.015827980499129896,40
tpuhd,global,EFLX_LH_TOT_IAV_global,EFLX_LH_TOT,iav,31,0.0227141736185417,69,0.0085345845844964,0.0141795890340453,41
rholvis,global,EFLX_LH_TOT_IAV_global,EFLX_LH_TOT,iav,41,0.0173316053457152,112,0.003914796301092,0.0134168090446232,42
decomp_depth_efolding,global,EFLX_LH_TOT_IAV_global,EFLX_LH_TOT,iav,37,0.0197492119464119,30,0.0330275229582321,0.013278311011820202,43
om_frac_sf,global,EFLX_LH_TOT_IAV_global,EFLX_LH_TOT,iav,183,0.0002548954918816,46,0.0135028274225603,0.0132479319306787,44
lfuel,global,EFLX_LH_TOT_IAV_global,EFLX_LH_TOT,iav,56,0.0132102256775309,176,0.0006431510685477,0.0125670746089832,45
leaf_long,global,EFLX_LH_TOT_IAV_global,EFLX_LH_TOT,iav,33,0.0219147114979348,26,0.0343058277040733,0.012391116206138496,46
upplim_destruct_metamorph,global,EFLX_LH_TOT_IAV_global,EFLX_LH_TOT,iav,79,0.0088383365846533,35,0.0211177052539813,0.012279368669327998,47
kmax,global,EFLX_LH_TOT_IAV_global,EFLX_LH_TOT,iav,104,0.00604090428752,38,0.017936862459816,0.011895958172295999,48
medlynintercept,global,EFLX_LH_TOT_IAV_global,EFLX_LH_TOT,iav,8,0.0582995371081397,19,0.0468876568117758,0.011411880296363898,49
grperc,global,EFLX_LH_TOT_IAV_global,EFLX_LH_TOT,iav,137,0.0028538929620769,44,0.0141388475281512,0.011284954566074298,50
koha,global,EFLX_LH_TOT_IAV_global,EFLX_LH_TOT,iav,43,0.0165029473391404,93,0.0056629353798201,0.0108400119593203,51
tau_s2,global,EFLX_LH_TOT_IAV_global,EFLX_LH_TOT,iav,64,0.0114243463214902,172,0.0008397963622551,0.0105845499592351,52
accum_factor,global,EFLX_LH_TOT_IAV_global,EFLX_LH_TOT,iav,57,0.013194501763042,131,0.0028266590255022,0.0103678427375398,53
slopebeta,global,EFLX_LH_TOT_IAV_global,EFLX_LH_TOT,iav,169,0.0010277374064024,54,0.011040512578246,0.0100127751718436,54
rf_l2s1_bgc,global,EFLX_LH_TOT_IAV_global,EFLX_LH_TOT,iav,39,0.018738793451977,66,0.0089868527402093,0.009751940711767701,55
tau_l1,global,EFLX_LH_TOT_IAV_global,EFLX_LH_TOT,iav,35,0.0197853387231743,58,0.0101206734796933,0.009664665243481002,56
lwtop_ann,global,EFLX_LH_TOT_IAV_global,EFLX_LH_TOT,iav,62,0.0119134108880061,141,0.0022514860841699,0.009661924803836201,57
liq_canopy_storage_scalar,global,EFLX_LH_TOT_IAV_global,EFLX_LH_TOT,iav,47,0.0148327834585402,95,0.0052371130973234,0.0095956703612168,58
cc_other,global,EFLX_LH_TOT_IAV_global,EFLX_LH_TOT,iav,44,0.0163672921798246,81,0.0070056147296029,0.009361677450221702,59
ko25_coef,global,EFLX_LH_TOT_IAV_global,EFLX_LH_TOT,iav,55,0.0132457131310257,109,0.0039624967106708,0.0092832164203549,60
tpuha,global,EFLX_LH_TOT_IAV_global,EFLX_LH_TOT,iav,29,0.0231345371588381,43,0.0141543524496573,0.0089801847091808,61
tpu25ratio,global,EFLX_LH_TOT_IAV_global,EFLX_LH_TOT,iav,58,0.0128463366308078,113,0.0039121747856506,0.0089341618451572,62
fun_cn_flex_a,global,EFLX_LH_TOT_IAV_global,EFLX_LH_TOT,iav,168,0.0011305519872163,60,0.0097117560111964,0.0085812040239801,63
rf_l3s2_bgc,global,EFLX_LH_TOT_IAV_global,EFLX_LH_TOT,iav,54,0.0133062678275206,106,0.0048133448313905,0.008492922996130102,64
snowcan_unload_temp_fact,global,EFLX_LH_TOT_IAV_global,EFLX_LH_TOT,iav,163,0.0014602059135394,61,0.0094973652135348,0.0080371592999954,65
ignition_efficiency,global,EFLX_LH_TOT_IAV_global,EFLX_LH_TOT,iav,73,0.0095003707193258,156,0.0015519099416346,0.0079484607776912,66
minrelh,global,EFLX_LH_TOT_IAV_global,EFLX_LH_TOT,iav,69,0.0102559362646789,138,0.0023889744528338,0.0078669618118451,67
occur_hi_gdp_tree,global,EFLX_LH_TOT_IAV_global,EFLX_LH_TOT,iav,93,0.0076047628722195,189,4.833105905810431e-05,0.007556431813161396,68
br_mr,global,EFLX_LH_TOT_IAV_global,EFLX_LH_TOT,iav,86,0.0082525862089949,170,0.0008587389202322,0.007393847288762701,69
tau_cwd,global,EFLX_LH_TOT_IAV_global,EFLX_LH_TOT,iav,90,0.0078151508007223,178,0.0005829953775509,0.007232155423171401,70
flivewd,global,EFLX_LH_TOT_IAV_global,EFLX_LH_TOT,iav,74,0.0094125229674005,143,0.0022041491265186,0.007208373840881899,71
slopemax,global,EFLX_LH_TOT_IAV_global,EFLX_LH_TOT,iav,192,1.0022315478752652e-05,80,0.0072150868917962,0.0072050645763174475,72
relhExp,global,EFLX_LH_TOT_IAV_global,EFLX_LH_TOT,iav,28,0.0233216817347159,39,0.0163709788355369,0.006950702899178998,73
minpsi_hr,global,EFLX_LH_TOT_IAV_global,EFLX_LH_TOT,iav,147,0.0022466193726012,65,0.0090817823004566,0.006835162927855401,74
wood_density,global,EFLX_LH_TOT_IAV_global,EFLX_LH_TOT,iav,161,0.0015548975907597,72,0.0082104067552289,0.0066555091644692,75
pc,global,EFLX_LH_TOT_IAV_global,EFLX_LH_TOT,iav,92,0.0076117757260966,169,0.0009939759204471,0.0066177998056495,76
ekn_active,global,EFLX_LH_TOT_IAV_global,EFLX_LH_TOT,iav,149,0.0021195356028856,68,0.0085405446190036,0.006421009016118001,77
rholnir,global,EFLX_LH_TOT_IAV_global,EFLX_LH_TOT,iav,138,0.0028395697269508,64,0.0091529550581097,0.0063133853311589,78
z0mr,global,EFLX_LH_TOT_IAV_global,EFLX_LH_TOT,iav,98,0.0067145164201175,48,0.0129008631200899,0.0061863466999724,79
slatop,global,EFLX_LH_TOT_IAV_global,EFLX_LH_TOT,iav,95,0.0072448616272006,47,0.013401699551883,0.006156837924682401,80
fff,global,EFLX_LH_TOT_IAV_global,EFLX_LH_TOT,iav,3,0.1389958931199021,2,0.1329655656310944,0.006030327488807691,81
C2_liq_Brun89,global,EFLX_LH_TOT_IAV_global,EFLX_LH_TOT,iav,159,0.0015706568446258,77,0.0075461109640309,0.0059754541194051,82
csoilc,global,EFLX_LH_TOT_IAV_global,EFLX_LH_TOT,iav,177,0.0006236274312096,84,0.0065646598929657,0.0059410324617561,83
aq_sp_yield_min,global,EFLX_LH_TOT_IAV_global,EFLX_LH_TOT,iav,105,0.0058984594221936,191,2.846248601584556e-06,0.005895613173592016,84
akn_active,global,EFLX_LH_TOT_IAV_global,EFLX_LH_TOT,iav,84,0.0082746028152416,135,0.0025092477204455,0.0057653550947961004,85
taulvis,global,EFLX_LH_TOT_IAV_global,EFLX_LH_TOT,iav,48,0.0142540528664493,70,0.0085015681361337,0.005752484730315598,86
xl,global,EFLX_LH_TOT_IAV_global,EFLX_LH_TOT,iav,91,0.007728149499427,148,0.0019953391234996,0.0057328103759274,87
cv,global,EFLX_LH_TOT_IAV_global,EFLX_LH_TOT,iav,13,0.0415601278175621,18,0.0471738272821454,0.005613699464583302,88
theta_ip,global,EFLX_LH_TOT_IAV_global,EFLX_LH_TOT,iav,97,0.0067330915184213,51,0.0121797570550766,0.005446665536655301,89
medlynslope,global,EFLX_LH_TOT_IAV_global,EFLX_LH_TOT,iav,7,0.0690187097694703,6,0.0743328241434624,0.005314114373992096,90
krmax,global,EFLX_LH_TOT_IAV_global,EFLX_LH_TOT,iav,27,0.0242117459725147,32,0.029304544903893,0.0050927989313783,91
tkd_sand,global,EFLX_LH_TOT_IAV_global,EFLX_LH_TOT,iav,85,0.0082665981504277,125,0.0032179416155306,0.0050486565348971,92
rstem,global,EFLX_LH_TOT_IAV_global,EFLX_LH_TOT,iav,99,0.006462206638567,159,0.001458313643965,0.005003892994602001,93
denitrif_respiration_exponent,global,EFLX_LH_TOT_IAV_global,EFLX_LH_TOT,iav,94,0.0073580452807173,137,0.0023958496087499,0.004962195671967399,94
rf_l1s1_bgc,global,EFLX_LH_TOT_IAV_global,EFLX_LH_TOT,iav,185,0.0001698722098443,98,0.0050532529427643,0.00488338073292,95
jmax25top_sf,global,EFLX_LH_TOT_IAV_global,EFLX_LH_TOT,iav,89,0.0078406999170593,129,0.002965187411464,0.0048755125055953,96
rhosvis,global,EFLX_LH_TOT_IAV_global,EFLX_LH_TOT,iav,111,0.0054065193814215,57,0.0102594173066109,0.0048528979251894,97
br_root,global,EFLX_LH_TOT_IAV_global,EFLX_LH_TOT,iav,115,0.0052487331518502,180,0.0004872505499441,0.0047614826019061005,98
cc_dstem,global,EFLX_LH_TOT_IAV_global,EFLX_LH_TOT,iav,101,0.0062652259391041,158,0.0015101472765113,0.0047550786625928,99
kp25ratio,global,EFLX_LH_TOT_IAV_global,EFLX_LH_TOT,iav,67,0.0106703497181122,89,0.0059527944283335,0.004717555289778701,100
a_exp,global,EFLX_LH_TOT_IAV_global,EFLX_LH_TOT,iav,49,0.0141434131001478,62,0.0094464645637534,0.0046969485363944005,101
som_diffus,global,EFLX_LH_TOT_IAV_global,EFLX_LH_TOT,iav,72,0.0096568475972893,42,0.014240727841295,0.004583880244005701,102
froot_leaf,global,EFLX_LH_TOT_IAV_global,EFLX_LH_TOT,iav,36,0.0197778167400182,41,0.0152393195239097,0.0045384972161085,103
fnps,global,EFLX_LH_TOT_IAV_global,EFLX_LH_TOT,iav,119,0.0047787364550899,186,0.000240775833432,0.0045379606216579,104
zlnd,global,EFLX_LH_TOT_IAV_global,EFLX_LH_TOT,iav,68,0.0104221125713604,87,0.0060770829591549,0.004345029612205501,105
wind_min,global,EFLX_LH_TOT_IAV_global,EFLX_LH_TOT,iav,175,0.0006615066153994,103,0.0049463676697547,0.0042848610543553,106
rf_s2s3_bgc,global,EFLX_LH_TOT_IAV_global,EFLX_LH_TOT,iav,112,0.0053814684997006,166,0.0012486375249677,0.0041328309747329,107
CWD,global,EFLX_LH_TOT_IAV_global,EFLX_LH_TOT,iav,121,0.0045794099900203,179,0.000493891929143,0.0040855180608772995,108
kn_nonmyc,global,EFLX_LH_TOT_IAV_global,EFLX_LH_TOT,iav,46,0.0152030904027268,53,0.0114404069640521,0.0037626834386747,109
