param_name,biome,criteria,variable,measure,ssp_rank,ssp_range,pi_rank,pi_range,diff_range,diff_rank
csol_sand,Boreal forest,EFLX_LH_TOT_iav_Boreal forest,EFLX_LH_TOT,iav,1,0.506660582354466,102,0.0041600222168494,0.5025005601376166,1
cv,Boreal forest,EFLX_LH_TOT_iav_Boreal forest,EFLX_LH_TOT,iav,2,0.2557709974202118,37,0.0203620802594973,0.23540891716071452,2
nstem,Boreal forest,EFLX_LH_TOT_iav_Boreal forest,EFLX_LH_TOT,iav,3,0.2373703876502905,60,0.0132209039023273,0.2241494837479632,3
z0mr,Boreal forest,EFLX_LH_TOT_iav_Boreal forest,EFLX_LH_TOT,iav,6,0.16467995665319,32,0.023782979712554,0.140896976940636,4
medlynslope,Boreal forest,EFLX_LH_TOT_iav_Boreal forest,EFLX_LH_TOT,iav,44,0.0492577139847362,2,0.1887936663496495,0.1395359523649133,5
lmrha,Boreal forest,EFLX_LH_TOT_iav_Boreal forest,EFLX_LH_TOT,iav,7,0.1539854956803872,49,0.0162915783081288,0.1376939173722584,6
slatop,Boreal forest,EFLX_LH_TOT_iav_Boreal forest,EFLX_LH_TOT,iav,9,0.1343844851170679,65,0.0116992441061858,0.1226852410108821,7
tpu25ratio,Boreal forest,EFLX_LH_TOT_iav_Boreal forest,EFLX_LH_TOT,iav,8,0.1409034698508343,43,0.0185843602142873,0.12231910963654699,8
fff,Boreal forest,EFLX_LH_TOT_iav_Boreal forest,EFLX_LH_TOT,iav,4,0.2018817975626802,10,0.089991429896747,0.11189036766593322,9
q10_mr,Boreal forest,EFLX_LH_TOT_iav_Boreal forest,EFLX_LH_TOT,iav,14,0.1193938666849928,64,0.012838030496981,0.1065558361880118,10
FUN_fracfixers,Boreal forest,EFLX_LH_TOT_iav_Boreal forest,EFLX_LH_TOT,iav,15,0.1104386235557453,52,0.0159048046142502,0.0945338189414951,11
tpuha,Boreal forest,EFLX_LH_TOT_iav_Boreal forest,EFLX_LH_TOT,iav,11,0.1257491779681178,22,0.0355719633017087,0.0901772146664091,12
medlynintercept,Boreal forest,EFLX_LH_TOT_iav_Boreal forest,EFLX_LH_TOT,iav,37,0.0600805360971951,3,0.1443051231021884,0.0842245870049933,13
kmax,Boreal forest,EFLX_LH_TOT_iav_Boreal forest,EFLX_LH_TOT,iav,13,0.1226038879730571,1,0.2051431814650919,0.08253929349203479,14
vcmaxha,Boreal forest,EFLX_LH_TOT_iav_Boreal forest,EFLX_LH_TOT,iav,24,0.0859345087895756,93,0.004918340838057,0.0810161679515186,15
grperc,Boreal forest,EFLX_LH_TOT_iav_Boreal forest,EFLX_LH_TOT,iav,16,0.1062286444227682,29,0.0259077552032632,0.080320889219505,16
leaf_long,Boreal forest,EFLX_LH_TOT_iav_Boreal forest,EFLX_LH_TOT,iav,18,0.1042023238185126,26,0.0271631048906718,0.0770392189278408,17
jmaxb0,Boreal forest,EFLX_LH_TOT_iav_Boreal forest,EFLX_LH_TOT,iav,5,0.1984632633645018,4,0.1264409714526784,0.07202229191182338,18
lmrhd,Boreal forest,EFLX_LH_TOT_iav_Boreal forest,EFLX_LH_TOT,iav,22,0.0903660461226122,42,0.0187623300678202,0.071603716054792,19
jmaxhd,Boreal forest,EFLX_LH_TOT_iav_Boreal forest,EFLX_LH_TOT,iav,25,0.0840997285274707,59,0.0133257013833496,0.07077402714412111,20
r_mort,Boreal forest,EFLX_LH_TOT_iav_Boreal forest,EFLX_LH_TOT,iav,31,0.0713833899430982,104,0.0039869631908771,0.0673964267522211,21
froot_leaf,Boreal forest,EFLX_LH_TOT_iav_Boreal forest,EFLX_LH_TOT,iav,23,0.0860632412757459,40,0.0192236626080423,0.0668395786677036,22
tpuse_sf,Boreal forest,EFLX_LH_TOT_iav_Boreal forest,EFLX_LH_TOT,iav,32,0.0672200643725252,88,0.0062604263794349,0.0609596379930903,23
lmrse,Boreal forest,EFLX_LH_TOT_iav_Boreal forest,EFLX_LH_TOT,iav,34,0.0661891664267679,74,0.0092971164507602,0.056892049976007705,24
tpuhd,Boreal forest,EFLX_LH_TOT_iav_Boreal forest,EFLX_LH_TOT,iav,30,0.0724482709792978,53,0.0158911529923166,0.05655711798698121,25
br_root,Boreal forest,EFLX_LH_TOT_iav_Boreal forest,EFLX_LH_TOT,iav,27,0.0773331678914599,31,0.0246655350742287,0.052667632817231205,26
cp25_yr2000,Boreal forest,EFLX_LH_TOT_iav_Boreal forest,EFLX_LH_TOT,iav,79,0.0132432231207105,15,0.0607248174305037,0.0474815943097932,27
psi50,Boreal forest,EFLX_LH_TOT_iav_Boreal forest,EFLX_LH_TOT,iav,49,0.04023738443858,11,0.0877132512280137,0.0474758667894337,28
frootcn,Boreal forest,EFLX_LH_TOT_iav_Boreal forest,EFLX_LH_TOT,iav,28,0.0766444440520596,24,0.0311801228995508,0.0454643211525088,29
d_max,Boreal forest,EFLX_LH_TOT_iav_Boreal forest,EFLX_LH_TOT,iav,33,0.0666270796646281,33,0.0232813366008386,0.043345743063789494,30
rootprof_beta,Boreal forest,EFLX_LH_TOT_iav_Boreal forest,EFLX_LH_TOT,iav,35,0.0611481073671229,38,0.0196627072854255,0.041485400081697404,31
clay_pf,Boreal forest,EFLX_LH_TOT_iav_Boreal forest,EFLX_LH_TOT,iav,38,0.0582227424393982,47,0.0172820856630764,0.040940656776321804,32
kcha,Boreal forest,EFLX_LH_TOT_iav_Boreal forest,EFLX_LH_TOT,iav,36,0.060100628482467,39,0.0193127872763894,0.040787841206077605,33
