param_name,biome,criteria,variable,measure,ssp_rank,ssp_range,pi_rank,pi_range,diff_range,diff_rank
tpuse_sf,global,EFLX_LH_TOT_IAV_global,EFLX_LH_TOT,iav,2,0.1287054345011255,39,0.0143252035803571,0.1143802309207684,1
fff,global,EFLX_LH_TOT_IAV_global,EFLX_LH_TOT,iav,7,0.0593110737970915,3,0.1148520884657726,0.0555410146686811,2
FUN_fracfixers,global,EFLX_LH_TOT_IAV_global,EFLX_LH_TOT,iav,6,0.0745223554311734,13,0.032924302650493,0.0415980527806804,3
medlynintercept,global,EFLX_LH_TOT_IAV_global,EFLX_LH_TOT,iav,4,0.0957803892100338,7,0.0575586744882843,0.038221714721749504,4
jmaxse_sf,global,EFLX_LH_TOT_IAV_global,EFLX_LH_TOT,iav,10,0.0460780825490603,64,0.0094831210277904,0.0365949615212699,5
kn_nonmyc,global,EFLX_LH_TOT_IAV_global,EFLX_LH_TOT,iav,153,0.0018899206588274,10,0.0380196909739074,0.03612977031508,6
KCN,global,EFLX_LH_TOT_IAV_global,EFLX_LH_TOT,iav,141,0.0024484882472171,11,0.0379179533345656,0.0354694650873485,7
jmaxhd,global,EFLX_LH_TOT_IAV_global,EFLX_LH_TOT,iav,18,0.0334871725071506,103,0.0047729881247318,0.0287141843824188,8
interception_fraction,global,EFLX_LH_TOT_IAV_global,EFLX_LH_TOT,iav,20,0.0322700129389155,125,0.0035984616380502,0.0286715513008653,9
jmaxb0,global,EFLX_LH_TOT_IAV_global,EFLX_LH_TOT,iav,11,0.0448562307956765,27,0.0190680656321756,0.025788165163500902,10
kcha,global,EFLX_LH_TOT_IAV_global,EFLX_LH_TOT,iav,15,0.0381512450806565,44,0.0135692374071569,0.024582007673499603,11
rootprof_beta,global,EFLX_LH_TOT_IAV_global,EFLX_LH_TOT,iav,17,0.0342433602594625,52,0.0108291718035727,0.0234141884558898,12
baseflow_scalar,global,EFLX_LH_TOT_IAV_global,EFLX_LH_TOT,iav,13,0.041994386816639,6,0.0639318728720209,0.0219374860553819,13
sand_pf,global,EFLX_LH_TOT_IAV_global,EFLX_LH_TOT,iav,8,0.0554524986426526,4,0.0770191174657007,0.021566618823048098,14
freelivfix_slope_wet,global,EFLX_LH_TOT_IAV_global,EFLX_LH_TOT,iav,100,0.0043062630064266,19,0.0253573378115037,0.0210510748050771,15
rf_l2s1_bgc,global,EFLX_LH_TOT_IAV_global,EFLX_LH_TOT,iav,68,0.0074120050382852,21,0.0242511831078461,0.0168391780695609,16
om_frac_sf,global,EFLX_LH_TOT_IAV_global,EFLX_LH_TOT,iav,189,7.030860975321129e-05,35,0.0152464721060284,0.015176163496275189,17
maximum_leaf_wetted_fraction,global,EFLX_LH_TOT_IAV_global,EFLX_LH_TOT,iav,5,0.0792296003604752,5,0.0648345535232021,0.014395046837273107,18
leafcn,global,EFLX_LH_TOT_IAV_global,EFLX_LH_TOT,iav,35,0.0168305325162108,145,0.0025231589685341,0.014307373547676699,19
wc2wjb0,global,EFLX_LH_TOT_IAV_global,EFLX_LH_TOT,iav,30,0.0185930837081284,14,0.0323439783730664,0.013750894664938,20
taulnir,global,EFLX_LH_TOT_IAV_global,EFLX_LH_TOT,iav,174,0.0006318736777144,40,0.0140721939569203,0.0134403202792059,21
froot_leaf,global,EFLX_LH_TOT_IAV_global,EFLX_LH_TOT,iav,28,0.0193688264293654,90,0.0061557063265619,0.0132131201028035,22
xl,global,EFLX_LH_TOT_IAV_global,EFLX_LH_TOT,iav,191,3.4775428593869506e-05,46,0.0132381575069564,0.013203382078362531,23
zbedrock_sf,global,EFLX_LH_TOT_IAV_global,EFLX_LH_TOT,iav,76,0.0065783669012111,26,0.0193917639355574,0.012813397034346297,24
zetamaxstable,global,EFLX_LH_TOT_IAV_global,EFLX_LH_TOT,iav,33,0.0168502281796327,105,0.0045881552675401,0.012262072912092598,25
vcmaxha,global,EFLX_LH_TOT_IAV_global,EFLX_LH_TOT,iav,16,0.0345346239888508,23,0.0222937475974696,0.0122408763913812,26
jmaxha,global,EFLX_LH_TOT_IAV_global,EFLX_LH_TOT,iav,40,0.0133078830204187,165,0.0011446137611217,0.012163269259297,27
tau_s3,global,EFLX_LH_TOT_IAV_global,EFLX_LH_TOT,iav,44,0.0121700286679427,186,0.000135409569298,0.0120346190986447,28
lmrse,global,EFLX_LH_TOT_IAV_global,EFLX_LH_TOT,iav,23,0.0255418971678179,41,0.0137285644095591,0.011813332758258799,29
frootcn,global,EFLX_LH_TOT_IAV_global,EFLX_LH_TOT,iav,119,0.0032186351867961,37,0.0145382992917317,0.0113196641049356,30
rf_l3s2_bgc,global,EFLX_LH_TOT_IAV_global,EFLX_LH_TOT,iav,115,0.003275061927058,38,0.0145250256534168,0.011249963726358801,31
clay_pf,global,EFLX_LH_TOT_IAV_global,EFLX_LH_TOT,iav,86,0.005311355676659,30,0.0164985438604784,0.011187188183819401,32
d_max,global,EFLX_LH_TOT_IAV_global,EFLX_LH_TOT,iav,3,0.1234389900645197,2,0.1345644974822364,0.011125507417716701,33
