param_name,biome,criteria,variable,measure,ssp_rank,ssp_range,pi_rank,pi_range,diff_range,diff_rank
medlynintercept,Boreal forest,EFLX_LH_TOT_iav_Boreal forest,EFLX_LH_TOT,iav,1,0.0270613509455845,4,0.0130987293612387,0.0139626215843458,1
slopemax,Boreal forest,EFLX_LH_TOT_iav_Boreal forest,EFLX_LH_TOT,iav,132,0.0001872275471849,13,0.0066983206194587,0.006511093072273801,2
fff,Boreal forest,EFLX_LH_TOT_iav_Boreal forest,EFLX_LH_TOT,iav,28,0.0019830643889988,9,0.0083136513102689,0.006330586921270099,3
medlynslope,Boreal forest,EFLX_LH_TOT_iav_Boreal forest,EFLX_LH_TOT,iav,3,0.0147708876081572,1,0.0210131493899655,0.006242261781808299,4
krmax,Boreal forest,EFLX_LH_TOT_iav_Boreal forest,EFLX_LH_TOT,iav,8,0.0060883385890131,5,0.012208850195759,0.0061205116067458995,5
dleaf,Boreal forest,EFLX_LH_TOT_iav_Boreal forest,EFLX_LH_TOT,iav,46,0.0010521289590881,12,0.0070122849566116,0.0059601559975235,6
cp25_yr2000,Boreal forest,EFLX_LH_TOT_iav_Boreal forest,EFLX_LH_TOT,iav,176,2.9894691054438427e-05,16,0.0059093527694499,0.005879458078395462,7
tpu25ratio,Boreal forest,EFLX_LH_TOT_iav_Boreal forest,EFLX_LH_TOT,iav,6,0.0073583887986298,39,0.0019806390482103,0.0053777497504195,8
d_max,Boreal forest,EFLX_LH_TOT_iav_Boreal forest,EFLX_LH_TOT,iav,94,0.0004619800541247,23,0.0043353971923121,0.0038734171381873995,9
liq_canopy_storage_scalar,Boreal forest,EFLX_LH_TOT_iav_Boreal forest,EFLX_LH_TOT,iav,4,0.0116670884347764,3,0.0153859943246156,0.0037189058898392004,10
wc2wjb0,Boreal forest,EFLX_LH_TOT_iav_Boreal forest,EFLX_LH_TOT,iav,9,0.0060534808744672,7,0.0093746766446035,0.0033211957701362992,11
slatop,Boreal forest,EFLX_LH_TOT_iav_Boreal forest,EFLX_LH_TOT,iav,26,0.0020319292321589,18,0.0051425578299527,0.0031106285977938,12
sand_pf,Boreal forest,EFLX_LH_TOT_iav_Boreal forest,EFLX_LH_TOT,iav,139,0.0001317118610669,27,0.0029811893523997,0.0028494774913328,13
lmr_intercept_atkin,Boreal forest,EFLX_LH_TOT_iav_Boreal forest,EFLX_LH_TOT,iav,45,0.0010554887747171,25,0.0036359021020206,0.0025804133273035004,14
theta_cj,Boreal forest,EFLX_LH_TOT_iav_Boreal forest,EFLX_LH_TOT,iav,15,0.004321856661312,14,0.006619080256625,0.0022972235953130004,15
cv,Boreal forest,EFLX_LH_TOT_iav_Boreal forest,EFLX_LH_TOT,iav,19,0.0031919244038192,17,0.0054780149060914,0.0022860905022721997,16
maximum_leaf_wetted_fraction,Boreal forest,EFLX_LH_TOT_iav_Boreal forest,EFLX_LH_TOT,iav,11,0.0050430520410599,11,0.0072296336677508,0.0021865816266908996,17
theta_psii,Boreal forest,EFLX_LH_TOT_iav_Boreal forest,EFLX_LH_TOT,iav,27,0.0019871173472219,24,0.0041635364891724,0.0021764191419505,18
om_frac_sf,Boreal forest,EFLX_LH_TOT_iav_Boreal forest,EFLX_LH_TOT,iav,157,6.700025404760696e-05,37,0.0022330415693661,0.002166041315318493,19
tpuse_sf,Boreal forest,EFLX_LH_TOT_iav_Boreal forest,EFLX_LH_TOT,iav,12,0.0047045106929022,31,0.0025690669385046,0.0021354437543976003,20
fbw,Boreal forest,EFLX_LH_TOT_iav_Boreal forest,EFLX_LH_TOT,iav,119,0.0002452749876248,33,0.0023374361470265,0.0020921611594017,21
jmaxb1,Boreal forest,EFLX_LH_TOT_iav_Boreal forest,EFLX_LH_TOT,iav,10,0.0053417154715914,10,0.0073774304250067,0.0020357149534153,22
kcha,Boreal forest,EFLX_LH_TOT_iav_Boreal forest,EFLX_LH_TOT,iav,21,0.0028194839316205,19,0.0047911547751655,0.001971670843545,23
fnps,Boreal forest,EFLX_LH_TOT_iav_Boreal forest,EFLX_LH_TOT,iav,22,0.0027150422669864,20,0.0046519658836709,0.0019369236166844996,24
leafcn,Boreal forest,EFLX_LH_TOT_iav_Boreal forest,EFLX_LH_TOT,iav,7,0.0069620585948152,8,0.0087108407916881,0.0017487821968728999,25
lmrha,Boreal forest,EFLX_LH_TOT_iav_Boreal forest,EFLX_LH_TOT,iav,152,8.687886200343942e-05,42,0.0018338616888116,0.0017469828268081606,26
tpuhd,Boreal forest,EFLX_LH_TOT_iav_Boreal forest,EFLX_LH_TOT,iav,75,0.0006229354049487,34,0.0023282129790677,0.0017052775741189998,27
zlnd,Boreal forest,EFLX_LH_TOT_iav_Boreal forest,EFLX_LH_TOT,iav,91,0.000484297427669,38,0.0021893860300303,0.0017050886023613002,28
psi50,Boreal forest,EFLX_LH_TOT_iav_Boreal forest,EFLX_LH_TOT,iav,14,0.0043265932307255,15,0.0060269333392837,0.0017003401085582005,29
maxpsi_hr,Boreal forest,EFLX_LH_TOT_iav_Boreal forest,EFLX_LH_TOT,iav,54,0.0008693380229339,32,0.0025649723686525,0.0016956343457186001,30
jmaxb0,Boreal forest,EFLX_LH_TOT_iav_Boreal forest,EFLX_LH_TOT,iav,5,0.008106434048824,6,0.0097298632153392,0.0016234291665152,31
jmaxse_sf,Boreal forest,EFLX_LH_TOT_iav_Boreal forest,EFLX_LH_TOT,iav,29,0.0018718003233478,125,0.000260001445645,0.0016117988777028,32
q10_mr,Boreal forest,EFLX_LH_TOT_iav_Boreal forest,EFLX_LH_TOT,iav,142,0.0001181729496375,44,0.0016931478735985,0.001574974923961,33
zbedrock_sf,Boreal forest,EFLX_LH_TOT_iav_Boreal forest,EFLX_LH_TOT,iav,118,0.0002512009888655,43,0.0017420324495048,0.0014908314606393001,34
k_nitr_max_perday,Boreal forest,EFLX_LH_TOT_iav_Boreal forest,EFLX_LH_TOT,iav,98,0.0004416331137703,40,0.0019284410186409,0.0014868079048706,35
stem_leaf,Boreal forest,EFLX_LH_TOT_iav_Boreal forest,EFLX_LH_TOT,iav,138,0.0001438838727422,45,0.0016227963280162,0.0014789124552740001,36
tpuha,Boreal forest,EFLX_LH_TOT_iav_Boreal forest,EFLX_LH_TOT,iav,32,0.0015441665280614,138,0.0001640812269787,0.0013800853010827,37
tau_s1,Boreal forest,EFLX_LH_TOT_iav_Boreal forest,EFLX_LH_TOT,iav,164,4.484636327559827e-05,53,0.0013406094949313,0.0012957631316557017,38
frac_sat_soil_dsl_init,Boreal forest,EFLX_LH_TOT_iav_Boreal forest,EFLX_LH_TOT,iav,18,0.0032497916870251,21,0.0044971100684249,0.0012473183813997996,39
frootcn,Boreal forest,EFLX_LH_TOT_iav_Boreal forest,EFLX_LH_TOT,iav,131,0.0001949277897952,50,0.0014054883978287,0.0012105606080335,40
zetamaxstable,Boreal forest,EFLX_LH_TOT_iav_Boreal forest,EFLX_LH_TOT,iav,36,0.0012960767579279,143,0.000148473606756,0.0011476031511719002,41
tkd_sand,Boreal forest,EFLX_LH_TOT_iav_Boreal forest,EFLX_LH_TOT,iav,37,0.0012741954012915,145,0.0001400453269444,0.0011341500743470999,42
nstem,Boreal forest,EFLX_LH_TOT_iav_Boreal forest,EFLX_LH_TOT,iav,25,0.0020426093462544,66,0.0009583004684644,0.00108430887779,43
csoilc,Boreal forest,EFLX_LH_TOT_iav_Boreal forest,EFLX_LH_TOT,iav,17,0.0037485710310838,29,0.0026651593305678,0.001083411700516,44
tau_l2_l3,Boreal forest,EFLX_LH_TOT_iav_Boreal forest,EFLX_LH_TOT,iav,85,0.0004967599155949,48,0.0015763604510066,0.0010796005354117002,45
accum_factor,Boreal forest,EFLX_LH_TOT_iav_Boreal forest,EFLX_LH_TOT,iav,33,0.0013738011114783,118,0.0002984964398129,0.0010753046716654,46
a_coef,Boreal forest,EFLX_LH_TOT_iav_Boreal forest,EFLX_LH_TOT,iav,42,0.0011846622941511,144,0.0001424129757807,0.0010422493183704,47
taulvis,Boreal forest,EFLX_LH_TOT_iav_Boreal forest,EFLX_LH_TOT,iav,113,0.0003257704145985,52,0.0013569356707093,0.0010311652561108,48
vcmaxhd,Boreal forest,EFLX_LH_TOT_iav_Boreal forest,EFLX_LH_TOT,iav,16,0.0042307454389903,26,0.0032528364921304,0.0009779089468599,49
ssi,Boreal forest,EFLX_LH_TOT_iav_Boreal forest,EFLX_LH_TOT,iav,76,0.0006173637394779,47,0.0015908199139502,0.0009734561744723,50
