param_name,biome,criteria,variable,measure,ssp_rank,ssp_range,pi_rank,pi_range,diff_range,diff_rank
tpuse_sf,global,EFLX_LH_TOT_IAV_global,EFLX_LH_TOT,iav,2,0.1287054345011255,17,0.0486793268444604,0.08002610765666511,1
fff,global,EFLX_LH_TOT_IAV_global,EFLX_LH_TOT,iav,7,0.0593110737970915,2,0.1329655656310944,0.07365449183400291,2
FUN_fracfixers,global,EFLX_LH_TOT_IAV_global,EFLX_LH_TOT,iav,6,0.0745223554311734,36,0.0199394678931373,0.0545828875380361,3
vcmaxhd,global,EFLX_LH_TOT_IAV_global,EFLX_LH_TOT,iav,19,0.0330982147871063,5,0.0821326441447827,0.04903442935767641,4
medlynintercept,global,EFLX_LH_TOT_IAV_global,EFLX_LH_TOT,iav,4,0.0957803892100338,19,0.0468876568117758,0.048892732398258004,5
lmrhd,global,EFLX_LH_TOT_IAV_global,EFLX_LH_TOT,iav,29,0.0191937226933103,8,0.063140394561337,0.04394667186802669,6
leafcn,global,EFLX_LH_TOT_IAV_global,EFLX_LH_TOT,iav,35,0.0168305325162108,11,0.0566429257015322,0.0398123931853214,7
theta_cj,global,EFLX_LH_TOT_IAV_global,EFLX_LH_TOT,iav,125,0.0031082231995146,22,0.0419839146753667,0.0388756914758521,8
vcmaxha,global,EFLX_LH_TOT_IAV_global,EFLX_LH_TOT,iav,16,0.0345346239888508,7,0.0714039966106139,0.036869372621763104,9
sand_pf,global,EFLX_LH_TOT_IAV_global,EFLX_LH_TOT,iav,8,0.0554524986426526,4,0.0909304783406609,0.0354779796980083,10
wc2wjb0,global,EFLX_LH_TOT_IAV_global,EFLX_LH_TOT,iav,30,0.0185930837081284,13,0.0521153269396332,0.0335222432315048,11
medlynslope,global,EFLX_LH_TOT_IAV_global,EFLX_LH_TOT,iav,14,0.041211947570641,6,0.0743328241434624,0.0331208765728214,12
vcmaxse_sf,global,EFLX_LH_TOT_IAV_global,EFLX_LH_TOT,iav,21,0.029556920514841,9,0.0612647741976059,0.031707853682764894,13
frac_sat_soil_dsl_init,global,EFLX_LH_TOT_IAV_global,EFLX_LH_TOT,iav,1,0.1803911974904305,1,0.1496365725287197,0.030754624961710803,14
maximum_leaf_wetted_fraction,global,EFLX_LH_TOT_IAV_global,EFLX_LH_TOT,iav,5,0.0792296003604752,15,0.0513838781871214,0.0278457221733538,15
jmaxb1,global,EFLX_LH_TOT_IAV_global,EFLX_LH_TOT,iav,69,0.0073956033810598,25,0.0343643457212242,0.026968742340164404,16
cpha,global,EFLX_LH_TOT_IAV_global,EFLX_LH_TOT,iav,37,0.0139092178792804,24,0.0405750706909443,0.0266658528116639,17
maxpsi_hr,global,EFLX_LH_TOT_IAV_global,EFLX_LH_TOT,iav,60,0.0082944315621381,28,0.0336992665714626,0.0254048350093245,18
lmr_intercept_atkin,global,EFLX_LH_TOT_IAV_global,EFLX_LH_TOT,iav,71,0.0071174351792265,31,0.0314062088150571,0.024288773635830603,19
q10_mr,global,EFLX_LH_TOT_IAV_global,EFLX_LH_TOT,iav,47,0.011093049387027,27,0.0339719959038267,0.022878946516799697,20
kcha,global,EFLX_LH_TOT_IAV_global,EFLX_LH_TOT,iav,15,0.0381512450806565,10,0.0601635401954246,0.0220122951147681,21
lmrse,global,EFLX_LH_TOT_IAV_global,EFLX_LH_TOT,iav,23,0.0255418971678179,20,0.0451546170763483,0.019612719908530397,22
decomp_depth_efolding,global,EFLX_LH_TOT_IAV_global,EFLX_LH_TOT,iav,38,0.0135588797274907,30,0.0330275229582321,0.0194686432307414,23
jmaxhd,global,EFLX_LH_TOT_IAV_global,EFLX_LH_TOT,iav,18,0.0334871725071506,14,0.051699877485665,0.018212704978514398,24
interception_fraction,global,EFLX_LH_TOT_IAV_global,EFLX_LH_TOT,iav,20,0.0322700129389155,40,0.0153250300330668,0.016944982905848702,25
psi50,global,EFLX_LH_TOT_IAV_global,EFLX_LH_TOT,iav,24,0.0241793226541757,75,0.0079587957514069,0.0162205269027688,26
zsno,global,EFLX_LH_TOT_IAV_global,EFLX_LH_TOT,iav,41,0.0131757697400769,33,0.0282488347536917,0.0150730650136148,27
rootprof_beta,global,EFLX_LH_TOT_IAV_global,EFLX_LH_TOT,iav,17,0.0342433602594625,37,0.0198093571874184,0.0144340030720441,28
relhExp,global,EFLX_LH_TOT_IAV_global,EFLX_LH_TOT,iav,132,0.0026677296840235,39,0.0163709788355369,0.013703249151513401,29
d_max,global,EFLX_LH_TOT_IAV_global,EFLX_LH_TOT,iav,3,0.1234389900645197,3,0.1098276308515074,0.013611359213012292,30
om_frac_sf,global,EFLX_LH_TOT_IAV_global,EFLX_LH_TOT,iav,189,7.030860975321129e-05,46,0.0135028274225603,0.013432518812807088,31
tpu25ratio,global,EFLX_LH_TOT_IAV_global,EFLX_LH_TOT,iav,32,0.0172674859514487,113,0.0039121747856506,0.013355311165798099,32
jmaxha,global,EFLX_LH_TOT_IAV_global,EFLX_LH_TOT,iav,40,0.0133078830204187,185,0.0003780832052245,0.012929799815194199,33
krmax,global,EFLX_LH_TOT_IAV_global,EFLX_LH_TOT,iav,34,0.0168334716985135,32,0.029304544903893,0.0124710732053795,34
stem_leaf,global,EFLX_LH_TOT_IAV_global,EFLX_LH_TOT,iav,156,0.0017667058326387,45,0.0141209517150948,0.012354245882456101,35
tpuha,global,EFLX_LH_TOT_IAV_global,EFLX_LH_TOT,iav,151,0.00196627997008,43,0.0141543524496573,0.0121880724795773,36
leaf_long,global,EFLX_LH_TOT_IAV_global,EFLX_LH_TOT,iav,26,0.0221773941485782,26,0.0343058277040733,0.012128433555495095,37
theta_ip,global,EFLX_LH_TOT_IAV_global,EFLX_LH_TOT,iav,185,0.0002542640884634,51,0.0121797570550766,0.0119254929666132,38
zetamaxstable,global,EFLX_LH_TOT_IAV_global,EFLX_LH_TOT,iav,33,0.0168502281796327,100,0.0049985465294916,0.0118516816501411,39
slopemax,global,EFLX_LH_TOT_IAV_global,EFLX_LH_TOT,iav,31,0.0183801049744904,80,0.0072150868917962,0.0111650180826942,40
n_baseflow,global,EFLX_LH_TOT_IAV_global,EFLX_LH_TOT,iav,25,0.0222326431222056,29,0.0330289802970809,0.010796337174875301,41
nstem,global,EFLX_LH_TOT_IAV_global,EFLX_LH_TOT,iav,39,0.0134271011755051,34,0.0239534038903846,0.0105263027148795,42
snw_rds_refrz,global,EFLX_LH_TOT_IAV_global,EFLX_LH_TOT,iav,43,0.0123191584577971,147,0.0020202564098166,0.0102989020479805,43
tau_s1,global,EFLX_LH_TOT_IAV_global,EFLX_LH_TOT,iav,46,0.0117064295159365,157,0.001546405065501,0.0101600244504355,44
tau_l2_l3,global,EFLX_LH_TOT_IAV_global,EFLX_LH_TOT,iav,36,0.0149342156798776,102,0.0049732897068798,0.0099609259729978,45
br_root,global,EFLX_LH_TOT_IAV_global,EFLX_LH_TOT,iav,49,0.0103480844482928,180,0.0004872505499441,0.009860833898348699,46
kn_nonmyc,global,EFLX_LH_TOT_IAV_global,EFLX_LH_TOT,iav,153,0.0018899206588274,53,0.0114404069640521,0.0095504863052247,47
pc,global,EFLX_LH_TOT_IAV_global,EFLX_LH_TOT,iav,50,0.0102399732759514,169,0.0009939759204471,0.0092459973555043,48
kmax,global,EFLX_LH_TOT_IAV_global,EFLX_LH_TOT,iav,22,0.027074938608703,38,0.017936862459816,0.009138076148887002,49
grperc,global,EFLX_LH_TOT_IAV_global,EFLX_LH_TOT,iav,89,0.0051906393613034,44,0.0141388475281512,0.008948208166847799,50
minpsi_hr,global,EFLX_LH_TOT_IAV_global,EFLX_LH_TOT,iav,176,0.0005467630507588,65,0.0090817823004566,0.0085350192496978,51
rho_max,global,EFLX_LH_TOT_IAV_global,EFLX_LH_TOT,iav,58,0.0086352608025126,188,0.0001201290231599,0.0085151317793527,52
snowcan_unload_temp_fact,global,EFLX_LH_TOT_IAV_global,EFLX_LH_TOT,iav,161,0.0011977072618507,61,0.0094973652135348,0.0082996579516841,53
rholnir,global,EFLX_LH_TOT_IAV_global,EFLX_LH_TOT,iav,162,0.0011417407272812,64,0.0091529550581097,0.008011214330828501,54
rf_l1s1_bgc,global,EFLX_LH_TOT_IAV_global,EFLX_LH_TOT,iav,42,0.0130453404846813,98,0.0050532529427643,0.007992087541917,55
fnps,global,EFLX_LH_TOT_IAV_global,EFLX_LH_TOT,iav,61,0.0082030899314903,186,0.000240775833432,0.0079623140980583,56
theta_psii,global,EFLX_LH_TOT_IAV_global,EFLX_LH_TOT,iav,110,0.0036650562359296,52,0.0116192500622132,0.007954193826283599,57
tpuhd,global,EFLX_LH_TOT_IAV_global,EFLX_LH_TOT,iav,172,0.0006505069354771,69,0.0085345845844964,0.0078840776490193,58
ekn_active,global,EFLX_LH_TOT_IAV_global,EFLX_LH_TOT,iav,167,0.0008895159322505,68,0.0085405446190036,0.0076510286867531,59
fun_cn_flex_a,global,EFLX_LH_TOT_IAV_global,EFLX_LH_TOT,iav,148,0.0020615128049362,60,0.0097117560111964,0.0076502432062602,60
baseflow_scalar,global,EFLX_LH_TOT_IAV_global,EFLX_LH_TOT,iav,13,0.041994386816639,16,0.0494872420460036,0.007492855229364596,61
a_coef,global,EFLX_LH_TOT_IAV_global,EFLX_LH_TOT,iav,171,0.0006887348293288,73,0.0081317649685923,0.0074430301392635,62
