param_name,biome,criteria,variable,measure,ssp_rank,ssp_range,pi_rank,pi_range,diff_range,diff_rank
medlynintercept,Boreal forest,EFLX_LH_TOT_iav_Boreal forest,EFLX_LH_TOT,iav,1,0.0270613509455845,3,0.0133143464458116,0.0137470044997729,1
dleaf,Boreal forest,EFLX_LH_TOT_iav_Boreal forest,EFLX_LH_TOT,iav,46,0.0010521289590881,13,0.0074568946409233,0.0064047656818352,2
fff,Boreal forest,EFLX_LH_TOT_iav_Boreal forest,EFLX_LH_TOT,iav,28,0.0019830643889988,10,0.0083030806463521,0.0063200162573533,3
tpu25ratio,Boreal forest,EFLX_LH_TOT_iav_Boreal forest,EFLX_LH_TOT,iav,6,0.0073583887986298,43,0.0017146904077103,0.0056436983909195,4
cp25_yr2000,Boreal forest,EFLX_LH_TOT_iav_Boreal forest,EFLX_LH_TOT,iav,176,2.9894691054438427e-05,15,0.0056027896982966,0.005572895007242161,5
krmax,Boreal forest,EFLX_LH_TOT_iav_Boreal forest,EFLX_LH_TOT,iav,8,0.0060883385890131,6,0.0106094255448986,0.004521086955885501,6
wc2wjb0,Boreal forest,EFLX_LH_TOT_iav_Boreal forest,EFLX_LH_TOT,iav,9,0.0060534808744672,7,0.0105416961020442,0.004488215227576999,7
tpuse_sf,Boreal forest,EFLX_LH_TOT_iav_Boreal forest,EFLX_LH_TOT,iav,12,0.0047045106929022,88,0.00057761972633,0.0041268909665722,8
psi50,Boreal forest,EFLX_LH_TOT_iav_Boreal forest,EFLX_LH_TOT,iav,14,0.0043265932307255,11,0.008092883950567,0.003766290719841501,9
jmaxb0,Boreal forest,EFLX_LH_TOT_iav_Boreal forest,EFLX_LH_TOT,iav,5,0.008106434048824,4,0.0116661062523317,0.0035596722035077,10
sand_pf,Boreal forest,EFLX_LH_TOT_iav_Boreal forest,EFLX_LH_TOT,iav,139,0.0001317118610669,19,0.0036669526805576,0.0035352408194907,11
jmaxb1,Boreal forest,EFLX_LH_TOT_iav_Boreal forest,EFLX_LH_TOT,iav,10,0.0053417154715914,9,0.008710108239004,0.0033683927674126,12
theta_cj,Boreal forest,EFLX_LH_TOT_iav_Boreal forest,EFLX_LH_TOT,iav,15,0.004321856661312,12,0.0074901794009669,0.0031683227396549,13
lmr_intercept_atkin,Boreal forest,EFLX_LH_TOT_iav_Boreal forest,EFLX_LH_TOT,iav,45,0.0010554887747171,18,0.003832554316889,0.0027770655421719,14
frac_sat_soil_dsl_init,Boreal forest,EFLX_LH_TOT_iav_Boreal forest,EFLX_LH_TOT,iav,18,0.0032497916870251,14,0.0059609193699233,0.0027111276828981996,15
frootcn,Boreal forest,EFLX_LH_TOT_iav_Boreal forest,EFLX_LH_TOT,iav,131,0.0001949277897952,24,0.002876841442515,0.0026819136527198003,16
medlynslope,Boreal forest,EFLX_LH_TOT_iav_Boreal forest,EFLX_LH_TOT,iav,3,0.0147708876081572,2,0.0174190924515837,0.0026482048434265017,17
maximum_leaf_wetted_fraction,Boreal forest,EFLX_LH_TOT_iav_Boreal forest,EFLX_LH_TOT,iav,11,0.0050430520410599,25,0.0025237517606604,0.0025193002803995004,18
