param_name,biome,criteria,variable,measure,ssp_rank,ssp_range,pi_rank,pi_range,diff_range,diff_rank
csol_sand,global,FCEV_IAV_global,FCEV,iav,3,0.1503641290011224,67,0.0019645564850791,0.1483995725160433,1
q10_mr,global,FCEV_IAV_global,FCEV,iav,7,0.0470475947360994,17,0.0170235716067093,0.030024023129390103,2
maximum_leaf_wetted_fraction,global,FCEV_IAV_global,FCEV,iav,1,0.379360986194432,1,0.3494114906986503,0.029949495495781686,3
tpuse_sf,global,FCEV_IAV_global,FCEV,iav,16,0.0226361849980995,123,0.0006227273397722,0.0220134576583273,4
medlynintercept,global,FCEV_IAV_global,FCEV,iav,6,0.063819942279462,5,0.0806152884257963,0.016795346146334295,5
fff,global,FCEV_IAV_global,FCEV,iav,18,0.0180358481070678,7,0.0335217668914234,0.015485918784355603,6
z0mr,global,FCEV_IAV_global,FCEV,iav,82,0.0019425041920477,16,0.0171081490165581,0.015165644824510402,7
frac_sat_soil_dsl_init,global,FCEV_IAV_global,FCEV,iav,10,0.0345342067346254,14,0.0214415583828605,0.0130926483517649,8
sand_pf,global,FCEV_IAV_global,FCEV,iav,75,0.002275715842551,18,0.0153447469399788,0.0130690310974278,9
medlynslope,global,FCEV_IAV_global,FCEV,iav,5,0.0840557784423872,4,0.0968989814176838,0.012843202975296605,10
jmaxhd,global,FCEV_IAV_global,FCEV,iav,24,0.014301383048099,68,0.0019190790186564,0.0123823040294426,11
KCN,global,FCEV_IAV_global,FCEV,iav,17,0.0203595173434182,26,0.0093568235566029,0.011002693786815301,12
interception_fraction,global,FCEV_IAV_global,FCEV,iav,8,0.0390476540638588,8,0.0286089845458449,0.0104386695180139,13
wc2wjb0,global,FCEV_IAV_global,FCEV,iav,27,0.0104554234655974,174,0.0001042421279395,0.0103511813376579,14
kn_nonmyc,global,FCEV_IAV_global,FCEV,iav,20,0.0164347807725837,31,0.007115193935374,0.009319586837209702,15
rootprof_beta,global,FCEV_IAV_global,FCEV,iav,48,0.005349249760009,20,0.014409751518952,0.009060501758943,16
nstem,global,FCEV_IAV_global,FCEV,iav,25,0.0142979276984679,34,0.0054739859235289,0.008823941774939,17
lmrhd,global,FCEV_IAV_global,FCEV,iav,29,0.009963815527918,89,0.0013825602837765,0.0085812552441415,18
krmax,global,FCEV_IAV_global,FCEV,iav,105,0.0011921745168897,27,0.0092811402556153,0.0080889657387256,19
maxpsi_hr,global,FCEV_IAV_global,FCEV,iav,33,0.009069790510337,100,0.0010908970703019,0.0079788934400351,20
lmrha,global,FCEV_IAV_global,FCEV,iav,26,0.0112075288132811,47,0.0036850004930964,0.0075225283201847005,21
lmrse,global,FCEV_IAV_global,FCEV,iav,32,0.0091063207478852,77,0.0016728815661101,0.007433439181775099,22
rholnir,global,FCEV_IAV_global,FCEV,iav,34,0.0090469116467576,65,0.0020503795040004,0.0069965321427572,23
jmaxse_sf,global,FCEV_IAV_global,FCEV,iav,28,0.0100747797836939,57,0.0032227709661324,0.006852008817561501,24
taulnir,global,FCEV_IAV_global,FCEV,iav,62,0.0034934286833935,24,0.0101708875275706,0.0066774588441771004,25
slatop,global,FCEV_IAV_global,FCEV,iav,11,0.0326367081551447,10,0.0261601300052946,0.006476578149850105,26
jmaxb1,global,FCEV_IAV_global,FCEV,iav,64,0.0034126195312064,25,0.0098112578856765,0.006398638354470099,27
tpuhd,global,FCEV_IAV_global,FCEV,iav,40,0.0071120169132913,108,0.000913874865407,0.0061981420478843,28
rf_l1s1_bgc,global,FCEV_IAV_global,FCEV,iav,39,0.0075307646053134,76,0.0016736386100467,0.0058571259952667,29
