param_name,biome,criteria,variable,measure,ssp_rank,ssp_range,pi_rank,pi_range,diff_range,diff_rank
csol_sand,Boreal forest,FCEV_iav_Boreal forest,FCEV,iav,1,0.5092176175201975,72,0.0031802897524905,0.5060373277677069,1
cv,Boreal forest,FCEV_iav_Boreal forest,FCEV,iav,2,0.3040341349595904,3,0.0634169885857301,0.24061714637386034,2
jmaxb0,Boreal forest,FCEV_iav_Boreal forest,FCEV,iav,4,0.2218499173134997,9,0.0321354473095624,0.18971447000393732,3
nstem,Boreal forest,FCEV_iav_Boreal forest,FCEV,iav,5,0.2017631219851567,8,0.0329317017756751,0.1688314202094816,4
z0mr,Boreal forest,FCEV_iav_Boreal forest,FCEV,iav,8,0.1905753280970386,11,0.0293395384010085,0.16123578969603009,5
jmaxb1,Boreal forest,FCEV_iav_Boreal forest,FCEV,iav,6,0.1960083881404632,7,0.0375228390955593,0.15848554904490392,6
lmrha,Boreal forest,FCEV_iav_Boreal forest,FCEV,iav,7,0.1940300745415294,6,0.0375645772238594,0.15646549731767,7
leafcn,Boreal forest,FCEV_iav_Boreal forest,FCEV,iav,10,0.1665680273255066,15,0.0225982412243846,0.143969786101122,8
kmax,Boreal forest,FCEV_iav_Boreal forest,FCEV,iav,13,0.1377209995272495,91,0.0018812400998216,0.1358397594274279,9
tpu25ratio,Boreal forest,FCEV_iav_Boreal forest,FCEV,iav,9,0.1750445082100613,5,0.0419472547205773,0.13309725348948398,10
medlynintercept,Boreal forest,FCEV_iav_Boreal forest,FCEV,iav,12,0.146274664673532,25,0.0150127877486639,0.1312618769248681,11
wc2wjb0,Boreal forest,FCEV_iav_Boreal forest,FCEV,iav,11,0.1559354683700651,13,0.0250985305424081,0.130836937827657,12
slatop,Boreal forest,FCEV_iav_Boreal forest,FCEV,iav,14,0.1229988905549185,18,0.0192450875288485,0.10375380302607,13
theta_cj,Boreal forest,FCEV_iav_Boreal forest,FCEV,iav,16,0.115034593890525,21,0.0163473093903077,0.0986872845002173,14
FUN_fracfixers,Boreal forest,FCEV_iav_Boreal forest,FCEV,iav,15,0.1158539839061185,19,0.0180383518305607,0.0978156320755578,15
leaf_long,Boreal forest,FCEV_iav_Boreal forest,FCEV,iav,18,0.1118367568666949,17,0.0196881086132753,0.0921486482534196,16
tpuha,Boreal forest,FCEV_iav_Boreal forest,FCEV,iav,17,0.1134378850763612,10,0.0319902172677638,0.0814476678085974,17
