param_name,biome,criteria,variable,measure,ssp_rank,ssp_range,pi_rank,pi_range,diff_range,diff_rank
csol_sand,global,FCEV_IAV_global,FCEV,iav,3,0.1503641290011224,88,0.0017817741291446,0.1485823548719778,1
q10_mr,global,FCEV_IAV_global,FCEV,iav,7,0.0470475947360994,19,0.0137489229169413,0.033298671819158104,2
maximum_leaf_wetted_fraction,global,FCEV_IAV_global,FCEV,iav,1,0.379360986194432,1,0.3500729603102179,0.029288025884214086,3
tpuse_sf,global,FCEV_IAV_global,FCEV,iav,16,0.0226361849980995,67,0.0026962581398624,0.0199399268582371,4
jmaxhd,global,FCEV_IAV_global,FCEV,iav,24,0.014301383048099,130,0.0007684793660994,0.0135329036819996,5
z0mr,global,FCEV_IAV_global,FCEV,iav,82,0.0019425041920477,18,0.0146787832415226,0.0127362790494749,6
medlynslope,global,FCEV_IAV_global,FCEV,iav,5,0.0840557784423872,4,0.0967002315936988,0.012644453151311602,7
KCN,global,FCEV_IAV_global,FCEV,iav,17,0.0203595173434182,26,0.0078597210726414,0.0124997962707768,8
kn_nonmyc,global,FCEV_IAV_global,FCEV,iav,20,0.0164347807725837,43,0.0047243277244306,0.011710453048153102,9
krmax,global,FCEV_IAV_global,FCEV,iav,105,0.0011921745168897,20,0.0128241072351415,0.0116319327182518,10
froot_leaf,global,FCEV_IAV_global,FCEV,iav,23,0.0145293544203942,10,0.0248930240247805,0.0103636696043863,11
slatop,global,FCEV_IAV_global,FCEV,iav,11,0.0326367081551447,12,0.0230027428896275,0.009633965265517203,12
cv,global,FCEV_IAV_global,FCEV,iav,4,0.1210647135175351,3,0.1302773346947809,0.009212621177245792,13
maxpsi_hr,global,FCEV_IAV_global,FCEV,iav,33,0.009069790510337,181,9.5989168458821e-05,0.008973801341878179,14
nstem,global,FCEV_IAV_global,FCEV,iav,25,0.0142979276984679,33,0.0060052447143141,0.0082926829841538,15
taulnir,global,FCEV_IAV_global,FCEV,iav,62,0.0034934286833935,22,0.0112043186876105,0.007710890004217,16
leafcn,global,FCEV_IAV_global,FCEV,iav,36,0.0083851126788947,134,0.0006954835653645,0.007689629113530199,17
medlynintercept,global,FCEV_IAV_global,FCEV,iav,6,0.063819942279462,5,0.0714856737538763,0.007665731474414295,18
jmaxse_sf,global,FCEV_IAV_global,FCEV,iav,28,0.0100747797836939,74,0.0024229752603694,0.0076518045233245,19
fff,global,FCEV_IAV_global,FCEV,iav,18,0.0180358481070678,23,0.0104603565956431,0.0075754915114247,20
lmr_intercept_atkin,global,FCEV_IAV_global,FCEV,iav,12,0.0258275359939065,15,0.0187528208975161,0.007074715096390401,21
FUN_fracfixers,global,FCEV_IAV_global,FCEV,iav,21,0.0163553134439485,11,0.0233821345217577,0.007026821077809199,22
theta_ip,global,FCEV_IAV_global,FCEV,iav,41,0.006402195956411,163,0.0002104720089893,0.0061917239474217,23
tpuhd,global,FCEV_IAV_global,FCEV,iav,40,0.0071120169132913,100,0.0013963471475732,0.0057156697657181,24
lmrhd,global,FCEV_IAV_global,FCEV,iav,29,0.009963815527918,46,0.0042837813587208,0.0056800341691972,25
jmaxb0,global,FCEV_IAV_global,FCEV,iav,89,0.0016160334045126,29,0.00703177083934,0.0054157374348274,26
vcmaxha,global,FCEV_IAV_global,FCEV,iav,47,0.0053565197548381,157,0.0003604403167528,0.004996079438085299,27
rf_l1s1_bgc,global,FCEV_IAV_global,FCEV,iav,39,0.0075307646053134,71,0.002625930490042,0.0049048341152714,28
zsno,global,FCEV_IAV_global,FCEV,iav,141,0.0004935564296869,39,0.0050606835046185,0.0045671270749316,29
kc_nonmyc,global,FCEV_IAV_global,FCEV,iav,46,0.0054415783954751,119,0.0009503995930387,0.0044911788024364,30
liq_canopy_storage_scalar,global,FCEV_IAV_global,FCEV,iav,13,0.0256884373329002,13,0.0214752890772652,0.004213148255634999,31
ck,global,FCEV_IAV_global,FCEV,iav,54,0.004286607447251,173,0.0001320037139334,0.0041546037333176,32
lmrse,global,FCEV_IAV_global,FCEV,iav,32,0.0091063207478852,40,0.0049905654478572,0.004115755300027999,33
leaf_long,global,FCEV_IAV_global,FCEV,iav,14,0.0254016269878777,9,0.0294947272940043,0.004093100306126599,34
zlnd,global,FCEV_IAV_global,FCEV,iav,173,0.0001265582658426,47,0.0041174586418322,0.0039909003759896,35
