param_name,biome,criteria,variable,measure,ssp_rank,ssp_range,pi_rank,pi_range,diff_range,diff_rank
csol_sand,Boreal forest,FCEV_iav_Boreal forest,FCEV,iav,1,0.5092176175201975,146,0.000274022127282,0.5089435953929154,1
cv,Boreal forest,FCEV_iav_Boreal forest,FCEV,iav,2,0.3040341349595904,3,0.0507900465173236,0.2532440884422668,2
nstem,Boreal forest,FCEV_iav_Boreal forest,FCEV,iav,5,0.2017631219851567,124,0.0005707497304901,0.2011923722546666,3
z0mr,Boreal forest,FCEV_iav_Boreal forest,FCEV,iav,8,0.1905753280970386,58,0.0049395469670781,0.1856357811299605,4
jmaxb0,Boreal forest,FCEV_iav_Boreal forest,FCEV,iav,4,0.2218499173134997,5,0.0453318949754493,0.17651802233805042,5
lmrha,Boreal forest,FCEV_iav_Boreal forest,FCEV,iav,7,0.1940300745415294,8,0.0324150282399503,0.1616150463015791,6
jmaxb1,Boreal forest,FCEV_iav_Boreal forest,FCEV,iav,6,0.1960083881404632,7,0.0410863145264978,0.1549220736139654,7
leafcn,Boreal forest,FCEV_iav_Boreal forest,FCEV,iav,10,0.1665680273255066,9,0.0321250220868277,0.13444300523867891,8
tpu25ratio,Boreal forest,FCEV_iav_Boreal forest,FCEV,iav,9,0.1750445082100613,6,0.043829753472089,0.13121475473797228,9
medlynintercept,Boreal forest,FCEV_iav_Boreal forest,FCEV,iav,12,0.146274664673532,23,0.01512344999037,0.13115121468316202,10
kmax,Boreal forest,FCEV_iav_Boreal forest,FCEV,iav,13,0.1377209995272495,32,0.0111891306949132,0.1265318688323363,11
wc2wjb0,Boreal forest,FCEV_iav_Boreal forest,FCEV,iav,11,0.1559354683700651,10,0.0315647530247169,0.12437071534534822,12
slatop,Boreal forest,FCEV_iav_Boreal forest,FCEV,iav,14,0.1229988905549185,36,0.0096705232313411,0.1133283673235774,13
leaf_long,Boreal forest,FCEV_iav_Boreal forest,FCEV,iav,18,0.1118367568666949,42,0.0081963795058175,0.1036403773608774,14
theta_cj,Boreal forest,FCEV_iav_Boreal forest,FCEV,iav,16,0.115034593890525,16,0.0215394242329584,0.0934951696575666,15
FUN_fracfixers,Boreal forest,FCEV_iav_Boreal forest,FCEV,iav,15,0.1158539839061185,13,0.0250874387332844,0.0907665451728341,16
tpuha,Boreal forest,FCEV_iav_Boreal forest,FCEV,iav,17,0.1134378850763612,12,0.0252850531661506,0.0881528319102106,17
q10_mr,Boreal forest,FCEV_iav_Boreal forest,FCEV,iav,20,0.0959101985777981,24,0.0151196930414521,0.08079050553634601,18
froot_leaf,Boreal forest,FCEV_iav_Boreal forest,FCEV,iav,21,0.0940558945678665,21,0.0158576008452921,0.0781982937225744,19
lmrhd,Boreal forest,FCEV_iav_Boreal forest,FCEV,iav,22,0.0940315011764278,18,0.0169996984730805,0.07703180270334731,20
grperc,Boreal forest,FCEV_iav_Boreal forest,FCEV,iav,24,0.0776839478087157,35,0.0098766957174981,0.0678072520912176,21
jmaxha,Boreal forest,FCEV_iav_Boreal forest,FCEV,iav,23,0.0876742948864675,14,0.0228115640431734,0.0648627308432941,22
lmrse,Boreal forest,FCEV_iav_Boreal forest,FCEV,iav,29,0.060242880659175,47,0.0076988839119763,0.0525439967471987,23
krmax,Boreal forest,FCEV_iav_Boreal forest,FCEV,iav,32,0.0537073935510135,96,0.0015876065820507,0.0521197869689628,24
liq_canopy_storage_scalar,Boreal forest,FCEV_iav_Boreal forest,FCEV,iav,3,0.2409255512417204,1,0.2915413907133181,0.05061583947159767,25
lmr_intercept_atkin,Boreal forest,FCEV_iav_Boreal forest,FCEV,iav,28,0.0619851051507965,30,0.0118044929584875,0.050180612192309,26
tpuse_sf,Boreal forest,FCEV_iav_Boreal forest,FCEV,iav,26,0.0652379566292621,20,0.015902936918319,0.049335019710943104,27
vcmaxha,Boreal forest,FCEV_iav_Boreal forest,FCEV,iav,25,0.0692178223856618,17,0.020306199097651,0.04891162328801081,28
tpuhd,Boreal forest,FCEV_iav_Boreal forest,FCEV,iav,27,0.0633686701007087,22,0.0157395103918077,0.047629159708901,29
frootcn,Boreal forest,FCEV_iav_Boreal forest,FCEV,iav,31,0.0544010253676245,44,0.0081315148277179,0.0462695105399066,30
prh30,Boreal forest,FCEV_iav_Boreal forest,FCEV,iav,35,0.0456225086902851,105,0.0010854708742581,0.044537037816027,31
stem_leaf,Boreal forest,FCEV_iav_Boreal forest,FCEV,iav,34,0.048092744780417,51,0.0062491804267984,0.0418435643536186,32
upplim_destruct_metamorph,Boreal forest,FCEV_iav_Boreal forest,FCEV,iav,30,0.0563958305407983,19,0.0166904025059227,0.0397054280348756,33
br_root,Boreal forest,FCEV_iav_Boreal forest,FCEV,iav,36,0.0429578602788992,61,0.0043383912310358,0.038619469047863404,34
r_mort,Boreal forest,FCEV_iav_Boreal forest,FCEV,iav,43,0.0385695503618106,63,0.0042055821515395,0.0343639682102711,35
fnps,Boreal forest,FCEV_iav_Boreal forest,FCEV,iav,41,0.0399579109877423,39,0.0091058951003866,0.0308520158873557,36
jmaxhd,Boreal forest,FCEV_iav_Boreal forest,FCEV,iav,37,0.0421758924652371,27,0.0126770255571472,0.0294988669080899,37
