param_name,biome,criteria,variable,measure,ssp_rank,ssp_range,pi_rank,pi_range,diff_range,diff_rank
medlynintercept,global,FCEV_IAV_global,FCEV,iav,4,0.1159699285989983,5,0.0565369849749014,0.059432943624096894,1
liq_canopy_storage_scalar,global,FCEV_IAV_global,FCEV,iav,7,0.048766991264974,24,0.0110610392716749,0.0377059519932991,2
fff,global,FCEV_IAV_global,FCEV,iav,9,0.0375278374720511,80,0.0020472062137699,0.0354806312582812,3
interception_fraction,global,FCEV_IAV_global,FCEV,iav,6,0.0595548050617045,9,0.0269494694561195,0.032605335605585,4
FUN_fracfixers,global,FCEV_IAV_global,FCEV,iav,11,0.0327138461714812,32,0.0073233298460607,0.0253905163254205,5
tpuse_sf,global,FCEV_IAV_global,FCEV,iav,15,0.0255235117263761,73,0.0022226224037505,0.0233008893226256,6
maximum_leaf_wetted_fraction,global,FCEV_IAV_global,FCEV,iav,1,0.3707473718069346,1,0.3488568467579501,0.021890525048984533,7
tpu25ratio,global,FCEV_IAV_global,FCEV,iav,13,0.0261339510254926,39,0.0062506995994658,0.0198832514260268,8
krmax,global,FCEV_IAV_global,FCEV,iav,112,0.0012007196525692,15,0.0173479921441421,0.0161472724915729,9
medlynslope,global,FCEV_IAV_global,FCEV,iav,5,0.0657255293049072,4,0.0807199093614722,0.014994380056565004,10
sand_pf,global,FCEV_IAV_global,FCEV,iav,18,0.022944386166585,30,0.0080377989242702,0.014906587242314799,11
z0mr,global,FCEV_IAV_global,FCEV,iav,16,0.0247353229636422,23,0.011351665488225,0.0133836574754172,12
taulnir,global,FCEV_IAV_global,FCEV,iav,25,0.0172685206973192,56,0.0040831475988547,0.0131853730984645,13
leaf_long,global,FCEV_IAV_global,FCEV,iav,8,0.0431688904295798,7,0.0303619114479205,0.012806978981659296,14
stem_leaf,global,FCEV_IAV_global,FCEV,iav,26,0.0168826915566106,52,0.0042061193301,0.012676572226510599,15
leafcn,global,FCEV_IAV_global,FCEV,iav,24,0.0174405567685784,45,0.0056119475455833,0.011828609222995102,16
froot_leaf,global,FCEV_IAV_global,FCEV,iav,12,0.0269491956988628,16,0.0151527952958332,0.0117964004030296,17
cv,global,FCEV_IAV_global,FCEV,iav,3,0.1385290041065339,3,0.1277993994664111,0.010729604640122792,18
lmr_intercept_atkin,global,FCEV_IAV_global,FCEV,iav,20,0.0216241007794906,6,0.0318161776765839,0.0101920768970933,19
jmaxse_sf,global,FCEV_IAV_global,FCEV,iav,38,0.0101678149581668,170,0.0002332318914445,0.0099345830667223,20
frootcn,global,FCEV_IAV_global,FCEV,iav,27,0.016008424682827,40,0.0061862406715709,0.0098221840112561,21
KCN,global,FCEV_IAV_global,FCEV,iav,58,0.0045257511133027,19,0.0138937411417066,0.0093679900284039,22
kn_nonmyc,global,FCEV_IAV_global,FCEV,iav,152,0.0004161069772746,27,0.0096862370855652,0.0092701301082906,23
kcha,global,FCEV_IAV_global,FCEV,iav,36,0.0107402161899412,92,0.0016174896468953,0.009122726543045901,24
rstem,global,FCEV_IAV_global,FCEV,iav,31,0.0121740487805862,60,0.0033859956406674,0.0087880531399188,25
vcmaxhd,global,FCEV_IAV_global,FCEV,iav,32,0.0118435052026265,64,0.0033208699964544,0.008522635206172099,26
kmax,global,FCEV_IAV_global,FCEV,iav,10,0.0340074437677178,10,0.0259856855597831,0.008021758207934698,27
lmrhd,global,FCEV_IAV_global,FCEV,iav,51,0.0059598032525869,20,0.0137742850623588,0.0078144818097719,28
frac_sat_soil_dsl_init,global,FCEV_IAV_global,FCEV,iav,21,0.019806971801035,8,0.0271319012450722,0.0073249294440372,29
minpsi_hr,global,FCEV_IAV_global,FCEV,iav,42,0.0075283699611283,164,0.0002922697024086,0.007236100258719701,30
maxpsi_hr,global,FCEV_IAV_global,FCEV,iav,39,0.0099397236911224,68,0.0028677605917407,0.0070719630993817,31
jmaxhd,global,FCEV_IAV_global,FCEV,iav,30,0.0126527285805864,44,0.0056357736526657,0.0070169549279207,32
