param_name,biome,criteria,variable,measure,ssp_rank,ssp_range,pi_rank,pi_range,diff_range,diff_rank
liq_canopy_storage_scalar,Boreal forest,FCEV_iav_Boreal forest,FCEV,iav,1,0.3184024241779964,1,0.2691653650453308,0.04923705913266563,1
jmaxb1,Boreal forest,FCEV_iav_Boreal forest,FCEV,iav,12,0.0214829112271716,6,0.0490841354059369,0.027601224178765302,2
jmaxb0,Boreal forest,FCEV_iav_Boreal forest,FCEV,iav,9,0.0243788961716222,3,0.0516355994180083,0.0272567032463861,3
vcmaxha,Boreal forest,FCEV_iav_Boreal forest,FCEV,iav,61,0.0045044186777171,11,0.0288084505187352,0.0243040318410181,4
wc2wjb0,Boreal forest,FCEV_iav_Boreal forest,FCEV,iav,16,0.0180536000717652,9,0.0390995185007269,0.021045918428961696,5
leafcn,Boreal forest,FCEV_iav_Boreal forest,FCEV,iav,17,0.0179374565794904,10,0.036820374136206,0.0188829175567156,6
kcha,Boreal forest,FCEV_iav_Boreal forest,FCEV,iav,92,0.0029742624096001,16,0.0213811596069381,0.018406897197338002,7
zsno,Boreal forest,FCEV_iav_Boreal forest,FCEV,iav,15,0.0194263887797164,70,0.0039317133590523,0.015494675420664098,8
theta_cj,Boreal forest,FCEV_iav_Boreal forest,FCEV,iav,44,0.007345459530694,15,0.02252376098665,0.015178301455956,9
jmaxha,Boreal forest,FCEV_iav_Boreal forest,FCEV,iav,31,0.0100526099846116,12,0.025110816536162,0.015058206551550402,10
lmrha,Boreal forest,FCEV_iav_Boreal forest,FCEV,iav,7,0.0268413548928533,8,0.0415489234740889,0.014707568581235602,11
fff,Boreal forest,FCEV_iav_Boreal forest,FCEV,iav,19,0.0170184377745236,56,0.004930431606652,0.012088006167871599,12
d_max,Boreal forest,FCEV_iav_Boreal forest,FCEV,iav,13,0.0205479037142854,34,0.0088383089049177,0.011709594809367702,13
medlynslope,Boreal forest,FCEV_iav_Boreal forest,FCEV,iav,52,0.0056681073721768,20,0.0168537527052417,0.011185645333064901,14
kn_nonmyc,Boreal forest,FCEV_iav_Boreal forest,FCEV,iav,21,0.0158668686364768,59,0.0047078423808987,0.011159026255578101,15
tpuse_sf,Boreal forest,FCEV_iav_Boreal forest,FCEV,iav,14,0.0197400788432507,32,0.0092319662080687,0.010508112635181999,16
