param_name,biome,criteria,variable,measure,ssp_rank,ssp_range,pi_rank,pi_range,diff_range,diff_rank
medlynintercept,global,FCEV_IAV_global,FCEV,iav,4,0.1159699285989983,5,0.0714856737538763,0.044484254845122,1
medlynslope,global,FCEV_IAV_global,FCEV,iav,5,0.0657255293049072,4,0.0967002315936988,0.030974702288791595,2
liq_canopy_storage_scalar,global,FCEV_IAV_global,FCEV,iav,7,0.048766991264974,13,0.0214752890772652,0.027291702187708797,3
fff,global,FCEV_IAV_global,FCEV,iav,9,0.0375278374720511,23,0.0104603565956431,0.027067480876408,4
interception_fraction,global,FCEV_IAV_global,FCEV,iav,6,0.0595548050617045,7,0.0354482073846877,0.024106597677016797,5
tpuse_sf,global,FCEV_IAV_global,FCEV,iav,15,0.0255235117263761,67,0.0026962581398624,0.0228272535865137,6
maximum_leaf_wetted_fraction,global,FCEV_IAV_global,FCEV,iav,1,0.3707473718069346,1,0.3500729603102179,0.020674411496716727,7
tpu25ratio,global,FCEV_IAV_global,FCEV,iav,13,0.0261339510254926,35,0.0058222415909227,0.020311709434569898,8
sand_pf,global,FCEV_IAV_global,FCEV,iav,18,0.022944386166585,48,0.0040260676681864,0.0189183184983986,9
leafcn,global,FCEV_IAV_global,FCEV,iav,24,0.0174405567685784,134,0.0006954835653645,0.016745073203213903,10
jmaxb0,global,FCEV_IAV_global,FCEV,iav,19,0.0222070989339317,29,0.00703177083934,0.015175328094591701,11
leaf_long,global,FCEV_IAV_global,FCEV,iav,8,0.0431688904295798,9,0.0294947272940043,0.013674163135575498,12
frac_sat_soil_dsl_init,global,FCEV_IAV_global,FCEV,iav,21,0.019806971801035,8,0.0317037431029618,0.0118967713019268,13
jmaxhd,global,FCEV_IAV_global,FCEV,iav,30,0.0126527285805864,130,0.0007684793660994,0.011884249214487,14
krmax,global,FCEV_IAV_global,FCEV,iav,112,0.0012007196525692,20,0.0128241072351415,0.0116233875825723,15
vcmaxhd,global,FCEV_IAV_global,FCEV,iav,32,0.0118435052026265,124,0.0008224230156121,0.0110210821870144,16
z0mr,global,FCEV_IAV_global,FCEV,iav,16,0.0247353229636422,18,0.0146787832415226,0.010056539722119602,17
q10_mr,global,FCEV_IAV_global,FCEV,iav,17,0.0236633068048982,19,0.0137489229169413,0.0099143838879569,18
maxpsi_hr,global,FCEV_IAV_global,FCEV,iav,39,0.0099397236911224,181,9.5989168458821e-05,0.009843734522663579,19
FUN_fracfixers,global,FCEV_IAV_global,FCEV,iav,11,0.0327138461714812,11,0.0233821345217577,0.009331711649723504,20
kcha,global,FCEV_IAV_global,FCEV,iav,36,0.0107402161899412,83,0.0020631651345063,0.008677051055434901,21
cv,global,FCEV_IAV_global,FCEV,iav,3,0.1385290041065339,3,0.1302773346947809,0.00825166941175301,22
frootcn,global,FCEV_IAV_global,FCEV,iav,27,0.016008424682827,27,0.0077832316324137,0.0082251930504133,23
jmaxse_sf,global,FCEV_IAV_global,FCEV,iav,38,0.0101678149581668,74,0.0024229752603694,0.0077448396977974,24
theta_cj,global,FCEV_IAV_global,FCEV,iav,29,0.0133448777116262,34,0.0059648712054363,0.0073800065061899005,25
zbedrock_sf,global,FCEV_IAV_global,FCEV,iav,41,0.008684021429831,99,0.0013978229907743,0.0072861984390567005,26
vcmaxha,global,FCEV_IAV_global,FCEV,iav,46,0.0066609301957061,157,0.0003604403167528,0.0063004898789533,27
taulnir,global,FCEV_IAV_global,FCEV,iav,25,0.0172685206973192,22,0.0112043186876105,0.006064202009708702,28
theta_ip,global,FCEV_IAV_global,FCEV,iav,48,0.0061990049987472,163,0.0002104720089893,0.005988532989757899,29
psi50,global,FCEV_IAV_global,FCEV,iav,35,0.0107458386356583,16,0.0166887714153237,0.005942932779665401,30
jmaxb1,global,FCEV_IAV_global,FCEV,iav,34,0.0112082352541344,37,0.0054267845245508,0.0057814507295836,31
