param_name,biome,criteria,variable,measure,ssp_rank,ssp_range,pi_rank,pi_range,diff_range,diff_rank
liq_canopy_storage_scalar,Boreal forest,FCEV_iav_Boreal forest,FCEV,iav,1,0.3184024241779964,1,0.2915413907133181,0.02686103346467833,1
jmaxb0,Boreal forest,FCEV_iav_Boreal forest,FCEV,iav,9,0.0243788961716222,5,0.0453318949754493,0.020952998803827103,2
jmaxb1,Boreal forest,FCEV_iav_Boreal forest,FCEV,iav,12,0.0214829112271716,7,0.0410863145264978,0.0196034032993262,3
medlynslope,Boreal forest,FCEV_iav_Boreal forest,FCEV,iav,52,0.0056681073721768,15,0.0225105816415296,0.0168424742693528,4
vcmaxha,Boreal forest,FCEV_iav_Boreal forest,FCEV,iav,61,0.0045044186777171,17,0.020306199097651,0.015801780419933898,5
theta_cj,Boreal forest,FCEV_iav_Boreal forest,FCEV,iav,44,0.007345459530694,16,0.0215394242329584,0.0141939647022644,6
leafcn,Boreal forest,FCEV_iav_Boreal forest,FCEV,iav,17,0.0179374565794904,9,0.0321250220868277,0.0141875655073373,7
d_max,Boreal forest,FCEV_iav_Boreal forest,FCEV,iav,13,0.0205479037142854,50,0.0065607430318407,0.0139871606824447,8
slatop,Boreal forest,FCEV_iav_Boreal forest,FCEV,iav,10,0.0236040374750405,36,0.0096705232313411,0.013933514243699402,9
wc2wjb0,Boreal forest,FCEV_iav_Boreal forest,FCEV,iav,16,0.0180536000717652,10,0.0315647530247169,0.013511152952951702,10
jmaxha,Boreal forest,FCEV_iav_Boreal forest,FCEV,iav,31,0.0100526099846116,14,0.0228115640431734,0.012758954058561799,11
kn_nonmyc,Boreal forest,FCEV_iav_Boreal forest,FCEV,iav,21,0.0158668686364768,54,0.0058346584290554,0.010032210207421401,12
nstem,Boreal forest,FCEV_iav_Boreal forest,FCEV,iav,33,0.0096638523407242,124,0.0005707497304901,0.0090931026102341,13
fnps,Boreal forest,FCEV_iav_Boreal forest,FCEV,iav,150,0.0004027918958878,39,0.0091058951003866,0.0087031032044988,14
kcha,Boreal forest,FCEV_iav_Boreal forest,FCEV,iav,92,0.0029742624096001,31,0.0116479910560307,0.0086737286464306,15
cp25_yr2000,Boreal forest,FCEV_iav_Boreal forest,FCEV,iav,108,0.0021907353769964,33,0.0106270752730322,0.0084363398960358,16
KCN,Boreal forest,FCEV_iav_Boreal forest,FCEV,iav,29,0.0104891762342323,72,0.0029743492305811,0.007514827003651199,17
zsno,Boreal forest,FCEV_iav_Boreal forest,FCEV,iav,15,0.0194263887797164,29,0.0119513174034661,0.007475071376250298,18
psi50,Boreal forest,FCEV_iav_Boreal forest,FCEV,iav,34,0.009417079524037,82,0.0022949966243135,0.0071220828997235,19
lmrhd,Boreal forest,FCEV_iav_Boreal forest,FCEV,iav,30,0.0102200626572883,18,0.0169996984730805,0.0067796358157921986,20
leaf_long,Boreal forest,FCEV_iav_Boreal forest,FCEV,iav,23,0.0146591408831707,42,0.0081963795058175,0.006462761377353202,21
vcmaxhd,Boreal forest,FCEV_iav_Boreal forest,FCEV,iav,145,0.0005066652379314,48,0.0069195376235116,0.0064128723855802,22
interception_fraction,Boreal forest,FCEV_iav_Boreal forest,FCEV,iav,6,0.0321485855741429,11,0.025968476736723,0.006180108837419901,23
cpha,Boreal forest,FCEV_iav_Boreal forest,FCEV,iav,96,0.0027933068656276,41,0.0087062621005555,0.005912955234927901,24
maxpsi_hr,Boreal forest,FCEV_iav_Boreal forest,FCEV,iav,42,0.0076291533736615,93,0.0018178537819748,0.0058112995916867,25
lmrha,Boreal forest,FCEV_iav_Boreal forest,FCEV,iav,7,0.0268413548928533,8,0.0324150282399503,0.005573673347097002,26
rho_max,Boreal forest,FCEV_iav_Boreal forest,FCEV,iav,49,0.0065101244855688,108,0.0009631318094658,0.0055469926761030006,27
krmax,Boreal forest,FCEV_iav_Boreal forest,FCEV,iav,46,0.0070641646531481,96,0.0015876065820507,0.0054765580710974,28
theta_psii,Boreal forest,FCEV_iav_Boreal forest,FCEV,iav,43,0.0074700652704254,26,0.0129390638270097,0.0054689985565843,29
upplim_destruct_metamorph,Boreal forest,FCEV_iav_Boreal forest,FCEV,iav,27,0.011522914058051,19,0.0166904025059227,0.005167488447871699,30
aq_sp_yield_min,Boreal forest,FCEV_iav_Boreal forest,FCEV,iav,55,0.005146777897079,191,1.551949263517427e-06,0.005145225947815482,31
jmaxhd,Boreal forest,FCEV_iav_Boreal forest,FCEV,iav,41,0.0076482028984615,27,0.0126770255571472,0.005028822658685699,32
e_ice,Boreal forest,FCEV_iav_Boreal forest,FCEV,iav,89,0.0030660965680097,45,0.0080369352276491,0.0049708386596393995,33
wind_snowcompact_fact,Boreal forest,FCEV_iav_Boreal forest,FCEV,iav,39,0.0079181534854897,71,0.0030371815725793,0.0048809719129104,34
zbedrock_sf,Boreal forest,FCEV_iav_Boreal forest,FCEV,iav,48,0.0068327798187568,89,0.0021018405964234,0.0047309392223334,35
pc,Boreal forest,FCEV_iav_Boreal forest,FCEV,iav,125,0.001333036310034,53,0.0059161050173893,0.0045830687073553,36
slopemax,Boreal forest,FCEV_iav_Boreal forest,FCEV,iav,136,0.0008073451235255,55,0.0051827657772237,0.0043754206536982,37
rf_l1s1_bgc,Boreal forest,FCEV_iav_Boreal forest,FCEV,iav,56,0.0051365730213823,116,0.0007657403334456,0.0043708326879367,38
tau_cwd,Boreal forest,FCEV_iav_Boreal forest,FCEV,iav,64,0.0043977525631435,177,6.30849707121961e-05,0.004334667592431304,39
vcmaxse_sf,Boreal forest,FCEV_iav_Boreal forest,FCEV,iav,82,0.0034045932913781,46,0.0077292177538091,0.004324624462431001,40
ndays_on,Boreal forest,FCEV_iav_Boreal forest,FCEV,iav,62,0.0044869560138773,159,0.0001811585162806,0.0043057974975967,41
k_nitr_max_perday,Boreal forest,FCEV_iav_Boreal forest,FCEV,iav,53,0.0053341905236949,37,0.0093852677640769,0.004051077240382,42
fbw,Boreal forest,FCEV_iav_Boreal forest,FCEV,iav,93,0.0029284242874631,49,0.0068796348293365,0.0039512105418734,43
tpuse_sf,Boreal forest,FCEV_iav_Boreal forest,FCEV,iav,14,0.0197400788432507,20,0.015902936918319,0.0038371419249316994,44
csol_sand,Boreal forest,FCEV_iav_Boreal forest,FCEV,iav,69,0.0040625858609122,146,0.000274022127282,0.0037885637336301996,45
xdrdt,Boreal forest,FCEV_iav_Boreal forest,FCEV,iav,107,0.002287803111154,52,0.0059959772077533,0.0037081740965993,46
