param_name,biome,criteria,variable,measure,ssp_rank,ssp_range,pi_rank,pi_range,diff_range,diff_rank
csol_sand,global,FCTR_IAV_global,FCTR,iav,1,0.311133817108917,145,0.0017991427038967,0.3093346744050203,1
jmaxb1,global,FCTR_IAV_global,FCTR,iav,5,0.0981421321450581,143,0.0018626294182711,0.096279502726787,2
krmax,global,FCTR_IAV_global,FCTR,iav,17,0.0429374911514868,2,0.1299411638850516,0.08700367273356482,3
medlynslope,global,FCTR_IAV_global,FCTR,iav,2,0.1356278266046431,7,0.0620338925083396,0.07359393409630349,4
FUN_fracfixers,global,FCTR_IAV_global,FCTR,iav,23,0.0377291399207249,4,0.090365618654037,0.0526364787333121,5
theta_cj,global,FCTR_IAV_global,FCTR,iav,9,0.0635644738249766,66,0.011141845110755,0.0524226287142216,6
clay_pf,global,FCTR_IAV_global,FCTR,iav,151,0.0016588936731728,18,0.0439978114569364,0.042338917783763606,7
jmaxhd,global,FCTR_IAV_global,FCTR,iav,18,0.0423119585066794,130,0.0025333076150104,0.039778650891668994,8
maximum_leaf_wetted_fraction,global,FCTR_IAV_global,FCTR,iav,74,0.0091862714314902,15,0.0486757939021714,0.0394895224706812,9
cpha,global,FCTR_IAV_global,FCTR,iav,8,0.0671687679134855,28,0.0277774756315491,0.0393912922819364,10
tpu25ratio,global,FCTR_IAV_global,FCTR,iav,24,0.0375083164661597,135,0.002252803907809,0.0352555125583507,11
vcmaxha,global,FCTR_IAV_global,FCTR,iav,36,0.0266075593622078,8,0.0603120421110871,0.0337044827488793,12
ufuel,global,FCTR_IAV_global,FCTR,iav,121,0.0035150795932247,26,0.0317802517613638,0.0282651721681391,13
dleaf,global,FCTR_IAV_global,FCTR,iav,46,0.0175164376879737,16,0.0448076431886174,0.0272912055006437,14
lmrse,global,FCTR_IAV_global,FCTR,iav,10,0.0631146557794061,21,0.0374540294602598,0.0256606263191463,15
jmaxb0,global,FCTR_IAV_global,FCTR,iav,6,0.0806140583638352,10,0.0554653629082096,0.0251486954556256,16
stem_leaf,global,FCTR_IAV_global,FCTR,iav,131,0.0026740865632514,31,0.0271359318049955,0.0244618452417441,17
