param_name,biome,criteria,variable,measure,ssp_rank,ssp_range,pi_rank,pi_range,diff_range,diff_rank
csol_sand,Boreal forest,FCTR_iav_Boreal forest,FCTR,iav,1,0.4172660544228824,26,0.0334078329908771,0.3838582214320053,1
kmax,Boreal forest,FCTR_iav_Boreal forest,FCTR,iav,5,0.1546635129633713,2,0.2493369522279616,0.09467343926459029,2
upplim_destruct_metamorph,Boreal forest,FCTR_iav_Boreal forest,FCTR,iav,109,0.0045505096772376,9,0.0842752632899408,0.0797247536127032,3
krmax,Boreal forest,FCTR_iav_Boreal forest,FCTR,iav,29,0.0490935546387198,4,0.1213508209008883,0.07225726626216851,4
FUN_fracfixers,Boreal forest,FCTR_iav_Boreal forest,FCTR,iav,8,0.0961611512566886,27,0.0328486900396497,0.0633124612170389,5
lmr_intercept_atkin,Boreal forest,FCTR_iav_Boreal forest,FCTR,iav,10,0.0853351626672515,31,0.0260750993355548,0.0592600633316967,6
tpuha,Boreal forest,FCTR_iav_Boreal forest,FCTR,iav,18,0.0639311096748372,91,0.0057735642165771,0.0581575454582601,7
maximum_leaf_wetted_fraction,Boreal forest,FCTR_iav_Boreal forest,FCTR,iav,16,0.0688951905270348,54,0.0118649517974041,0.0570302387296307,8
jmaxb0,Boreal forest,FCTR_iav_Boreal forest,FCTR,iav,4,0.1660884375062237,5,0.1100938015181592,0.055994635988064506,9
medlynintercept,Boreal forest,FCTR_iav_Boreal forest,FCTR,iav,2,0.2957356089179523,3,0.2411915531790535,0.05454405573889881,10
frootcn,Boreal forest,FCTR_iav_Boreal forest,FCTR,iav,19,0.062822238499356,64,0.0097865253050406,0.0530357131943154,11
snowcan_unload_wind_fact,Boreal forest,FCTR_iav_Boreal forest,FCTR,iav,24,0.0553603752616175,123,0.0023930798472003,0.0529672954144172,12
theta_psii,Boreal forest,FCTR_iav_Boreal forest,FCTR,iav,14,0.0720823941713818,38,0.0196317333623909,0.052450660808990905,13
theta_ip,Boreal forest,FCTR_iav_Boreal forest,FCTR,iav,27,0.0503248908698894,133,0.0015845804175399,0.0487403104523495,14
nstem,Boreal forest,FCTR_iav_Boreal forest,FCTR,iav,20,0.0584497806174607,59,0.0104539817227092,0.0479957988947515,15
zsno,Boreal forest,FCTR_iav_Boreal forest,FCTR,iav,42,0.0367193675581445,11,0.0827140540027503,0.045994686444605797,16
xl,Boreal forest,FCTR_iav_Boreal forest,FCTR,iav,146,0.0020738957343093,17,0.0477243847595119,0.0456504890252026,17
jmaxhd,Boreal forest,FCTR_iav_Boreal forest,FCTR,iav,28,0.0493574949969792,84,0.0068588623425799,0.0424986326543993,18
cv,Boreal forest,FCTR_iav_Boreal forest,FCTR,iav,23,0.0561479661465205,48,0.0140904841069833,0.0420574820395372,19
csoilc,Boreal forest,FCTR_iav_Boreal forest,FCTR,iav,31,0.045547580002271,102,0.0043775932265747,0.0411699867756963,20
cpha,Boreal forest,FCTR_iav_Boreal forest,FCTR,iav,26,0.0507021967088506,63,0.0100317764965685,0.0406704202122821,21
vcmaxha,Boreal forest,FCTR_iav_Boreal forest,FCTR,iav,34,0.0435935976349256,115,0.0030129082485211,0.0405806893864045,22
br_root,Boreal forest,FCTR_iav_Boreal forest,FCTR,iav,33,0.0438354250307204,103,0.0042497188981401,0.039585706132580306,23
d_max,Boreal forest,FCTR_iav_Boreal forest,FCTR,iav,11,0.0830769985452612,18,0.0445530030952963,0.0385239954499649,24
r_mort,Boreal forest,FCTR_iav_Boreal forest,FCTR,iav,37,0.0402134642127765,104,0.0042011909666594,0.0360122732461171,25
baseflow_scalar,Boreal forest,FCTR_iav_Boreal forest,FCTR,iav,43,0.0365731622057476,161,0.0005743760449045,0.0359987861608431,26
wc2wjb0,Boreal forest,FCTR_iav_Boreal forest,FCTR,iav,6,0.1306344952650184,8,0.0962341140786532,0.03440038118636521,27
fnps,Boreal forest,FCTR_iav_Boreal forest,FCTR,iav,17,0.0678646464879519,25,0.0335497273681499,0.034314919119802,28
fbw,Boreal forest,FCTR_iav_Boreal forest,FCTR,iav,40,0.0379893970747325,78,0.0072610252483527,0.0307283718263798,29
jmaxb1,Boreal forest,FCTR_iav_Boreal forest,FCTR,iav,15,0.0706702552602459,7,0.1009676374814683,0.0302973822212224,30
om_frac_sf,Boreal forest,FCTR_iav_Boreal forest,FCTR,iav,22,0.0568436237892276,29,0.0266603628473502,0.030183260941877402,31
medlynslope,Boreal forest,FCTR_iav_Boreal forest,FCTR,iav,3,0.2261941520582295,1,0.256246617879998,0.030052465821768487,32
