param_name,biome,criteria,variable,measure,ssp_rank,ssp_range,pi_rank,pi_range,diff_range,diff_rank
csol_sand,global,FCTR_IAV_global,FCTR,iav,1,0.311133817108917,119,0.0042251123744477,0.3069087047344693,1
vcmaxhd,global,FCTR_IAV_global,FCTR,iav,20,0.0391958883101117,5,0.0933378359935141,0.0541419476834024,2
krmax,global,FCTR_IAV_global,FCTR,iav,17,0.0429374911514868,6,0.0916847199163099,0.048747228764823104,3
maxpsi_hr,global,FCTR_IAV_global,FCTR,iav,145,0.0022049270938188,22,0.0472541965676153,0.0450492694737965,4
kmax,global,FCTR_IAV_global,FCTR,iav,14,0.0508273562919616,7,0.0915182677591551,0.0406909114671935,5
leafcn,global,FCTR_IAV_global,FCTR,iav,11,0.059426118537196,4,0.0960699925987447,0.0366438740615487,6
vcmaxse_sf,global,FCTR_IAV_global,FCTR,iav,25,0.0373093363697409,9,0.0738028756931933,0.036493539323452395,7
vcmaxha,global,FCTR_IAV_global,FCTR,iav,36,0.0266075593622078,12,0.0620132602847518,0.035405700922544,8
lmrse,global,FCTR_IAV_global,FCTR,iav,10,0.0631146557794061,32,0.0280780208117993,0.0350366349676068,9
cpha,global,FCTR_IAV_global,FCTR,iav,8,0.0671687679134855,31,0.0329741949692229,0.0341945729442626,10
maximum_leaf_wetted_fraction,global,FCTR_IAV_global,FCTR,iav,74,0.0091862714314902,23,0.0418560180063426,0.0326697465748524,11
cp25_yr2000,global,FCTR_IAV_global,FCTR,iav,29,0.0349338319733953,139,0.0026825534573043,0.032251278516091,12
zbedrock_sf,global,FCTR_IAV_global,FCTR,iav,26,0.0360124770220748,118,0.0044577728092101,0.0315547042128647,13
d_max,global,FCTR_IAV_global,FCTR,iav,16,0.044365323620406,59,0.0129756463917843,0.0313896772286217,14
kcha,global,FCTR_IAV_global,FCTR,iav,28,0.0350697998470124,10,0.0650190273247436,0.029949227477731197,15
tpu25ratio,global,FCTR_IAV_global,FCTR,iav,24,0.0375083164661597,68,0.0107030936206903,0.0268052228454694,16
KCN,global,FCTR_IAV_global,FCTR,iav,27,0.0350733843505852,73,0.0088633491154496,0.026210035235135598,17
zsno,global,FCTR_IAV_global,FCTR,iav,77,0.008677729895249,29,0.0334913139884469,0.0248135840931979,18
kc_nonmyc,global,FCTR_IAV_global,FCTR,iav,163,0.0007901247151081,34,0.0240452631770725,0.0232551384619644,19
sand_pf,global,FCTR_IAV_global,FCTR,iav,32,0.0329543506518633,16,0.056048028058405,0.023093677406541703,20
medlynintercept,global,FCTR_IAV_global,FCTR,iav,3,0.130198784881777,3,0.1076764199332224,0.0225223649485546,21
decomp_depth_efolding,global,FCTR_IAV_global,FCTR,iav,52,0.0152569848877666,25,0.0377745886539505,0.022517603766183905,22
jmaxb1,global,FCTR_IAV_global,FCTR,iav,5,0.0981421321450581,8,0.0757706591971608,0.022371472947897292,23
leaf_long,global,FCTR_IAV_global,FCTR,iav,31,0.0335821891655642,17,0.0558331735382626,0.0222509843726984,24
tau_l2_l3,global,FCTR_IAV_global,FCTR,iav,21,0.03877368603243,46,0.0179961650928754,0.020777520939554598,25
jmaxb0,global,FCTR_IAV_global,FCTR,iav,6,0.0806140583638352,13,0.060855287062959,0.0197587713008762,26
cv,global,FCTR_IAV_global,FCTR,iav,53,0.0142553641404168,30,0.0334852606022254,0.019229896461808598,27
fd_pft,global,FCTR_IAV_global,FCTR,iav,43,0.0190566752288589,168,0.0014663532359241,0.0175903219929348,28
fsr_pft,global,FCTR_IAV_global,FCTR,iav,41,0.0196922967419928,148,0.0021403463845092,0.0175519503574836,29
dleaf,global,FCTR_IAV_global,FCTR,iav,46,0.0175164376879737,27,0.0342635184444424,0.016747080756468698,30
clay_pf,global,FCTR_IAV_global,FCTR,iav,151,0.0016588936731728,44,0.018264000808822,0.0166051071356492,31
rhosvis,global,FCTR_IAV_global,FCTR,iav,86,0.0071975592838583,35,0.0236712157159257,0.0164736564320674,32
rhosnir,global,FCTR_IAV_global,FCTR,iav,190,3.676813531505729e-05,50,0.0164898797705932,0.016453111635278142,33
upplim_destruct_metamorph,global,FCTR_IAV_global,FCTR,iav,89,0.0066405159603806,37,0.0225401340228802,0.0158996180624996,34
som_diffus,global,FCTR_IAV_global,FCTR,iav,37,0.0240901297222111,80,0.0082108825543704,0.0158792471678407,35
FUN_fracfixers,global,FCTR_IAV_global,FCTR,iav,23,0.0377291399207249,38,0.0221024570913077,0.0156266828294172,36
fff,global,FCTR_IAV_global,FCTR,iav,4,0.1261203325853468,1,0.1415929151369981,0.015472582551651293,37
om_frac_sf,global,FCTR_IAV_global,FCTR,iav,96,0.0056444488798467,40,0.0210960284272451,0.015451579547398401,38
r_mort,global,FCTR_IAV_global,FCTR,iav,129,0.002895983701468,47,0.0172613009658346,0.0143653172643666,39
a_exp,global,FCTR_IAV_global,FCTR,iav,47,0.0171640699712495,135,0.0028366205691491,0.0143274494021004,40
ko25_coef,global,FCTR_IAV_global,FCTR,iav,39,0.0211644085685905,86,0.0069549699078166,0.0142094386607739,41
taulnir,global,FCTR_IAV_global,FCTR,iav,34,0.0279960434236655,58,0.0139514385074882,0.0140446049161773,42
frootcn,global,FCTR_IAV_global,FCTR,iav,108,0.0045556659079245,43,0.0182691638795076,0.0137134979715831,43
theta_ip,global,FCTR_IAV_global,FCTR,iav,84,0.0072389996230608,41,0.0207989497797234,0.0135599501566626,44
zlnd,global,FCTR_IAV_global,FCTR,iav,67,0.0100050045278482,36,0.0232934254723705,0.0132884209445223,45
