param_name,biome,criteria,variable,measure,ssp_rank,ssp_range,pi_rank,pi_range,diff_range,diff_rank
csol_sand,Boreal forest,FCTR_iav_Boreal forest,FCTR,iav,1,0.4172660544228824,111,0.0047398821956903,0.41252617222719207,1
kmax,Boreal forest,FCTR_iav_Boreal forest,FCTR,iav,5,0.1546635129633713,1,0.2919002457810903,0.137236732817719,2
krmax,Boreal forest,FCTR_iav_Boreal forest,FCTR,iav,29,0.0490935546387198,4,0.1480450523897318,0.09895149775101202,3
medlynintercept,Boreal forest,FCTR_iav_Boreal forest,FCTR,iav,2,0.2957356089179523,3,0.2048126916212445,0.09092291729670782,4
liq_canopy_storage_scalar,Boreal forest,FCTR_iav_Boreal forest,FCTR,iav,38,0.0400459828790112,9,0.1033137621356851,0.0632677792566739,5
FUN_fracfixers,Boreal forest,FCTR_iav_Boreal forest,FCTR,iav,8,0.0961611512566886,30,0.0345207448698892,0.0616404063867994,6
d_max,Boreal forest,FCTR_iav_Boreal forest,FCTR,iav,11,0.0830769985452612,46,0.0235099433351054,0.059567055210155796,7
nstem,Boreal forest,FCTR_iav_Boreal forest,FCTR,iav,20,0.0584497806174607,135,0.0023400081348149,0.0561097724826458,8
jmaxb1,Boreal forest,FCTR_iav_Boreal forest,FCTR,iav,15,0.0706702552602459,6,0.1266644669471549,0.05599421168690902,9
snowcan_unload_wind_fact,Boreal forest,FCTR_iav_Boreal forest,FCTR,iav,24,0.0553603752616175,117,0.0039768038996504,0.0513835713619671,10
cpha,Boreal forest,FCTR_iav_Boreal forest,FCTR,iav,26,0.0507021967088506,179,0.0002241544453077,0.050478042263542904,11
sand_pf,Boreal forest,FCTR_iav_Boreal forest,FCTR,iav,63,0.0183024535133763,15,0.0658555027721216,0.0475530492587453,12
tpu25ratio,Boreal forest,FCTR_iav_Boreal forest,FCTR,iav,30,0.0477870216844795,163,0.0005922522475343,0.0471947694369452,13
dleaf,Boreal forest,FCTR_iav_Boreal forest,FCTR,iav,48,0.0345631845758621,12,0.0779445287123179,0.0433813441364558,14
lmrha,Boreal forest,FCTR_iav_Boreal forest,FCTR,iav,32,0.0447750702230483,137,0.0021922571188985,0.042582813104149804,15
jmaxhd,Boreal forest,FCTR_iav_Boreal forest,FCTR,iav,28,0.0493574949969792,83,0.0083372049505923,0.0410202900463869,16
pc,Boreal forest,FCTR_iav_Boreal forest,FCTR,iav,21,0.0571827555827069,56,0.0163569319897972,0.0408258235929097,17
theta_ip,Boreal forest,FCTR_iav_Boreal forest,FCTR,iav,27,0.0503248908698894,75,0.0099594041303259,0.0403654867395635,18
tpuha,Boreal forest,FCTR_iav_Boreal forest,FCTR,iav,18,0.0639311096748372,41,0.0254654796955632,0.038465629979273996,19
xdrdt,Boreal forest,FCTR_iav_Boreal forest,FCTR,iav,159,0.0012121873244345,24,0.0390928333229276,0.0378806459984931,20
wind_snowcompact_fact,Boreal forest,FCTR_iav_Boreal forest,FCTR,iav,41,0.037452385761459,159,0.0006636806264915,0.0367887051349675,21
cp25_yr2000,Boreal forest,FCTR_iav_Boreal forest,FCTR,iav,50,0.0333310257941995,14,0.0697630837656462,0.036432057971446705,22
lmr_intercept_atkin,Boreal forest,FCTR_iav_Boreal forest,FCTR,iav,10,0.0853351626672515,17,0.0496556878653664,0.035679474801885096,23
fbw,Boreal forest,FCTR_iav_Boreal forest,FCTR,iav,40,0.0379893970747325,126,0.0029786938217687,0.0350107032529638,24
fff,Boreal forest,FCTR_iav_Boreal forest,FCTR,iav,7,0.1106811607005114,13,0.0758991098099052,0.034782050890606195,25
vcmaxha,Boreal forest,FCTR_iav_Boreal forest,FCTR,iav,34,0.0435935976349256,76,0.0097962284427459,0.0337973691921797,26
jmaxb0,Boreal forest,FCTR_iav_Boreal forest,FCTR,iav,4,0.1660884375062237,5,0.1324300708538725,0.033658366652351196,27
minpsi_hr,Boreal forest,FCTR_iav_Boreal forest,FCTR,iav,119,0.0037505986391719,26,0.0365393664150717,0.032788767775899806,28
cv,Boreal forest,FCTR_iav_Boreal forest,FCTR,iav,23,0.0561479661465205,45,0.0235894347677697,0.032558531378750796,29
om_frac_sf,Boreal forest,FCTR_iav_Boreal forest,FCTR,iav,22,0.0568436237892276,44,0.0244545395761848,0.032389084213042804,30
lmrhd,Boreal forest,FCTR_iav_Boreal forest,FCTR,iav,102,0.0053053345650605,29,0.0356189550631967,0.0303136204981362,31
baseflow_scalar,Boreal forest,FCTR_iav_Boreal forest,FCTR,iav,43,0.0365731622057476,92,0.0065812372124006,0.029991924993346998,32
tkd_sand,Boreal forest,FCTR_iav_Boreal forest,FCTR,iav,39,0.0387661187671058,79,0.008783826272647,0.029982292494458797,33
slopemax,Boreal forest,FCTR_iav_Boreal forest,FCTR,iav,52,0.0323673223854795,129,0.0027498820766203,0.0296174403088592,34
r_mort,Boreal forest,FCTR_iav_Boreal forest,FCTR,iav,37,0.0402134642127765,74,0.010647431516453,0.0295660326963235,35
accum_factor,Boreal forest,FCTR_iav_Boreal forest,FCTR,iav,173,0.0004250556007568,37,0.0294535105717285,0.0290284549709717,36
clay_pf,Boreal forest,FCTR_iav_Boreal forest,FCTR,iav,53,0.0322325510266355,106,0.0051134215731258,0.027119129453509697,37
maximum_leaf_wetted_fraction,Boreal forest,FCTR_iav_Boreal forest,FCTR,iav,16,0.0688951905270348,22,0.0421632833784288,0.026731907148606,38
theta_cj,Boreal forest,FCTR_iav_Boreal forest,FCTR,iav,12,0.0803015801186571,8,0.105555065065089,0.025253484946431898,39
stem_leaf,Boreal forest,FCTR_iav_Boreal forest,FCTR,iav,144,0.0021864463488598,40,0.0265340996302776,0.0243476532814178,40
psi50,Boreal forest,FCTR_iav_Boreal forest,FCTR,iav,13,0.079612768692441,10,0.1021628581931912,0.0225500895007502,41
q10_mr,Boreal forest,FCTR_iav_Boreal forest,FCTR,iav,35,0.0416356131733842,52,0.0191877166969435,0.022447896476440698,42
tau_cwd,Boreal forest,FCTR_iav_Boreal forest,FCTR,iav,172,0.0004609903155036,47,0.0224255357502722,0.021964545434768598,43
theta_psii,Boreal forest,FCTR_iav_Boreal forest,FCTR,iav,14,0.0720823941713818,16,0.0501410548478233,0.021941339323558504,44
snw_rds_refrz,Boreal forest,FCTR_iav_Boreal forest,FCTR,iav,68,0.0130258613609646,31,0.0337299414096894,0.0207040800487248,45
a_coef,Boreal forest,FCTR_iav_Boreal forest,FCTR,iav,169,0.0005639572888945,48,0.0210201015858657,0.0204561442969712,46
zbedrock_sf,Boreal forest,FCTR_iav_Boreal forest,FCTR,iav,59,0.022754264886222,132,0.0026479389965411,0.0201063258896809,47
fnps,Boreal forest,FCTR_iav_Boreal forest,FCTR,iav,17,0.0678646464879519,18,0.0482742705554386,0.019590375932513303,48
vcmaxse_sf,Boreal forest,FCTR_iav_Boreal forest,FCTR,iav,47,0.0345882062481799,59,0.0154877022327881,0.019100504015391796,49
n_baseflow,Boreal forest,FCTR_iav_Boreal forest,FCTR,iav,180,0.0002371473065747,55,0.0175320651597671,0.0172949178531924,50
tpuhd,Boreal forest,FCTR_iav_Boreal forest,FCTR,iav,60,0.0223609078936136,105,0.0052960659031039,0.0170648419905097,51
frootcn,Boreal forest,FCTR_iav_Boreal forest,FCTR,iav,19,0.062822238499356,19,0.0458344534449001,0.016987785054455903,52
jmaxha,Boreal forest,FCTR_iav_Boreal forest,FCTR,iav,71,0.0124722329097338,38,0.0293890886724315,0.016916855762697698,53
zlnd,Boreal forest,FCTR_iav_Boreal forest,FCTR,iav,127,0.0034343017841449,49,0.0201907453138474,0.0167564435297025,54
wc2wjb0,Boreal forest,FCTR_iav_Boreal forest,FCTR,iav,6,0.1306344952650184,7,0.1139600619715737,0.016674433293444715,55
n_melt_coef,Boreal forest,FCTR_iav_Boreal forest,FCTR,iav,141,0.0023405637618857,54,0.0179881493663941,0.0156475856045084,56
koha,Boreal forest,FCTR_iav_Boreal forest,FCTR,iav,65,0.0160111261874423,151,0.001118428556149,0.014892697631293299,57
frac_sat_soil_dsl_init,Boreal forest,FCTR_iav_Boreal forest,FCTR,iav,55,0.0281215774060413,23,0.0415416601390036,0.013420082732962302,58
som_diffus,Boreal forest,FCTR_iav_Boreal forest,FCTR,iav,134,0.0030737654900651,58,0.0161515212969652,0.0130777558069001,59
tau_l2_l3,Boreal forest,FCTR_iav_Boreal forest,FCTR,iav,70,0.0126565251339974,155,0.0008522546097452,0.0118042705242522,60
upplim_destruct_metamorph,Boreal forest,FCTR_iav_Boreal forest,FCTR,iav,109,0.0045505096772376,57,0.0162337661539819,0.0116832564767443,61
decomp_depth_efolding,Boreal forest,FCTR_iav_Boreal forest,FCTR,iav,69,0.013011744558367,146,0.0014051030112151,0.011606641547151901,62
rstem,Boreal forest,FCTR_iav_Boreal forest,FCTR,iav,147,0.0020728478818569,65,0.0131187411864404,0.011045893304583498,63
cryoturb_diffusion_k,Boreal forest,FCTR_iav_Boreal forest,FCTR,iav,184,0.0001591207469532,73,0.0106995653605747,0.0105404446136215,64
prh30,Boreal forest,FCTR_iav_Boreal forest,FCTR,iav,110,0.0045204577471284,60,0.0148821847952813,0.0103617270481529,65
zetamaxstable,Boreal forest,FCTR_iav_Boreal forest,FCTR,iav,58,0.0229168152826403,67,0.0128743952613081,0.0100424200213322,66
grperc,Boreal forest,FCTR_iav_Boreal forest,FCTR,iav,25,0.0546885090589761,20,0.0447953641455101,0.009893144913465997,67
slopebeta,Boreal forest,FCTR_iav_Boreal forest,FCTR,iav,107,0.0048362288011771,61,0.0145128959297718,0.0096766671285947,68
ndays_on,Boreal forest,FCTR_iav_Boreal forest,FCTR,iav,158,0.0012167803110724,72,0.0107908475522311,0.009574067241158701,69
csoilc,Boreal forest,FCTR_iav_Boreal forest,FCTR,iav,31,0.045547580002271,28,0.0362688563914792,0.009278723610791802,70
KCN,Boreal forest,FCTR_iav_Boreal forest,FCTR,iav,67,0.0134198685430668,113,0.0044026675174868,0.009017201025579999,71
rholnir,Boreal forest,FCTR_iav_Boreal forest,FCTR,iav,103,0.005204190282144,64,0.0140536457804023,0.0088494554982583,72
rholvis,Boreal forest,FCTR_iav_Boreal forest,FCTR,iav,101,0.0056513636091128,62,0.0144898442514196,0.0088384806423068,73
denitrif_respiration_coefficient,Boreal forest,FCTR_iav_Boreal forest,FCTR,iav,77,0.0088978530844105,181,0.0001669261777488,0.0087309269066617,74
interception_fraction,Boreal forest,FCTR_iav_Boreal forest,FCTR,iav,64,0.0164995220053033,85,0.0078390442569534,0.0086604777483499,75
k_nitr_max_perday,Boreal forest,FCTR_iav_Boreal forest,FCTR,iav,51,0.0329869894102656,43,0.0244606667659007,0.008526322644364901,76
ck,Boreal forest,FCTR_iav_Boreal forest,FCTR,iav,78,0.008782878007755,173,0.0003709106541134,0.008411967353641601,77
rhosnir,Boreal forest,FCTR_iav_Boreal forest,FCTR,iav,108,0.0046156178205412,66,0.0129283579840205,0.0083127401634793,78
cmb_cmplt_fact_litter,Boreal forest,FCTR_iav_Boreal forest,FCTR,iav,177,0.0002910388011549,82,0.0084194838004635,0.0081284449993086,79
medlynslope,Boreal forest,FCTR_iav_Boreal forest,FCTR,iav,3,0.2261941520582295,2,0.2182545765437947,0.007939575514434777,80
maxpsi_hr,Boreal forest,FCTR_iav_Boreal forest,FCTR,iav,56,0.0253832435579202,32,0.0331043021596587,0.007721058601738499,81
minrelh,Boreal forest,FCTR_iav_Boreal forest,FCTR,iav,163,0.0010278815400226,80,0.008738666046411,0.007710784506388399,82
mu,Boreal forest,FCTR_iav_Boreal forest,FCTR,iav,81,0.0079986077904289,171,0.0004491590532701,0.0075494487371588,83
FR,Boreal forest,FCTR_iav_Boreal forest,FCTR,iav,72,0.0109045652499658,122,0.0036028097424485,0.007301755507517299,84
flivewd,Boreal forest,FCTR_iav_Boreal forest,FCTR,iav,85,0.0070461494351391,186,5.919515597196945e-05,0.0069869542791671305,85
scvng_fct_mlt_sf,Boreal forest,FCTR_iav_Boreal forest,FCTR,iav,161,0.0010989995817538,86,0.0077898106376043,0.0066908110558505,86
leafcn,Boreal forest,FCTR_iav_Boreal forest,FCTR,iav,9,0.0950556450789566,11,0.0883939286508453,0.0066617164281112945,87
fm_droot,Boreal forest,FCTR_iav_Boreal forest,FCTR,iav,87,0.006757455273432,178,0.0002444991530891,0.0065129561203429,88
ignition_efficiency,Boreal forest,FCTR_iav_Boreal forest,FCTR,iav,92,0.0064657282022635,188,4.002481116094359e-05,0.006425703391102556,89
fm_other,Boreal forest,FCTR_iav_Boreal forest,FCTR,iav,183,0.0002011425625669,93,0.0065454156876446,0.0063442731250777,90
fsr_pft,Boreal forest,FCTR_iav_Boreal forest,FCTR,iav,178,0.0002841484766164,96,0.0063559789181751,0.0060718304415587005,91
boreal_peatfire_c,Boreal forest,FCTR_iav_Boreal forest,FCTR,iav,191,6.726025280456849e-06,97,0.0060651280413758,0.006058402016095343,92
snow_canopy_storage_scalar,Boreal forest,FCTR_iav_Boreal forest,FCTR,iav,123,0.0035792647814347,77,0.0094668599055143,0.0058875951240796,93
a_exp,Boreal forest,FCTR_iav_Boreal forest,FCTR,iav,82,0.0075095109542879,142,0.0016822371525001,0.0058272738017878,94
cc_dstem,Boreal forest,FCTR_iav_Boreal forest,FCTR,iav,90,0.0065058772280714,158,0.0006955170414189,0.0058103601866524995,95
tkd_clay,Boreal forest,FCTR_iav_Boreal forest,FCTR,iav,96,0.0059228816489549,177,0.000266165328738,0.0056567163202169,96
Q10,Boreal forest,FCTR_iav_Boreal forest,FCTR,iav,97,0.0058900982473343,176,0.0002983105774158,0.0055917876699185,97
fd_pft,Boreal forest,FCTR_iav_Boreal forest,FCTR,iav,181,0.0002337023181357,100,0.0056925897778574,0.0054588874597217,98
tau_s2,Boreal forest,FCTR_iav_Boreal forest,FCTR,iav,125,0.0034767659250022,78,0.0088874051316786,0.0054106392066764,99
fun_cn_flex_b,Boreal forest,FCTR_iav_Boreal forest,FCTR,iav,76,0.0094004831879668,115,0.0040792977845525,0.005321185403414299,100
kc_nonmyc,Boreal forest,FCTR_iav_Boreal forest,FCTR,iav,156,0.0012960835044142,94,0.0064778441287236,0.0051817606243094,101
taulvis,Boreal forest,FCTR_iav_Boreal forest,FCTR,iav,88,0.0067539195773762,69,0.0118340129836659,0.0050800934062897,102
slatop,Boreal forest,FCTR_iav_Boreal forest,FCTR,iav,57,0.0235092913683072,53,0.0184634978212384,0.0050457935470688,103
enzyme_turnover_daily,Boreal forest,FCTR_iav_Boreal forest,FCTR,iav,66,0.0147952203234435,50,0.0196247561995526,0.0048295358761091,104
vcmaxhd,Boreal forest,FCTR_iav_Boreal forest,FCTR,iav,46,0.035128604272555,36,0.0303712910953687,0.0047573131771862995,105
kc25_coef,Boreal forest,FCTR_iav_Boreal forest,FCTR,iav,73,0.0098785127437651,104,0.0053378260618576,0.0045406866819075005,106
taulnir,Boreal forest,FCTR_iav_Boreal forest,FCTR,iav,75,0.0095669574985335,63,0.0140826070516407,0.004515649553107201,107
aq_sp_yield_min,Boreal forest,FCTR_iav_Boreal forest,FCTR,iav,111,0.0044711093326694,191,3.228093917728714e-07,0.004470786523277627,108
cc_leaf,Boreal forest,FCTR_iav_Boreal forest,FCTR,iav,105,0.0051462691375764,157,0.0007246463586656,0.0044216227789108005,109
lmrse,Boreal forest,FCTR_iav_Boreal forest,FCTR,iav,62,0.0207108789669454,42,0.0250995841448699,0.004388705177924498,110
froot_leaf,Boreal forest,FCTR_iav_Boreal forest,FCTR,iav,36,0.0407086279074371,27,0.0365159673903813,0.004192660517055802,111
kcha,Boreal forest,FCTR_iav_Boreal forest,FCTR,iav,44,0.0360947488570518,35,0.0319731916251408,0.004121557231911002,112
fm_root,Boreal forest,FCTR_iav_Boreal forest,FCTR,iav,135,0.0030732116877519,88,0.0071907444846633,0.0041175327969114,113
zsno,Boreal forest,FCTR_iav_Boreal forest,FCTR,iav,42,0.0367193675581445,33,0.0326489718270164,0.0040703957311281,114
rf_s2s3_bgc,Boreal forest,FCTR_iav_Boreal forest,FCTR,iav,170,0.000532504572485,112,0.004577549712773,0.004045045140288,115
leaf_long,Boreal forest,FCTR_iav_Boreal forest,FCTR,iav,49,0.0337918215323529,25,0.0376283318675796,0.003836510335226702,116
croot_stem,Boreal forest,FCTR_iav_Boreal forest,FCTR,iav,80,0.0080935944921948,68,0.0119062812952434,0.0038126868030486007,117
rf_l1s1_bgc,Boreal forest,FCTR_iav_Boreal forest,FCTR,iav,100,0.0056534592811627,138,0.0020044616932585,0.0036489975879042003,118
tau_s1,Boreal forest,FCTR_iav_Boreal forest,FCTR,iav,179,0.000247118112436,119,0.0038883001859526,0.0036411820735166,119
csol_om,Boreal forest,FCTR_iav_Boreal forest,FCTR,iav,104,0.0051825647936741,144,0.0015915760530867,0.0035909887405874003,120
