param_name,biome,criteria,variable,measure,ssp_rank,ssp_range,pi_rank,pi_range,diff_range,diff_rank
medlynintercept,global,FCTR_IAV_global,FCTR,iav,1,0.196582699880454,3,0.0970557282613305,0.09952697161912348,1
fff,global,FCTR_IAV_global,FCTR,iav,10,0.0494196529400801,2,0.1322314067826722,0.0828117538425921,2
tpuse_sf,global,FCTR_IAV_global,FCTR,iav,3,0.0936520346497832,28,0.0341549510713938,0.05949708357838939,3
wc2wjb0,global,FCTR_IAV_global,FCTR,iav,19,0.0372948023423039,4,0.0933692280880243,0.05607442574572039,4
KCN,global,FCTR_IAV_global,FCTR,iav,122,0.0032016514802794,15,0.0565571806502538,0.0533555291699744,5
kmax,global,FCTR_IAV_global,FCTR,iav,2,0.1030877860557619,1,0.1499442022943728,0.04685641623861091,6
jmaxb1,global,FCTR_IAV_global,FCTR,iav,24,0.0251376045632223,12,0.0608473444782048,0.0357097399149825,7
cpha,global,FCTR_IAV_global,FCTR,iav,61,0.0098267154420313,20,0.0438249901347509,0.0339982746927196,8
theta_cj,global,FCTR_IAV_global,FCTR,iav,23,0.0253721490978167,14,0.058792841319147,0.0334206922213303,9
maximum_leaf_wetted_fraction,global,FCTR_IAV_global,FCTR,iav,16,0.0414986398639327,8,0.0747812663540604,0.033282626490127705,10
kn_nonmyc,global,FCTR_IAV_global,FCTR,iav,83,0.006918637480519,22,0.0395991456697875,0.0326805081892685,11
kcha,global,FCTR_IAV_global,FCTR,iav,8,0.0567326422757714,39,0.0252382938025894,0.031494348473182,12
jmaxb0,global,FCTR_IAV_global,FCTR,iav,6,0.0619115687396932,5,0.0931015389466534,0.031189970206960203,13
tau_l2_l3,global,FCTR_IAV_global,FCTR,iav,18,0.039343780890419,81,0.009602457463654,0.029741323426765,14
frac_sat_soil_dsl_init,global,FCTR_IAV_global,FCTR,iav,143,0.0020885781430702,30,0.030856093415935,0.0287675152728648,15
lmr_intercept_atkin,global,FCTR_IAV_global,FCTR,iav,46,0.0123532881858779,21,0.0410540574575944,0.028700769271716497,16
frootcn,global,FCTR_IAV_global,FCTR,iav,161,0.0012760233416115,32,0.0297963139514834,0.0285202906098719,17
cp25_yr2000,global,FCTR_IAV_global,FCTR,iav,78,0.007769177404563,24,0.0357636313996517,0.027994453995088698,18
leafcn,global,FCTR_IAV_global,FCTR,iav,17,0.0398411892384836,10,0.0659277753463344,0.0260865861078508,19
rf_l2s1_bgc,global,FCTR_IAV_global,FCTR,iav,120,0.0032911149145541,33,0.0289410960773859,0.0256499811628318,20
rootprof_beta,global,FCTR_IAV_global,FCTR,iav,12,0.04747110198185,41,0.022828219257309,0.024642882724540998,21
vcmaxhd,global,FCTR_IAV_global,FCTR,iav,9,0.0547913635665747,7,0.078992440537196,0.024201076970621294,22
tpu25ratio,global,FCTR_IAV_global,FCTR,iav,97,0.0049971847265183,34,0.0288826074691003,0.023885422742582,23
psi50,global,FCTR_IAV_global,FCTR,iav,27,0.0210381253501269,19,0.0439434347910867,0.0229053094409598,24
nstem,global,FCTR_IAV_global,FCTR,iav,44,0.0126209424522069,27,0.034858080947099,0.022237138494892103,25
fnps,global,FCTR_IAV_global,FCTR,iav,87,0.0067250353218098,37,0.0283294898374411,0.021604454515631297,26
om_frac_sf,global,FCTR_IAV_global,FCTR,iav,144,0.0020719694080112,40,0.0236654874523705,0.0215935180443593,27
sand_pf,global,FCTR_IAV_global,FCTR,iav,31,0.0176151976921777,23,0.0381223573837601,0.020507159691582403,28
grperc,global,FCTR_IAV_global,FCTR,iav,113,0.0035766800167918,43,0.0222386044405243,0.0186619244237325,29
ko25_coef,global,FCTR_IAV_global,FCTR,iav,156,0.0014721237918539,46,0.019998143004855,0.0185260192130011,30
rh_low,global,FCTR_IAV_global,FCTR,iav,181,0.0005589989453201,53,0.0166251782828213,0.016066179337501197,31
rhosvis,global,FCTR_IAV_global,FCTR,iav,103,0.0043260678328314,48,0.0193466059525208,0.0150205381196894,32
rh_hgh,global,FCTR_IAV_global,FCTR,iav,145,0.0020602616906639,52,0.016976196639287,0.0149159349486231,33
vcmaxha,global,FCTR_IAV_global,FCTR,iav,13,0.0445648284198378,13,0.0588491210099012,0.014284292590063405,34
krmax,global,FCTR_IAV_global,FCTR,iav,5,0.0686523083043428,6,0.0828918844059652,0.014239576101622409,35
liq_canopy_storage_scalar,global,FCTR_IAV_global,FCTR,iav,20,0.0335641367939183,16,0.0475509468172455,0.013986810023327197,36
rholvis,global,FCTR_IAV_global,FCTR,iav,178,0.0006277497860249,56,0.0146063735028753,0.0139786237168504,37
upplim_destruct_metamorph,global,FCTR_IAV_global,FCTR,iav,34,0.016756665739737,31,0.0298091282296808,0.013052462489943798,38
leaf_long,global,FCTR_IAV_global,FCTR,iav,21,0.0313768567744208,18,0.0441891085893193,0.0128122518148985,39
lmrha,global,FCTR_IAV_global,FCTR,iav,29,0.0184049726359062,104,0.0059515459548157,0.0124534266810905,40
lmrhd,global,FCTR_IAV_global,FCTR,iav,68,0.0094247802005766,45,0.0216403228882487,0.012215542687672101,41
denitrif_respiration_coefficient,global,FCTR_IAV_global,FCTR,iav,168,0.0010502920927099,59,0.0131024227237149,0.012052130631005,42
relhExp,global,FCTR_IAV_global,FCTR,iav,43,0.0130637138654333,162,0.0014607799443471,0.011602933921086201,43
k_nitr_max_perday,global,FCTR_IAV_global,FCTR,iav,147,0.0019710199044635,58,0.0135397301618722,0.0115687102574087,44
jmaxhd,global,FCTR_IAV_global,FCTR,iav,36,0.0162843340559938,38,0.0277656739263151,0.011481339870321298,45
n_baseflow,global,FCTR_IAV_global,FCTR,iav,115,0.0035048694392278,55,0.0149860354366097,0.0114811659973819,46
som_diffus,global,FCTR_IAV_global,FCTR,iav,26,0.0213568822443335,76,0.0100575210756341,0.011299361168699399,47
fsr_pft,global,FCTR_IAV_global,FCTR,iav,33,0.0169159954603376,105,0.005909246228386,0.0110067492319516,48
dleaf,global,FCTR_IAV_global,FCTR,iav,15,0.0436344238683366,29,0.032640141095947,0.010994282772389605,49
vcmaxse_sf,global,FCTR_IAV_global,FCTR,iav,7,0.0571389047828995,9,0.0678570842114337,0.010718179428534202,50
theta_psii,global,FCTR_IAV_global,FCTR,iav,51,0.0115943110201068,42,0.0222804809526194,0.010686169932512599,51
wind_snowcompact_fact,global,FCTR_IAV_global,FCTR,iav,169,0.0009416374822127,66,0.0114940442518505,0.0105524067696378,52
rf_l3s2_bgc,global,FCTR_IAV_global,FCTR,iav,77,0.0078690820697772,49,0.0183864828770662,0.010517400807289,53
freelivfix_slope_wet,global,FCTR_IAV_global,FCTR,iav,177,0.0006454209861112,69,0.010860484420598,0.010215063434486799,54
tau_s3,global,FCTR_IAV_global,FCTR,iav,57,0.0105566197001903,182,0.0003685525007716,0.010188067199418699,55
tau_l1,global,FCTR_IAV_global,FCTR,iav,162,0.0012644035475147,71,0.0107003907492764,0.009435987201761701,56
froot_leaf,global,FCTR_IAV_global,FCTR,iav,45,0.012532810313612,44,0.0219534490666798,0.009420638753067801,57
