param_name,biome,criteria,variable,measure,ssp_rank,ssp_range,pi_rank,pi_range,diff_range,diff_rank
medlynintercept,Boreal forest,FCTR_iav_Boreal forest,FCTR,iav,1,0.3419638256142378,3,0.2183430994173824,0.12362072619685543,1
medlynslope,Boreal forest,FCTR_iav_Boreal forest,FCTR,iav,3,0.1856717735960637,1,0.2759821828281388,0.09031040923207509,2
e_ice,Boreal forest,FCTR_iav_Boreal forest,FCTR,iav,127,0.0013399833801454,10,0.0877840996479888,0.0864441162678434,3
krmax,Boreal forest,FCTR_iav_Boreal forest,FCTR,iav,10,0.0608785306775795,4,0.1445950507117464,0.08371652003416688,4
kcha,Boreal forest,FCTR_iav_Boreal forest,FCTR,iav,21,0.0346115759232588,6,0.1116854100407402,0.0770738341174814,5
tpu25ratio,Boreal forest,FCTR_iav_Boreal forest,FCTR,iav,5,0.0796709237248085,119,0.0030942145919646,0.0765767091328439,6
cp25_yr2000,Boreal forest,FCTR_iav_Boreal forest,FCTR,iav,60,0.0071161029510895,16,0.0746290611765717,0.0675129582254822,7
sand_pf,Boreal forest,FCTR_iav_Boreal forest,FCTR,iav,81,0.0042205576502613,17,0.0699097347045951,0.0656891770543338,8
fff,Boreal forest,FCTR_iav_Boreal forest,FCTR,iav,29,0.0219129288283785,11,0.0871805128759877,0.0652675840476092,9
zsno,Boreal forest,FCTR_iav_Boreal forest,FCTR,iav,32,0.0180740475213005,15,0.0758194460330415,0.057745398511741,10
vcmaxha,Boreal forest,FCTR_iav_Boreal forest,FCTR,iav,23,0.0290621707046148,12,0.085652588853155,0.05659041814854021,11
slopemax,Boreal forest,FCTR_iav_Boreal forest,FCTR,iav,13,0.0507148796564108,8,0.0998290450176037,0.0491141653611929,12
lmrhd,Boreal forest,FCTR_iav_Boreal forest,FCTR,iav,62,0.0069897087412702,21,0.0560536015665501,0.0490638928252799,13
jmaxb1,Boreal forest,FCTR_iav_Boreal forest,FCTR,iav,7,0.0752548406124226,5,0.1240296459905708,0.0487748053781482,14
lmr_intercept_atkin,Boreal forest,FCTR_iav_Boreal forest,FCTR,iav,51,0.0080065406398398,22,0.0558324242837126,0.0478258836438728,15
dleaf,Boreal forest,FCTR_iav_Boreal forest,FCTR,iav,36,0.0171708658093967,18,0.0648154075406014,0.047644541731204706,16
clay_pf,Boreal forest,FCTR_iav_Boreal forest,FCTR,iav,47,0.0097065146173523,23,0.055305424696725,0.0455989100793727,17
tpuse_sf,Boreal forest,FCTR_iav_Boreal forest,FCTR,iav,4,0.0807983330876757,32,0.0372992911946057,0.04349904189307,18
kmax,Boreal forest,FCTR_iav_Boreal forest,FCTR,iav,2,0.2202440115868366,2,0.2597405065527135,0.03949649496587693,19
theta_psii,Boreal forest,FCTR_iav_Boreal forest,FCTR,iav,33,0.0173855820523299,24,0.0534115418403292,0.0360259597879993,20
maximum_leaf_wetted_fraction,Boreal forest,FCTR_iav_Boreal forest,FCTR,iav,55,0.0075381286184366,30,0.0424325847156568,0.0348944560972202,21
pc,Boreal forest,FCTR_iav_Boreal forest,FCTR,iav,20,0.0346606870857043,99,0.0051824565365155,0.0294782305491888,22
jmaxha,Boreal forest,FCTR_iav_Boreal forest,FCTR,iav,34,0.0172839455409891,27,0.0461901287507618,0.028906183209772698,23
om_frac_sf,Boreal forest,FCTR_iav_Boreal forest,FCTR,iav,35,0.0172818665965316,28,0.0459240449028494,0.0286421783063178,24
jmaxse_sf,Boreal forest,FCTR_iav_Boreal forest,FCTR,iav,22,0.0340781793154264,93,0.0063879403725214,0.027690238942905,25
jmaxb0,Boreal forest,FCTR_iav_Boreal forest,FCTR,iav,6,0.0794321135499662,7,0.1067967787884445,0.027364665238478303,26
theta_ip,Boreal forest,FCTR_iav_Boreal forest,FCTR,iav,120,0.0015905612302836,39,0.0271130896662484,0.0255225284359648,27
wc2wjb0,Boreal forest,FCTR_iav_Boreal forest,FCTR,iav,8,0.0677838157676893,9,0.0930148179839929,0.025231002216303602,28
slatop,Boreal forest,FCTR_iav_Boreal forest,FCTR,iav,25,0.0269586393238231,25,0.0514728305851983,0.024514191261375197,29
psi50,Boreal forest,FCTR_iav_Boreal forest,FCTR,iav,11,0.0568388421996065,13,0.0791677600398734,0.0223289178402669,30
z0mr,Boreal forest,FCTR_iav_Boreal forest,FCTR,iav,86,0.0037882505073933,44,0.0230295230722964,0.0192412725649031,31
upplim_destruct_metamorph,Boreal forest,FCTR_iav_Boreal forest,FCTR,iav,19,0.0351987143194502,49,0.0174546243419573,0.0177440899774929,32
k_nitr_max_perday,Boreal forest,FCTR_iav_Boreal forest,FCTR,iav,42,0.0129861458276346,36,0.0301159037987923,0.0171297579711577,33
tau_l2_l3,Boreal forest,FCTR_iav_Boreal forest,FCTR,iav,83,0.0040230565671064,45,0.0210269455764814,0.017003889009375,34
snw_rds_refrz,Boreal forest,FCTR_iav_Boreal forest,FCTR,iav,184,8.810038210210758e-05,52,0.0161680657156398,0.016079965333537692,35
q10_mr,Boreal forest,FCTR_iav_Boreal forest,FCTR,iav,59,0.0072751012400385,43,0.0230364837083011,0.0157613824682626,36
lmrha,Boreal forest,FCTR_iav_Boreal forest,FCTR,iav,50,0.0081808742585967,42,0.0234220809223837,0.015241206663786998,37
frootcn,Boreal forest,FCTR_iav_Boreal forest,FCTR,iav,90,0.0033802799847119,48,0.0177451215597564,0.0143648415750445,38
fbw,Boreal forest,FCTR_iav_Boreal forest,FCTR,iav,102,0.0024552678913969,51,0.0165004961158762,0.014045228224479301,39
cv,Boreal forest,FCTR_iav_Boreal forest,FCTR,iav,39,0.0154714999406689,37,0.0292804153360392,0.0138089153953703,40
cpha,Boreal forest,FCTR_iav_Boreal forest,FCTR,iav,67,0.0059376665772994,47,0.017979043184414,0.012041376607114601,41
tpuha,Boreal forest,FCTR_iav_Boreal forest,FCTR,iav,24,0.0285927671131208,31,0.0403810583298657,0.011788291216744903,42
nstem,Boreal forest,FCTR_iav_Boreal forest,FCTR,iav,31,0.01839174287427,76,0.0086873217867715,0.0097044210874985,43
freelivfix_slope_wet,Boreal forest,FCTR_iav_Boreal forest,FCTR,iav,66,0.0060532769550491,53,0.0157239245983834,0.009670647643334298,44
FUN_fracfixers,Boreal forest,FCTR_iav_Boreal forest,FCTR,iav,76,0.0048061757811012,58,0.0144469439987967,0.0096407682176955,45
