param_name,biome,criteria,variable,measure,ssp_rank,ssp_range,pi_rank,pi_range,diff_range,diff_rank
fff,global,FCTR_IAV_global,FCTR,iav,10,0.0494196529400801,1,0.1415929151369981,0.09217326219691799,1
medlynintercept,global,FCTR_IAV_global,FCTR,iav,1,0.196582699880454,3,0.1076764199332224,0.08890627994723159,2
frac_sat_soil_dsl_init,global,FCTR_IAV_global,FCTR,iav,143,0.0020885781430702,14,0.0596342925920539,0.057545714448983695,3
leafcn,global,FCTR_IAV_global,FCTR,iav,17,0.0398411892384836,4,0.0960699925987447,0.0562288033602611,4
medlynslope,global,FCTR_IAV_global,FCTR,iav,4,0.0737853832258857,2,0.1276530648110769,0.053867681585191216,5
jmaxb1,global,FCTR_IAV_global,FCTR,iav,24,0.0251376045632223,8,0.0757706591971608,0.05063305463393851,6
tpuse_sf,global,FCTR_IAV_global,FCTR,iav,3,0.0936520346497832,20,0.0508123656922198,0.042839668957563394,7
lmrhd,global,FCTR_IAV_global,FCTR,iav,68,0.0094247802005766,21,0.048836458306402,0.0394116781058254,8
lmr_intercept_atkin,global,FCTR_IAV_global,FCTR,iav,46,0.0123532881858779,19,0.0515685710966113,0.0392152829107334,9
vcmaxhd,global,FCTR_IAV_global,FCTR,iav,9,0.0547913635665747,5,0.0933378359935141,0.0385464724269394,10
sand_pf,global,FCTR_IAV_global,FCTR,iav,31,0.0176151976921777,16,0.056048028058405,0.0384328303662273,11
maxpsi_hr,global,FCTR_IAV_global,FCTR,iav,63,0.0097307610318477,22,0.0472541965676153,0.0375234355357676,12
liq_canopy_storage_scalar,global,FCTR_IAV_global,FCTR,iav,20,0.0335641367939183,11,0.0638569775636768,0.030292840769758494,13
theta_cj,global,FCTR_IAV_global,FCTR,iav,23,0.0253721490978167,18,0.055611831212154,0.030239682114337304,14
leaf_long,global,FCTR_IAV_global,FCTR,iav,21,0.0313768567744208,17,0.0558331735382626,0.0244563167638418,15
decomp_depth_efolding,global,FCTR_IAV_global,FCTR,iav,39,0.0138390274059586,25,0.0377745886539505,0.023935561247991902,16
cpha,global,FCTR_IAV_global,FCTR,iav,61,0.0098267154420313,31,0.0329741949692229,0.0231474795271916,17
krmax,global,FCTR_IAV_global,FCTR,iav,5,0.0686523083043428,6,0.0916847199163099,0.023032411611967105,18
FUN_fracfixers,global,FCTR_IAV_global,FCTR,iav,14,0.0443573170231544,38,0.0221024570913077,0.022254859931846702,19
wc2wjb0,global,FCTR_IAV_global,FCTR,iav,19,0.0372948023423039,15,0.0588073720746025,0.0215125697322986,20
rootprof_beta,global,FCTR_IAV_global,FCTR,iav,12,0.04747110198185,33,0.0260701604156852,0.0214009415661648,21
tau_l2_l3,global,FCTR_IAV_global,FCTR,iav,18,0.039343780890419,46,0.0179961650928754,0.021347615797543597,22
rhosvis,global,FCTR_IAV_global,FCTR,iav,103,0.0043260678328314,35,0.0236712157159257,0.0193451478830943,23
om_frac_sf,global,FCTR_IAV_global,FCTR,iav,144,0.0020719694080112,40,0.0210960284272451,0.0190240590192339,24
rf_l2s1_bgc,global,FCTR_IAV_global,FCTR,iav,120,0.0032911149145541,39,0.0216056056512617,0.0183144907367076,25
vcmaxha,global,FCTR_IAV_global,FCTR,iav,13,0.0445648284198378,12,0.0620132602847518,0.017448431864914002,26
jmaxhd,global,FCTR_IAV_global,FCTR,iav,36,0.0162843340559938,28,0.0335079755104035,0.0172236414544097,27
frootcn,global,FCTR_IAV_global,FCTR,iav,161,0.0012760233416115,43,0.0182691638795076,0.0169931405378961,28
psi50,global,FCTR_IAV_global,FCTR,iav,27,0.0210381253501269,24,0.0379403635401273,0.0169022381900004,29
fd_pft,global,FCTR_IAV_global,FCTR,iav,30,0.0183574859726119,168,0.0014663532359241,0.0168911327366878,30
q10_mr,global,FCTR_IAV_global,FCTR,iav,112,0.0036249282051897,42,0.0204088040920062,0.0167838758868165,31
vcmaxse_sf,global,FCTR_IAV_global,FCTR,iav,7,0.0571389047828995,9,0.0738028756931933,0.0166639709102938,32
zsno,global,FCTR_IAV_global,FCTR,iav,32,0.0169924168618315,29,0.0334913139884469,0.016498897126615404,33
lmrha,global,FCTR_IAV_global,FCTR,iav,29,0.0184049726359062,141,0.0026017209821953,0.015803251653710902,34
rhosnir,global,FCTR_IAV_global,FCTR,iav,167,0.001054673665684,50,0.0164898797705932,0.0154352061049092,35
wood_density,global,FCTR_IAV_global,FCTR,iav,132,0.0027432470088035,45,0.0180440275801602,0.015300780571356698,36
baseflow_scalar,global,FCTR_IAV_global,FCTR,iav,25,0.0217653352412459,91,0.0066680020163249,0.015097333224921,37
fsr_pft,global,FCTR_IAV_global,FCTR,iav,33,0.0169159954603376,148,0.0021403463845092,0.014775649075828401,38
wind_snowcompact_fact,global,FCTR_IAV_global,FCTR,iav,169,0.0009416374822127,52,0.0147449059298139,0.0138032684476012,39
grperc,global,FCTR_IAV_global,FCTR,iav,113,0.0035766800167918,48,0.0171599562101625,0.0135832761933707,40
som_diffus,global,FCTR_IAV_global,FCTR,iav,26,0.0213568822443335,80,0.0082108825543704,0.013145999689963099,41
kc_nonmyc,global,FCTR_IAV_global,FCTR,iav,55,0.0109535552948386,34,0.0240452631770725,0.0130917078822339,42
