param_name,biome,criteria,variable,measure,ssp_rank,ssp_range,pi_rank,pi_range,diff_range,diff_rank
medlynintercept,Boreal forest,FCTR_iav_Boreal forest,FCTR,iav,1,0.3419638256142378,3,0.2048126916212445,0.13715113399299333,1
krmax,Boreal forest,FCTR_iav_Boreal forest,FCTR,iav,10,0.0608785306775795,4,0.1480450523897318,0.0871665217121523,2
tpu25ratio,Boreal forest,FCTR_iav_Boreal forest,FCTR,iav,5,0.0796709237248085,163,0.0005922522475343,0.0790786714772742,3
tpuse_sf,Boreal forest,FCTR_iav_Boreal forest,FCTR,iav,4,0.0807983330876757,99,0.0058670335237843,0.0749312995638914,4
kmax,Boreal forest,FCTR_iav_Boreal forest,FCTR,iav,2,0.2202440115868366,1,0.2919002457810903,0.07165623419425371,5
cp25_yr2000,Boreal forest,FCTR_iav_Boreal forest,FCTR,iav,60,0.0071161029510895,14,0.0697630837656462,0.0626469808145567,6
sand_pf,Boreal forest,FCTR_iav_Boreal forest,FCTR,iav,81,0.0042205576502613,15,0.0658555027721216,0.061634945121860296,7
dleaf,Boreal forest,FCTR_iav_Boreal forest,FCTR,iav,36,0.0171708658093967,12,0.0779445287123179,0.0607736629029212,8
theta_cj,Boreal forest,FCTR_iav_Boreal forest,FCTR,iav,14,0.0489887753291664,8,0.105555065065089,0.05656628973592259,9
fff,Boreal forest,FCTR_iav_Boreal forest,FCTR,iav,29,0.0219129288283785,13,0.0758991098099052,0.0539861809815267,10
jmaxb0,Boreal forest,FCTR_iav_Boreal forest,FCTR,iav,6,0.0794321135499662,5,0.1324300708538725,0.052997957303906315,11
jmaxb1,Boreal forest,FCTR_iav_Boreal forest,FCTR,iav,7,0.0752548406124226,6,0.1266644669471549,0.05140962633473231,12
liq_canopy_storage_scalar,Boreal forest,FCTR_iav_Boreal forest,FCTR,iav,12,0.053716319191307,9,0.1033137621356851,0.0495974429443781,13
slopemax,Boreal forest,FCTR_iav_Boreal forest,FCTR,iav,13,0.0507148796564108,129,0.0027498820766203,0.047964997579790496,14
wc2wjb0,Boreal forest,FCTR_iav_Boreal forest,FCTR,iav,8,0.0677838157676893,7,0.1139600619715737,0.0461762462038844,15
psi50,Boreal forest,FCTR_iav_Boreal forest,FCTR,iav,11,0.0568388421996065,10,0.1021628581931912,0.045324015993584696,16
frootcn,Boreal forest,FCTR_iav_Boreal forest,FCTR,iav,90,0.0033802799847119,19,0.0458344534449001,0.0424541734601882,17
lmr_intercept_atkin,Boreal forest,FCTR_iav_Boreal forest,FCTR,iav,51,0.0080065406398398,17,0.0496556878653664,0.0416491472255266,18
br_root,Boreal forest,FCTR_iav_Boreal forest,FCTR,iav,104,0.0023749239271338,21,0.0427999209398357,0.0404249970127019,19
grperc,Boreal forest,FCTR_iav_Boreal forest,FCTR,iav,72,0.0057399034137157,20,0.0447953641455101,0.0390554607317944,20
leaf_long,Boreal forest,FCTR_iav_Boreal forest,FCTR,iav,119,0.0016563051849486,25,0.0376283318675796,0.035972026682631,21
csoilc,Boreal forest,FCTR_iav_Boreal forest,FCTR,iav,155,0.0005795196484627,28,0.0362688563914792,0.0356893367430165,22
maximum_leaf_wetted_fraction,Boreal forest,FCTR_iav_Boreal forest,FCTR,iav,55,0.0075381286184366,22,0.0421632833784288,0.0346251547599922,23
xdrdt,Boreal forest,FCTR_iav_Boreal forest,FCTR,iav,77,0.0046670111386288,24,0.0390928333229276,0.0344258221842988,24
snw_rds_refrz,Boreal forest,FCTR_iav_Boreal forest,FCTR,iav,184,8.810038210210758e-05,31,0.0337299414096894,0.03364184102758729,25
theta_psii,Boreal forest,FCTR_iav_Boreal forest,FCTR,iav,33,0.0173855820523299,16,0.0501410548478233,0.0327554727954934,26
medlynslope,Boreal forest,FCTR_iav_Boreal forest,FCTR,iav,3,0.1856717735960637,2,0.2182545765437947,0.032582802947731,27
froot_leaf,Boreal forest,FCTR_iav_Boreal forest,FCTR,iav,69,0.0058822117212608,27,0.0365159673903813,0.0306337556691205,28
FUN_fracfixers,Boreal forest,FCTR_iav_Boreal forest,FCTR,iav,76,0.0048061757811012,30,0.0345207448698892,0.029714569088788,29
lmrhd,Boreal forest,FCTR_iav_Boreal forest,FCTR,iav,62,0.0069897087412702,29,0.0356189550631967,0.0286292463219265,30
z0mr,Boreal forest,FCTR_iav_Boreal forest,FCTR,iav,86,0.0037882505073933,34,0.0322772249042491,0.0284889743968558,31
jmaxhd,Boreal forest,FCTR_iav_Boreal forest,FCTR,iav,17,0.0364652520713645,83,0.0083372049505923,0.0281280471207722,32
frac_sat_soil_dsl_init,Boreal forest,FCTR_iav_Boreal forest,FCTR,iav,38,0.0167795859789868,23,0.0415416601390036,0.0247620741600168,33
stem_leaf,Boreal forest,FCTR_iav_Boreal forest,FCTR,iav,87,0.0037447584761251,40,0.0265340996302776,0.0227893411541525,34
jmaxse_sf,Boreal forest,FCTR_iav_Boreal forest,FCTR,iav,22,0.0340781793154264,71,0.0113446810007147,0.0227334983147117,35
rootprof_beta,Boreal forest,FCTR_iav_Boreal forest,FCTR,iav,68,0.0058844354441447,39,0.0274134867187144,0.0215290512745697,36
leafcn,Boreal forest,FCTR_iav_Boreal forest,FCTR,iav,9,0.0669511738878757,11,0.0883939286508453,0.0214427547629696,37
vcmaxse_sf,Boreal forest,FCTR_iav_Boreal forest,FCTR,iav,18,0.0362648971902045,59,0.0154877022327881,0.020777194957416402,38
tau_cwd,Boreal forest,FCTR_iav_Boreal forest,FCTR,iav,116,0.0017227358758764,47,0.0224255357502722,0.0207027998743958,39
zlnd,Boreal forest,FCTR_iav_Boreal forest,FCTR,iav,177,0.0001929787685953,49,0.0201907453138474,0.0199977665452521,40
a_coef,Boreal forest,FCTR_iav_Boreal forest,FCTR,iav,125,0.001382836942773,48,0.0210201015858657,0.0196372646430927,41
tpuhd,Boreal forest,FCTR_iav_Boreal forest,FCTR,iav,27,0.0248776333612545,105,0.0052960659031039,0.019581567458150602,42
vcmaxha,Boreal forest,FCTR_iav_Boreal forest,FCTR,iav,23,0.0290621707046148,76,0.0097962284427459,0.0192659422618689,43
upplim_destruct_metamorph,Boreal forest,FCTR_iav_Boreal forest,FCTR,iav,19,0.0351987143194502,57,0.0162337661539819,0.0189649481654683,44
enzyme_turnover_daily,Boreal forest,FCTR_iav_Boreal forest,FCTR,iav,149,0.0007277066430313,50,0.0196247561995526,0.0188970495565213,45
accum_factor,Boreal forest,FCTR_iav_Boreal forest,FCTR,iav,45,0.0111442515502129,37,0.0294535105717285,0.0183092590215156,46
pc,Boreal forest,FCTR_iav_Boreal forest,FCTR,iav,20,0.0346606870857043,56,0.0163569319897972,0.0183037550959071,47
e_ice,Boreal forest,FCTR_iav_Boreal forest,FCTR,iav,127,0.0013399833801454,51,0.0194081388827821,0.0180681555026367,48
vcmaxhd,Boreal forest,FCTR_iav_Boreal forest,FCTR,iav,15,0.0480471934825388,36,0.0303712910953687,0.017675902387170102,49
n_baseflow,Boreal forest,FCTR_iav_Boreal forest,FCTR,iav,159,0.000487436254524,55,0.0175320651597671,0.0170446289052431,50
n_melt_coef,Boreal forest,FCTR_iav_Boreal forest,FCTR,iav,117,0.0016998867068418,54,0.0179881493663941,0.0162882626595523,51
nstem,Boreal forest,FCTR_iav_Boreal forest,FCTR,iav,31,0.01839174287427,135,0.0023400081348149,0.0160517347394551,52
zsno,Boreal forest,FCTR_iav_Boreal forest,FCTR,iav,32,0.0180740475213005,33,0.0326489718270164,0.0145749243057159,53
slopebeta,Boreal forest,FCTR_iav_Boreal forest,FCTR,iav,121,0.0015859296674888,61,0.0145128959297718,0.012926966262283,54
rstem,Boreal forest,FCTR_iav_Boreal forest,FCTR,iav,167,0.0003422604936129,65,0.0131187411864404,0.0127764806928275,55
zetamaxstable,Boreal forest,FCTR_iav_Boreal forest,FCTR,iav,168,0.0003413260722601,67,0.0128743952613081,0.012533069189048,56
jmaxha,Boreal forest,FCTR_iav_Boreal forest,FCTR,iav,34,0.0172839455409891,38,0.0293890886724315,0.0121051431314424,57
q10_mr,Boreal forest,FCTR_iav_Boreal forest,FCTR,iav,59,0.0072751012400385,52,0.0191877166969435,0.011912615456905,58
k_nitr_max_perday,Boreal forest,FCTR_iav_Boreal forest,FCTR,iav,42,0.0129861458276346,43,0.0244606667659007,0.011474520938266099,59
croot_stem,Boreal forest,FCTR_iav_Boreal forest,FCTR,iav,157,0.0005321683278985,68,0.0119062812952434,0.0113741129673449,60
minpsi_hr,Boreal forest,FCTR_iav_Boreal forest,FCTR,iav,26,0.0266902608462335,26,0.0365393664150717,0.009849105568838203,61
r_mort,Boreal forest,FCTR_iav_Boreal forest,FCTR,iav,141,0.0009087653296723,74,0.010647431516453,0.0097386661867807,62
rhosnir,Boreal forest,FCTR_iav_Boreal forest,FCTR,iav,85,0.0037909526334046,66,0.0129283579840205,0.0091374053506159,63
fnps,Boreal forest,FCTR_iav_Boreal forest,FCTR,iav,16,0.0391694334478769,18,0.0482742705554386,0.0091048371075617,64
maxpsi_hr,Boreal forest,FCTR_iav_Boreal forest,FCTR,iav,28,0.0240867562069869,32,0.0331043021596587,0.009017545952671797,65
xl,Boreal forest,FCTR_iav_Boreal forest,FCTR,iav,41,0.0131241033162348,114,0.004116972735735,0.0090071305804998,66
ndays_on,Boreal forest,FCTR_iav_Boreal forest,FCTR,iav,112,0.0019140060406682,72,0.0107908475522311,0.0088768415115629,67
ck,Boreal forest,FCTR_iav_Boreal forest,FCTR,iav,48,0.0089204627139387,173,0.0003709106541134,0.008549552059825301,68
slatop,Boreal forest,FCTR_iav_Boreal forest,FCTR,iav,25,0.0269586393238231,53,0.0184634978212384,0.0084951415025847,69
theta_ip,Boreal forest,FCTR_iav_Boreal forest,FCTR,iav,120,0.0015905612302836,75,0.0099594041303259,0.008368842900042299,70
ko25_coef,Boreal forest,FCTR_iav_Boreal forest,FCTR,iav,170,0.0003288366470671,81,0.0086515801917188,0.0083227435446517,71
lmrse,Boreal forest,FCTR_iav_Boreal forest,FCTR,iav,37,0.0168170354770102,42,0.0250995841448699,0.008282548667859699,72
cv,Boreal forest,FCTR_iav_Boreal forest,FCTR,iav,39,0.0154714999406689,45,0.0235894347677697,0.008117934827100801,73
snow_canopy_storage_scalar,Boreal forest,FCTR_iav_Boreal forest,FCTR,iav,124,0.0014237359207918,77,0.0094668599055143,0.0080431239847225,74
eta0_vionnet,Boreal forest,FCTR_iav_Boreal forest,FCTR,iav,162,0.0004302069669883,84,0.0078959850261547,0.007465778059166399,75
prh30,Boreal forest,FCTR_iav_Boreal forest,FCTR,iav,54,0.0076592209916387,60,0.0148821847952813,0.0072229638036426,76
om_frac_sf,Boreal forest,FCTR_iav_Boreal forest,FCTR,iav,35,0.0172818665965316,44,0.0244545395761848,0.0071726729796532,77
kc25_coef,Boreal forest,FCTR_iav_Boreal forest,FCTR,iav,44,0.0124142485223912,104,0.0053378260618576,0.007076422460533601,78
cmb_cmplt_fact_litter,Boreal forest,FCTR_iav_Boreal forest,FCTR,iav,126,0.0013473445741469,82,0.0084194838004635,0.007072139226316599,79
scvng_fct_mlt_sf,Boreal forest,FCTR_iav_Boreal forest,FCTR,iav,146,0.0008203185291932,86,0.0077898106376043,0.0069694921084111,80
fm_root,Boreal forest,FCTR_iav_Boreal forest,FCTR,iav,163,0.0004002902130148,88,0.0071907444846633,0.0067904542716485,81
z_dl,Boreal forest,FCTR_iav_Boreal forest,FCTR,iav,172,0.0002729161274526,89,0.0070272812446886,0.006754365117236,82
rholnir,Boreal forest,FCTR_iav_Boreal forest,FCTR,iav,57,0.0073314654256109,64,0.0140536457804023,0.0067221803547914,83
wind_snowcompact_fact,Boreal forest,FCTR_iav_Boreal forest,FCTR,iav,58,0.0073265209358874,159,0.0006636806264915,0.0066628403093959,84
tkd_sand,Boreal forest,FCTR_iav_Boreal forest,FCTR,iav,103,0.002418281763204,79,0.008783826272647,0.006365544509443001,85
taulvis,Boreal forest,FCTR_iav_Boreal forest,FCTR,iav,73,0.0056188200860317,69,0.0118340129836659,0.0062151928976342,86
kn_nonmyc,Boreal forest,FCTR_iav_Boreal forest,FCTR,iav,64,0.0066092385592164,166,0.0005142305683782,0.006095007990838199,87
lmrha,Boreal forest,FCTR_iav_Boreal forest,FCTR,iav,50,0.0081808742585967,137,0.0021922571188985,0.005988617139698201,88
fm_other,Boreal forest,FCTR_iav_Boreal forest,FCTR,iav,153,0.0006026306918656,93,0.0065454156876446,0.005942784995779,89
boreal_peatfire_c,Boreal forest,FCTR_iav_Boreal forest,FCTR,iav,178,0.0001474511749437,97,0.0060651280413758,0.0059176768664321,90
relhExp,Boreal forest,FCTR_iav_Boreal forest,FCTR,iav,71,0.0058456566013123,70,0.0116862061674362,0.0058405495661239,91
rf_l2s1_bgc,Boreal forest,FCTR_iav_Boreal forest,FCTR,iav,150,0.0007013805565365,95,0.0064650847506572,0.0057637041941207,92
cpha,Boreal forest,FCTR_iav_Boreal forest,FCTR,iav,67,0.0059376665772994,179,0.0002241544453077,0.0057135121319917,93
taulnir,Boreal forest,FCTR_iav_Boreal forest,FCTR,iav,49,0.0084991180409649,63,0.0140826070516407,0.005583489010675801,94
rf_l1s1_bgc,Boreal forest,FCTR_iav_Boreal forest,FCTR,iav,56,0.0074541074263676,138,0.0020044616932585,0.0054496457331091,95
kc_nonmyc,Boreal forest,FCTR_iav_Boreal forest,FCTR,iav,136,0.0010817389966972,94,0.0064778441287236,0.0053961051320264,96
denitrif_respiration_exponent,Boreal forest,FCTR_iav_Boreal forest,FCTR,iav,174,0.0002251829685315,101,0.0056066717343964,0.0053814887658649,97
baseflow_scalar,Boreal forest,FCTR_iav_Boreal forest,FCTR,iav,118,0.001666932473016,92,0.0065812372124006,0.0049143047393846,98
pd,Boreal forest,FCTR_iav_Boreal forest,FCTR,iav,148,0.0008066031036107,103,0.0055854543321526,0.0047788512285419,99
tausnir,Boreal forest,FCTR_iav_Boreal forest,FCTR,iav,187,5.041624877305528e-05,110,0.0048281166232061,0.004777700374433045,100
clay_pf,Boreal forest,FCTR_iav_Boreal forest,FCTR,iav,47,0.0097065146173523,106,0.0051134215731258,0.0045930930442265,101
ekn_active,Boreal forest,FCTR_iav_Boreal forest,FCTR,iav,93,0.0028719054495908,87,0.0073175902691321,0.0044456848195412995,102
csol_sand,Boreal forest,FCTR_iav_Boreal forest,FCTR,iav,171,0.000322962450503,111,0.0047398821956903,0.0044169197451873,103
tau_s2,Boreal forest,FCTR_iav_Boreal forest,FCTR,iav,78,0.0046123665164657,78,0.0088874051316786,0.0042750386152129,104
denitrif_respiration_coefficient,Boreal forest,FCTR_iav_Boreal forest,FCTR,iav,80,0.0044115158036232,181,0.0001669261777488,0.0042445896258744,105
fsr_pft,Boreal forest,FCTR_iav_Boreal forest,FCTR,iav,107,0.0021196604633128,96,0.0063559789181751,0.0042363184548623,106
freelivfix_slope_wet,Boreal forest,FCTR_iav_Boreal forest,FCTR,iav,66,0.0060532769550491,141,0.0018195613532072,0.0042337156018419,107
fun_cn_flex_a,Boreal forest,FCTR_iav_Boreal forest,FCTR,iav,152,0.0006537822271164,109,0.0048731150868162,0.0042193328596998,108
tkd_om,Boreal forest,FCTR_iav_Boreal forest,FCTR,iav,95,0.0027251798962504,91,0.0066368465638564,0.003911666667605999,109
fun_cn_flex_b,Boreal forest,FCTR_iav_Boreal forest,FCTR,iav,52,0.0079885838597893,115,0.0040792977845525,0.003909286075236799,110
LF,Boreal forest,FCTR_iav_Boreal forest,FCTR,iav,132,0.0012045225516576,107,0.0050330179245463,0.0038284953728886994,111
koha,Boreal forest,FCTR_iav_Boreal forest,FCTR,iav,75,0.0049236586435738,151,0.001118428556149,0.0038052300874248,112
akn_active,Boreal forest,FCTR_iav_Boreal forest,FCTR,iav,129,0.0013147016365347,108,0.0049781180753352,0.0036634164388005,113
fun_cn_flex_c,Boreal forest,FCTR_iav_Boreal forest,FCTR,iav,169,0.0003364043753845,118,0.0039094295393368,0.0035730251639522997,114
displar,Boreal forest,FCTR_iav_Boreal forest,FCTR,iav,161,0.0004719126353377,116,0.0039927372489165,0.0035208246135788,115
FR,Boreal forest,FCTR_iav_Boreal forest,FCTR,iav,179,0.0001094840947413,122,0.0036028097424485,0.0034933256477072,116
d_max,Boreal forest,FCTR_iav_Boreal forest,FCTR,iav,30,0.0201817794654281,46,0.0235099433351054,0.003328163869677301,117
rf_s3s1_bgc,Boreal forest,FCTR_iav_Boreal forest,FCTR,iav,105,0.0023277456030466,102,0.0055934673887219,0.0032657217856752996,118
decomp_depth_efolding,Boreal forest,FCTR_iav_Boreal forest,FCTR,iav,79,0.0046095369707802,146,0.0014051030112151,0.0032044339595651,119
tau_l2_l3,Boreal forest,FCTR_iav_Boreal forest,FCTR,iav,83,0.0040230565671064,155,0.0008522546097452,0.0031708019573612,120
tpuha,Boreal forest,FCTR_iav_Boreal forest,FCTR,iav,24,0.0285927671131208,41,0.0254654796955632,0.003127287417557599,121
ndays_off,Boreal forest,FCTR_iav_Boreal forest,FCTR,iav,46,0.0097225126016806,90,0.0066521586618624,0.0030703539398182003,122
fd_pft,Boreal forest,FCTR_iav_Boreal forest,FCTR,iav,96,0.0026467981226204,100,0.0056925897778574,0.0030457916552369996,123
denitrif_nitrateconc_exponent,Boreal forest,FCTR_iav_Boreal forest,FCTR,iav,175,0.0002059846283474,125,0.0032400481169625,0.0030340634886151002,124
snowcan_unload_wind_fact,Boreal forest,FCTR_iav_Boreal forest,FCTR,iav,138,0.0009880603142313,117,0.0039768038996504,0.0029887435854191002,125
cryoturb_diffusion_k,Boreal forest,FCTR_iav_Boreal forest,FCTR,iav,53,0.007747021587233,73,0.0106995653605747,0.0029525437733417,126
kcha,Boreal forest,FCTR_iav_Boreal forest,FCTR,iav,21,0.0346115759232588,35,0.0319731916251408,0.002638384298118003,127
snowcan_unload_temp_fact,Boreal forest,FCTR_iav_Boreal forest,FCTR,iav,65,0.0064355431207333,120,0.00388731621705,0.0025482269036833003,128
wind_min,Boreal forest,FCTR_iav_Boreal forest,FCTR,iav,182,8.980835107108565e-05,133,0.0024983506636739,0.0024085423126028144,129
rhosvis,Boreal forest,FCTR_iav_Boreal forest,FCTR,iav,160,0.0004851795513507,128,0.002862823913391,0.0023776443620403,130
tau_ref,Boreal forest,FCTR_iav_Boreal forest,FCTR,iav,137,0.0010536409957014,124,0.0034064804466297,0.0023528394509283,131
tkd_clay,Boreal forest,FCTR_iav_Boreal forest,FCTR,iav,97,0.0026043147886359,177,0.000266165328738,0.0023381494598979,132
tausvis,Boreal forest,FCTR_iav_Boreal forest,FCTR,iav,180,9.54681870700136e-05,136,0.0022776114817582,0.0021821432946881863,133
akc_active,Boreal forest,FCTR_iav_Boreal forest,FCTR,iav,147,0.0008076994555443,127,0.0029498079730793,0.002142108517535,134
ignition_efficiency,Boreal forest,FCTR_iav_Boreal forest,FCTR,iav,108,0.0020973716828812,188,4.002481116094359e-05,0.0020573468717202566,135
tau_s3,Boreal forest,FCTR_iav_Boreal forest,FCTR,iav,88,0.0035065523956996,145,0.0014998823615117,0.0020066700341879,136
max_altdepth_cryoturbation,Boreal forest,FCTR_iav_Boreal forest,FCTR,iav,110,0.0020577269745795,183,0.0001359242531209,0.0019218027214586001,137
KCN,Boreal forest,FCTR_iav_Boreal forest,FCTR,iav,99,0.0024926112833372,113,0.0044026675174868,0.0019100562341495997,138
aq_sp_yield_min,Boreal forest,FCTR_iav_Boreal forest,FCTR,iav,113,0.0018561713730148,191,3.228093917728714e-07,0.0018558485636230272,139
a_exp,Boreal forest,FCTR_iav_Boreal forest,FCTR,iav,89,0.0035019073069615,142,0.0016822371525001,0.0018196701544613998,140
minrelh,Boreal forest,FCTR_iav_Boreal forest,FCTR,iav,61,0.0069982655595365,80,0.008738666046411,0.0017404004868744995,141
cc_other,Boreal forest,FCTR_iav_Boreal forest,FCTR,iav,140,0.0009116523045239,131,0.0026495317868611,0.0017378794823371998,142
ssi,Boreal forest,FCTR_iav_Boreal forest,FCTR,iav,109,0.0020785341439797,167,0.0005040174803772,0.0015745166636025,143
C2_liq_Brun89,Boreal forest,FCTR_iav_Boreal forest,FCTR,iav,94,0.002758665438206,150,0.0011989603387474,0.0015597050994586002,144
rholvis,Boreal forest,FCTR_iav_Boreal forest,FCTR,iav,43,0.0129516376924361,62,0.0144898442514196,0.0015382065589835004,145
denitrif_nitrateconc_coefficient,Boreal forest,FCTR_iav_Boreal forest,FCTR,iav,100,0.0024871903476911,153,0.0009613836963053,0.0015258066513858001,146
som_diffus,Boreal forest,FCTR_iav_Boreal forest,FCTR,iav,40,0.0147246232237142,58,0.0161515212969652,0.0014268980732510001,147
rf_s2s3_bgc,Boreal forest,FCTR_iav_Boreal forest,FCTR,iav,91,0.0031702863515334,112,0.004577549712773,0.0014072633612395996,148
cc_dstem,Boreal forest,FCTR_iav_Boreal forest,FCTR,iav,111,0.0020392820550583,158,0.0006955170414189,0.0013437650136393997,149
tau_l1,Boreal forest,FCTR_iav_Boreal forest,FCTR,iav,84,0.0039462732557448,130,0.0026504923689192,0.0012957808868255998,150
rho_max,Boreal forest,FCTR_iav_Boreal forest,FCTR,iav,101,0.0024599396768371,121,0.0037183762365612,0.0012584365597241003,151
cn_s3_bgc,Boreal forest,FCTR_iav_Boreal forest,FCTR,iav,115,0.0017933617696645,165,0.0005586770145128,0.0012346847551517,152
wood_density,Boreal forest,FCTR_iav_Boreal forest,FCTR,iav,114,0.0017977732213528,162,0.0005996204259151,0.0011981527954377,153
tau_s1,Boreal forest,FCTR_iav_Boreal forest,FCTR,iav,74,0.0049446104284,119,0.0038883001859526,0.0010563102424473998,154
