param_name,biome,criteria,variable,measure,ssp_rank,ssp_range,pi_rank,pi_range,diff_range,diff_rank
csol_sand,global,FGEV_IAV_global,FGEV,iav,3,0.1187992019357168,86,0.0036909404835525,0.11510826145216431,1
d_max,global,FGEV_IAV_global,FGEV,iav,2,0.1881496633223877,2,0.1231575499029469,0.06499211341944079,2
sand_pf,global,FGEV_IAV_global,FGEV,iav,4,0.0644017221406688,108,0.002217694862906,0.0621840272777628,3
frac_sat_soil_dsl_init,global,FGEV_IAV_global,FGEV,iav,1,0.2796014804374953,1,0.2411392114239035,0.03846226901359179,4
jmaxb0,global,FGEV_IAV_global,FGEV,iav,43,0.0081515757832538,4,0.0463807020998084,0.038229126316554604,5
vcmaxhd,global,FGEV_IAV_global,FGEV,iav,39,0.0086936298007025,5,0.0426139644976153,0.0339203346969128,6
kcha,global,FGEV_IAV_global,FGEV,iav,61,0.0065902538747153,7,0.0340297217745205,0.0274394678998052,7
krmax,global,FGEV_IAV_global,FGEV,iav,99,0.0027664480325401,11,0.0277764328550234,0.0250099848224833,8
leafcn,global,FGEV_IAV_global,FGEV,iav,49,0.0078973655445491,9,0.0319797456095819,0.024082380065032803,9
theta_cj,global,FGEV_IAV_global,FGEV,iav,88,0.003498837813379,12,0.0271159442927525,0.023617106479373498,10
froot_leaf,global,FGEV_IAV_global,FGEV,iav,142,0.0011844423597855,16,0.0235820345576766,0.0223975921978911,11
KCN,global,FGEV_IAV_global,FGEV,iav,8,0.0310961261115847,47,0.0104762526947722,0.0206198734168125,12
cpha,global,FGEV_IAV_global,FGEV,iav,108,0.0023526460702716,21,0.0223004754874834,0.0199478294172118,13
FUN_fracfixers,global,FGEV_IAV_global,FGEV,iav,14,0.0201976347614727,6,0.0391207460965848,0.0189231113351121,14
lmrha,global,FGEV_IAV_global,FGEV,iav,10,0.0221860912936314,84,0.0037600930296673,0.0184259982639641,15
stem_leaf,global,FGEV_IAV_global,FGEV,iav,111,0.0022381469843621,23,0.0202888048665892,0.0180506578822271,16
leaf_long,global,FGEV_IAV_global,FGEV,iav,110,0.0023007245053011,25,0.0200796538551162,0.0177789293498151,17
vcmaxse_sf,global,FGEV_IAV_global,FGEV,iav,54,0.0073785868521282,15,0.0240830719670951,0.0167044851149669,18
maximum_leaf_wetted_fraction,global,FGEV_IAV_global,FGEV,iav,9,0.0310377956767697,35,0.0146519166926479,0.016385878984121797,19
vcmaxha,global,FGEV_IAV_global,FGEV,iav,22,0.0136641408444609,10,0.0287109392870768,0.0150467984426159,20
jmaxb1,global,FGEV_IAV_global,FGEV,iav,102,0.0026480446317211,32,0.0176894269761,0.015041382344378901,21
psi50,global,FGEV_IAV_global,FGEV,iav,15,0.0196083460689541,73,0.0053341754592773,0.014274170609676801,22
zbedrock_sf,global,FGEV_IAV_global,FGEV,iav,19,0.0175440619872195,87,0.0036271403312246,0.0139169216559949,23
decomp_depth_efolding,global,FGEV_IAV_global,FGEV,iav,36,0.0095314035226871,20,0.0229692072534927,0.013437803730805602,24
cp25_yr2000,global,FGEV_IAV_global,FGEV,iav,73,0.0052718674235584,29,0.0182804259049047,0.0130085584813463,25
baseflow_scalar,global,FGEV_IAV_global,FGEV,iav,5,0.0569893098231067,3,0.0689058636081978,0.011916553785091093,26
wc2wjb0,global,FGEV_IAV_global,FGEV,iav,27,0.0125242608782086,18,0.0232011900136404,0.010676929135431801,27
theta_psii,global,FGEV_IAV_global,FGEV,iav,119,0.0018756955070026,40,0.0124791649099392,0.0106034694029366,28
q10_mr,global,FGEV_IAV_global,FGEV,iav,26,0.012742502850732,99,0.0026924299670463,0.0100500728836857,29
dleaf,global,FGEV_IAV_global,FGEV,iav,24,0.0134431472252566,17,0.0234091686642201,0.0099660214389635,30
jmaxse_sf,global,FGEV_IAV_global,FGEV,iav,44,0.0081001263167767,30,0.0180246473862589,0.009924521069482202,31
medlynslope,global,FGEV_IAV_global,FGEV,iav,7,0.0323866534114364,19,0.023175122205123,0.009211531206313399,32
slopemax,global,FGEV_IAV_global,FGEV,iav,29,0.0119087402344241,22,0.0210866557315492,0.0091779154971251,33
tpuhd,global,FGEV_IAV_global,FGEV,iav,30,0.011032658587387,119,0.001865808994614,0.009166849592772999,34
kc_nonmyc,global,FGEV_IAV_global,FGEV,iav,125,0.0016964675372561,45,0.0106751326446157,0.0089786651073596,35
tpuha,global,FGEV_IAV_global,FGEV,iav,32,0.0099103438457645,147,0.0009366475374658,0.0089736963082987,36
fff,global,FGEV_IAV_global,FGEV,iav,6,0.0411218240801223,8,0.0321704506535291,0.008951373426593197,37
lmr_intercept_atkin,global,FGEV_IAV_global,FGEV,iav,50,0.007886252758388,33,0.0166881081670519,0.0088018554086639,38
taulnir,global,FGEV_IAV_global,FGEV,iav,38,0.0088375133975099,164,0.0004638685465154,0.0083736448509945,39
koha,global,FGEV_IAV_global,FGEV,iav,59,0.006688861975425,34,0.0149001503245013,0.0082112883490763,40
slopebeta,global,FGEV_IAV_global,FGEV,iav,28,0.0119932267287974,26,0.0200734361685012,0.008080209439703799,41
tau_l1,global,FGEV_IAV_global,FGEV,iav,169,0.0004351013655742,53,0.0081411822017886,0.0077060808362144,42
r_mort,global,FGEV_IAV_global,FGEV,iav,40,0.0086422532626234,146,0.0009988832542258,0.0076433700083975995,43
kmax,global,FGEV_IAV_global,FGEV,iav,121,0.0018464357393903,50,0.009160334704751,0.0073138989653606995,44
rholnir,global,FGEV_IAV_global,FGEV,iav,151,0.0008952763290829,54,0.0081153594905094,0.007220083161426499,45
som_diffus,global,FGEV_IAV_global,FGEV,iav,170,0.0004137799731812,58,0.007481983981288,0.0070682040081068,46
grperc,global,FGEV_IAV_global,FGEV,iav,65,0.0057681219995672,41,0.0124018396273362,0.006633717627769,47
k_nitr_max_perday,global,FGEV_IAV_global,FGEV,iav,94,0.003116046706101,49,0.0094084734042436,0.0062924266981425996,48
ndays_on,global,FGEV_IAV_global,FGEV,iav,173,0.0003863539799149,62,0.0065970590480498,0.0062107050681349,49
rf_l2s1_bgc,global,FGEV_IAV_global,FGEV,iav,53,0.0074967846155512,139,0.0013315497860807,0.0061652348294705,50
ignition_efficiency,global,FGEV_IAV_global,FGEV,iav,31,0.0100771734564962,81,0.0041781603365151,0.0058990131199811,51
lmrhd,global,FGEV_IAV_global,FGEV,iav,17,0.0193790813870742,14,0.0248554931588233,0.005476411771749103,52
rootprof_beta,global,FGEV_IAV_global,FGEV,iav,47,0.0079903215321294,38,0.0133346010212752,0.005344279489145801,53
freelivfix_slope_wet,global,FGEV_IAV_global,FGEV,iav,18,0.0187320988358356,37,0.0134006056274663,0.005331493208369301,54
tau_l2_l3,global,FGEV_IAV_global,FGEV,iav,16,0.019409656982713,36,0.0141736078412877,0.005236049141425298,55
liq_canopy_storage_scalar,global,FGEV_IAV_global,FGEV,iav,180,0.0001910125481153,71,0.0054161967168792,0.0052251841687639,56
ko25_coef,global,FGEV_IAV_global,FGEV,iav,56,0.0070319006096816,116,0.0019945488364233,0.0050373517732583,57
tpuse_sf,global,FGEV_IAV_global,FGEV,iav,25,0.0127637864117641,31,0.0177636506731771,0.004999864261413,58
lmrse,global,FGEV_IAV_global,FGEV,iav,13,0.0201986898103048,13,0.024986092800815,0.004787402990510198,59
kn_nonmyc,global,FGEV_IAV_global,FGEV,iav,33,0.0098758738653764,74,0.0052072741696068,0.004668599695769599,60
minpsi_hr,global,FGEV_IAV_global,FGEV,iav,166,0.0005353041558791,75,0.0051693010231821,0.004633996867303,61
