param_name,biome,criteria,variable,measure,ssp_rank,ssp_range,pi_rank,pi_range,diff_range,diff_rank
csol_sand,Boreal forest,FGEV_iav_Boreal forest,FGEV,iav,1,0.2450676573501936,73,0.0061789731928162,0.23888868415737738,1
lmrha,Boreal forest,FGEV_iav_Boreal forest,FGEV,iav,3,0.1030076168240816,36,0.0154821490360462,0.08752546778803541,2
fff,Boreal forest,FGEV_iav_Boreal forest,FGEV,iav,51,0.012055739976183,1,0.0947233074614287,0.08266756748524569,3
upplim_destruct_metamorph,Boreal forest,FGEV_iav_Boreal forest,FGEV,iav,59,0.0102516779270856,2,0.0779180828944386,0.067666404967353,4
slopemax,Boreal forest,FGEV_iav_Boreal forest,FGEV,iav,52,0.0117847255499687,3,0.0770886772824035,0.06530395173243479,5
zsno,Boreal forest,FGEV_iav_Boreal forest,FGEV,iav,7,0.072232992578625,19,0.0227851785391469,0.04944781403947811,6
FUN_fracfixers,Boreal forest,FGEV_iav_Boreal forest,FGEV,iav,9,0.0620017436010667,28,0.0187891207561552,0.0432126228449115,7
jmaxb0,Boreal forest,FGEV_iav_Boreal forest,FGEV,iav,2,0.1049045132442855,6,0.0622785244772131,0.0426259887670724,8
tpu25ratio,Boreal forest,FGEV_iav_Boreal forest,FGEV,iav,4,0.0856649221888966,11,0.0463262230972325,0.0393386990916641,9
pc,Boreal forest,FGEV_iav_Boreal forest,FGEV,iav,33,0.0216972546322676,7,0.0604442667180473,0.0387470120857797,10
slatop,Boreal forest,FGEV_iav_Boreal forest,FGEV,iav,15,0.0431274324327423,86,0.0044296722998122,0.0386977601329301,11
frac_sat_soil_dsl_init,Boreal forest,FGEV_iav_Boreal forest,FGEV,iav,28,0.0263315440917659,4,0.0640029769762906,0.037671432884524694,12
csoilc,Boreal forest,FGEV_iav_Boreal forest,FGEV,iav,13,0.0472060235725627,52,0.0099431386830309,0.0372628848895318,13
lmrhd,Boreal forest,FGEV_iav_Boreal forest,FGEV,iav,20,0.0370581232773494,129,0.0015358767877163,0.0355222464896331,14
jmaxb1,Boreal forest,FGEV_iav_Boreal forest,FGEV,iav,6,0.0768298622923675,14,0.0426868431262248,0.03414301916614271,15
kmax,Boreal forest,FGEV_iav_Boreal forest,FGEV,iav,19,0.0380048500596677,81,0.0051646944998979,0.0328401555597698,16
theta_cj,Boreal forest,FGEV_iav_Boreal forest,FGEV,iav,12,0.0532812343686654,22,0.0218546419431445,0.0314265924255209,17
medlynintercept,Boreal forest,FGEV_iav_Boreal forest,FGEV,iav,37,0.0203567565060487,9,0.0515854083263931,0.0312286518203444,18
om_frac_sf,Boreal forest,FGEV_iav_Boreal forest,FGEV,iav,17,0.0395882681654685,58,0.0087602417080163,0.030828026457452203,19
grperc,Boreal forest,FGEV_iav_Boreal forest,FGEV,iav,16,0.0402137358012295,46,0.0111612277042673,0.0290525080969622,20
slopebeta,Boreal forest,FGEV_iav_Boreal forest,FGEV,iav,50,0.0127425678605386,15,0.0415583735035614,0.028815805643022795,21
lmr_intercept_atkin,Boreal forest,FGEV_iav_Boreal forest,FGEV,iav,27,0.0266310671987822,112,0.0024945770432835,0.0241364901554987,22
leaf_long,Boreal forest,FGEV_iav_Boreal forest,FGEV,iav,26,0.0269607318395492,106,0.0029764903042962,0.023984241535252998,23
krmax,Boreal forest,FGEV_iav_Boreal forest,FGEV,iav,24,0.0289361525139149,82,0.005099869074658,0.0238362834392569,24
