param_name,biome,criteria,variable,measure,ssp_rank,ssp_range,pi_rank,pi_range,diff_range,diff_rank
csol_sand,global,FGEV_IAV_global,FGEV,iav,3,0.1187992019357168,131,0.0014192938772125,0.1173799080585043,1
sand_pf,global,FGEV_IAV_global,FGEV,iav,4,0.0644017221406688,48,0.0078515124014167,0.05655020973925211,2
jmaxb0,global,FGEV_IAV_global,FGEV,iav,43,0.0081515757832538,4,0.051902559795277,0.043750984012023195,3
d_max,global,FGEV_IAV_global,FGEV,iav,2,0.1881496633223877,2,0.1485637834322178,0.0395858798901699,4
frac_sat_soil_dsl_init,global,FGEV_IAV_global,FGEV,iav,1,0.2796014804374953,1,0.2406925202839969,0.03890896015349837,5
jmaxb1,global,FGEV_IAV_global,FGEV,iav,102,0.0026480446317211,9,0.0341211182455232,0.0314730736138021,6
leafcn,global,FGEV_IAV_global,FGEV,iav,49,0.0078973655445491,6,0.0386978887147627,0.0308005231702136,7
theta_cj,global,FGEV_IAV_global,FGEV,iav,88,0.003498837813379,8,0.034125703979227,0.030626866165847998,8
KCN,global,FGEV_IAV_global,FGEV,iav,8,0.0310961261115847,104,0.0024052379474927,0.028690888164092,9
vcmaxhd,global,FGEV_IAV_global,FGEV,iav,39,0.0086936298007025,7,0.0344877954676129,0.025794165666910403,10
kcha,global,FGEV_IAV_global,FGEV,iav,61,0.0065902538747153,14,0.0304556475512921,0.0238653936765768,11
maximum_leaf_wetted_fraction,global,FGEV_IAV_global,FGEV,iav,9,0.0310377956767697,40,0.0100835898460777,0.020954205830691998,12
wc2wjb0,global,FGEV_IAV_global,FGEV,iav,27,0.0125242608782086,10,0.0320461878383109,0.019521926960102298,13
medlynslope,global,FGEV_IAV_global,FGEV,iav,7,0.0323866534114364,31,0.0132308315950909,0.0191558218163455,14
FUN_fracfixers,global,FGEV_IAV_global,FGEV,iav,14,0.0201976347614727,5,0.0391379885781884,0.0189403538167157,15
leaf_long,global,FGEV_IAV_global,FGEV,iav,110,0.0023007245053011,21,0.0212125492386204,0.0189118247333193,16
cpha,global,FGEV_IAV_global,FGEV,iav,108,0.0023526460702716,22,0.0209975818730064,0.0186449358027348,17
tau_l2_l3,global,FGEV_IAV_global,FGEV,iav,16,0.019409656982713,144,0.0010817938766565,0.0183278631060565,18
lmrha,global,FGEV_IAV_global,FGEV,iav,10,0.0221860912936314,69,0.0042990062485381,0.017887085045093298,19
dleaf,global,FGEV_IAV_global,FGEV,iav,24,0.0134431472252566,13,0.0312114913811109,0.0177683441558543,20
vcmaxse_sf,global,FGEV_IAV_global,FGEV,iav,54,0.0073785868521282,18,0.0240369712196768,0.016658384367548597,21
freelivfix_slope_wet,global,FGEV_IAV_global,FGEV,iav,18,0.0187320988358356,108,0.0022156802358292,0.0165164186000064,22
jmaxhd,global,FGEV_IAV_global,FGEV,iav,70,0.0053884308906486,20,0.0217950911119133,0.0164066602212647,23
jmaxse_sf,global,FGEV_IAV_global,FGEV,iav,44,0.0081001263167767,19,0.0236492431733467,0.015549116856569999,24
tpuse_sf,global,FGEV_IAV_global,FGEV,iav,25,0.0127637864117641,16,0.0282806713813184,0.015516884969554301,25
froot_leaf,global,FGEV_IAV_global,FGEV,iav,142,0.0011844423597855,24,0.01639047133863,0.015206028978844498,26
vcmaxha,global,FGEV_IAV_global,FGEV,iav,22,0.0136641408444609,15,0.0283014898784672,0.0146373490340063,27
krmax,global,FGEV_IAV_global,FGEV,iav,99,0.0027664480325401,25,0.0155523716352286,0.0127859236026885,28
zbedrock_sf,global,FGEV_IAV_global,FGEV,iav,19,0.0175440619872195,65,0.0047597128804311,0.012784349106788401,29
lmrse,global,FGEV_IAV_global,FGEV,iav,13,0.0201986898103048,12,0.0317621668520597,0.0115634770417549,30
jmaxha,global,FGEV_IAV_global,FGEV,iav,23,0.0136136948629935,94,0.0027179636048816,0.0108957312581119,31
pc,global,FGEV_IAV_global,FGEV,iav,86,0.0035957577688003,29,0.0142504016360886,0.010654643867288299,32
fsr_pft,global,FGEV_IAV_global,FGEV,iav,11,0.0218184608268868,34,0.01131740941226,0.0105010514146268,33
slopebeta,global,FGEV_IAV_global,FGEV,iav,28,0.0119932267287974,120,0.0016376180519538,0.0103556086768436,34
fd_pft,global,FGEV_IAV_global,FGEV,iav,12,0.0217665918307664,33,0.0115656656734001,0.010200926157366298,35
kn_nonmyc,global,FGEV_IAV_global,FGEV,iav,33,0.0098758738653764,184,0.0001698582806875,0.0097060155846889,36
fff,global,FGEV_IAV_global,FGEV,iav,6,0.0411218240801223,11,0.0317687919963954,0.009353032083726898,37
lmrhd,global,FGEV_IAV_global,FGEV,iav,17,0.0193790813870742,17,0.0282455652580975,0.0088664838710233,38
som_diffus,global,FGEV_IAV_global,FGEV,iav,170,0.0004137799731812,45,0.0088370411388129,0.0084232611656317,39
kmax,global,FGEV_IAV_global,FGEV,iav,121,0.0018464357393903,39,0.0102344371822588,0.008388001442868501,40
ufuel,global,FGEV_IAV_global,FGEV,iav,35,0.0095567774693067,128,0.0015099016063359,0.008046875862970801,41
ignition_efficiency,global,FGEV_IAV_global,FGEV,iav,31,0.0100771734564962,111,0.0020352225106696,0.0080419509458266,42
theta_ip,global,FGEV_IAV_global,FGEV,iav,51,0.0078147470466789,155,0.0007506718008255,0.0070640752458534005,43
r_mort,global,FGEV_IAV_global,FGEV,iav,40,0.0086422532626234,123,0.0015901854299301,0.007052067832693299,44
rf_l2s1_bgc,global,FGEV_IAV_global,FGEV,iav,53,0.0074967846155512,168,0.0005235897184835,0.0069731948970677,45
kc25_coef,global,FGEV_IAV_global,FGEV,iav,179,0.0002208603406128,51,0.0070630087443307,0.0068421484037179,46
lmr_intercept_atkin,global,FGEV_IAV_global,FGEV,iav,50,0.007886252758388,27,0.0146133437104303,0.006727090952042301,47
nstem,global,FGEV_IAV_global,FGEV,iav,96,0.0029521864086698,43,0.0095126109955738,0.006560424586904,48
psi50,global,FGEV_IAV_global,FGEV,iav,15,0.0196083460689541,30,0.0133456188703616,0.006262727198592501,49
taulnir,global,FGEV_IAV_global,FGEV,iav,38,0.0088375133975099,83,0.0031472423676737,0.0056902710298362,50
a_coef,global,FGEV_IAV_global,FGEV,iav,189,3.6258913768238976e-05,60,0.0054591359835126,0.005422877069744361,51
lfuel,global,FGEV_IAV_global,FGEV,iav,48,0.0079820032954942,92,0.002892832001258,0.0050891712942362,52
tau_s2,global,FGEV_IAV_global,FGEV,iav,72,0.0052744330405546,179,0.0003013483556009,0.0049730846849537,53
rholvis,global,FGEV_IAV_global,FGEV,iav,55,0.0072671077070046,106,0.002336385293304,0.0049307224137006,54
rhosnir,global,FGEV_IAV_global,FGEV,iav,67,0.0055714416011626,158,0.0006839446372096,0.004887496963953,55
csoilc,global,FGEV_IAV_global,FGEV,iav,52,0.0075760240000214,91,0.0029034115143411,0.0046726124856803,56
rh_hgh,global,FGEV_IAV_global,FGEV,iav,101,0.0026737950661916,50,0.0072368502237564,0.0045630551575648,57
om_frac_sf,global,FGEV_IAV_global,FGEV,iav,46,0.0080218745192674,32,0.0124510678147737,0.0044291932955063,58
