param_name,biome,criteria,variable,measure,ssp_rank,ssp_range,pi_rank,pi_range,diff_range,diff_rank
csol_sand,Boreal forest,FGEV_iav_Boreal forest,FGEV,iav,1,0.2450676573501936,118,0.0021125163991869,0.2429551409510067,1
zsno,Boreal forest,FGEV_iav_Boreal forest,FGEV,iav,7,0.072232992578625,65,0.0075353526449576,0.06469763993366741,2
lmrha,Boreal forest,FGEV_iav_Boreal forest,FGEV,iav,3,0.1030076168240816,6,0.0430142435525199,0.059993373271561706,3
jmaxb0,Boreal forest,FGEV_iav_Boreal forest,FGEV,iav,2,0.1049045132442855,4,0.0487382311343222,0.0561662821099633,4
FUN_fracfixers,Boreal forest,FGEV_iav_Boreal forest,FGEV,iav,9,0.0620017436010667,27,0.0192541408082932,0.0427476027927735,5
grperc,Boreal forest,FGEV_iav_Boreal forest,FGEV,iav,16,0.0402137358012295,130,0.0014131649432478,0.0388005708579817,6
upplim_destruct_metamorph,Boreal forest,FGEV_iav_Boreal forest,FGEV,iav,59,0.0102516779270856,5,0.0480315540317565,0.0377798761046709,7
slatop,Boreal forest,FGEV_iav_Boreal forest,FGEV,iav,15,0.0431274324327423,79,0.0059113292922352,0.0372161031405071,8
medlynslope,Boreal forest,FGEV_iav_Boreal forest,FGEV,iav,8,0.067331441667213,14,0.0312647071945086,0.0360667344727044,9
wc2wjb0,Boreal forest,FGEV_iav_Boreal forest,FGEV,iav,10,0.0594271648675381,20,0.0259778437527408,0.0334493211147973,10
csoilc,Boreal forest,FGEV_iav_Boreal forest,FGEV,iav,13,0.0472060235725627,33,0.0143649127865864,0.0328411107859763,11
froot_leaf,Boreal forest,FGEV_iav_Boreal forest,FGEV,iav,22,0.0350152958694489,100,0.0032529400322274,0.0317623558372215,12
zetamaxstable,Boreal forest,FGEV_iav_Boreal forest,FGEV,iav,18,0.0393665190918551,59,0.0079315673326223,0.031434951759232804,13
lmrhd,Boreal forest,FGEV_iav_Boreal forest,FGEV,iav,20,0.0370581232773494,67,0.0069127533092788,0.030145369968070598,14
sand_pf,Boreal forest,FGEV_iav_Boreal forest,FGEV,iav,90,0.0039745313529391,12,0.0325617666295716,0.028587235276632504,15
krmax,Boreal forest,FGEV_iav_Boreal forest,FGEV,iav,24,0.0289361525139149,139,0.0011888565065229,0.027747296007392,16
kmax,Boreal forest,FGEV_iav_Boreal forest,FGEV,iav,19,0.0380048500596677,48,0.0104167498785597,0.027588100181108,17
leaf_long,Boreal forest,FGEV_iav_Boreal forest,FGEV,iav,26,0.0269607318395492,156,0.0008189770261353,0.0261417548134139,18
xdrdt,Boreal forest,FGEV_iav_Boreal forest,FGEV,iav,86,0.0045514987603577,15,0.0304232988037009,0.025871800043343197,19
theta_cj,Boreal forest,FGEV_iav_Boreal forest,FGEV,iav,12,0.0532812343686654,19,0.0278394160729252,0.0254418182957402,20
lmr_intercept_atkin,Boreal forest,FGEV_iav_Boreal forest,FGEV,iav,27,0.0266310671987822,128,0.0014284199925084,0.025202647206273802,21
jmaxb1,Boreal forest,FGEV_iav_Boreal forest,FGEV,iav,6,0.0768298622923675,3,0.0526960227853581,0.024133839507009404,22
snw_rds_refrz,Boreal forest,FGEV_iav_Boreal forest,FGEV,iav,64,0.0092962154251788,11,0.0332095066701034,0.023913291244924605,23
fff,Boreal forest,FGEV_iav_Boreal forest,FGEV,iav,51,0.012055739976183,9,0.0357741911332663,0.0237184511570833,24
d_max,Boreal forest,FGEV_iav_Boreal forest,FGEV,iav,5,0.0818825462136406,2,0.0588459754364554,0.023036570777185204,25
leafcn,Boreal forest,FGEV_iav_Boreal forest,FGEV,iav,11,0.0593600884054985,8,0.0368789940503664,0.022481094355132104,26
lmrse,Boreal forest,FGEV_iav_Boreal forest,FGEV,iav,30,0.0235818065820917,138,0.0012100360000308,0.022371770582060902,27
cv,Boreal forest,FGEV_iav_Boreal forest,FGEV,iav,165,0.0002860659615272,22,0.0224218661277002,0.022135800166173,28
jmaxhd,Boreal forest,FGEV_iav_Boreal forest,FGEV,iav,23,0.0323914732015633,45,0.0109861399582939,0.021405333243269396,29
frootcn,Boreal forest,FGEV_iav_Boreal forest,FGEV,iav,36,0.0208406044591706,143,0.0010875253657436,0.019753079093427,30
tau_s1,Boreal forest,FGEV_iav_Boreal forest,FGEV,iav,104,0.0026410381188273,24,0.0211573899180595,0.018516351799232198,31
om_frac_sf,Boreal forest,FGEV_iav_Boreal forest,FGEV,iav,17,0.0395882681654685,23,0.0214698984370221,0.018118369728446403,32
liq_canopy_storage_scalar,Boreal forest,FGEV_iav_Boreal forest,FGEV,iav,31,0.0229939346921987,81,0.0055475936511074,0.0174463410410913,33
q10_mr,Boreal forest,FGEV_iav_Boreal forest,FGEV,iav,32,0.0229721323807752,72,0.0065355862787047,0.016436546102070498,34
tpu25ratio,Boreal forest,FGEV_iav_Boreal forest,FGEV,iav,4,0.0856649221888966,1,0.0702946201958121,0.015370301993084493,35
kcha,Boreal forest,FGEV_iav_Boreal forest,FGEV,iav,84,0.0049058753262957,26,0.0194837341326052,0.014577858806309501,36
maximum_leaf_wetted_fraction,Boreal forest,FGEV_iav_Boreal forest,FGEV,iav,79,0.0054999066158614,25,0.0200686105300643,0.0145687039142029,37
KCN,Boreal forest,FGEV_iav_Boreal forest,FGEV,iav,47,0.013445752373999,163,0.0005357985410805,0.0129099538329185,38
tpuse_sf,Boreal forest,FGEV_iav_Boreal forest,FGEV,iav,29,0.0245826990377254,42,0.0117383034978527,0.012844395539872698,39
theta_ip,Boreal forest,FGEV_iav_Boreal forest,FGEV,iav,35,0.0208600721186829,58,0.0080367880465889,0.012823284072094,40
clay_pf,Boreal forest,FGEV_iav_Boreal forest,FGEV,iav,41,0.0172607400915213,16,0.0297924450122278,0.012531704920706498,41
rf_l2s1_bgc,Boreal forest,FGEV_iav_Boreal forest,FGEV,iav,121,0.0016543105615117,37,0.0138127657303033,0.0121584551687916,42
frac_sat_soil_dsl_init,Boreal forest,FGEV_iav_Boreal forest,FGEV,iav,28,0.0263315440917659,7,0.0384426578274294,0.012111113735663502,43
xl,Boreal forest,FGEV_iav_Boreal forest,FGEV,iav,40,0.0177316320752755,78,0.0059356215445989,0.011796010530676599,44
mu,Boreal forest,FGEV_iav_Boreal forest,FGEV,iav,150,0.0004970260218247,39,0.0122469839787476,0.0117499579569229,45
accum_factor,Boreal forest,FGEV_iav_Boreal forest,FGEV,iav,124,0.0012630613137692,38,0.0125288079442237,0.011265746630454501,46
tkd_sand,Boreal forest,FGEV_iav_Boreal forest,FGEV,iav,92,0.0038549710860372,32,0.0150249081038661,0.0111699370178289,47
cryoturb_diffusion_k,Boreal forest,FGEV_iav_Boreal forest,FGEV,iav,189,3.407513025108222e-05,44,0.0110977645779755,0.011063689447724418,48
tpuha,Boreal forest,FGEV_iav_Boreal forest,FGEV,iav,14,0.0444356620440389,10,0.0339302521210898,0.0105054099229491,49
rf_l3s2_bgc,Boreal forest,FGEV_iav_Boreal forest,FGEV,iav,187,4.159127812336516e-05,49,0.0103164429903843,0.010274851712260934,50
psi50,Boreal forest,FGEV_iav_Boreal forest,FGEV,iav,45,0.0135568653433447,95,0.0033014590239751,0.010255406319369598,51
rstem,Boreal forest,FGEV_iav_Boreal forest,FGEV,iav,175,0.00018410486896,50,0.0100657341223374,0.0098816292533774,52
wind_snowcompact_fact,Boreal forest,FGEV_iav_Boreal forest,FGEV,iav,78,0.0055594774840173,31,0.0152098007609004,0.0096503232768831,53
fsr_pft,Boreal forest,FGEV_iav_Boreal forest,FGEV,iav,60,0.0101771990902685,160,0.0007085621006129,0.009468636989655601,54
maxpsi_hr,Boreal forest,FGEV_iav_Boreal forest,FGEV,iav,55,0.0107741693535223,129,0.0014132211834387,0.0093609481700836,55
br_root,Boreal forest,FGEV_iav_Boreal forest,FGEV,iav,39,0.0181776462081161,52,0.0088710133597583,0.0093066328483578,56
fd_pft,Boreal forest,FGEV_iav_Boreal forest,FGEV,iav,62,0.0099713680965428,147,0.0010064682447379,0.0089648998518049,57
dleaf,Boreal forest,FGEV_iav_Boreal forest,FGEV,iav,49,0.0127513369988942,89,0.0042166761071751,0.0085346608917191,58
tpuhd,Boreal forest,FGEV_iav_Boreal forest,FGEV,iav,38,0.0201261168150056,41,0.0117885088812804,0.0083376079337252,59
pc,Boreal forest,FGEV_iav_Boreal forest,FGEV,iav,33,0.0216972546322676,17,0.0297565782147945,0.008059323582526902,60
koha,Boreal forest,FGEV_iav_Boreal forest,FGEV,iav,57,0.0104971827244731,104,0.0027712756432946,0.0077259070811785,61
baseflow_scalar,Boreal forest,FGEV_iav_Boreal forest,FGEV,iav,63,0.009944889636603,113,0.0022985413045271,0.0076463483320759,62
rootprof_beta,Boreal forest,FGEV_iav_Boreal forest,FGEV,iav,48,0.0132633926657532,80,0.0056638927810581,0.007599499884695099,63
rhosnir,Boreal forest,FGEV_iav_Boreal forest,FGEV,iav,139,0.0007682611647004,57,0.0081360177082752,0.007367756543574799,64
vcmaxhd,Boreal forest,FGEV_iav_Boreal forest,FGEV,iav,71,0.0069653426640531,34,0.0142934350324247,0.0073280923683716,65
r_mort,Boreal forest,FGEV_iav_Boreal forest,FGEV,iav,44,0.0148211982773726,64,0.0076933405451259,0.0071278577322466995,66
k_nitr_max_perday,Boreal forest,FGEV_iav_Boreal forest,FGEV,iav,34,0.0211402697106491,35,0.014018886767069,0.0071213829435800985,67
e_ice,Boreal forest,FGEV_iav_Boreal forest,FGEV,iav,54,0.0113042719897389,84,0.0045884753557606,0.0067157966339783,68
minrelh,Boreal forest,FGEV_iav_Boreal forest,FGEV,iav,161,0.0003742269723763,69,0.0068485619561389,0.0064743349837626,69
cp25_yr2000,Boreal forest,FGEV_iav_Boreal forest,FGEV,iav,106,0.0024153829660142,53,0.0088311664650125,0.006415783498998301,70
denitrif_respiration_coefficient,Boreal forest,FGEV_iav_Boreal forest,FGEV,iav,73,0.0065367839375265,170,0.0003818031271893,0.0061549808103372,71
nstem,Boreal forest,FGEV_iav_Boreal forest,FGEV,iav,61,0.0101706310296888,29,0.0161806650253514,0.006010033995662599,72
kn_nonmyc,Boreal forest,FGEV_iav_Boreal forest,FGEV,iav,113,0.0019182536011732,60,0.0079230349288844,0.006004781327711201,73
slopemax,Boreal forest,FGEV_iav_Boreal forest,FGEV,iav,52,0.0117847255499687,28,0.0177409343873497,0.005956208837381001,74
FR,Boreal forest,FGEV_iav_Boreal forest,FGEV,iav,68,0.0082044059419703,114,0.0022687521838993,0.005935653758071,75
fbw,Boreal forest,FGEV_iav_Boreal forest,FGEV,iav,69,0.0077254005650734,122,0.0018050550301414,0.005920345534932,76
zlnd,Boreal forest,FGEV_iav_Boreal forest,FGEV,iav,67,0.0088482348747694,99,0.0032576237403331,0.0055906111344362994,77
