param_name,biome,criteria,variable,measure,ssp_rank,ssp_range,pi_rank,pi_range,diff_range,diff_rank
FUN_fracfixers,global,FGEV_IAV_global,FGEV,iav,5,0.0493393399329305,149,0.0010322080941435,0.048307131838787,1
tpuse_sf,global,FGEV_IAV_global,FGEV,iav,4,0.0527086548488118,47,0.0078951245448748,0.044813530303937,2
wc2wjb0,global,FGEV_IAV_global,FGEV,iav,36,0.0116446077811975,6,0.0458650742259357,0.034220466444738196,3
medlynslope,global,FGEV_IAV_global,FGEV,iav,15,0.0193611547860398,4,0.049429292105496,0.0300681373194562,4
dleaf,global,FGEV_IAV_global,FGEV,iav,27,0.0139140695588116,8,0.0403719200981555,0.0264578505393439,5
frac_sat_soil_dsl_init,global,FGEV_IAV_global,FGEV,iav,1,0.1941586601535635,1,0.2196653265688858,0.025506666415322288,6
maxpsi_hr,global,FGEV_IAV_global,FGEV,iav,8,0.0251798858100668,154,0.0009207021186254,0.0242591836914414,7
KCN,global,FGEV_IAV_global,FGEV,iav,68,0.0043658420684043,13,0.0285599047360703,0.024194062667666,8
lmr_intercept_atkin,global,FGEV_IAV_global,FGEV,iav,63,0.005346459247296,15,0.0273543088723112,0.0220078496250152,9
theta_ip,global,FGEV_IAV_global,FGEV,iav,14,0.0193669555107988,190,1.3753469259636386e-05,0.019353202041539164,10
jmaxb1,global,FGEV_IAV_global,FGEV,iav,20,0.015952212015988,10,0.0351777325788371,0.0192255205628491,11
theta_cj,global,FGEV_IAV_global,FGEV,iav,21,0.0152328634435065,11,0.0343367398418459,0.019103876398339395,12
cp25_yr2000,global,FGEV_IAV_global,FGEV,iav,161,0.000439278755668,25,0.0193749955500035,0.0189357167943355,13
jmaxb0,global,FGEV_IAV_global,FGEV,iav,10,0.0240238124695237,7,0.0422823239158582,0.0182585114463345,14
baseflow_scalar,global,FGEV_IAV_global,FGEV,iav,6,0.0291564938381134,5,0.0469096052499024,0.017753111411788997,15
kcha,global,FGEV_IAV_global,FGEV,iav,44,0.0102617473937515,14,0.0277797428654149,0.017517995471663397,16
vcmaxhd,global,FGEV_IAV_global,FGEV,iav,49,0.0091794485691265,16,0.0264306848285948,0.0172512362594683,17
