param_name,biome,criteria,variable,measure,ssp_rank,ssp_range,pi_rank,pi_range,diff_range,diff_rank
slopemax,Boreal forest,FGEV_iav_Boreal forest,FGEV,iav,2,0.0694023762858389,59,0.0063696878352328,0.0630326884506061,1
upplim_destruct_metamorph,Boreal forest,FGEV_iav_Boreal forest,FGEV,iav,1,0.097240397058125,13,0.0361563232522105,0.0610840738059145,2
vcmaxha,Boreal forest,FGEV_iav_Boreal forest,FGEV,iav,80,0.0048085888617015,3,0.0500568673832363,0.045248278521534804,3
medlynslope,Boreal forest,FGEV_iav_Boreal forest,FGEV,iav,129,0.001559355691262,6,0.0431716516754885,0.0416122959842265,4
jmaxha,Boreal forest,FGEV_iav_Boreal forest,FGEV,iav,37,0.0106509060182772,4,0.0448402942289172,0.03418938821064,5
kcha,Boreal forest,FGEV_iav_Boreal forest,FGEV,iav,60,0.0065756241333347,8,0.0403229563692298,0.0337473322358951,6
lmrha,Boreal forest,FGEV_iav_Boreal forest,FGEV,iav,42,0.0097043348558077,10,0.0390787730053137,0.029374438149506,7
d_max,Boreal forest,FGEV_iav_Boreal forest,FGEV,iav,3,0.0626025577411754,1,0.0891440935346045,0.02654153579342909,8
theta_cj,Boreal forest,FGEV_iav_Boreal forest,FGEV,iav,66,0.0059111621946288,16,0.0321847150416714,0.026273552847042598,9
pc,Boreal forest,FGEV_iav_Boreal forest,FGEV,iav,6,0.0486537155399151,21,0.0230777869165368,0.025575928623378298,10
lmrhd,Boreal forest,FGEV_iav_Boreal forest,FGEV,iav,75,0.0052006745565808,19,0.0303646817066936,0.0251640071501128,11
csoilc,Boreal forest,FGEV_iav_Boreal forest,FGEV,iav,8,0.0409114014872136,27,0.019356976135192,0.0215544253520216,12
jmaxb0,Boreal forest,FGEV_iav_Boreal forest,FGEV,iav,17,0.0186166930740931,9,0.0396621876738193,0.0210454945997262,13
leafcn,Boreal forest,FGEV_iav_Boreal forest,FGEV,iav,23,0.0163597516294595,12,0.0368018347825638,0.020442083153104296,14
jmaxb1,Boreal forest,FGEV_iav_Boreal forest,FGEV,iav,10,0.0262303783410217,5,0.0448059592593445,0.018575580918322798,15
snw_rds_refrz,Boreal forest,FGEV_iav_Boreal forest,FGEV,iav,36,0.011099204762541,20,0.0284325247712602,0.017333320008719198,16
tpuse_sf,Boreal forest,FGEV_iav_Boreal forest,FGEV,iav,21,0.0170641964575254,156,0.0005466651065153,0.016517531351010098,17
sand_pf,Boreal forest,FGEV_iav_Boreal forest,FGEV,iav,20,0.0170721963003376,14,0.0335138608926063,0.0164416645922687,18
wc2wjb0,Boreal forest,FGEV_iav_Boreal forest,FGEV,iav,27,0.0145622401933719,17,0.0309146139105756,0.016352373717203703,19
fff,Boreal forest,FGEV_iav_Boreal forest,FGEV,iav,68,0.0057859742321538,24,0.0212626919790662,0.015476717746912401,20
slatop,Boreal forest,FGEV_iav_Boreal forest,FGEV,iav,61,0.0064231372061799,23,0.0212779914934673,0.014854854287287401,21
theta_ip,Boreal forest,FGEV_iav_Boreal forest,FGEV,iav,28,0.0144530250061978,121,0.0014022099577889,0.0130508150484089,22
tpuhd,Boreal forest,FGEV_iav_Boreal forest,FGEV,iav,29,0.0144198134993096,108,0.0017620118831853,0.0126578016161243,23
zsno,Boreal forest,FGEV_iav_Boreal forest,FGEV,iav,7,0.0433119632899245,18,0.0306790109449927,0.012632952344931805,24
frac_sat_soil_dsl_init,Boreal forest,FGEV_iav_Boreal forest,FGEV,iav,4,0.0556472436669077,7,0.043017375290504,0.012629868376403702,25
som_diffus,Boreal forest,FGEV_iav_Boreal forest,FGEV,iav,30,0.0130982833624529,159,0.0005005378301279,0.012597745532325,26
lmrse,Boreal forest,FGEV_iav_Boreal forest,FGEV,iav,109,0.0028464177416517,34,0.0153339812472772,0.0124875635056255,27
