param_name,biome,criteria,variable,measure,ssp_rank,ssp_range,pi_rank,pi_range,diff_range,diff_rank
frac_sat_soil_dsl_init,global,FGEV_IAV_global,FGEV,iav,1,0.1941586601535635,1,0.2406925202839969,0.046533860130433397,1
baseflow_scalar,global,FGEV_IAV_global,FGEV,iav,6,0.0291564938381134,3,0.0611094963934814,0.031953002555367996,2
jmaxb0,global,FGEV_IAV_global,FGEV,iav,10,0.0240238124695237,4,0.051902559795277,0.027878747325753298,3
vcmaxhd,global,FGEV_IAV_global,FGEV,iav,49,0.0091794485691265,7,0.0344877954676129,0.025308346898486402,4
fff,global,FGEV_IAV_global,FGEV,iav,3,0.056997006330998,11,0.0317687919963954,0.0252282143346026,5
tpuse_sf,global,FGEV_IAV_global,FGEV,iav,4,0.0527086548488118,16,0.0282806713813184,0.0244279834674934,6
maxpsi_hr,global,FGEV_IAV_global,FGEV,iav,8,0.0251798858100668,136,0.0013852554081716,0.023794630401895202,7
lmrse,global,FGEV_IAV_global,FGEV,iav,52,0.0082451044259745,12,0.0317621668520597,0.0235170624260852,8
lmrhd,global,FGEV_IAV_global,FGEV,iav,54,0.0071338523556968,17,0.0282455652580975,0.0211117129024007,9
liq_canopy_storage_scalar,global,FGEV_IAV_global,FGEV,iav,9,0.0242877201778111,80,0.0033562531621054,0.020931467015705703,10
wc2wjb0,global,FGEV_IAV_global,FGEV,iav,36,0.0116446077811975,10,0.0320461878383109,0.020401580057113396,11
kcha,global,FGEV_IAV_global,FGEV,iav,44,0.0102617473937515,14,0.0304556475512921,0.0201939001575406,12
theta_cj,global,FGEV_IAV_global,FGEV,iav,21,0.0152328634435065,8,0.034125703979227,0.018892840535720497,13
theta_ip,global,FGEV_IAV_global,FGEV,iav,14,0.0193669555107988,155,0.0007506718008255,0.0186162837099733,14
vcmaxha,global,FGEV_IAV_global,FGEV,iav,46,0.0099340105434614,15,0.0283014898784672,0.0183674793350058,15
cpha,global,FGEV_IAV_global,FGEV,iav,87,0.0027487000959783,22,0.0209975818730064,0.0182488817770281,16
jmaxb1,global,FGEV_IAV_global,FGEV,iav,20,0.015952212015988,9,0.0341211182455232,0.0181689062295352,17
vcmaxse_sf,global,FGEV_IAV_global,FGEV,iav,60,0.0059853400731878,18,0.0240369712196768,0.018051631146489,18
dleaf,global,FGEV_IAV_global,FGEV,iav,27,0.0139140695588116,13,0.0312114913811109,0.0172974218222993,19
maximum_leaf_wetted_fraction,global,FGEV_IAV_global,FGEV,iav,7,0.0256720736876626,40,0.0100835898460777,0.015588483841584901,20
leafcn,global,FGEV_IAV_global,FGEV,iav,11,0.0237411371468141,6,0.0386978887147627,0.014956751567948599,21
d_max,global,FGEV_IAV_global,FGEV,iav,2,0.1352106164411372,2,0.1485637834322178,0.013353166991080606,22
aq_sp_yield_min,global,FGEV_IAV_global,FGEV,iav,33,0.0126134175917068,192,2.8814325294945764e-06,0.012610536159177305,23
accum_factor,global,FGEV_IAV_global,FGEV,iav,24,0.0145038967663,105,0.0023481931059144,0.0121557036603856,24
psi50,global,FGEV_IAV_global,FGEV,iav,117,0.0015290493461228,30,0.0133456188703616,0.0118165695242388,25
sand_pf,global,FGEV_IAV_global,FGEV,iav,13,0.0196085398695649,48,0.0078515124014167,0.0117570274681482,26
rf_s2s1_bgc,global,FGEV_IAV_global,FGEV,iav,28,0.0134245741840098,114,0.0018759092696392,0.0115486649143706,27
xl,global,FGEV_IAV_global,FGEV,iav,158,0.0005282881324097,35,0.0112942547842589,0.0107659666518492,28
lai_dl,global,FGEV_IAV_global,FGEV,iav,39,0.0110477909189207,175,0.0003730665859008,0.0106747243330199,29
FUN_fracfixers,global,FGEV_IAV_global,FGEV,iav,5,0.0493393399329305,5,0.0391379885781884,0.010201351354742101,30
cn_s3_bgc,global,FGEV_IAV_global,FGEV,iav,29,0.0132296942624473,77,0.003507775779253,0.0097219184831943,31
lmr_intercept_atkin,global,FGEV_IAV_global,FGEV,iav,63,0.005346459247296,27,0.0146133437104303,0.009266884463134301,32
a_coef,global,FGEV_IAV_global,FGEV,iav,23,0.0146858575030248,60,0.0054591359835126,0.0092267215195122,33
interception_fraction,global,FGEV_IAV_global,FGEV,iav,42,0.0108315798136038,119,0.0016706822121336,0.0091608976014702,34
leaf_long,global,FGEV_IAV_global,FGEV,iav,31,0.012705117577837,21,0.0212125492386204,0.008507431660783398,35
tkd_sand,global,FGEV_IAV_global,FGEV,iav,163,0.0003994651634374,46,0.0087858749826872,0.008386409819249799,36
a_exp,global,FGEV_IAV_global,FGEV,iav,37,0.0116427564810448,78,0.0033606234229051,0.0082821330581397,37
kmax,global,FGEV_IAV_global,FGEV,iav,16,0.0184754259620717,39,0.0102344371822588,0.0082409887798129,38
rf_l2s1_bgc,global,FGEV_IAV_global,FGEV,iav,51,0.0087594212130122,168,0.0005235897184835,0.0082358314945287,39
zlnd,global,FGEV_IAV_global,FGEV,iav,35,0.0116534105849792,72,0.0039039343689033,0.0077494762160759,40
csoilc,global,FGEV_IAV_global,FGEV,iav,43,0.0105565505187018,91,0.0029034115143411,0.0076531390043607,41
grperc,global,FGEV_IAV_global,FGEV,iav,91,0.0024277925241507,41,0.0099516567844703,0.007523864260319599,42
n_baseflow,global,FGEV_IAV_global,FGEV,iav,12,0.022101572539336,28,0.0145934949235214,0.007508077615814599,43
cp25_yr2000,global,FGEV_IAV_global,FGEV,iav,161,0.000439278755668,49,0.0075830850291749,0.0071438062735069,44
prh30,global,FGEV_IAV_global,FGEV,iav,45,0.0099715136185152,89,0.0029415071351237,0.0070300064833915005,45
wind_snowcompact_fact,global,FGEV_IAV_global,FGEV,iav,30,0.0128683205809267,57,0.0059339623975207,0.006934358183406,46
q10_mr,global,FGEV_IAV_global,FGEV,iav,50,0.0090067131633543,26,0.0155091454771533,0.006502432313799,47
tpuha,global,FGEV_IAV_global,FGEV,iav,82,0.0031160524807718,42,0.0095751206640591,0.0064590681832873,48
jmaxse_sf,global,FGEV_IAV_global,FGEV,iav,18,0.0171923186222216,19,0.0236492431733467,0.0064569245511251,49
zbedrock_sf,global,FGEV_IAV_global,FGEV,iav,38,0.0112095053029174,65,0.0047597128804311,0.0064497924224863,50
fm_other,global,FGEV_IAV_global,FGEV,iav,160,0.000488731286421,52,0.0068949236259662,0.0064061923395452,51
medlynslope,global,FGEV_IAV_global,FGEV,iav,15,0.0193611547860398,31,0.0132308315950909,0.006130323190948901,52
theta_psii,global,FGEV_IAV_global,FGEV,iav,182,0.0001875029217614,54,0.0062804849295057,0.0060929820077443,53
kc25_coef,global,FGEV_IAV_global,FGEV,iav,133,0.0010442507327453,51,0.0070630087443307,0.0060187580115854,54
krmax,global,FGEV_IAV_global,FGEV,iav,48,0.0097109061956364,25,0.0155523716352286,0.0058414654395922,55
slopebeta,global,FGEV_IAV_global,FGEV,iav,53,0.0072769187996727,120,0.0016376180519538,0.0056393007477189,56
froot_leaf,global,FGEV_IAV_global,FGEV,iav,40,0.010921445682596,24,0.01639047133863,0.005469025656033999,57
som_diffus,global,FGEV_IAV_global,FGEV,iav,76,0.0034987237799136,45,0.0088370411388129,0.005338317358899301,58
tpu25ratio,global,FGEV_IAV_global,FGEV,iav,58,0.0062670052230188,145,0.0010730944236435,0.0051939107993753,59
nstem,global,FGEV_IAV_global,FGEV,iav,69,0.0043648093312613,43,0.0095126109955738,0.0051478016643125,60
tau_l2_l3,global,FGEV_IAV_global,FGEV,iav,59,0.0060994733021604,144,0.0010817938766565,0.0050176794255039,61
tpuhd,global,FGEV_IAV_global,FGEV,iav,81,0.0031262200484472,47,0.0081115370672645,0.0049853170188173,62
fnps,global,FGEV_IAV_global,FGEV,iav,62,0.005467541705936,162,0.0006136344668392,0.0048539072390968,63
slatop,global,FGEV_IAV_global,FGEV,iav,70,0.0042901469764528,44,0.009051629269326,0.0047614822928732,64
jmaxhd,global,FGEV_IAV_global,FGEV,iav,17,0.0172058926575261,20,0.0217950911119133,0.004589198454387201,65
rh_hgh,global,FGEV_IAV_global,FGEV,iav,89,0.0027015866201058,50,0.0072368502237564,0.0045352636036506,66
tau_l1,global,FGEV_IAV_global,FGEV,iav,64,0.0053241234346146,153,0.0008096375627949,0.004514485871819699,67
k_nitr_max_perday,global,FGEV_IAV_global,FGEV,iav,121,0.0014635237958534,56,0.0059436955795865,0.0044801717837331,68
minrelh,global,FGEV_IAV_global,FGEV,iav,148,0.0007718924311601,62,0.0051583988845181,0.0043865064533580005,69
lwtop_ann,global,FGEV_IAV_global,FGEV,iav,130,0.0011624971316895,59,0.0055247789056414,0.0043622817739519,70
kp25ratio,global,FGEV_IAV_global,FGEV,iav,164,0.000382277743118,68,0.0045714204063208,0.0041891426632028,71
cv,global,FGEV_IAV_global,FGEV,iav,22,0.0151005764288204,36,0.0110778986657854,0.004022677763035,72
frootcn,global,FGEV_IAV_global,FGEV,iav,94,0.0023495418118592,53,0.0063520276885381,0.0040024858766789006,73
rh_low,global,FGEV_IAV_global,FGEV,iav,102,0.0019977492839693,58,0.0057268110922386,0.0037290618082692997,74
tau_s2,global,FGEV_IAV_global,FGEV,iav,73,0.0039831037673653,179,0.0003013483556009,0.0036817554117643996,75
tau_s3,global,FGEV_IAV_global,FGEV,iav,61,0.005774959851525,109,0.0021097071823149,0.0036652526692101004,76
FR,global,FGEV_IAV_global,FGEV,iav,144,0.0007923358219603,71,0.0041765282969133,0.003384192474953,77
rstem,global,FGEV_IAV_global,FGEV,iav,66,0.0047604430070672,125,0.0015666165422777,0.0031938264647894997,78
freelivfix_slope_wet,global,FGEV_IAV_global,FGEV,iav,65,0.0052372986562104,108,0.0022156802358292,0.0030216184203811997,79
tau_cwd,global,FGEV_IAV_global,FGEV,iav,67,0.0047449896985371,116,0.0017601619209994,0.0029848277775377007,80
cc_other,global,FGEV_IAV_global,FGEV,iav,93,0.0023644748221365,61,0.0052493978146053,0.0028849229924688,81
tau_s1,global,FGEV_IAV_global,FGEV,iav,169,0.0003441979231825,81,0.0032001667086753,0.0028559687854927997,82
zetamaxstable,global,FGEV_IAV_global,FGEV,iav,56,0.0065081501968547,75,0.0036686101946575,0.0028395400021972,83
relhExp,global,FGEV_IAV_global,FGEV,iav,83,0.0031141237223615,55,0.0059448566689888,0.0028307329466273003,84
clay_pf,global,FGEV_IAV_global,FGEV,iav,57,0.006495697935111,74,0.0037876124795188,0.0027080854555921996,85
lfuel,global,FGEV_IAV_global,FGEV,iav,181,0.0001926664887988,92,0.002892832001258,0.0027001655124592,86
fsr_pft,global,FGEV_IAV_global,FGEV,iav,26,0.013973549777078,34,0.01131740941226,0.002656140364818,87
ko25_coef,global,FGEV_IAV_global,FGEV,iav,175,0.0002497970841254,93,0.0027961460792721,0.0025463489951466998,88
lmrha,global,FGEV_IAV_global,FGEV,iav,107,0.0017871163862079,69,0.0042990062485381,0.0025118898623302,89
fd_pft,global,FGEV_IAV_global,FGEV,iav,25,0.0140213809300377,33,0.0115656656734001,0.002455715256637599,90
fbw,global,FGEV_IAV_global,FGEV,iav,180,0.0002012041944576,97,0.0026358549820187,0.0024346507875610997,91
upplim_destruct_metamorph,global,FGEV_IAV_global,FGEV,iav,154,0.0006198996490711,88,0.0029979909077117,0.0023780912586406,92
ndays_off,global,FGEV_IAV_global,FGEV,iav,165,0.0003784702490412,95,0.0027151320846892,0.002336661835648,93
rootprof_beta,global,FGEV_IAV_global,FGEV,iav,92,0.0023962614205775,66,0.0047074057360314,0.0023111443154539,94
rhosnir,global,FGEV_IAV_global,FGEV,iav,84,0.002990650644311,158,0.0006839446372096,0.0023067060071014,95
fun_cn_flex_a,global,FGEV_IAV_global,FGEV,iav,101,0.0020477636303384,70,0.0042960016052664,0.002248237974928,96
KCN,global,FGEV_IAV_global,FGEV,iav,68,0.0043658420684043,104,0.0024052379474927,0.0019606041209115996,97
jmaxha,global,FGEV_IAV_global,FGEV,iav,145,0.0007860011158581,94,0.0027179636048816,0.0019319624890235,98
scvng_fct_mlt_sf,global,FGEV_IAV_global,FGEV,iav,183,0.0001786370047368,110,0.002109566711426,0.0019309297066891998,99
rf_l3s2_bgc,global,FGEV_IAV_global,FGEV,iav,55,0.0068457477670016,63,0.005012598161796,0.0018331496052056,100
max_altdepth_cryoturbation,global,FGEV_IAV_global,FGEV,iav,90,0.0024729071599448,156,0.0007103092329103,0.0017625979270344998,101
kn_nonmyc,global,FGEV_IAV_global,FGEV,iav,105,0.001929395575765,184,0.0001698582806875,0.0017595372950775,102
cryoturb_diffusion_k,global,FGEV_IAV_global,FGEV,iav,88,0.0027175856536048,147,0.0009820791734839,0.0017355064801208998,103
csol_sand,global,FGEV_IAV_global,FGEV,iav,80,0.0031312094696795,131,0.0014192938772125,0.001711915592467,104
akn_active,global,FGEV_IAV_global,FGEV,iav,97,0.0022339654982827,167,0.0005285571372758,0.0017054083610069,105
taulnir,global,FGEV_IAV_global,FGEV,iav,122,0.0014419679607351,83,0.0031472423676737,0.0017052744069386,106
cc_leaf,global,FGEV_IAV_global,FGEV,iav,126,0.0012467149130458,90,0.002929159070051,0.0016824441570051998,107
LF,global,FGEV_IAV_global,FGEV,iav,146,0.0007800975623738,102,0.0024371719731451,0.0016570744107713,108
tkd_om,global,FGEV_IAV_global,FGEV,iav,95,0.0022779489152306,161,0.0006233150162189,0.0016546338990117001,109
e_ice,global,FGEV_IAV_global,FGEV,iav,116,0.0015302266939745,82,0.0031532637872941,0.0016230370933196,110
om_frac_sf,global,FGEV_IAV_global,FGEV,iav,41,0.010848173607081,32,0.0124510678147737,0.0016028942076927004,111
tau_ref,global,FGEV_IAV_global,FGEV,iav,106,0.0017930296128997,183,0.0002002152680945,0.0015928143448052,112
