param_name,biome,criteria,variable,measure,ssp_rank,ssp_range,pi_rank,pi_range,diff_range,diff_rank
slopemax,Boreal forest,FGEV_iav_Boreal forest,FGEV,iav,2,0.0694023762858389,28,0.0177409343873497,0.051661441898489195,1
upplim_destruct_metamorph,Boreal forest,FGEV_iav_Boreal forest,FGEV,iav,1,0.097240397058125,5,0.0480315540317565,0.0492088430263685,2
zsno,Boreal forest,FGEV_iav_Boreal forest,FGEV,iav,7,0.0433119632899245,65,0.0075353526449576,0.0357766106449669,3
lmrha,Boreal forest,FGEV_iav_Boreal forest,FGEV,iav,42,0.0097043348558077,6,0.0430142435525199,0.0333099086967122,4
jmaxb0,Boreal forest,FGEV_iav_Boreal forest,FGEV,iav,17,0.0186166930740931,4,0.0487382311343222,0.0301215380602291,5
fff,Boreal forest,FGEV_iav_Boreal forest,FGEV,iav,68,0.0057859742321538,9,0.0357741911332663,0.0299882169011125,6
medlynslope,Boreal forest,FGEV_iav_Boreal forest,FGEV,iav,129,0.001559355691262,14,0.0312647071945086,0.0297053515032466,7
csoilc,Boreal forest,FGEV_iav_Boreal forest,FGEV,iav,8,0.0409114014872136,33,0.0143649127865864,0.026546488700627202,8
jmaxb1,Boreal forest,FGEV_iav_Boreal forest,FGEV,iav,10,0.0262303783410217,3,0.0526960227853581,0.0264656444443364,9
vcmaxha,Boreal forest,FGEV_iav_Boreal forest,FGEV,iav,80,0.0048085888617015,18,0.0291442517018566,0.0243356628401551,10
xdrdt,Boreal forest,FGEV_iav_Boreal forest,FGEV,iav,56,0.0082096801331725,15,0.0304232988037009,0.0222136186705284,11
snw_rds_refrz,Boreal forest,FGEV_iav_Boreal forest,FGEV,iav,36,0.011099204762541,11,0.0332095066701034,0.022110301907562403,12
theta_cj,Boreal forest,FGEV_iav_Boreal forest,FGEV,iav,66,0.0059111621946288,19,0.0278394160729252,0.0219282538782964,13
jmaxha,Boreal forest,FGEV_iav_Boreal forest,FGEV,iav,37,0.0106509060182772,13,0.0323170379459444,0.021666131927667198,14
leafcn,Boreal forest,FGEV_iav_Boreal forest,FGEV,iav,23,0.0163597516294595,8,0.0368789940503664,0.020519242420906896,15
pc,Boreal forest,FGEV_iav_Boreal forest,FGEV,iav,6,0.0486537155399151,17,0.0297565782147945,0.0188971373251206,16
cv,Boreal forest,FGEV_iav_Boreal forest,FGEV,iav,92,0.0038408134803971,22,0.0224218661277002,0.0185810526473031,17
maximum_leaf_wetted_fraction,Boreal forest,FGEV_iav_Boreal forest,FGEV,iav,111,0.0026611935240683,25,0.0200686105300643,0.017407417005995997,18
frac_sat_soil_dsl_init,Boreal forest,FGEV_iav_Boreal forest,FGEV,iav,4,0.0556472436669077,7,0.0384426578274294,0.0172045858394783,19
froot_leaf,Boreal forest,FGEV_iav_Boreal forest,FGEV,iav,15,0.0203063945047477,100,0.0032529400322274,0.0170534544725203,20
