param_name,biome,criteria,variable,measure,ssp_rank,ssp_range,pi_rank,pi_range,diff_range,diff_rank
csol_sand,global,FSH_IAV_global,FSH,iav,1,0.1172919819394681,89,0.0046572940872057,0.11263468785226241,1
medlynslope,global,FSH_IAV_global,FSH,iav,4,0.0976258404817296,17,0.0364487351029337,0.06117710537879591,2
jmaxb1,global,FSH_IAV_global,FSH,iav,10,0.0662382816908925,29,0.0163008964629934,0.0499373852278991,3
leafcn,global,FSH_IAV_global,FSH,iav,5,0.087980989200017,8,0.0436696738010783,0.0443113153989387,4
fff,global,FSH_IAV_global,FSH,iav,12,0.060464197385935,27,0.0177657792038525,0.0426984181820825,5
vcmaxha,global,FSH_IAV_global,FSH,iav,18,0.0449462189340406,61,0.0084947159940043,0.036451502940036296,6
wc2wjb0,global,FSH_IAV_global,FSH,iav,8,0.0723275190597267,15,0.0369575318555885,0.035369987204138205,7
vcmaxse_sf,global,FSH_IAV_global,FSH,iav,14,0.0528377026776387,24,0.0210728901230785,0.03176481255456021,8
jmaxb0,global,FSH_IAV_global,FSH,iav,6,0.0785139839338855,6,0.0468767504760539,0.03163723345783161,9
vcmaxhd,global,FSH_IAV_global,FSH,iav,13,0.0593191639215587,19,0.0293414696972684,0.029977694224290297,10
jmaxse_sf,global,FSH_IAV_global,FSH,iav,24,0.0340634944414979,77,0.0062798875691178,0.0277836068723801,11
frac_sat_soil_dsl_init,global,FSH_IAV_global,FSH,iav,2,0.1157189669939505,1,0.1427337115438658,0.0270147445499153,12
kcha,global,FSH_IAV_global,FSH,iav,17,0.0468235105311257,23,0.0213537527991895,0.0254697577319362,13
theta_cj,global,FSH_IAV_global,FSH,iav,9,0.0684773062773271,9,0.0433381189416255,0.025139187335701592,14
dleaf,global,FSH_IAV_global,FSH,iav,11,0.0634626006468818,12,0.0404001095227731,0.023062491124108707,15
cv,global,FSH_IAV_global,FSH,iav,7,0.076118454058788,4,0.0536966825155177,0.022421771543270304,16
lmrse,global,FSH_IAV_global,FSH,iav,33,0.0236510010295424,113,0.0025774971408437,0.021073503888698702,17
tpuse_sf,global,FSH_IAV_global,FSH,iav,27,0.0301648889871977,48,0.0105443482101423,0.019620540777055398,18
kn_nonmyc,global,FSH_IAV_global,FSH,iav,28,0.0292439153519418,55,0.0098822097271864,0.0193617056247554,19
liq_canopy_storage_scalar,global,FSH_IAV_global,FSH,iav,29,0.0286705901002359,52,0.0101164572794238,0.0185541328208121,20
sand_pf,global,FSH_IAV_global,FSH,iav,25,0.033994899586157,5,0.0524414849556823,0.0184465853695253,21
rholnir,global,FSH_IAV_global,FSH,iav,42,0.0180080171636696,179,0.0002983137841862,0.0177097033794834,22
psi50,global,FSH_IAV_global,FSH,iav,45,0.0146785092822738,18,0.0296530611163865,0.014974551834112698,23
kmax,global,FSH_IAV_global,FSH,iav,131,0.0021467406579762,28,0.0170417755704036,0.014895034912427402,24
rhosnir,global,FSH_IAV_global,FSH,iav,32,0.0254683578045262,41,0.0122248947547436,0.0132434630497826,25
maximum_leaf_wetted_fraction,global,FSH_IAV_global,FSH,iav,3,0.0996585587175324,2,0.0879398408361632,0.011718717881369203,26
