param_name,biome,criteria,variable,measure,ssp_rank,ssp_range,pi_rank,pi_range,diff_range,diff_rank
cv,Boreal forest,FSH_iav_Boreal forest,FSH,iav,1,0.0210919605280787,81,0.000649050204759,0.0204429103233197,1
nstem,Boreal forest,FSH_iav_Boreal forest,FSH,iav,3,0.0163522091638223,49,0.0014299212411088,0.014922287922713499,2
jmaxb0,Boreal forest,FSH_iav_Boreal forest,FSH,iav,2,0.0163580044661632,10,0.0040650966554554,0.012292907810707802,3
jmaxb1,Boreal forest,FSH_iav_Boreal forest,FSH,iav,7,0.0125889135275878,71,0.0007724769367604,0.0118164365908274,4
z0mr,Boreal forest,FSH_iav_Boreal forest,FSH,iav,4,0.0150765671648483,13,0.0037958264128594,0.011280740751988901,5
wc2wjb0,Boreal forest,FSH_iav_Boreal forest,FSH,iav,5,0.0141837890708062,14,0.0036906029943651,0.0104931860764411,6
tpu25ratio,Boreal forest,FSH_iav_Boreal forest,FSH,iav,10,0.0103222776405039,147,0.0001665971999555,0.0101556804405484,7
medlynintercept,Boreal forest,FSH_iav_Boreal forest,FSH,iav,12,0.0090160860860522,164,8.232555555995336e-05,0.008933760530492246,8
leafcn,Boreal forest,FSH_iav_Boreal forest,FSH,iav,9,0.0115188809019096,22,0.0026329569923828,0.0088859239095268,9
lmrha,Boreal forest,FSH_iav_Boreal forest,FSH,iav,8,0.0120923548287159,11,0.0040249861472167,0.0080673686814992,10
upplim_destruct_metamorph,Boreal forest,FSH_iav_Boreal forest,FSH,iav,13,0.0063181193408797,156,0.0001325108265022,0.0061856085143775,11
q10_mr,Boreal forest,FSH_iav_Boreal forest,FSH,iav,18,0.0057721081388105,125,0.0002868820722178,0.0054852260665927,12
leaf_long,Boreal forest,FSH_iav_Boreal forest,FSH,iav,16,0.0060046551152495,77,0.0007056468137041,0.005299008301545401,13
zetamaxstable,Boreal forest,FSH_iav_Boreal forest,FSH,iav,67,0.0010045219802537,5,0.0062889769790268,0.0052844549987731,14
theta_cj,Boreal forest,FSH_iav_Boreal forest,FSH,iav,21,0.005280433536241,184,1.4321714952914013e-05,0.005266111821288086,15
medlynslope,Boreal forest,FSH_iav_Boreal forest,FSH,iav,6,0.014130578241915,2,0.00919916976767,0.004931408474244999,16
lmr_intercept_atkin,Boreal forest,FSH_iav_Boreal forest,FSH,iav,23,0.0046647426089233,178,2.896716473134442e-05,0.004635775444191956,17
liq_canopy_storage_scalar,Boreal forest,FSH_iav_Boreal forest,FSH,iav,11,0.0096278564084607,7,0.005417680121514,0.0042101762869467,18
FUN_fracfixers,Boreal forest,FSH_iav_Boreal forest,FSH,iav,15,0.0061761602677961,35,0.0019923110050346,0.0041838492627615,19
d_max,Boreal forest,FSH_iav_Boreal forest,FSH,iav,20,0.0053462568662519,1,0.0094870428067461,0.0041407859404942,20
csol_sand,Boreal forest,FSH_iav_Boreal forest,FSH,iav,24,0.0045955918362504,99,0.0004635625592573,0.0041320292769931,21
slopebeta,Boreal forest,FSH_iav_Boreal forest,FSH,iav,63,0.0011302706209082,8,0.0051676312708879,0.0040373606499797,22
tpuha,Boreal forest,FSH_iav_Boreal forest,FSH,iav,19,0.0055350065490189,43,0.0015565426190639,0.003978463929955,23
maximum_leaf_wetted_fraction,Boreal forest,FSH_iav_Boreal forest,FSH,iav,51,0.0015445043918794,6,0.0054284935738388,0.0038839891819594,24
grperc,Boreal forest,FSH_iav_Boreal forest,FSH,iav,25,0.0044487213557794,76,0.0007059725570843,0.0037427487986951,25
frac_sat_soil_dsl_init,Boreal forest,FSH_iav_Boreal forest,FSH,iav,73,0.0008428647032734,9,0.0045060845950718,0.0036632198917983996,26
fbw,Boreal forest,FSH_iav_Boreal forest,FSH,iav,110,0.0004093386079577,12,0.0039433493595954,0.0035340107516376998,27
dleaf,Boreal forest,FSH_iav_Boreal forest,FSH,iav,17,0.0059921583268688,23,0.0025643975183732,0.0034277608084956,28
froot_leaf,Boreal forest,FSH_iav_Boreal forest,FSH,iav,27,0.0038771951333392,84,0.000634291772233,0.0032429033611061997,29
slatop,Boreal forest,FSH_iav_Boreal forest,FSH,iav,26,0.0042660720251661,58,0.0011282213953204,0.0031378506298457,30
cp25_yr2000,Boreal forest,FSH_iav_Boreal forest,FSH,iav,30,0.0035638150490859,67,0.0008674952279032,0.0026963198211827,31
lmrhd,Boreal forest,FSH_iav_Boreal forest,FSH,iav,39,0.002811665766102,146,0.0001808575292839,0.0026308082368181,32
fff,Boreal forest,FSH_iav_Boreal forest,FSH,iav,22,0.0048118113812594,4,0.0074065671290271,0.0025947557477677,33
snw_rds_refrz,Boreal forest,FSH_iav_Boreal forest,FSH,iav,116,0.0003895144075486,17,0.0028994519664221,0.0025099375588735,34
jmaxhd,Boreal forest,FSH_iav_Boreal forest,FSH,iav,120,0.0003679812772909,20,0.0026797922016534,0.0023118109243625,35
tau_s1,Boreal forest,FSH_iav_Boreal forest,FSH,iav,100,0.0004884199685105,18,0.0027538512845574,0.0022654313160469,36
e_ice,Boreal forest,FSH_iav_Boreal forest,FSH,iav,14,0.0062533727401502,3,0.008460989323296,0.0022076165831458,37
br_root,Boreal forest,FSH_iav_Boreal forest,FSH,iav,33,0.0032272026849687,63,0.0010247972256972,0.0022024054592715003,38
KCN,Boreal forest,FSH_iav_Boreal forest,FSH,iav,165,0.0001019019839656,28,0.0022651120071457,0.0021632100231801,39
xdrdt,Boreal forest,FSH_iav_Boreal forest,FSH,iav,166,9.417983615349346e-05,31,0.00216905619877,0.0020748763626165065,40
zbedrock_sf,Boreal forest,FSH_iav_Boreal forest,FSH,iav,155,0.0001383736626614,33,0.0021108646705095,0.0019724910078481,41
rstem,Boreal forest,FSH_iav_Boreal forest,FSH,iav,82,0.0006911113917429,21,0.0026389308626878,0.0019478194709449,42
frootcn,Boreal forest,FSH_iav_Boreal forest,FSH,iav,37,0.0028799718864254,66,0.0009414715798669,0.0019385003065585,43
r_mort,Boreal forest,FSH_iav_Boreal forest,FSH,iav,31,0.0033560006460551,47,0.0014538517835505,0.0019021488625046,44
prh30,Boreal forest,FSH_iav_Boreal forest,FSH,iav,32,0.0032898920185151,48,0.0014510877722949,0.0018388042462202001,45
theta_psii,Boreal forest,FSH_iav_Boreal forest,FSH,iav,38,0.0028731212852433,57,0.0012012765344007,0.0016718447508426001,46
decomp_depth_efolding,Boreal forest,FSH_iav_Boreal forest,FSH,iav,66,0.0010411668085943,25,0.0024953695124524,0.0014542027038580998,47
psi50,Boreal forest,FSH_iav_Boreal forest,FSH,iav,44,0.0019011970315903,101,0.0004471405355199,0.0014540564960703998,48
krmax,Boreal forest,FSH_iav_Boreal forest,FSH,iav,64,0.001129414320723,24,0.0025343482123054,0.0014049338915823998,49
accum_factor,Boreal forest,FSH_iav_Boreal forest,FSH,iav,29,0.0036108446262094,29,0.002215649307668,0.0013951953185414,50
ko25_coef,Boreal forest,FSH_iav_Boreal forest,FSH,iav,104,0.0004671841815647,39,0.0018324556117899,0.0013652714302252,51
snow_canopy_storage_scalar,Boreal forest,FSH_iav_Boreal forest,FSH,iav,47,0.0017259054046818,113,0.0003682174975823,0.0013576879070995,52
kn_nonmyc,Boreal forest,FSH_iav_Boreal forest,FSH,iav,75,0.0007664663493614,34,0.002000373951645,0.0012339076022836,53
vcmaxhd,Boreal forest,FSH_iav_Boreal forest,FSH,iav,36,0.0029560008217877,40,0.0017836660279361,0.0011723347938515998,54
interception_fraction,Boreal forest,FSH_iav_Boreal forest,FSH,iav,181,3.0152308925862625e-05,59,0.0011261876070095,0.0010960352980836374,55
lmrse,Boreal forest,FSH_iav_Boreal forest,FSH,iav,58,0.0012031377598656,158,0.0001291239630142,0.0010740137968514001,56
freelivfix_slope_wet,Boreal forest,FSH_iav_Boreal forest,FSH,iav,133,0.0002772725650322,53,0.0013345830769917,0.0010573105119595,57
theta_ip,Boreal forest,FSH_iav_Boreal forest,FSH,iav,42,0.0022519865782108,55,0.001206565836022,0.0010454207421888,58
rholnir,Boreal forest,FSH_iav_Boreal forest,FSH,iav,60,0.0011494655858589,160,0.0001058095171408,0.0010436560687181,59
slopemax,Boreal forest,FSH_iav_Boreal forest,FSH,iav,97,0.0005326561026671,42,0.0015674484463034,0.0010347923436363,60
koha,Boreal forest,FSH_iav_Boreal forest,FSH,iav,139,0.0002590857822022,54,0.0012526257441282,0.000993539961926,61
enzyme_turnover_daily,Boreal forest,FSH_iav_Boreal forest,FSH,iav,54,0.0013293764383833,119,0.0003371076099896,0.0009922688283937001,62
rootprof_beta,Boreal forest,FSH_iav_Boreal forest,FSH,iav,59,0.0011730194003021,133,0.000252725620758,0.0009202937795441,63
tkd_sand,Boreal forest,FSH_iav_Boreal forest,FSH,iav,129,0.0002944048699233,56,0.0012051654059014,0.0009107605359780999,64
cn_s3_bgc,Boreal forest,FSH_iav_Boreal forest,FSH,iav,161,0.0001136249516466,64,0.0009655544586488,0.0008519295070022,65
sand_pf,Boreal forest,FSH_iav_Boreal forest,FSH,iav,68,0.000986019175418,38,0.0018342381783955,0.0008482190029774999,66
zsno,Boreal forest,FSH_iav_Boreal forest,FSH,iav,28,0.0037979241087736,16,0.0029513100312902,0.0008466140774834002,67
jmaxha,Boreal forest,FSH_iav_Boreal forest,FSH,iav,35,0.0029572360019771,30,0.0021717462600331,0.000785489741944,68
freelivfix_intercept,Boreal forest,FSH_iav_Boreal forest,FSH,iav,190,6.161608577026634e-06,73,0.0007488182212791,0.0007426566127020734,69
a_coef,Boreal forest,FSH_iav_Boreal forest,FSH,iav,69,0.0009835252562348,131,0.0002595689165992,0.0007239563396356,70
fm_other,Boreal forest,FSH_iav_Boreal forest,FSH,iav,188,7.405840207905245e-06,74,0.000728517017059,0.0007211111768510947,71
scvng_fct_mlt_sf,Boreal forest,FSH_iav_Boreal forest,FSH,iav,121,0.0003574175982049,61,0.001066306669422,0.0007088890712171,72
tpuse_sf,Boreal forest,FSH_iav_Boreal forest,FSH,iav,65,0.0010440547970329,41,0.0016842940377832,0.0006402392407503,73
fd_pft,Boreal forest,FSH_iav_Boreal forest,FSH,iav,56,0.0012552645248911,86,0.000623766529991,0.0006314979949001001,74
pot_hmn_ign_counts_alpha,Boreal forest,FSH_iav_Boreal forest,FSH,iav,81,0.0007025769705782,166,7.221483125698785e-05,0.0006303621393212121,75
kc25_coef,Boreal forest,FSH_iav_Boreal forest,FSH,iav,57,0.0012202343443609,37,0.0018417210187511,0.0006214866743902,76
rf_l3s2_bgc,Boreal forest,FSH_iav_Boreal forest,FSH,iav,169,8.32549227075402e-05,78,0.0006980714975764,0.0006148165748688598,77
LF,Boreal forest,FSH_iav_Boreal forest,FSH,iav,83,0.0006874922992099,161,0.0001049764612656,0.0005825158379442999,78
k_nitr_max_perday,Boreal forest,FSH_iav_Boreal forest,FSH,iav,141,0.0002479002193826,69,0.0008301631957266,0.0005822629763440001,79
