param_name,biome,criteria,variable,measure,ssp_rank,ssp_range,pi_rank,pi_range,diff_range,diff_rank
maximum_leaf_wetted_fraction,global,FSH_IAV_global,FSH,iav,1,0.1222100318436468,7,0.0571586136349464,0.0650514182087004,1
sand_pf,global,FSH_IAV_global,FSH,iav,47,0.0092190725962965,3,0.0710699468931368,0.061850874296840296,2
FUN_fracfixers,global,FSH_IAV_global,FSH,iav,3,0.0852075714905909,21,0.0280490280061418,0.0571585434844491,3
medlynslope,global,FSH_IAV_global,FSH,iav,29,0.0178963470551795,2,0.0716414151612568,0.0537450681060773,4
kmax,global,FSH_IAV_global,FSH,iav,7,0.0519801619042924,108,0.003192216094248,0.0487879458100444,5
clay_pf,global,FSH_IAV_global,FSH,iav,100,0.0041583530084602,14,0.0421203052759932,0.037961952267532996,6
lmr_intercept_atkin,global,FSH_IAV_global,FSH,iav,23,0.0209073712455831,8,0.0549040451281508,0.033996673882567705,7
theta_cj,global,FSH_IAV_global,FSH,iav,20,0.0222438100514316,9,0.0533811576719159,0.031137347620484302,8
jmaxb0,global,FSH_IAV_global,FSH,iav,14,0.0348007488252878,4,0.0618795868355706,0.027078838010282796,9
wc2wjb0,global,FSH_IAV_global,FSH,iav,21,0.0220874937331573,12,0.0481162067763774,0.026028713043220103,10
tpu25ratio,global,FSH_IAV_global,FSH,iav,11,0.0372219315236523,45,0.011350087924237,0.0258718435994153,11
leaf_long,global,FSH_IAV_global,FSH,iav,24,0.0207343557144267,13,0.043130546933127,0.022396191218700297,12
medlynintercept,global,FSH_IAV_global,FSH,iav,19,0.0254328773268537,98,0.0037555312545097,0.021677346072344,13
tpuse_sf,global,FSH_IAV_global,FSH,iav,17,0.027440947984172,59,0.0078439533505497,0.0195969946336223,14
freelivfix_slope_wet,global,FSH_IAV_global,FSH,iav,86,0.0050502392470898,23,0.0246293198445512,0.0195790805974614,15
KCN,global,FSH_IAV_global,FSH,iav,37,0.0146664933089107,18,0.0321748867391792,0.0175083934302685,16
cv,global,FSH_IAV_global,FSH,iav,4,0.0693271949797652,10,0.0526172227753603,0.016709972204404892,17
jmaxb1,global,FSH_IAV_global,FSH,iav,9,0.0449576340291866,5,0.061608678172643,0.016651044143456396,18
theta_ip,global,FSH_IAV_global,FSH,iav,27,0.0193693457572217,97,0.0037984865777321,0.015570859179489601,19
vcmaxse_sf,global,FSH_IAV_global,FSH,iav,188,6.347335069895044e-05,31,0.0154428375121786,0.01537936416147965,20
leafcn,global,FSH_IAV_global,FSH,iav,8,0.0455841000537542,6,0.0603545391996582,0.014770439145904,21
psi50,global,FSH_IAV_global,FSH,iav,16,0.0316652341676378,29,0.0170833069077773,0.0145819272598605,22
decomp_depth_efolding,global,FSH_IAV_global,FSH,iav,180,0.0002613550514318,38,0.0141653919395132,0.0139040368880814,23
interception_fraction,global,FSH_IAV_global,FSH,iav,22,0.0218585439650896,58,0.0080240231236625,0.0138345208414271,24
slopemax,global,FSH_IAV_global,FSH,iav,163,0.0007677125987454,36,0.0145981177754909,0.013830405176745499,25
zsno,global,FSH_IAV_global,FSH,iav,13,0.0352603139058771,24,0.0215366362602552,0.013723677645621896,26
jmaxhd,global,FSH_IAV_global,FSH,iav,38,0.0141962489392956,155,0.0010911150536389,0.013105133885656699,27
grperc,global,FSH_IAV_global,FSH,iav,72,0.0058476554915238,26,0.0178681615687488,0.012020506077224997,28
maxpsi_hr,global,FSH_IAV_global,FSH,iav,36,0.0148481890231031,118,0.0028637286910279,0.0119844603320752,29
fff,global,FSH_IAV_global,FSH,iav,6,0.0520965742920065,15,0.0406230476463786,0.011473526645627903,30
fnps,global,FSH_IAV_global,FSH,iav,98,0.0042849505237324,35,0.0151635138258656,0.0108785633021332,31
frac_sat_soil_dsl_init,global,FSH_IAV_global,FSH,iav,2,0.1182783663142535,1,0.1282642395980164,0.009985873283762894,32
rf_l3s2_bgc,global,FSH_IAV_global,FSH,iav,34,0.0153030733240651,71,0.0054648468307173,0.009838226493347799,33
dleaf,global,FSH_IAV_global,FSH,iav,5,0.0590961165986773,11,0.0493671279574393,0.009728988641238001,34
tau_l1,global,FSH_IAV_global,FSH,iav,42,0.0115073195694573,135,0.00187431543724,0.0096330041322173,35
vcmaxhd,global,FSH_IAV_global,FSH,iav,156,0.0009614561714967,48,0.0102218821528362,0.0092604259813395,36
fd_pft,global,FSH_IAV_global,FSH,iav,78,0.0052717449974999,37,0.0144287751180992,0.009157030120599301,37
rootprof_beta,global,FSH_IAV_global,FSH,iav,48,0.0085916585501819,27,0.0175375949000326,0.0089459363498507,38
fsr_pft,global,FSH_IAV_global,FSH,iav,89,0.0048416539758537,39,0.0134268416397786,0.008585187663924899,39
tkd_om,global,FSH_IAV_global,FSH,iav,147,0.0013140400678285,50,0.0097803135922965,0.008466273524468,40
minpsi_hr,global,FSH_IAV_global,FSH,iav,185,0.0001495551971991,55,0.008518676033759,0.0083691208365599,41
ndays_off,global,FSH_IAV_global,FSH,iav,175,0.0004906377021561,53,0.0086711870615653,0.0081805493594092,42
pot_hmn_ign_counts_alpha,global,FSH_IAV_global,FSH,iav,45,0.0095189733933503,149,0.0013916150727223,0.008127358320628001,43
kn_nonmyc,global,FSH_IAV_global,FSH,iav,32,0.0174259137876602,22,0.0253718611387193,0.0079459473510591,44
wind_snowcompact_fact,global,FSH_IAV_global,FSH,iav,55,0.0073313810874988,185,0.0001724704296969,0.007158910657801901,45
cc_other,global,FSH_IAV_global,FSH,iav,56,0.0072090520496031,189,8.707587343798062e-05,0.007121976176165119,46
slatop,global,FSH_IAV_global,FSH,iav,50,0.0080000022301353,164,0.0009333083630289,0.0070666938671064,47
tau_cwd,global,FSH_IAV_global,FSH,iav,58,0.0070011178885422,181,0.0002893131602424,0.0067118047282998,48
zlnd,global,FSH_IAV_global,FSH,iav,28,0.0180701568282614,44,0.0115361317678952,0.0065340250603662005,49
jmax25top_sf,global,FSH_IAV_global,FSH,iav,61,0.0066306112049425,166,0.0007828444862492,0.0058477667186933,50
q10_mr,global,FSH_IAV_global,FSH,iav,67,0.0061858160852198,174,0.0004300650730714,0.0057557510121484,51
taulnir,global,FSH_IAV_global,FSH,iav,31,0.0174880946439798,42,0.0118165375634909,0.005671557080488899,52
cp25_yr2000,global,FSH_IAV_global,FSH,iav,149,0.0011960387533069,64,0.0068459008137167,0.005649862060409801,53
relhExp,global,FSH_IAV_global,FSH,iav,127,0.00222447565678,60,0.0077941555508693,0.0055696798940893,54
a_coef,global,FSH_IAV_global,FSH,iav,59,0.006765123480308,148,0.0014088634774646,0.0053562600028434,55
snw_rds_refrz,global,FSH_IAV_global,FSH,iav,80,0.0052667476959973,47,0.01049176057514,0.005225012879142699,56
xl,global,FSH_IAV_global,FSH,iav,25,0.0205494302468534,32,0.015397053422364,0.005152376824489399,57
jmaxha,global,FSH_IAV_global,FSH,iav,65,0.0064560825885632,151,0.0013685657592487,0.0050875168293145,58
rholvis,global,FSH_IAV_global,FSH,iav,49,0.0081081510982014,111,0.0031288721679442,0.0049792789302572,59
lmrha,global,FSH_IAV_global,FSH,iav,44,0.0102551651948468,34,0.0152034221532359,0.0049482569583891006,60
rhosvis,global,FSH_IAV_global,FSH,iav,181,0.0002104873167614,75,0.0051384649851247,0.0049279776683633005,61
snowcan_unload_temp_fact,global,FSH_IAV_global,FSH,iav,191,2.6624177772660573e-05,80,0.0049008894011329,0.004874265223360239,62
liq_canopy_storage_scalar,global,FSH_IAV_global,FSH,iav,84,0.0050749333663186,49,0.0098385588660394,0.004763625499720801,63
taulvis,global,FSH_IAV_global,FSH,iav,179,0.0002886513670474,78,0.0050350086232651,0.0047463572562176995,64
csoilc,global,FSH_IAV_global,FSH,iav,54,0.0073640308890118,123,0.0026795901873849,0.0046844407016269,65
kcha,global,FSH_IAV_global,FSH,iav,57,0.0071544349366015,125,0.0026027444497476,0.0045516904868539,66
e_ice,global,FSH_IAV_global,FSH,iav,170,0.0006128981009456,77,0.0050694837341812,0.0044565856332356,67
rstem,global,FSH_IAV_global,FSH,iav,46,0.009260436541704,81,0.0048411266795737,0.0044193098621303,68
tpuha,global,FSH_IAV_global,FSH,iav,62,0.0065665219835562,46,0.0109165501152987,0.0043500281317425,69
d_max,global,FSH_IAV_global,FSH,iav,12,0.0364605848240073,17,0.0322745681063612,0.004186016717646096,70
cryoturb_diffusion_k,global,FSH_IAV_global,FSH,iav,192,2.3574722360197864e-05,93,0.0041979384123305,0.004174363689970302,71
fm_other,global,FSH_IAV_global,FSH,iav,93,0.0045293647242967,178,0.0003868450967818,0.0041425196275149,72
denitrif_respiration_exponent,global,FSH_IAV_global,FSH,iav,95,0.0044844854263058,170,0.0006348868770443,0.0038495985492615005,73
om_frac_sf,global,FSH_IAV_global,FSH,iav,53,0.0073995525028581,101,0.0035543345059326,0.0038452179969255,74
wind_min,global,FSH_IAV_global,FSH,iav,69,0.0060449904605083,129,0.0022057414111515,0.0038392490493567998,75
jmaxse_sf,global,FSH_IAV_global,FSH,iav,81,0.0052409190012299,51,0.0090320430711908,0.0037911240699609,76
rf_l1s1_bgc,global,FSH_IAV_global,FSH,iav,64,0.0064574348655221,122,0.0026880874806499,0.0037693473848722,77
flivewd,global,FSH_IAV_global,FSH,iav,138,0.0018897738700736,69,0.0055712200658477,0.0036814461957740997,78
wood_density,global,FSH_IAV_global,FSH,iav,94,0.0044925571064067,57,0.0081649045486851,0.0036723474422784,79
xdrdt,global,FSH_IAV_global,FSH,iav,71,0.0059555705230701,128,0.0022850670927145,0.0036705034303555996,80
tau_l2_l3,global,FSH_IAV_global,FSH,iav,88,0.0048786356942788,56,0.0084835873285163,0.0036049516342374997,81
kc25_coef,global,FSH_IAV_global,FSH,iav,104,0.0038582546864387,62,0.0074062553906035,0.0035480007041647998,82
fm_root,global,FSH_IAV_global,FSH,iav,165,0.0007357202019804,91,0.0042449859207656,0.0035092657187852,83
krmax,global,FSH_IAV_global,FSH,iav,10,0.0418676577029409,16,0.0383623824255186,0.0035052752774223025,84
akn_active,global,FSH_IAV_global,FSH,iav,152,0.0011780835524315,85,0.004653164647954,0.0034750810955225,85
pd,global,FSH_IAV_global,FSH,iav,148,0.0013101711311619,84,0.0047156641309907,0.0034054929998287996,86
rf_l2s1_bgc,global,FSH_IAV_global,FSH,iav,117,0.0030851574693429,65,0.0064447045318932,0.0033595470625503005,87
fun_cn_flex_c,global,FSH_IAV_global,FSH,iav,77,0.0053345813743032,133,0.0020289629559157,0.0033056184183875,88
rhosnir,global,FSH_IAV_global,FSH,iav,26,0.0204597695851349,28,0.0171693962373224,0.0032903733478125002,89
rf_s3s1_bgc,global,FSH_IAV_global,FSH,iav,183,0.0001937821989003,103,0.0034529830463183,0.003259200847418,90
denitrif_respiration_coefficient,global,FSH_IAV_global,FSH,iav,168,0.0006376857810875,96,0.003894185078826,0.0032564992977385,91
nstem,global,FSH_IAV_global,FSH,iav,35,0.0149137295649022,43,0.0116797427888823,0.0032339867760199006,92
csol_sand,global,FSH_IAV_global,FSH,iav,76,0.005355761033297,130,0.0021333101589272,0.0032224508743698,93
cmb_cmplt_fact_litter,global,FSH_IAV_global,FSH,iav,90,0.0047455501657429,142,0.0015413646956096,0.0032041854701332995,94
