param_name,biome,criteria,variable,measure,ssp_rank,ssp_range,pi_rank,pi_range,diff_range,diff_rank
upplim_destruct_metamorph,Boreal forest,FSH_iav_Boreal forest,FSH,iav,19,0.0022322048040717,2,0.0085160606496653,0.0062838558455936,1
slatop,Boreal forest,FSH_iav_Boreal forest,FSH,iav,48,0.0010774219753908,9,0.0063722967851982,0.0052948748098074,2
lmrha,Boreal forest,FSH_iav_Boreal forest,FSH,iav,17,0.002281614110385,5,0.0072007885019391,0.0049191743915541,3
medlynslope,Boreal forest,FSH_iav_Boreal forest,FSH,iav,15,0.0024189865202943,6,0.0071714116753752,0.004752425155080901,4
fff,Boreal forest,FSH_iav_Boreal forest,FSH,iav,8,0.0041258848489403,1,0.0087881550761256,0.0046622702271853,5
medlynintercept,Boreal forest,FSH_iav_Boreal forest,FSH,iav,4,0.0058083017891397,57,0.0014723160616917,0.004335985727448,6
e_ice,Boreal forest,FSH_iav_Boreal forest,FSH,iav,177,3.656034366411598e-05,16,0.004164481194145,0.004127920850480884,7
liq_canopy_storage_scalar,Boreal forest,FSH_iav_Boreal forest,FSH,iav,1,0.0076675660132017,23,0.003540367664542,0.0041271983486597,8
sand_pf,Boreal forest,FSH_iav_Boreal forest,FSH,iav,12,0.0035090900254795,4,0.0074144608806563,0.0039053708551768,9
zsno,Boreal forest,FSH_iav_Boreal forest,FSH,iav,10,0.0037670927287491,3,0.0076182967576922,0.0038512040289431,10
jmaxb1,Boreal forest,FSH_iav_Boreal forest,FSH,iav,18,0.0022631491429841,10,0.0059142897957402,0.0036511406527561,11
accum_factor,Boreal forest,FSH_iav_Boreal forest,FSH,iav,70,0.0007339050120848,14,0.004331386353249,0.0035974813411642,12
slopebeta,Boreal forest,FSH_iav_Boreal forest,FSH,iav,36,0.0012819596551228,13,0.0048612102062984,0.0035792505511756,13
leaf_long,Boreal forest,FSH_iav_Boreal forest,FSH,iav,137,0.0001954494478625,22,0.0036911941394352,0.0034957446915727,14
slopemax,Boreal forest,FSH_iav_Boreal forest,FSH,iav,64,0.0008218076501009,18,0.0040506293650628,0.0032288217149619002,15
cpha,Boreal forest,FSH_iav_Boreal forest,FSH,iav,136,0.0002063730766164,26,0.0032590845397684,0.003052711463152,16
jmaxb0,Boreal forest,FSH_iav_Boreal forest,FSH,iav,87,0.0006087641776208,24,0.0034899507194179,0.0028811865417971002,17
wc2wjb0,Boreal forest,FSH_iav_Boreal forest,FSH,iav,47,0.0010856920433236,19,0.0039411774784266,0.002855485435103,18
om_frac_sf,Boreal forest,FSH_iav_Boreal forest,FSH,iav,35,0.0013356480391372,20,0.0039123456921805,0.0025766976530432997,19
theta_cj,Boreal forest,FSH_iav_Boreal forest,FSH,iav,142,0.0001761194431454,34,0.002674384984754,0.0024982655416086,20
vcmaxhd,Boreal forest,FSH_iav_Boreal forest,FSH,iav,163,8.38673082220881e-05,37,0.0023493705632751,0.002265503255053012,21
lmrhd,Boreal forest,FSH_iav_Boreal forest,FSH,iav,29,0.0016451624360063,21,0.0038252888660946,0.0021801264300883,22
q10_mr,Boreal forest,FSH_iav_Boreal forest,FSH,iav,51,0.0010053430426877,27,0.0031734839162658,0.0021681408735781003,23
tpuhd,Boreal forest,FSH_iav_Boreal forest,FSH,iav,13,0.0028078611701143,80,0.000642056729824,0.0021658044402903,24
jmaxhd,Boreal forest,FSH_iav_Boreal forest,FSH,iav,37,0.0012526251262316,25,0.0033300488049792,0.0020774236787476,25
zbedrock_sf,Boreal forest,FSH_iav_Boreal forest,FSH,iav,124,0.0002883354844925,38,0.0023456815218135,0.002057346037321,26
lmr_intercept_atkin,Boreal forest,FSH_iav_Boreal forest,FSH,iav,65,0.0008203139865713,32,0.002876061920199,0.0020557479336277,27
leafcn,Boreal forest,FSH_iav_Boreal forest,FSH,iav,107,0.0004461833007443,39,0.0022982105893011,0.0018520272885567998,28
KCN,Boreal forest,FSH_iav_Boreal forest,FSH,iav,151,0.0001474900493305,47,0.001912206223865,0.0017647161745344999,29
jmaxse_sf,Boreal forest,FSH_iav_Boreal forest,FSH,iav,34,0.00133669132286,29,0.0030822038104634,0.0017455124876034,30
pc,Boreal forest,FSH_iav_Boreal forest,FSH,iav,102,0.0004635797920818,40,0.0022090110911791,0.0017454312990973003,31
froot_leaf,Boreal forest,FSH_iav_Boreal forest,FSH,iav,135,0.0002114417250559,42,0.0019555091389143,0.0017440674138584,32
lmrse,Boreal forest,FSH_iav_Boreal forest,FSH,iav,67,0.0007816643397161,36,0.0024914187319832,0.0017097543922671003,33
clay_pf,Boreal forest,FSH_iav_Boreal forest,FSH,iav,49,0.0010711946007616,33,0.00274079169009,0.0016695970893284002,34
kn_nonmyc,Boreal forest,FSH_iav_Boreal forest,FSH,iav,184,1.582820293524745e-05,55,0.0015986321060702,0.0015828039031349525,35
grperc,Boreal forest,FSH_iav_Boreal forest,FSH,iav,165,8.144850073711629e-05,53,0.0016449237435935,0.0015634752428563838,36
vcmaxse_sf,Boreal forest,FSH_iav_Boreal forest,FSH,iav,112,0.0003990497634401,43,0.0019548773920371,0.001555827628597,37
fnps,Boreal forest,FSH_iav_Boreal forest,FSH,iav,113,0.0003981650387863,45,0.0019402449739253,0.0015420799351390001,38
stem_leaf,Boreal forest,FSH_iav_Boreal forest,FSH,iav,25,0.0018989630535973,94,0.000423626200198,0.0014753368533993,39
tkd_sand,Boreal forest,FSH_iav_Boreal forest,FSH,iav,138,0.0001920909630426,52,0.0016531623416535,0.0014610713786109,40
wind_snowcompact_fact,Boreal forest,FSH_iav_Boreal forest,FSH,iav,97,0.0005288102138901,49,0.0018267539107957,0.0012979436969055998,41
kcha,Boreal forest,FSH_iav_Boreal forest,FSH,iav,78,0.0006554850058803,46,0.0019183351238294,0.0012628501179491,42
rstem,Boreal forest,FSH_iav_Boreal forest,FSH,iav,14,0.0027240780791917,56,0.0014798058024646,0.0012442722767271,43
snw_rds_refrz,Boreal forest,FSH_iav_Boreal forest,FSH,iav,24,0.0019221921581769,28,0.0031050466731402,0.0011828545149633,44
nstem,Boreal forest,FSH_iav_Boreal forest,FSH,iav,57,0.000913569502652,41,0.0020931140127306,0.0011795445100786,45
denitrif_nitrateconc_coefficient,Boreal forest,FSH_iav_Boreal forest,FSH,iav,41,0.0011868432447875,165,7.37988696888417e-05,0.0011130443750986584,46
wood_density,Boreal forest,FSH_iav_Boreal forest,FSH,iav,32,0.0014431265413325,109,0.0003410156407511,0.0011021109005814,47
vcmaxha,Boreal forest,FSH_iav_Boreal forest,FSH,iav,166,7.956939366200733e-05,61,0.0011796522822195,0.0011000828885574926,48
tausvis,Boreal forest,FSH_iav_Boreal forest,FSH,iav,31,0.0014740420850817,104,0.0003747848272217,0.00109925725786,49
tau_s1,Boreal forest,FSH_iav_Boreal forest,FSH,iav,22,0.0020012457928943,71,0.0009020573699269,0.0010991884229674001,50
fbw,Boreal forest,FSH_iav_Boreal forest,FSH,iav,11,0.0035651923292948,35,0.0025189833095358,0.0010462090197590002,51
jmaxha,Boreal forest,FSH_iav_Boreal forest,FSH,iav,28,0.0016797747457433,82,0.0006338909422771,0.0010458838034661999,52
kmax,Boreal forest,FSH_iav_Boreal forest,FSH,iav,21,0.0020195855769019,31,0.0030352387821028,0.0010156532052009002,53
tpuha,Boreal forest,FSH_iav_Boreal forest,FSH,iav,20,0.0020546653992646,30,0.0030500993316192,0.0009954339323546002,54
baseflow_scalar,Boreal forest,FSH_iav_Boreal forest,FSH,iav,33,0.0014058945147551,97,0.0004143869260782,0.0009915075886769002,55
tpu25ratio,Boreal forest,FSH_iav_Boreal forest,FSH,iav,5,0.0051341512720824,17,0.0041435303775566,0.0009906208945258,56
zetamaxstable,Boreal forest,FSH_iav_Boreal forest,FSH,iav,9,0.0040843774781768,12,0.0050598119526465,0.0009754344744696995,57
fun_cn_flex_b,Boreal forest,FSH_iav_Boreal forest,FSH,iav,53,0.0009733481683997,187,7.328828098812634e-06,0.0009660193403008873,58
psi50,Boreal forest,FSH_iav_Boreal forest,FSH,iav,176,3.897704077687747e-05,69,0.0010049955055451,0.0009660184647682225,59
FUN_fracfixers,Boreal forest,FSH_iav_Boreal forest,FSH,iav,42,0.0011845247876958,120,0.0002610697732304,0.0009234550144654,60
koha,Boreal forest,FSH_iav_Boreal forest,FSH,iav,130,0.0002391718339429,63,0.0011417603178969,0.0009025884839539999,61
rhosvis,Boreal forest,FSH_iav_Boreal forest,FSH,iav,50,0.0010320963884821,148,0.0001396509142256,0.0008924454742564999,62
prh30,Boreal forest,FSH_iav_Boreal forest,FSH,iav,152,0.000124565238309,68,0.0010151160165653,0.0008905507782563,63
wimp,Boreal forest,FSH_iav_Boreal forest,FSH,iav,52,0.0009959498178173,149,0.0001393483529998,0.0008566014648175,64
decomp_depth_efolding,Boreal forest,FSH_iav_Boreal forest,FSH,iav,129,0.0002424092338781,65,0.0010930775614437,0.0008506683275655999,65
tpuse_sf,Boreal forest,FSH_iav_Boreal forest,FSH,iav,23,0.0019705868294452,62,0.0011530812634948,0.0008175055659503999,66
rf_l1s1_bgc,Boreal forest,FSH_iav_Boreal forest,FSH,iav,45,0.0010882992665784,114,0.0002813133359805,0.0008069859305979,67
ndays_on,Boreal forest,FSH_iav_Boreal forest,FSH,iav,38,0.0012011443865767,95,0.0004196172104536,0.0007815271761231,68
snowcan_unload_temp_fact,Boreal forest,FSH_iav_Boreal forest,FSH,iav,55,0.0009437997856241,129,0.0002199646040288,0.0007238351815953,69
theta_psii,Boreal forest,FSH_iav_Boreal forest,FSH,iav,26,0.0017332016123943,67,0.0010203366521881,0.0007128649602062,70
maxpsi_hr,Boreal forest,FSH_iav_Boreal forest,FSH,iav,56,0.0009390103589186,126,0.0002370222883864,0.0007019880705322,71
csoilc,Boreal forest,FSH_iav_Boreal forest,FSH,iav,73,0.0007097161673867,58,0.0014085120873407,0.000698795919954,72
d_max,Boreal forest,FSH_iav_Boreal forest,FSH,iav,2,0.0074385642272903,8,0.0067462204320048,0.0006923437952855004,73
dleaf,Boreal forest,FSH_iav_Boreal forest,FSH,iav,39,0.0011943433233379,48,0.0018816285822514,0.0006872852589135002,74
ssi,Boreal forest,FSH_iav_Boreal forest,FSH,iav,126,0.000263619117967,70,0.000922484556763,0.000658865438796,75
fm_leaf,Boreal forest,FSH_iav_Boreal forest,FSH,iav,66,0.0007916216396078,150,0.0001329124169781,0.0006587092226297,76
r_mort,Boreal forest,FSH_iav_Boreal forest,FSH,iav,16,0.0023568103727752,50,0.0017182815519597,0.0006385288208155,77
rf_s3s1_bgc,Boreal forest,FSH_iav_Boreal forest,FSH,iav,80,0.0006446785499744,186,8.576023689060852e-06,0.0006361025262853391,78
cmb_cmplt_fact_cwd,Boreal forest,FSH_iav_Boreal forest,FSH,iav,74,0.0006884891831925,164,7.508787181223497e-05,0.0006134013113802651,79
cv,Boreal forest,FSH_iav_Boreal forest,FSH,iav,143,0.0001759843751978,74,0.0007875756063659,0.0006115912311680999,80
n_melt_coef,Boreal forest,FSH_iav_Boreal forest,FSH,iav,61,0.0008454628589806,124,0.0002469399207382,0.0005985229382424,81
br_mr,Boreal forest,FSH_iav_Boreal forest,FSH,iav,82,0.0006389968861611,177,4.725076175408904e-05,0.0005917461244070109,82
fm_other,Boreal forest,FSH_iav_Boreal forest,FSH,iav,75,0.0006754094844096,160,9.85125832547451e-05,0.0005768969011548549,83
cc_other,Boreal forest,FSH_iav_Boreal forest,FSH,iav,68,0.0007657980004032,137,0.0001949651685083,0.0005708328318949,84
fm_lstem,Boreal forest,FSH_iav_Boreal forest,FSH,iav,77,0.0006688087354539,159,0.0001064330767403,0.0005623756587136001,85
cc_leaf,Boreal forest,FSH_iav_Boreal forest,FSH,iav,81,0.0006390109901888,162,8.567099615135881e-05,0.0005533399940374411,86
lfuel,Boreal forest,FSH_iav_Boreal forest,FSH,iav,85,0.000616874149298,168,6.497265351036036e-05,0.0005519014957876396,87
FR,Boreal forest,FSH_iav_Boreal forest,FSH,iav,59,0.0008571044318058,111,0.0003069727847063,0.0005501316470995,88
som_diffus,Boreal forest,FSH_iav_Boreal forest,FSH,iav,46,0.0010859419506056,54,0.0016326303583432,0.0005466884077376,89
C2_liq_Brun89,Boreal forest,FSH_iav_Boreal forest,FSH,iav,91,0.0005627252833684,183,1.751270771709751e-05,0.0005452125756513024,90
tausnir,Boreal forest,FSH_iav_Boreal forest,FSH,iav,86,0.0006116954115362,167,6.726434255092256e-05,0.0005444310689852774,91
tau_s3,Boreal forest,FSH_iav_Boreal forest,FSH,iav,133,0.000218701469599,75,0.0007610260405355,0.0005423245709365,92
denitrif_respiration_coefficient,Boreal forest,FSH_iav_Boreal forest,FSH,iav,118,0.0003352096841754,73,0.0008550357078906,0.0005198260237152,93
cc_lstem,Boreal forest,FSH_iav_Boreal forest,FSH,iav,69,0.0007432792750394,128,0.0002332817466522,0.0005099975283872,94
csol_sand,Boreal forest,FSH_iav_Boreal forest,FSH,iav,72,0.0007239581564903,130,0.0002194905996143,0.000504467556876,95
drift_gs,Boreal forest,FSH_iav_Boreal forest,FSH,iav,79,0.0006524549333857,142,0.0001581487444314,0.0004943061889543,96
enzyme_turnover_daily,Boreal forest,FSH_iav_Boreal forest,FSH,iav,144,0.0001752756022561,77,0.0006661425442976,0.0004908669420415001,97
n_baseflow,Boreal forest,FSH_iav_Boreal forest,FSH,iav,95,0.000542703478772,173,5.802058077770261e-05,0.00048468289799429736,98
csol_clay,Boreal forest,FSH_iav_Boreal forest,FSH,iav,88,0.0006012739404403,153,0.0001239242521646,0.0004773496882757,99
xdrdt,Boreal forest,FSH_iav_Boreal forest,FSH,iav,30,0.0014947446064575,44,0.0019477090138949,0.00045296440743739994,100
tkm_om,Boreal forest,FSH_iav_Boreal forest,FSH,iav,103,0.0004607285095077,178,4.539983767245376e-05,0.00041532867183524625,101
lwtop_ann,Boreal forest,FSH_iav_Boreal forest,FSH,iav,94,0.0005441007309948,151,0.0001326465645097,0.0004114541664851,102
tau_s2,Boreal forest,FSH_iav_Boreal forest,FSH,iav,187,4.081805591929499e-06,101,0.0003971279948812,0.0003930461892892705,103
ekc_active,Boreal forest,FSH_iav_Boreal forest,FSH,iav,84,0.0006249718895423,127,0.0002351697147853,0.00038980217475700007,104
rh_low,Boreal forest,FSH_iav_Boreal forest,FSH,iav,90,0.0005860338973134,135,0.0001986280591036,0.0003874058382098,105
akn_active,Boreal forest,FSH_iav_Boreal forest,FSH,iav,186,6.491048429105306e-06,102,0.0003882428291028,0.0003817517806736947,106
frac_sat_soil_dsl_init,Boreal forest,FSH_iav_Boreal forest,FSH,iav,7,0.0046111173731233,15,0.0042478808405833,0.00036323653254000023,107
rootprof_beta,Boreal forest,FSH_iav_Boreal forest,FSH,iav,120,0.0003122081639052,76,0.0006706782677119,0.00035847010380670005,108
theta_ip,Boreal forest,FSH_iav_Boreal forest,FSH,iav,114,0.0003969631537101,176,4.796865860452054e-05,0.00034899449510557946,109
freelivfix_slope_wet,Boreal forest,FSH_iav_Boreal forest,FSH,iav,96,0.0005398543010322,132,0.0002024001312566,0.0003374541697756,110
ndays_off,Boreal forest,FSH_iav_Boreal forest,FSH,iav,150,0.0001514621404251,87,0.0004811960037303,0.00032973386330520003,111
taulvis,Boreal forest,FSH_iav_Boreal forest,FSH,iav,71,0.000729688848395,99,0.0004024627518476,0.0003272260965474,112
rf_l2s1_bgc,Boreal forest,FSH_iav_Boreal forest,FSH,iav,54,0.0009536313605562,81,0.0006387605660736,0.0003148707944826,113
cn_s3_bgc,Boreal forest,FSH_iav_Boreal forest,FSH,iav,147,0.0001599886090571,88,0.0004686485576447,0.00030865994858760004,114
