param_name,biome,criteria,variable,measure,ssp_rank,ssp_range,pi_rank,pi_range,diff_range,diff_rank
csol_sand,global,LH_TOT_derived_IAV_global,LH_TOT_derived,iav,1,0.1702164893941916,86,0.0062691938716388,0.1639472955225528,1
kcha,global,LH_TOT_derived_IAV_global,LH_TOT_derived,iav,78,0.0090101839991149,8,0.0629078916421616,0.053897707643046695,2
vcmaxhd,global,LH_TOT_derived_IAV_global,LH_TOT_derived,iav,42,0.0172118472146978,6,0.0677703231144829,0.0505584758997851,3
krmax,global,LH_TOT_derived_IAV_global,LH_TOT_derived,iav,27,0.0242117215903598,5,0.0711542508746468,0.046942529284287,4
KCN,global,LH_TOT_derived_IAV_global,LH_TOT_derived,iav,10,0.047406566036617,102,0.0037477887017917,0.043658777334825295,5
d_max,global,LH_TOT_derived_IAV_global,LH_TOT_derived,iav,4,0.129195609996131,4,0.086362872413338,0.042832737582793004,6
clay_pf,global,LH_TOT_derived_IAV_global,LH_TOT_derived,iav,12,0.0423727644661294,187,0.0003703533460576,0.042002411120071796,7
vcmaxha,global,LH_TOT_derived_IAV_global,LH_TOT_derived,iav,50,0.0140978153023251,11,0.0558384860723645,0.0417406707700394,8
vcmaxse_sf,global,LH_TOT_derived_IAV_global,LH_TOT_derived,iav,76,0.0090639436890693,14,0.0502624459159725,0.0411985022269032,9
lmrhd,global,LH_TOT_derived_IAV_global,LH_TOT_derived,iav,30,0.0228285124685874,9,0.0582966925882317,0.035468180119644296,10
freelivfix_slope_wet,global,LH_TOT_derived_IAV_global,LH_TOT_derived,iav,14,0.0385887698879471,73,0.0084418025179195,0.0301469673700276,11
sand_pf,global,LH_TOT_derived_IAV_global,LH_TOT_derived,iav,5,0.1233511953771381,3,0.09388034939797,0.02947084597916809,12
tpuse_sf,global,LH_TOT_derived_IAV_global,LH_TOT_derived,iav,77,0.0090339239722413,19,0.0384130797593086,0.029379155787067297,13
maximum_leaf_wetted_fraction,global,LH_TOT_derived_IAV_global,LH_TOT_derived,iav,6,0.0738641242896953,15,0.0478781190958679,0.025986005193827398,14
fsr_pft,global,LH_TOT_derived_IAV_global,LH_TOT_derived,iav,22,0.0290752538745783,110,0.0034194080531231,0.0256558458214552,15
FUN_fracfixers,global,LH_TOT_derived_IAV_global,LH_TOT_derived,iav,11,0.0425235366095264,7,0.067664487849646,0.0251409512401196,16
fd_pft,global,LH_TOT_derived_IAV_global,LH_TOT_derived,iav,23,0.0284243477436912,109,0.0034468074240571,0.024977540319634103,17
medlynslope,global,LH_TOT_derived_IAV_global,LH_TOT_derived,iav,7,0.0690187391581292,17,0.0443542091568293,0.0246645300012999,18
n_baseflow,global,LH_TOT_derived_IAV_global,LH_TOT_derived,iav,102,0.006245973954332,26,0.030216599671674,0.023970625717342,19
q10_mr,global,LH_TOT_derived_IAV_global,LH_TOT_derived,iav,17,0.0324572812766609,72,0.0086195807456159,0.023837700531045,20
kmax,global,LH_TOT_derived_IAV_global,LH_TOT_derived,iav,104,0.0060409178682017,27,0.0297779119844806,0.0237369941162789,21
lmrse,global,LH_TOT_derived_IAV_global,LH_TOT_derived,iav,19,0.0293266270421787,13,0.0526792026256699,0.0233525755834912,22
nstem,global,LH_TOT_derived_IAV_global,LH_TOT_derived,iav,122,0.0045202256899085,28,0.0278189718793514,0.023298746189442898,23
baseflow_scalar,global,LH_TOT_derived_IAV_global,LH_TOT_derived,iav,16,0.0326650698579352,12,0.0557244137123925,0.0230593438544573,24
rootprof_beta,global,LH_TOT_derived_IAV_global,LH_TOT_derived,iav,40,0.0176330047320644,18,0.0384896736547181,0.020856668922653702,25
cpha,global,LH_TOT_derived_IAV_global,LH_TOT_derived,iav,51,0.0139911126262128,20,0.0345058604136802,0.0205147477874674,26
wc2wjb0,global,LH_TOT_derived_IAV_global,LH_TOT_derived,iav,123,0.0042095682225251,32,0.0234296090667874,0.0192200408442623,27
maxpsi_hr,global,LH_TOT_derived_IAV_global,LH_TOT_derived,iav,158,0.0015780144624181,36,0.0201272520849764,0.0185492376225583,28
tau_s1,global,LH_TOT_derived_IAV_global,LH_TOT_derived,iav,21,0.0290965902206802,60,0.011194702889179,0.0179018873315012,29
taulnir,global,LH_TOT_derived_IAV_global,LH_TOT_derived,iav,25,0.0276165129353576,68,0.0097230743746038,0.017893438560753802,30
rholvis,global,LH_TOT_derived_IAV_global,LH_TOT_derived,iav,41,0.0173316105367327,145,0.0015432116675596,0.0157883988691731,31
psi50,global,LH_TOT_derived_IAV_global,LH_TOT_derived,iav,9,0.0481185008612291,22,0.0330435988698395,0.015074901991389597,32
jmaxse_sf,global,LH_TOT_derived_IAV_global,LH_TOT_derived,iav,45,0.0155144906286871,25,0.0304952092348693,0.0149807186061822,33
rf_l1s1_bgc,global,LH_TOT_derived_IAV_global,LH_TOT_derived,iav,185,0.0001698684815482,48,0.0143575048014301,0.014187636319881899,34
jmaxb0,global,LH_TOT_derived_IAV_global,LH_TOT_derived,iav,63,0.0116425729261628,31,0.0254802777414545,0.013837704815291701,35
a_exp,global,LH_TOT_derived_IAV_global,LH_TOT_derived,iav,49,0.0141434113272909,176,0.0005540020404978,0.0135894092867931,36
taulvis,global,LH_TOT_derived_IAV_global,LH_TOT_derived,iav,48,0.0142540473558222,170,0.00072402636094,0.013530020994882201,37
rf_l2s1_bgc,global,LH_TOT_derived_IAV_global,LH_TOT_derived,iav,39,0.0187388074383846,94,0.0052308145575965,0.013507992880788099,38
tau_l1,global,LH_TOT_derived_IAV_global,LH_TOT_derived,iav,35,0.019785346689759,82,0.0071256875061057,0.012659659183653298,39
rholnir,global,LH_TOT_derived_IAV_global,LH_TOT_derived,iav,138,0.0028395535365473,44,0.0152959822313717,0.0124564286948244,40
accum_factor,global,LH_TOT_derived_IAV_global,LH_TOT_derived,iav,57,0.0131944937107376,169,0.0008358914234927,0.012358602287244901,41
lmr_intercept_atkin,global,LH_TOT_derived_IAV_global,LH_TOT_derived,iav,24,0.0278234731113197,43,0.0154950996009253,0.0123283735103944,42
fnps,global,LH_TOT_derived_IAV_global,LH_TOT_derived,iav,119,0.0047787517942983,42,0.0163420794059265,0.0115633276116282,43
froot_leaf,global,LH_TOT_derived_IAV_global,LH_TOT_derived,iav,36,0.0197778317273542,74,0.0082589257959178,0.0115189059314364,44
relhExp,global,LH_TOT_derived_IAV_global,LH_TOT_derived,iav,28,0.023321660277192,58,0.0118080250743647,0.0115136352028273,45
fff,global,LH_TOT_derived_IAV_global,LH_TOT_derived,iav,3,0.138995893440893,2,0.1504929735433551,0.011497080102462115,46
