param_name,biome,criteria,variable,measure,ssp_rank,ssp_range,pi_rank,pi_range,diff_range,diff_rank
csol_sand,Boreal forest,LH_TOT_derived_iav_Boreal forest,LH_TOT_derived,iav,1,0.5066605474270898,179,0.0002919472576566,0.5063686001694332,1
cv,Boreal forest,LH_TOT_derived_iav_Boreal forest,LH_TOT_derived,iav,2,0.2557710074681896,35,0.0224387596788701,0.2333322477893195,2
nstem,Boreal forest,LH_TOT_derived_iav_Boreal forest,LH_TOT_derived,iav,3,0.2373703946295476,95,0.0045215038964544,0.2328488907330932,3
fff,Boreal forest,LH_TOT_derived_iav_Boreal forest,LH_TOT_derived,iav,4,0.2018817877500405,31,0.0251146605660277,0.1767671271840128,4
z0mr,Boreal forest,LH_TOT_derived_iav_Boreal forest,LH_TOT_derived,iav,6,0.1646799488334038,49,0.0149958293859874,0.1496841194474164,5
medlynslope,Boreal forest,LH_TOT_derived_iav_Boreal forest,LH_TOT_derived,iav,44,0.0492576908158447,1,0.1971154241112319,0.1478577332953872,6
slatop,Boreal forest,LH_TOT_derived_iav_Boreal forest,LH_TOT_derived,iav,9,0.1343845241079005,40,0.0189149900469229,0.1154695340609776,7
q10_mr,Boreal forest,LH_TOT_derived_iav_Boreal forest,LH_TOT_derived,iav,14,0.1193939389476975,67,0.0082705571251385,0.111123381822559,8
medlynintercept,Boreal forest,LH_TOT_derived_iav_Boreal forest,LH_TOT_derived,iav,37,0.0600805098648293,3,0.1609259118835573,0.10084540201872799,9
lmrha,Boreal forest,LH_TOT_derived_iav_Boreal forest,LH_TOT_derived,iav,7,0.1539855007645836,13,0.0653385520330713,0.08864694873151228,10
tpuha,Boreal forest,LH_TOT_derived_iav_Boreal forest,LH_TOT_derived,iav,11,0.1257491851824697,17,0.0414485236759977,0.08430066150647199,11
leaf_long,Boreal forest,LH_TOT_derived_iav_Boreal forest,LH_TOT_derived,iav,18,0.1042023447211573,34,0.0237236934546877,0.08047865126646961,12
grperc,Boreal forest,LH_TOT_derived_iav_Boreal forest,LH_TOT_derived,iav,16,0.1062286217353416,29,0.0267436541899679,0.07948496754537371,13
FUN_fracfixers,Boreal forest,LH_TOT_derived_iav_Boreal forest,LH_TOT_derived,iav,15,0.1104385667643174,22,0.0333325247096421,0.0771060420546753,14
tpu25ratio,Boreal forest,LH_TOT_derived_iav_Boreal forest,LH_TOT_derived,iav,8,0.140903431903606,12,0.0695047477848769,0.07139868411872909,15
br_root,Boreal forest,LH_TOT_derived_iav_Boreal forest,LH_TOT_derived,iav,27,0.0773331214606819,75,0.0064371645172098,0.0708959569434721,16
r_mort,Boreal forest,LH_TOT_derived_iav_Boreal forest,LH_TOT_derived,iav,31,0.0713833625952807,141,0.0011369468873516,0.07024641570792911,17
jmaxhd,Boreal forest,LH_TOT_derived_iav_Boreal forest,LH_TOT_derived,iav,25,0.0840996762476204,48,0.0158621037591288,0.06823757248849159,18
jmaxb0,Boreal forest,LH_TOT_derived_iav_Boreal forest,LH_TOT_derived,iav,5,0.1984633816161779,4,0.1305583160861563,0.0679050655300216,19
froot_leaf,Boreal forest,LH_TOT_derived_iav_Boreal forest,LH_TOT_derived,iav,23,0.0860632478476852,33,0.0241235924315583,0.06193965541612689,20
rootprof_beta,Boreal forest,LH_TOT_derived_iav_Boreal forest,LH_TOT_derived,iav,35,0.0611481197694452,165,0.0005345701912095,0.060613549578235705,21
frootcn,Boreal forest,LH_TOT_derived_iav_Boreal forest,LH_TOT_derived,iav,28,0.0766444284927272,44,0.0176863345224898,0.05895809397023741,22
tpuhd,Boreal forest,LH_TOT_derived_iav_Boreal forest,LH_TOT_derived,iav,30,0.0724483182861532,50,0.0143041353262776,0.0581441829598756,23
clay_pf,Boreal forest,LH_TOT_derived_iav_Boreal forest,LH_TOT_derived,iav,38,0.0582227677302635,181,0.0002488842961883,0.057973883434075196,24
upplim_destruct_metamorph,Boreal forest,LH_TOT_derived_iav_Boreal forest,LH_TOT_derived,iav,62,0.0252486140434703,11,0.082527951074323,0.057279337030852695,25
