param_name,biome,criteria,variable,measure,ssp_rank,ssp_range,pi_rank,pi_range,diff_range,diff_rank
csol_sand,global,LH_TOT_derived_IAV_global,LH_TOT_derived,iav,1,0.1702164893941916,94,0.0053127979902645,0.1649036914039271,1
vcmaxhd,global,LH_TOT_derived_IAV_global,LH_TOT_derived,iav,42,0.0172118472146978,5,0.0821326402593987,0.0649207930447009,2
vcmaxha,global,LH_TOT_derived_IAV_global,LH_TOT_derived,iav,50,0.0140978153023251,7,0.0714040180619403,0.0573062027596152,3
vcmaxse_sf,global,LH_TOT_derived_IAV_global,LH_TOT_derived,iav,76,0.0090639436890693,9,0.061264779318462,0.0522008356293927,4
kcha,global,LH_TOT_derived_IAV_global,LH_TOT_derived,iav,78,0.0090101839991149,10,0.0601635676292687,0.0511533836301538,5
wc2wjb0,global,LH_TOT_derived_IAV_global,LH_TOT_derived,iav,123,0.0042095682225251,13,0.0521153199457952,0.0479057517232701,6
jmaxhd,global,LH_TOT_derived_IAV_global,LH_TOT_derived,iav,66,0.0112019309483784,14,0.0516999291260008,0.040497998177622396,7
lmrhd,global,LH_TOT_derived_IAV_global,LH_TOT_derived,iav,30,0.0228285124685874,8,0.0631403743162472,0.040311861847659794,8
psi50,global,LH_TOT_derived_IAV_global,LH_TOT_derived,iav,9,0.0481185008612291,75,0.0079587955718533,0.0401597052893758,9
tpuse_sf,global,LH_TOT_derived_IAV_global,LH_TOT_derived,iav,77,0.0090339239722413,17,0.0486793512264497,0.0396454272542084,10
leafcn,global,LH_TOT_derived_IAV_global,LH_TOT_derived,iav,38,0.0190494776857466,11,0.0566429444496662,0.0375934667639196,11
KCN,global,LH_TOT_derived_IAV_global,LH_TOT_derived,iav,10,0.047406566036617,59,0.0098435070452007,0.0375630589914163,12
theta_cj,global,LH_TOT_derived_IAV_global,LH_TOT_derived,iav,88,0.0078873736375217,22,0.0419838886645935,0.034096515027071804,13
sand_pf,global,LH_TOT_derived_IAV_global,LH_TOT_derived,iav,5,0.1233511953771381,4,0.0909304604610501,0.03242073491608799,14
maxpsi_hr,global,LH_TOT_derived_IAV_global,LH_TOT_derived,iav,158,0.0015780144624181,28,0.0336992469985996,0.0321212325361815,15
jmaxb0,global,LH_TOT_derived_IAV_global,LH_TOT_derived,iav,63,0.0116425729261628,21,0.0429148908008101,0.03127231787464731,16
clay_pf,global,LH_TOT_derived_IAV_global,LH_TOT_derived,iav,12,0.0423727644661294,49,0.012304835007134,0.030067929458995397,17
freelivfix_slope_wet,global,LH_TOT_derived_IAV_global,LH_TOT_derived,iav,14,0.0385887698879471,63,0.0092938466450762,0.029294923242870897,18
tau_s1,global,LH_TOT_derived_IAV_global,LH_TOT_derived,iav,21,0.0290965902206802,157,0.001546398653896,0.027550191566784198,19
tau_l2_l3,global,LH_TOT_derived_IAV_global,LH_TOT_derived,iav,18,0.0321816294163278,102,0.0049732822340753,0.027208347182252502,20
