param_name,biome,criteria,variable,measure,ssp_rank,ssp_range,pi_rank,pi_range,diff_range,diff_rank
csol_sand,Boreal forest,LH_TOT_derived_iav_Boreal forest,LH_TOT_derived,iav,1,0.5066605474270898,102,0.0041600558977288,0.5025004915293609,1
cv,Boreal forest,LH_TOT_derived_iav_Boreal forest,LH_TOT_derived,iav,2,0.2557710074681896,37,0.0203620933737368,0.2354089140944528,2
nstem,Boreal forest,LH_TOT_derived_iav_Boreal forest,LH_TOT_derived,iav,3,0.2373703946295476,60,0.0132209175529285,0.22414947707661909,3
z0mr,Boreal forest,LH_TOT_derived_iav_Boreal forest,LH_TOT_derived,iav,6,0.1646799488334038,32,0.0237829908811636,0.14089695795224022,4
medlynslope,Boreal forest,LH_TOT_derived_iav_Boreal forest,LH_TOT_derived,iav,44,0.0492576908158447,2,0.1887936723274578,0.13953598151161312,5
lmrha,Boreal forest,LH_TOT_derived_iav_Boreal forest,LH_TOT_derived,iav,7,0.1539855007645836,49,0.0162915583869622,0.1376939423776214,6
slatop,Boreal forest,LH_TOT_derived_iav_Boreal forest,LH_TOT_derived,iav,9,0.1343845241079005,65,0.0116992673966127,0.1226852567112878,7
tpu25ratio,Boreal forest,LH_TOT_derived_iav_Boreal forest,LH_TOT_derived,iav,8,0.140903431903606,43,0.0185842737998865,0.12231915810371949,8
fff,Boreal forest,LH_TOT_derived_iav_Boreal forest,LH_TOT_derived,iav,4,0.2018817877500405,10,0.0899914274586936,0.11189036029134691,9
q10_mr,Boreal forest,LH_TOT_derived_iav_Boreal forest,LH_TOT_derived,iav,14,0.1193939389476975,64,0.0128379812298767,0.1065559577178208,10
FUN_fracfixers,Boreal forest,LH_TOT_derived_iav_Boreal forest,LH_TOT_derived,iav,15,0.1104385667643174,52,0.0159048927737265,0.0945336739905909,11
tpuha,Boreal forest,LH_TOT_derived_iav_Boreal forest,LH_TOT_derived,iav,11,0.1257491851824697,22,0.0355719366348,0.09017724854766969,12
medlynintercept,Boreal forest,LH_TOT_derived_iav_Boreal forest,LH_TOT_derived,iav,37,0.0600805098648293,3,0.1443051604403693,0.08422465057554002,13
