param_name,biome,criteria,variable,measure,ssp_rank,ssp_range,pi_rank,pi_range,diff_range,diff_rank
tpuse_sf,global,LH_TOT_derived_IAV_global,LH_TOT_derived,iav,2,0.1287054454957739,39,0.0143252324715518,0.11438021302422209,1
fff,global,LH_TOT_derived_IAV_global,LH_TOT_derived,iav,7,0.0593110858549608,3,0.1148521135289455,0.0555410276739847,2
FUN_fracfixers,global,LH_TOT_derived_IAV_global,LH_TOT_derived,iav,6,0.0745223503978291,13,0.0329242786496754,0.041598071748153706,3
medlynintercept,global,LH_TOT_derived_IAV_global,LH_TOT_derived,iav,4,0.0957803798097448,7,0.0575586718551273,0.0382217079546175,4
jmaxse_sf,global,LH_TOT_derived_IAV_global,LH_TOT_derived,iav,10,0.046078076198983,64,0.009483121799061,0.036594954399922,5
kn_nonmyc,global,LH_TOT_derived_IAV_global,LH_TOT_derived,iav,153,0.0018899013548852,10,0.038019646441928,0.0361297450870428,6
KCN,global,LH_TOT_derived_IAV_global,LH_TOT_derived,iav,141,0.0024484872647625,11,0.0379179658193999,0.0354694785546374,7
jmaxhd,global,LH_TOT_derived_IAV_global,LH_TOT_derived,iav,18,0.0334871469289409,103,0.0047730033239041,0.0287141436050368,8
interception_fraction,global,LH_TOT_derived_IAV_global,LH_TOT_derived,iav,20,0.0322700068671559,125,0.0035984584325892,0.0286715484345667,9
jmaxb0,global,LH_TOT_derived_IAV_global,LH_TOT_derived,iav,11,0.0448562530230792,27,0.0190681111783614,0.025788141844717796,10
kcha,global,LH_TOT_derived_IAV_global,LH_TOT_derived,iav,15,0.0381512297485444,44,0.0135692228788583,0.024582006869686104,11
rootprof_beta,global,LH_TOT_derived_IAV_global,LH_TOT_derived,iav,17,0.034243391276693,52,0.0108291463250356,0.0234142449516574,12
baseflow_scalar,global,LH_TOT_derived_IAV_global,LH_TOT_derived,iav,13,0.0419943811350846,6,0.0639318530012025,0.021937471866117893,13
sand_pf,global,LH_TOT_derived_IAV_global,LH_TOT_derived,iav,8,0.0554525012551412,4,0.0770190950106184,0.021566593755477204,14
freelivfix_slope_wet,global,LH_TOT_derived_IAV_global,LH_TOT_derived,iav,100,0.0043062603996947,19,0.0253573387777537,0.021051078378058998,15
rf_l2s1_bgc,global,LH_TOT_derived_IAV_global,LH_TOT_derived,iav,68,0.0074120124788807,21,0.0242512187747079,0.0168392062958272,16
om_frac_sf,global,LH_TOT_derived_IAV_global,LH_TOT_derived,iav,189,7.03441686095152e-05,35,0.0152464754884003,0.015176131319790785,17
maximum_leaf_wetted_fraction,global,LH_TOT_derived_IAV_global,LH_TOT_derived,iav,5,0.0792296156620444,5,0.0648345541357863,0.014395061526258093,18
leafcn,global,LH_TOT_derived_IAV_global,LH_TOT_derived,iav,35,0.0168305311619662,145,0.00252318030111,0.0143073508608562,19
wc2wjb0,global,LH_TOT_derived_IAV_global,LH_TOT_derived,iav,30,0.0185930604340797,14,0.0323439627231759,0.013750902289096197,20
taulnir,global,LH_TOT_derived_IAV_global,LH_TOT_derived,iav,174,0.0006318630679232,40,0.014072211962132,0.0134403488942088,21
froot_leaf,global,LH_TOT_derived_IAV_global,LH_TOT_derived,iav,28,0.0193687967179212,90,0.006155735991068,0.013213060726853198,22
xl,global,LH_TOT_derived_IAV_global,LH_TOT_derived,iav,191,3.47820662258691e-05,46,0.0132381308961605,0.013203348829934632,23
zbedrock_sf,global,LH_TOT_derived_IAV_global,LH_TOT_derived,iav,76,0.0065783786809011,26,0.0193917716734243,0.012813392992523202,24
zetamaxstable,global,LH_TOT_derived_IAV_global,LH_TOT_derived,iav,33,0.0168502412364461,105,0.0045881351639692,0.012262106072476901,25
vcmaxha,global,LH_TOT_derived_IAV_global,LH_TOT_derived,iav,16,0.03453460791512,23,0.0222937399637506,0.012240867951369402,26
jmaxha,global,LH_TOT_derived_IAV_global,LH_TOT_derived,iav,40,0.0133078761502093,165,0.0011446400273025,0.0121632361229068,27
tau_s3,global,LH_TOT_derived_IAV_global,LH_TOT_derived,iav,44,0.0121700285725619,186,0.0001354114882916,0.0120346170842703,28
lmrse,global,LH_TOT_derived_IAV_global,LH_TOT_derived,iav,23,0.0255418779639959,41,0.0137285598453519,0.011813318118644002,29
frootcn,global,LH_TOT_derived_IAV_global,LH_TOT_derived,iav,119,0.0032186388974574,37,0.0145383029695992,0.011319664072141801,30
rf_l3s2_bgc,global,LH_TOT_derived_IAV_global,LH_TOT_derived,iav,115,0.0032750657053259,38,0.0145250001110625,0.0112499344057366,31
clay_pf,global,LH_TOT_derived_IAV_global,LH_TOT_derived,iav,86,0.0053113479880649,30,0.016498545368249,0.0111871973801841,32
d_max,global,LH_TOT_derived_IAV_global,LH_TOT_derived,iav,3,0.1234389927605724,2,0.1345644939784752,0.011125501217902803,33
ko25_coef,global,LH_TOT_derived_IAV_global,LH_TOT_derived,iav,101,0.0042723153998622,36,0.0147250827515582,0.010452767351696,34
medlynslope,global,LH_TOT_derived_IAV_global,LH_TOT_derived,iav,14,0.0412119375679566,15,0.0312966044372839,0.0099153331306727,35
ndays_off,global,LH_TOT_derived_IAV_global,LH_TOT_derived,iav,152,0.0019372167453129,48,0.0117544408078678,0.0098172240625549,36
pc,global,LH_TOT_derived_IAV_global,LH_TOT_derived,iav,50,0.0102399754104214,179,0.0005007604999274,0.009739214910494001,37
csol_sand,global,LH_TOT_derived_IAV_global,LH_TOT_derived,iav,169,0.0008667035241645,56,0.0105744153029736,0.0097077117788091,38
slopemax,global,LH_TOT_derived_IAV_global,LH_TOT_derived,iav,31,0.0183801114450539,68,0.0089101086400873,0.0094700028049666,39
br_root,global,LH_TOT_derived_IAV_global,LH_TOT_derived,iav,49,0.0103480633922631,171,0.000882556723768,0.0094655066684951,40
rh_low,global,LH_TOT_derived_IAV_global,LH_TOT_derived,iav,78,0.0061617820911347,34,0.0153954032417362,0.009233621150601501,41
