param_name,biome,criteria,variable,measure,ssp_rank,ssp_range,pi_rank,pi_range,diff_range,diff_rank
medlynintercept,Boreal forest,LH_TOT_derived_iav_Boreal forest,LH_TOT_derived,iav,1,0.2932994910559823,4,0.1419682378981199,0.1513312531578624,1
slopemax,Boreal forest,LH_TOT_derived_iav_Boreal forest,LH_TOT_derived,iav,132,0.0020292156943849,13,0.0725985692794076,0.0705693535850227,2
fff,Boreal forest,LH_TOT_derived_iav_Boreal forest,LH_TOT_derived,iav,28,0.0214931189892553,9,0.0901060091781477,0.06861289018889241,3
medlynslope,Boreal forest,LH_TOT_derived_iav_Boreal forest,LH_TOT_derived,iav,3,0.1600915757591509,1,0.227747221503721,0.06765564574457011,4
krmax,Boreal forest,LH_TOT_derived_iav_Boreal forest,LH_TOT_derived,iav,8,0.0659873208362693,5,0.1323233608226737,0.0663360399864044,5
dleaf,Boreal forest,LH_TOT_derived_iav_Boreal forest,LH_TOT_derived,iav,46,0.0114033365035685,12,0.0760013595225777,0.06459802301900919,6
cp25_yr2000,Boreal forest,LH_TOT_derived_iav_Boreal forest,LH_TOT_derived,iav,176,0.0003239939249916,16,0.0640474291763284,0.0637234352513368,7
tpu25ratio,Boreal forest,LH_TOT_derived_iav_Boreal forest,LH_TOT_derived,iav,6,0.0797525812488347,39,0.0214668171539414,0.058285764094893305,8
d_max,Boreal forest,LH_TOT_derived_iav_Boreal forest,LH_TOT_derived,iav,94,0.005007086839413,23,0.0469884098683694,0.0419813230289564,9
liq_canopy_storage_scalar,Boreal forest,LH_TOT_derived_iav_Boreal forest,LH_TOT_derived,iav,4,0.1264516459309452,3,0.16675828817456,0.0403066422436148,10
wc2wjb0,Boreal forest,LH_TOT_derived_iav_Boreal forest,LH_TOT_derived,iav,9,0.0656095394132729,7,0.101605739416633,0.03599620000336011,11
slatop,Boreal forest,LH_TOT_derived_iav_Boreal forest,LH_TOT_derived,iav,26,0.0220226859900235,18,0.0557366992817899,0.0337140132917664,12
sand_pf,Boreal forest,LH_TOT_derived_iav_Boreal forest,LH_TOT_derived,iav,139,0.0014275712677574,27,0.0323110926956523,0.0308835214278949,13
lmr_intercept_atkin,Boreal forest,LH_TOT_derived_iav_Boreal forest,LH_TOT_derived,iav,45,0.0114397455368548,25,0.0394070538997631,0.027967308362908304,14
theta_cj,Boreal forest,LH_TOT_derived_iav_Boreal forest,LH_TOT_derived,iav,15,0.0468416563224679,14,0.0717396666571782,0.024898010334710292,15
cv,Boreal forest,LH_TOT_derived_iav_Boreal forest,LH_TOT_derived,iav,19,0.0345951436123359,17,0.059372478481115,0.024777334868779102,16
maximum_leaf_wetted_fraction,Boreal forest,LH_TOT_derived_iav_Boreal forest,LH_TOT_derived,iav,11,0.0546582081943124,11,0.0783571014666579,0.023698893272345506,17
theta_psii,Boreal forest,LH_TOT_derived_iav_Boreal forest,LH_TOT_derived,iav,27,0.0215369264424326,24,0.0451257379417643,0.0235888114993317,18
om_frac_sf,Boreal forest,LH_TOT_derived_iav_Boreal forest,LH_TOT_derived,iav,157,0.0007261535273316,37,0.0242024367385841,0.023476283211252502,19
tpuse_sf,Boreal forest,LH_TOT_derived_iav_Boreal forest,LH_TOT_derived,iav,12,0.0509889653363812,31,0.0278444422161098,0.023144523120271397,20
fbw,Boreal forest,LH_TOT_derived_iav_Boreal forest,LH_TOT_derived,iav,119,0.0026583714609925,33,0.0253338895225035,0.022675518061511,21
jmaxb1,Boreal forest,LH_TOT_derived_iav_Boreal forest,LH_TOT_derived,iav,10,0.0578952727191904,10,0.079958955284916,0.022063682565725606,22
kcha,Boreal forest,LH_TOT_derived_iav_Boreal forest,LH_TOT_derived,iav,21,0.030558424934707,19,0.051928105960871,0.021369681026164003,23
fnps,Boreal forest,LH_TOT_derived_iav_Boreal forest,LH_TOT_derived,iav,22,0.029426494827815,20,0.050419516840905,0.02099302201309,24
leafcn,Boreal forest,LH_TOT_derived_iav_Boreal forest,LH_TOT_derived,iav,7,0.0754570052632607,8,0.0944109031614898,0.0189538978982291,25
lmrha,Boreal forest,LH_TOT_derived_iav_Boreal forest,LH_TOT_derived,iav,152,0.0009415983761619,42,0.0198759250151748,0.018934326639012903,26
tpuhd,Boreal forest,LH_TOT_derived_iav_Boreal forest,LH_TOT_derived,iav,75,0.0067515793076756,34,0.0252338557853882,0.018482276477712598,27
zlnd,Boreal forest,LH_TOT_derived_iav_Boreal forest,LH_TOT_derived,iav,91,0.0052489686769283,38,0.0237293570948622,0.0184803884179339,28
psi50,Boreal forest,LH_TOT_derived_iav_Boreal forest,LH_TOT_derived,iav,14,0.0468929846518979,15,0.0653218447518033,0.0184288600999054,29
maxpsi_hr,Boreal forest,LH_TOT_derived_iav_Boreal forest,LH_TOT_derived,iav,54,0.0094221592592824,32,0.0277999764263733,0.018377817167090898,30
jmaxb0,Boreal forest,LH_TOT_derived_iav_Boreal forest,LH_TOT_derived,iav,5,0.0878600738230587,6,0.1054553787427279,0.017595304919669194,31
jmaxse_sf,Boreal forest,LH_TOT_derived_iav_Boreal forest,LH_TOT_derived,iav,29,0.0202871171034156,125,0.0028179548065556,0.01746916229686,32
q10_mr,Boreal forest,LH_TOT_derived_iav_Boreal forest,LH_TOT_derived,iav,142,0.0012808893775884,44,0.0183508412790042,0.017069951901415803,33
zbedrock_sf,Boreal forest,LH_TOT_derived_iav_Boreal forest,LH_TOT_derived,iav,118,0.0027225974773752,43,0.0188806935938672,0.016158096116492,34
k_nitr_max_perday,Boreal forest,LH_TOT_derived_iav_Boreal forest,LH_TOT_derived,iav,98,0.0047865558780724,40,0.0209010840589431,0.0161145281808707,35
stem_leaf,Boreal forest,LH_TOT_derived_iav_Boreal forest,LH_TOT_derived,iav,138,0.0015594271626232,45,0.0175883525752889,0.0160289254126657,36
