param_name,biome,criteria,variable,measure,ssp_rank,ssp_range,pi_rank,pi_range,diff_range,diff_rank
tpuse_sf,global,LH_TOT_derived_IAV_global,LH_TOT_derived,iav,2,0.1287054454957739,17,0.0486793512264497,0.0800260942693242,1
fff,global,LH_TOT_derived_IAV_global,LH_TOT_derived,iav,7,0.0593110858549608,2,0.1329655539265247,0.0736544680715639,2
FUN_fracfixers,global,LH_TOT_derived_IAV_global,LH_TOT_derived,iav,6,0.0745223503978291,36,0.0199394387439009,0.0545829116539282,3
vcmaxhd,global,LH_TOT_derived_IAV_global,LH_TOT_derived,iav,19,0.033098196644138,5,0.0821326402593987,0.0490344436152607,4
medlynintercept,global,LH_TOT_derived_IAV_global,LH_TOT_derived,iav,4,0.0957803798097448,19,0.0468876618394054,0.048892717970339394,5
lmrhd,global,LH_TOT_derived_IAV_global,LH_TOT_derived,iav,29,0.0191937243195691,8,0.0631403743162472,0.04394664999667809,6
leafcn,global,LH_TOT_derived_IAV_global,LH_TOT_derived,iav,35,0.0168305311619662,11,0.0566429444496662,0.0398124132877,7
theta_cj,global,LH_TOT_derived_IAV_global,LH_TOT_derived,iav,125,0.003108206901645,22,0.0419838886645935,0.038875681762948505,8
vcmaxha,global,LH_TOT_derived_IAV_global,LH_TOT_derived,iav,16,0.03453460791512,7,0.0714040180619403,0.0368694101468203,9
sand_pf,global,LH_TOT_derived_IAV_global,LH_TOT_derived,iav,8,0.0554525012551412,4,0.0909304604610501,0.035477959205908904,10
wc2wjb0,global,LH_TOT_derived_IAV_global,LH_TOT_derived,iav,30,0.0185930604340797,13,0.0521153199457952,0.0335222595117155,11
medlynslope,global,LH_TOT_derived_IAV_global,LH_TOT_derived,iav,14,0.0412119375679566,6,0.0743328042023208,0.0331208666343642,12
vcmaxse_sf,global,LH_TOT_derived_IAV_global,LH_TOT_derived,iav,21,0.0295569026944775,9,0.061264779318462,0.0317078766239845,13
frac_sat_soil_dsl_init,global,LH_TOT_derived_IAV_global,LH_TOT_derived,iav,1,0.1803911780761311,1,0.1496365889263661,0.030754589149764977,14
maximum_leaf_wetted_fraction,global,LH_TOT_derived_IAV_global,LH_TOT_derived,iav,5,0.0792296156620444,15,0.0513838666527197,0.027845749009324697,15
jmaxb1,global,LH_TOT_derived_IAV_global,LH_TOT_derived,iav,69,0.0073955790667145,25,0.0343643443461253,0.0269687652794108,16
cpha,global,LH_TOT_derived_IAV_global,LH_TOT_derived,iav,37,0.0139092412088306,24,0.0405750594988836,0.026665818290052996,17
maxpsi_hr,global,LH_TOT_derived_IAV_global,LH_TOT_derived,iav,60,0.008294442980836,28,0.0336992469985996,0.0254048040177636,18
lmr_intercept_atkin,global,LH_TOT_derived_IAV_global,LH_TOT_derived,iav,71,0.0071174700546583,31,0.0314062000662631,0.024288730011604802,19
