param_name,biome,criteria,variable,measure,ssp_rank,ssp_range,pi_rank,pi_range,diff_range,diff_rank
medlynintercept,Boreal forest,LH_TOT_derived_iav_Boreal forest,LH_TOT_derived,iav,1,0.2932994910559823,3,0.1443051604403693,0.14899433061561299,1
dleaf,Boreal forest,LH_TOT_derived_iav_Boreal forest,LH_TOT_derived,iav,46,0.0114033365035685,13,0.0808201787048498,0.0694168422012813,2
fff,Boreal forest,LH_TOT_derived_iav_Boreal forest,LH_TOT_derived,iav,28,0.0214931189892553,10,0.0899914274586936,0.0684983084694383,3
tpu25ratio,Boreal forest,LH_TOT_derived_iav_Boreal forest,LH_TOT_derived,iav,6,0.0797525812488347,43,0.0185842737998865,0.0611683074489482,4
cp25_yr2000,Boreal forest,LH_TOT_derived_iav_Boreal forest,LH_TOT_derived,iav,176,0.0003239939249916,15,0.0607248273688264,0.0604008334438348,5
krmax,Boreal forest,LH_TOT_derived_iav_Boreal forest,LH_TOT_derived,iav,8,0.0659873208362693,6,0.1149882956209044,0.049000974784635096,6
wc2wjb0,Boreal forest,LH_TOT_derived_iav_Boreal forest,LH_TOT_derived,iav,9,0.0656095394132729,7,0.1142542198967757,0.0486446804835028,7
tpuse_sf,Boreal forest,LH_TOT_derived_iav_Boreal forest,LH_TOT_derived,iav,12,0.0509889653363812,88,0.0062604061971762,0.044728559139204996,8
psi50,Boreal forest,LH_TOT_derived_iav_Boreal forest,LH_TOT_derived,iav,14,0.0468929846518979,11,0.0877132096275223,0.040820224975624396,9
jmaxb0,Boreal forest,LH_TOT_derived_iav_Boreal forest,LH_TOT_derived,iav,5,0.0878600738230587,4,0.1264409570276283,0.03858088320456961,10
sand_pf,Boreal forest,LH_TOT_derived_iav_Boreal forest,LH_TOT_derived,iav,139,0.0014275712677574,19,0.0397436304166366,0.0383160591488792,11
jmaxb1,Boreal forest,LH_TOT_derived_iav_Boreal forest,LH_TOT_derived,iav,10,0.0578952727191904,9,0.0944029061794311,0.036507633460240704,12
theta_cj,Boreal forest,LH_TOT_derived_iav_Boreal forest,LH_TOT_derived,iav,15,0.0468416563224679,12,0.0811809234818875,0.0343392671594196,13
lmr_intercept_atkin,Boreal forest,LH_TOT_derived_iav_Boreal forest,LH_TOT_derived,iav,45,0.0114397455368548,18,0.0415384393826618,0.030098693845807004,14
frac_sat_soil_dsl_init,Boreal forest,LH_TOT_derived_iav_Boreal forest,LH_TOT_derived,iav,18,0.0352222690325619,14,0.0646063732908395,0.029384104258277602,15
frootcn,Boreal forest,LH_TOT_derived_iav_Boreal forest,LH_TOT_derived,iav,131,0.0021126267563983,24,0.0311801017126162,0.0290674749562179,16
medlynslope,Boreal forest,LH_TOT_derived_iav_Boreal forest,LH_TOT_derived,iav,3,0.1600915757591509,2,0.1887936723274578,0.028702096568306912,17
maximum_leaf_wetted_fraction,Boreal forest,LH_TOT_derived_iav_Boreal forest,LH_TOT_derived,iav,11,0.0546582081943124,25,0.0273532530123923,0.0273049551819201,18
