param_name,biome,criteria,variable,measure,ssp_rank,ssp_range,pi_rank,pi_range,diff_range,diff_rank
fff,global,Q2M_IAV_global,Q2M,iav,31,5.498824106424101e-07,2,2.876755171224129e-06,2.326872760581719e-06,1
csol_sand,global,Q2M_IAV_global,Q2M,iav,9,1.363879236965888e-06,118,5.1314861219836667e-08,1.3125643757460514e-06,2
maximum_leaf_wetted_fraction,global,Q2M_IAV_global,Q2M,iav,2,3.3985466714015573e-06,4,2.222194499450691e-06,1.1763521719508662e-06,3
leaf_long,global,Q2M_IAV_global,Q2M,iav,11,1.2622117509002777e-06,64,1.772376535241608e-07,1.0849740973761169e-06,4
psi50,global,Q2M_IAV_global,Q2M,iav,10,1.3218720452687967e-06,30,4.381458180692738e-07,8.837262271995229e-07,5
zlnd,global,Q2M_IAV_global,Q2M,iav,8,1.4915732883007728e-06,22,6.363278023054401e-07,8.552454859953328e-07,6
lmr_intercept_atkin,global,Q2M_IAV_global,Q2M,iav,6,1.6749635403802936e-06,14,8.534937353748911e-07,8.214698050054025e-07,7
cv,global,Q2M_IAV_global,Q2M,iav,5,1.70369962224201e-06,13,9.374798924557514e-07,7.662197297862586e-07,8
medlynintercept,global,Q2M_IAV_global,Q2M,iav,42,4.420967953109364e-07,10,1.131614620427835e-06,6.895178251168987e-07,9
KCN,global,Q2M_IAV_global,Q2M,iav,16,1.0778126451706823e-06,31,4.3737205919909246e-07,6.404405859715899e-07,10
q10_mr,global,Q2M_IAV_global,Q2M,iav,21,8.049289897502126e-07,68,1.6946408580001317e-07,6.354649039501994e-07,11
slatop,global,Q2M_IAV_global,Q2M,iav,26,6.399992218748438e-07,175,1.0775873174039018e-08,6.292233487008048e-07,12
sand_pf,global,Q2M_IAV_global,Q2M,iav,71,2.0800329361828955e-07,15,8.316382414346032e-07,6.236349478163137e-07,13
medlynslope,global,Q2M_IAV_global,Q2M,iav,15,1.1137900802300548e-06,5,1.7252933953459563e-06,6.115033151159015e-07,14
vcmaxhd,global,Q2M_IAV_global,Q2M,iav,51,3.640880401315665e-07,12,9.61280080360766e-07,5.971920402291994e-07,15
kmax,global,Q2M_IAV_global,Q2M,iav,19,8.428243173167198e-07,40,3.095684504709259e-07,5.33255866845794e-07,16
dleaf,global,Q2M_IAV_global,Q2M,iav,7,1.603251401712739e-06,11,1.0738769237296573e-06,5.293744779830817e-07,17
tpu25ratio,global,Q2M_IAV_global,Q2M,iav,35,5.272562959372491e-07,172,1.1255648574219992e-08,5.160006473630291e-07,18
cpha,global,Q2M_IAV_global,Q2M,iav,24,6.573784771992107e-07,62,1.959148638666235e-07,4.6146361333258726e-07,19
clay_pf,global,Q2M_IAV_global,Q2M,iav,14,1.1779480099418618e-06,20,7.210269632266635e-07,4.5692104671519833e-07,20
jmaxb0,global,Q2M_IAV_global,Q2M,iav,13,1.195617644201522e-06,19,7.414958652745532e-07,4.5412177892696875e-07,21
krmax,global,Q2M_IAV_global,Q2M,iav,20,8.321373437576859e-07,35,3.793459401195859e-07,4.5279140363809996e-07,22
leafcn,global,Q2M_IAV_global,Q2M,iav,4,1.7391998778389892e-06,7,1.2938503654779469e-06,4.453495123610423e-07,23
br_root,global,Q2M_IAV_global,Q2M,iav,41,4.613469862065669e-07,100,7.568457751318193e-08,3.8566240869338496e-07,24
zbedrock_sf,global,Q2M_IAV_global,Q2M,iav,87,1.5439101567980818e-07,27,5.343509661067004e-07,3.7995995042689227e-07,25
rholvis,global,Q2M_IAV_global,Q2M,iav,44,4.2687459543997385e-07,111,5.8974097560702086e-08,3.6790049787927177e-07,26
lmrse,global,Q2M_IAV_global,Q2M,iav,39,5.00438357433589e-07,77,1.395044953220843e-07,3.609338621115047e-07,27
FUN_fracfixers,global,Q2M_IAV_global,Q2M,iav,40,4.885450286980762e-07,16,8.289850164067646e-07,3.404399877086884e-07,28
maxpsi_hr,global,Q2M_IAV_global,Q2M,iav,160,1.597125640252642e-08,39,3.368594575047358e-07,3.208882011022094e-07,29
stem_leaf,global,Q2M_IAV_global,Q2M,iav,28,5.977319282007544e-07,48,2.833903605341774e-07,3.1434156766657704e-07,30
zetamaxstable,global,Q2M_IAV_global,Q2M,iav,17,9.331264853443468e-07,8,1.24655519054391e-06,3.134287051995633e-07,31
nstem,global,Q2M_IAV_global,Q2M,iav,18,8.533131574238342e-07,9,1.160144259575513e-06,3.0683110215167875e-07,32
baseflow_scalar,global,Q2M_IAV_global,Q2M,iav,101,1.1019394574020237e-07,33,4.112608087469339e-07,3.010668630067315e-07,33
rstem,global,Q2M_IAV_global,Q2M,iav,77,1.8849417009597625e-07,29,4.868612666937143e-07,2.9836709659773807e-07,34
upplim_destruct_metamorph,global,Q2M_IAV_global,Q2M,iav,56,3.3335356687298897e-07,139,3.8291790206799066e-08,2.950617766661899e-07,35
froot_leaf,global,Q2M_IAV_global,Q2M,iav,37,5.207627605707034e-07,18,8.14706859304253e-07,2.939440987335495e-07,36
tpuhd,global,Q2M_IAV_global,Q2M,iav,132,4.996675969614055e-08,38,3.4067581920679e-07,2.9070905951064944e-07,37
