param_name,biome,criteria,variable,measure,ssp_rank,ssp_range,pi_rank,pi_range,diff_range,diff_rank
csol_sand,Boreal forest,Q2M_iav_Boreal forest,Q2M,iav,2,2.118257681581323e-07,116,5.1155592266409955e-09,2.067102089314913e-07,1
upplim_destruct_metamorph,Boreal forest,Q2M_iav_Boreal forest,Q2M,iav,1,2.122474811458701e-07,27,3.2666253607091384e-08,1.795812275387787e-07,2
cv,Boreal forest,Q2M_iav_Boreal forest,Q2M,iav,3,2.0606668860262402e-07,14,4.7220346279834334e-08,1.5884634232278969e-07,3
fff,Boreal forest,Q2M_iav_Boreal forest,Q2M,iav,7,1.309720398493606e-07,120,4.5830039785477235e-09,1.2638903587081287e-07,4
medlynslope,Boreal forest,Q2M_iav_Boreal forest,Q2M,iav,4,1.483908456974273e-07,19,4.2887024205394895e-08,1.0550382149203241e-07,5
z0mr,Boreal forest,Q2M_iav_Boreal forest,Q2M,iav,8,1.3083488442488318e-07,21,3.882782716171446e-08,9.200705726316872e-08,6
grperc,Boreal forest,Q2M_iav_Boreal forest,Q2M,iav,12,8.747866636388443e-08,166,1.4200752710731775e-09,8.605859109281125e-08,7
q10_mr,Boreal forest,Q2M_iav_Boreal forest,Q2M,iav,11,9.633535378453385e-08,60,1.3150335062129104e-08,8.318501872240474e-08,8
sand_pf,Boreal forest,Q2M_iav_Boreal forest,Q2M,iav,13,8.614060937808856e-08,57,1.4003614108247396e-08,7.213699526984117e-08,9
nstem,Boreal forest,Q2M_iav_Boreal forest,Q2M,iav,17,7.874952190868102e-08,66,1.1844728391135334e-08,6.690479351754569e-08,10
jmaxb1,Boreal forest,Q2M_iav_Boreal forest,Q2M,iav,171,2.1642001247343924e-09,6,6.822823188471327e-08,6.606403175997888e-08,11
lmr_intercept_atkin,Boreal forest,Q2M_iav_Boreal forest,Q2M,iav,19,7.631306973445327e-08,77,1.0266290518606974e-08,6.60467792158463e-08,12
dleaf,Boreal forest,Q2M_iav_Boreal forest,Q2M,iav,10,1.0000840034962035e-07,24,3.443663361292855e-08,6.55717667366918e-08,13
