param_name,biome,criteria,variable,measure,ssp_rank,ssp_range,pi_rank,pi_range,diff_range,diff_rank
medlynintercept,global,Q2M_IAV_global,Q2M,iav,2,2.781989726512876e-06,11,6.75595789592496e-07,2.10639393692038e-06,1
nstem,global,Q2M_IAV_global,Q2M,iav,6,1.79255297333223e-06,117,3.5905036642128055e-08,1.756647936690102e-06,2
tpuse_sf,global,Q2M_IAV_global,Q2M,iav,8,1.693042777030723e-06,163,8.904884892470722e-09,1.6841378921382522e-06,3
FUN_fracfixers,global,Q2M_IAV_global,Q2M,iav,9,1.4572587229239677e-06,88,7.321394074734453e-08,1.3840447821766231e-06,4
jmaxse_sf,global,Q2M_IAV_global,Q2M,iav,10,1.3451292955943538e-06,139,1.9888163191769912e-08,1.325241132402584e-06,5
d_max,global,Q2M_IAV_global,Q2M,iav,1,5.228787076835007e-06,1,6.283235477664502e-06,1.054448400829495e-06,6
clay_pf,global,Q2M_IAV_global,Q2M,iav,5,1.955916996307586e-06,8,9.276239617083916e-07,1.0282930345991944e-06,7
interception_fraction,global,Q2M_IAV_global,Q2M,iav,15,1.0317041809835274e-06,51,1.4891924546446948e-07,8.827849355190579e-07,8
jmaxb0,global,Q2M_IAV_global,Q2M,iav,16,1.0141042362225324e-06,54,1.439603299859449e-07,8.701439062365875e-07,9
jmaxhd,global,Q2M_IAV_global,Q2M,iav,21,9.164239573827936e-07,75,9.709209722677265e-08,8.193318601560209e-07,10
krmax,global,Q2M_IAV_global,Q2M,iav,136,5.9118311578274505e-08,9,8.564866080939545e-07,7.9736829651568e-07,11
vcmaxhd,global,Q2M_IAV_global,Q2M,iav,22,8.768545216117921e-07,82,8.584362182091622e-08,7.910108997908759e-07,12
rstem,global,Q2M_IAV_global,Q2M,iav,20,9.244239797319718e-07,55,1.4354512343707398e-07,7.808788562948979e-07,13
kcha,global,Q2M_IAV_global,Q2M,iav,24,8.181207340416112e-07,110,4.669762319790361e-08,7.714231108437076e-07,14
jmaxb1,global,Q2M_IAV_global,Q2M,iav,13,1.0993252510939315e-06,22,3.34695410755863e-07,7.646298403380685e-07,15
cn_s3_bgc,global,Q2M_IAV_global,Q2M,iav,29,7.5957860975982e-07,144,1.842888822758449e-08,7.411497215322355e-07,16
