param_name,biome,criteria,variable,measure,ssp_rank,ssp_range,pi_rank,pi_range,diff_range,diff_rank
fff,Boreal forest,Q2M_iav_Boreal forest,Q2M,iav,23,2.8207434172957006e-08,1,1.658008759313467e-07,1.375934417583897e-07,1
krmax,Boreal forest,Q2M_iav_Boreal forest,Q2M,iav,11,4.5188707994216586e-08,2,1.4014905198318152e-07,9.496034398896494e-08,2
sand_pf,Boreal forest,Q2M_iav_Boreal forest,Q2M,iav,173,1.1418505839740106e-09,4,9.024705910576321e-08,8.91052085217892e-08,3
medlynslope,Boreal forest,Q2M_iav_Boreal forest,Q2M,iav,3,7.875329003206758e-08,124,6.626136921533743e-09,7.212715311053384e-08,4
medlynintercept,Boreal forest,Q2M_iav_Boreal forest,Q2M,iav,1,1.2073516545591542e-07,18,5.262066126251544e-08,6.811450419339999e-08,5
wc2wjb0,Boreal forest,Q2M_iav_Boreal forest,Q2M,iav,39,1.6674865446531175e-08,5,7.917169599674977e-08,6.24968305502186e-08,6
clay_pf,Boreal forest,Q2M_iav_Boreal forest,Q2M,iav,42,1.5827865537028723e-08,9,6.561935941996431e-08,4.979149388293559e-08,7
kcha,Boreal forest,Q2M_iav_Boreal forest,Q2M,iav,81,7.735424198945711e-09,12,5.748850195515626e-08,4.975307775621055e-08,8
FUN_fracfixers,Boreal forest,Q2M_iav_Boreal forest,Q2M,iav,26,2.6743676178339962e-08,6,7.431854348419994e-08,4.757486730585998e-08,9
leaf_long,Boreal forest,Q2M_iav_Boreal forest,Q2M,iav,54,1.2109095130708107e-08,19,5.194251309000385e-08,3.9833417959295743e-08,10
accum_factor,Boreal forest,Q2M_iav_Boreal forest,Q2M,iav,41,1.5957294265981712e-08,15,5.457167009678475e-08,3.861437583080304e-08,11
cv,Boreal forest,Q2M_iav_Boreal forest,Q2M,iav,16,3.3478874555789983e-08,7,7.196174939059522e-08,3.848287483480524e-08,12
stem_leaf,Boreal forest,Q2M_iav_Boreal forest,Q2M,iav,36,2.0820921209886985e-08,11,5.846539798918466e-08,3.764447677929768e-08,13
tau_s1,Boreal forest,Q2M_iav_Boreal forest,Q2M,iav,190,8.438126294887976e-11,32,3.7568879622294514e-08,3.7484498359345635e-08,14
lmrse,Boreal forest,Q2M_iav_Boreal forest,Q2M,iav,62,1.1393376636292964e-08,22,4.8444467628124786e-08,3.705109099183182e-08,15
enzyme_turnover_daily,Boreal forest,Q2M_iav_Boreal forest,Q2M,iav,121,4.663790531299167e-09,28,3.959490065139389e-08,3.4931110120094726e-08,16
lmrhd,Boreal forest,Q2M_iav_Boreal forest,Q2M,iav,44,1.5441078152731082e-08,20,4.98920649762319e-08,3.4450986823500814e-08,17
zlnd,Boreal forest,Q2M_iav_Boreal forest,Q2M,iav,123,4.221246955460034e-09,29,3.8162826258542785e-08,3.394157930308275e-08,18
e_ice,Boreal forest,Q2M_iav_Boreal forest,Q2M,iav,8,6.340039609768011e-08,41,3.002478017560711e-08,3.3375615922073e-08,19
rstem,Boreal forest,Q2M_iav_Boreal forest,Q2M,iav,164,1.4806347351684371e-09,36,3.2442654849158825e-08,3.096202011399039e-08,20
ko25_coef,Boreal forest,Q2M_iav_Boreal forest,Q2M,iav,175,1.0068147404804548e-09,39,3.192715066602294e-08,3.0920335925542485e-08,21
slopemax,Boreal forest,Q2M_iav_Boreal forest,Q2M,iav,6,7.079421397737047e-08,27,3.994108910514951e-08,3.085312487222096e-08,22
d_max,Boreal forest,Q2M_iav_Boreal forest,Q2M,iav,18,3.178697765161052e-08,163,2.301229977634494e-09,2.948574767397603e-08,23
jmaxse_sf,Boreal forest,Q2M_iav_Boreal forest,Q2M,iav,182,5.757568291937779e-10,45,2.819157583539094e-08,2.7615819006197163e-08,24
kc25_coef,Boreal forest,Q2M_iav_Boreal forest,Q2M,iav,67,1.0374209116690516e-08,31,3.7783058864519135e-08,2.740884974782862e-08,25
froot_leaf,Boreal forest,Q2M_iav_Boreal forest,Q2M,iav,22,2.9884434912360784e-08,13,5.6779508694730314e-08,2.689507378236953e-08,26
a_coef,Boreal forest,Q2M_iav_Boreal forest,Q2M,iav,169,1.2818298257448251e-09,46,2.797566650914305e-08,2.6693836683398224e-08,27
wind_snowcompact_fact,Boreal forest,Q2M_iav_Boreal forest,Q2M,iav,157,1.870116586719764e-09,44,2.8257441708475613e-08,2.638732512175585e-08,28
tpu25ratio,Boreal forest,Q2M_iav_Boreal forest,Q2M,iav,57,1.1975793630282104e-08,30,3.791080928639012e-08,2.5935015656108017e-08,29
cpha,Boreal forest,Q2M_iav_Boreal forest,Q2M,iav,89,7.273520542848588e-09,37,3.207597447637002e-08,2.480245393352143e-08,30
slopebeta,Boreal forest,Q2M_iav_Boreal forest,Q2M,iav,14,3.733454809883859e-08,87,1.3182195617469268e-08,2.4152352481369323e-08,31
tkd_sand,Boreal forest,Q2M_iav_Boreal forest,Q2M,iav,34,2.2101335471784267e-08,191,2.877935420238996e-11,2.2072556117581877e-08,32
vcmaxhd,Boreal forest,Q2M_iav_Boreal forest,Q2M,iav,171,1.2122387523717354e-09,53,2.2415813029483172e-08,2.1203574277111437e-08,33
slatop,Boreal forest,Q2M_iav_Boreal forest,Q2M,iav,15,3.3850997370229445e-08,14,5.493929416803072e-08,2.1088296797801273e-08,34
lmr_intercept_atkin,Boreal forest,Q2M_iav_Boreal forest,Q2M,iav,82,7.664891620391241e-09,43,2.8280589403335922e-08,2.061569778294468e-08,35
leafcn,Boreal forest,Q2M_iav_Boreal forest,Q2M,iav,25,2.718946553953599e-08,25,4.7156586189101816e-08,1.9967120649565825e-08,36
pc,Boreal forest,Q2M_iav_Boreal forest,Q2M,iav,20,3.0885130061395545e-08,97,1.1073773054986237e-08,1.981135700640931e-08,37
csoilc,Boreal forest,Q2M_iav_Boreal forest,Q2M,iav,5,7.330285982728278e-08,16,5.4022769711936e-08,1.9280090115346783e-08,38
fd_pft,Boreal forest,Q2M_iav_Boreal forest,Q2M,iav,116,4.796984264084976e-09,52,2.3032180352028463e-08,1.8235196087943487e-08,39
grperc,Boreal forest,Q2M_iav_Boreal forest,Q2M,iav,38,1.674380851049646e-08,33,3.489455206615159e-08,1.815074355565513e-08,40
som_diffus,Boreal forest,Q2M_iav_Boreal forest,Q2M,iav,84,7.575554266865126e-09,48,2.5514305076977213e-08,1.7938750810112087e-08,41
interception_fraction,Boreal forest,Q2M_iav_Boreal forest,Q2M,iav,29,2.526676008834989e-08,114,7.516359988212248e-09,1.7750400100137643e-08,42
rf_l1s1_bgc,Boreal forest,Q2M_iav_Boreal forest,Q2M,iav,77,8.448648108328811e-09,47,2.5686536302361005e-08,1.7237888194032196e-08,43
r_mort,Boreal forest,Q2M_iav_Boreal forest,Q2M,iav,30,2.4635113369908124e-08,115,7.496889235793192e-09,1.713822413411493e-08,44
vcmaxha,Boreal forest,Q2M_iav_Boreal forest,Q2M,iav,137,3.2744132360086542e-09,61,2.0038143723033888e-08,1.6763730487025234e-08,45
theta_cj,Boreal forest,Q2M_iav_Boreal forest,Q2M,iav,45,1.5317059306535962e-08,38,3.201801891293698e-08,1.670095960640102e-08,46
frac_sat_soil_dsl_init,Boreal forest,Q2M_iav_Boreal forest,Q2M,iav,2,9.515802152325085e-08,3,1.1184874627725584e-07,1.669072475400499e-08,47
ndays_on,Boreal forest,Q2M_iav_Boreal forest,Q2M,iav,32,2.2763476972232132e-08,121,7.026029809463197e-09,1.5737447162768936e-08,48
snowcan_unload_temp_fact,Boreal forest,Q2M_iav_Boreal forest,Q2M,iav,188,2.825156539729801e-10,75,1.596198559585379e-08,1.567946994188081e-08,49
frootcn,Boreal forest,Q2M_iav_Boreal forest,Q2M,iav,143,2.9266133294867996e-09,66,1.8119407501898016e-08,1.5192794172411217e-08,50
nstem,Boreal forest,Q2M_iav_Boreal forest,Q2M,iav,37,1.8563656321341857e-08,34,3.3679126674637265e-08,1.511547035329541e-08,51
tpuha,Boreal forest,Q2M_iav_Boreal forest,Q2M,iav,109,5.2226352337917005e-09,59,2.0255199349792684e-08,1.5032564116000983e-08,52
prh30,Boreal forest,Q2M_iav_Boreal forest,Q2M,iav,69,1.000032222190994e-08,50,2.5007703520855243e-08,1.5007381298945302e-08,53
jmaxb0,Boreal forest,Q2M_iav_Boreal forest,Q2M,iav,17,3.2655486074455274e-08,24,4.7572159153913184e-08,1.491667307945791e-08,54
jmaxhd,Boreal forest,Q2M_iav_Boreal forest,Q2M,iav,165,1.448327822936735e-09,73,1.6162733786759957e-08,1.4714405963823222e-08,55
tpuhd,Boreal forest,Q2M_iav_Boreal forest,Q2M,iav,166,1.4312088909789435e-09,76,1.5890605621567854e-08,1.445939673058891e-08,56
maxpsi_hr,Boreal forest,Q2M_iav_Boreal forest,Q2M,iav,162,1.624682505336972e-09,78,1.5751935276857533e-08,1.4127252771520561e-08,57
tpuse_sf,Boreal forest,Q2M_iav_Boreal forest,Q2M,iav,104,5.991872348511472e-09,60,2.008964245787757e-08,1.40977701093661e-08,58
relhExp,Boreal forest,Q2M_iav_Boreal forest,Q2M,iav,75,8.520157428027943e-09,54,2.2093266591661934e-08,1.357310916363399e-08,59
taulnir,Boreal forest,Q2M_iav_Boreal forest,Q2M,iav,13,3.7547328115408044e-08,51,2.4040542523793322e-08,1.3506785591614722e-08,60
rootprof_beta,Boreal forest,Q2M_iav_Boreal forest,Q2M,iav,40,1.61833563087987e-08,156,2.8203928474942235e-09,1.3362963461304476e-08,61
LF,Boreal forest,Q2M_iav_Boreal forest,Q2M,iav,156,1.9673710736593114e-09,80,1.498575009658213e-08,1.3018379022922819e-08,62
rhosvis,Boreal forest,Q2M_iav_Boreal forest,Q2M,iav,50,1.3028823293620342e-08,182,4.559551247593072e-10,1.2572868168861034e-08,63
zsno,Boreal forest,Q2M_iav_Boreal forest,Q2M,iav,4,7.634189788574262e-08,10,6.379336526169728e-08,1.2548532624045342e-08,64
freelivfix_slope_wet,Boreal forest,Q2M_iav_Boreal forest,Q2M,iav,115,4.801991394637374e-09,69,1.7320653870545826e-08,1.2518662475908452e-08,65
br_root,Boreal forest,Q2M_iav_Boreal forest,Q2M,iav,135,3.387824061706906e-09,77,1.5885740894271628e-08,1.2497916832564721e-08,66
z0mr,Boreal forest,Q2M_iav_Boreal forest,Q2M,iav,21,3.062737341858701e-08,26,4.3030999760050035e-08,1.2403626341463025e-08,67
cp25_yr2000,Boreal forest,Q2M_iav_Boreal forest,Q2M,iav,70,9.618846031734776e-09,56,2.1942023208427944e-08,1.2323177176693168e-08,68
a_exp,Boreal forest,Q2M_iav_Boreal forest,Q2M,iav,151,2.2292492051008387e-09,83,1.4279995570523677e-08,1.2050746365422838e-08,69
n_baseflow,Boreal forest,Q2M_iav_Boreal forest,Q2M,iav,48,1.3777801110760596e-08,168,1.7522365417704095e-09,1.2025564568990186e-08,70
