param_name,biome,criteria,variable,measure,ssp_rank,ssp_range,pi_rank,pi_range,diff_range,diff_rank
csol_sand,global,TSA_IAV_global,TSA,iav,2,0.0036659236933263,74,0.0002530884659049,0.0034128352274214,1
sand_pf,global,TSA_IAV_global,TSA,iav,57,0.0003541145040933,3,0.0022967088316945,0.0019425943276011998,2
lmr_intercept_atkin,global,TSA_IAV_global,TSA,iav,9,0.0017013554644443,40,0.0004343986940041,0.0012669567704402,3
wc2wjb0,global,TSA_IAV_global,TSA,iav,4,0.0020264646834687,26,0.0007676622704825,0.0012588024129862,4
krmax,global,TSA_IAV_global,TSA,iav,33,0.00062726032693,5,0.0018543429627206,0.0012270826357905999,5
tpuse_sf,global,TSA_IAV_global,TSA,iav,13,0.0012591417094419,110,0.0001241699326681,0.0011349717767738,6
zetamaxstable,global,TSA_IAV_global,TSA,iav,1,0.0090974669634649,1,0.0080256771632136,0.0010717898002512993,7
medlynintercept,global,TSA_IAV_global,TSA,iav,22,0.000813801728989,4,0.0018759530644816,0.0010621513354926002,8
d_max,global,TSA_IAV_global,TSA,iav,118,9.68891825149365e-05,18,0.0010363448225408,0.0009394556400258635,9
jmaxhd,global,TSA_IAV_global,TSA,iav,15,0.0010529865457636,100,0.0001480502955011,0.0009049362502625,10
kcha,global,TSA_IAV_global,TSA,iav,18,0.0009046031947249,135,6.402205608395384e-05,0.0008405811386409461,11
cpha,global,TSA_IAV_global,TSA,iav,14,0.0012057230069646,51,0.0003676476570282,0.0008380753499364,12
rstem,global,TSA_IAV_global,TSA,iav,44,0.0005283694055877,8,0.0013528119546016,0.0008244425490139,13
leafcn,global,TSA_IAV_global,TSA,iav,5,0.0019512918274649,12,0.0012043966623783,0.0007468951650866,14
theta_cj,global,TSA_IAV_global,TSA,iav,7,0.0018377213924796,14,0.0011678241891225,0.0006698972033571001,15
nstem,global,TSA_IAV_global,TSA,iav,50,0.0004509999536965,15,0.0011123410081626,0.0006613410544660999,16
maximum_leaf_wetted_fraction,global,TSA_IAV_global,TSA,iav,16,0.0009805693761159,56,0.0003310958339665,0.0006494735421494,17
denitrif_respiration_exponent,global,TSA_IAV_global,TSA,iav,166,2.146288984709865e-05,30,0.0006594420623892,0.0006379791725421014,18
