param_name,biome,criteria,variable,measure,ssp_rank,ssp_range,pi_rank,pi_range,diff_range,diff_rank
zetamaxstable,Boreal forest,TSA_iav_Boreal forest,TSA,iav,1,0.0016554754135213,2,0.0004387880076731,0.0012166874058482,1
baseflow_scalar,Boreal forest,TSA_iav_Boreal forest,TSA,iav,3,0.0003751269313563,173,2.0594119851113923e-06,0.0003730675193711886,2
fbw,Boreal forest,TSA_iav_Boreal forest,TSA,iav,6,0.0003231832511121,87,2.893638116636954e-05,0.0002942468699457305,3
cv,Boreal forest,TSA_iav_Boreal forest,TSA,iav,47,8.683569170754579e-05,4,0.0003754966322108,0.0002886609405032542,4
clay_pf,Boreal forest,TSA_iav_Boreal forest,TSA,iav,7,0.0003215578729814,73,4.438184763252279e-05,0.0002771760253488772,5
krmax,Boreal forest,TSA_iav_Boreal forest,TSA,iav,5,0.0003292245571245,40,8.229220645769586e-05,0.00024693235066680413,6
zsno,Boreal forest,TSA_iav_Boreal forest,TSA,iav,14,0.0001917378301697,3,0.0004378868047989,0.0002461489746292,7
liq_canopy_storage_scalar,Boreal forest,TSA_iav_Boreal forest,TSA,iav,145,6.8724372675188494e-06,8,0.0002401352994317,0.00023326286216418114,8
e_ice,Boreal forest,TSA_iav_Boreal forest,TSA,iav,8,0.0003010788726466,42,7.589771808598489e-05,0.0002251811545606151,9
slatop,Boreal forest,TSA_iav_Boreal forest,TSA,iav,9,0.0002233616341082,169,2.9061380816333693e-06,0.00022045549602656663,10
upplim_destruct_metamorph,Boreal forest,TSA_iav_Boreal forest,TSA,iav,2,0.0004848852791644,1,0.0007019374798076,0.00021705220064320005,11
fff,Boreal forest,TSA_iav_Boreal forest,TSA,iav,190,1.4126740004866134e-07,12,0.0001966281479388,0.00019648688053875134,12
z0mr,Boreal forest,TSA_iav_Boreal forest,TSA,iav,4,0.0003330591767863,20,0.0001379809778996,0.00019507819888669997,13
leaf_long,Boreal forest,TSA_iav_Boreal forest,TSA,iav,128,1.1458822724248752e-05,10,0.0002055495058731,0.00019409068314885124,14
FUN_fracfixers,Boreal forest,TSA_iav_Boreal forest,TSA,iav,72,4.0664032888632073e-05,9,0.0002281978925071,0.00018753385961846791,15
medlynintercept,Boreal forest,TSA_iav_Boreal forest,TSA,iav,12,0.0002053540959283,84,3.3715856254487586e-05,0.00017163823967381243,16
slopemax,Boreal forest,TSA_iav_Boreal forest,TSA,iav,91,2.4143269412399412e-05,14,0.0001849607675277,0.00016081749811530058,17
q10_mr,Boreal forest,TSA_iav_Boreal forest,TSA,iav,109,1.820106605855687e-05,15,0.0001698710279264,0.00015166996186784313,18
grperc,Boreal forest,TSA_iav_Boreal forest,TSA,iav,21,0.0001466027409154,134,1.2520455234428518e-05,0.0001340822856809715,19
k_nitr_max_perday,Boreal forest,TSA_iav_Boreal forest,TSA,iav,160,4.925403336998591e-06,21,0.0001368466886397,0.0001319212853027014,20
accum_factor,Boreal forest,TSA_iav_Boreal forest,TSA,iav,10,0.0002203183483172,5,0.000348545737028,0.0001282273887108,21
theta_ip,Boreal forest,TSA_iav_Boreal forest,TSA,iav,28,0.0001226566105878,158,6.788098041908552e-06,0.00011586851254589145,22
vcmaxha,Boreal forest,TSA_iav_Boreal forest,TSA,iav,19,0.0001490223043994,75,3.734239838193432e-05,0.0001116799060174657,23
jmaxb0,Boreal forest,TSA_iav_Boreal forest,TSA,iav,25,0.0001304974771776,108,1.927419328555391e-05,0.0001112232838920461,24
denitrif_respiration_exponent,Boreal forest,TSA_iav_Boreal forest,TSA,iav,132,1.0341864004143051e-05,23,0.0001211148660062,0.00011077300200205695,25
snw_rds_refrz,Boreal forest,TSA_iav_Boreal forest,TSA,iav,181,1.6583430917510578e-06,29,0.0001118788008313,0.00011022045773954894,26
wind_snowcompact_fact,Boreal forest,TSA_iav_Boreal forest,TSA,iav,22,0.0001462879679106,74,4.259530379122772e-05,0.00010369266411937227,27
vcmaxse_sf,Boreal forest,TSA_iav_Boreal forest,TSA,iav,26,0.0001290301118715,99,2.549936479941811e-05,0.00010353074707208188,28
stem_leaf,Boreal forest,TSA_iav_Boreal forest,TSA,iav,119,1.4687020223884406e-05,26,0.0001180718360581,0.0001033848158342156,29
kmax,Boreal forest,TSA_iav_Boreal forest,TSA,iav,16,0.000182184767487,6,0.0002779887446742,9.580397718720002e-05,30
jmaxse_sf,Boreal forest,TSA_iav_Boreal forest,TSA,iav,147,6.745370399227624e-06,33,0.0001022419544109,9.549658401167238e-05,31
denitrif_respiration_coefficient,Boreal forest,TSA_iav_Boreal forest,TSA,iav,136,8.877196389200925e-06,31,0.0001034415077552,9.456431136599908e-05,32
nstem,Boreal forest,TSA_iav_Boreal forest,TSA,iav,38,9.686819898958172e-05,13,0.0001898693610824,9.300116209281827e-05,33
kn_nonmyc,Boreal forest,TSA_iav_Boreal forest,TSA,iav,11,0.0002155905162151,22,0.0001232149628354,9.237555337970001e-05,34
csol_sand,Boreal forest,TSA_iav_Boreal forest,TSA,iav,30,0.0001079748063683,121,1.6337820588963048e-05,9.163698577933696e-05,35
fd_pft,Boreal forest,TSA_iav_Boreal forest,TSA,iav,40,9.332573724150224e-05,170,2.6396091813221667e-06,9.068612806018007e-05,36
lmrhd,Boreal forest,TSA_iav_Boreal forest,TSA,iav,36,9.705211378630008e-05,149,8.354033089907897e-06,8.869808069639218e-05,37
om_frac_sf,Boreal forest,TSA_iav_Boreal forest,TSA,iav,34,0.000103129622573,102,2.3923214579009425e-05,7.920640799399058e-05,38
interception_fraction,Boreal forest,TSA_iav_Boreal forest,TSA,iav,138,8.312457920225946e-06,38,8.415584479809501e-05,7.584338687786907e-05,39
maximum_leaf_wetted_fraction,Boreal forest,TSA_iav_Boreal forest,TSA,iav,69,4.5204580241577086e-05,25,0.0001185232296856,7.331864944402291e-05,40
leafcn,Boreal forest,TSA_iav_Boreal forest,TSA,iav,39,9.578819825170616e-05,16,0.0001689738023281,7.318560407639384e-05,41
ndays_on,Boreal forest,TSA_iav_Boreal forest,TSA,iav,97,2.317798251792041e-05,35,9.182203421225638e-05,6.864405169433596e-05,42
sand_pf,Boreal forest,TSA_iav_Boreal forest,TSA,iav,13,0.0002043923358438,7,0.0002727791630559,6.838682721210001e-05,43
rf_l3s2_bgc,Boreal forest,TSA_iav_Boreal forest,TSA,iav,173,2.9266871880775924e-06,44,7.016257738447912e-05,6.723589019640153e-05,44
rho_max,Boreal forest,TSA_iav_Boreal forest,TSA,iav,32,0.0001039711156309,77,3.679943107798289e-05,6.71716845529171e-05,45
jmaxha,Boreal forest,TSA_iav_Boreal forest,TSA,iav,23,0.0001351075967793,49,6.798980542719463e-05,6.711779135210537e-05,46
psi50,Boreal forest,TSA_iav_Boreal forest,TSA,iav,68,4.577243623220262e-05,28,0.000112877183436,6.710474720379738e-05,47
zbedrock_sf,Boreal forest,TSA_iav_Boreal forest,TSA,iav,44,8.880016185799922e-05,104,2.239931771438192e-05,6.64008441436173e-05,48
fnps,Boreal forest,TSA_iav_Boreal forest,TSA,iav,55,6.603172023981335e-05,183,9.70923061872908e-07,6.506079717794044e-05,49
fsr_pft,Boreal forest,TSA_iav_Boreal forest,TSA,iav,50,8.253482259815842e-05,113,1.7873297178803982e-05,6.466152541935444e-05,50
lmrse,Boreal forest,TSA_iav_Boreal forest,TSA,iav,46,8.84723626859707e-05,93,2.722210420677551e-05,6.125025847919519e-05,51
zlnd,Boreal forest,TSA_iav_Boreal forest,TSA,iav,191,1.3376849992974282e-07,59,6.000325450017385e-05,5.986948600024411e-05,52
vcmaxhd,Boreal forest,TSA_iav_Boreal forest,TSA,iav,48,8.661526473200537e-05,94,2.700200094937072e-05,5.961326378263465e-05,53
croot_stem,Boreal forest,TSA_iav_Boreal forest,TSA,iav,96,2.323123932988086e-05,41,8.117555337937288e-05,5.794431404949202e-05,54
snow_canopy_storage_scalar,Boreal forest,TSA_iav_Boreal forest,TSA,iav,52,7.841523128999939e-05,105,2.1741331984667656e-05,5.667389930533173e-05,55
kcha,Boreal forest,TSA_iav_Boreal forest,TSA,iav,35,9.959611192965344e-05,71,4.4918390163274646e-05,5.467772176637879e-05,56
freelivfix_slope_wet,Boreal forest,TSA_iav_Boreal forest,TSA,iav,62,5.554399253625969e-05,30,0.0001074632199598,5.1919227423540316e-05,57
cn_s3_bgc,Boreal forest,TSA_iav_Boreal forest,TSA,iav,111,1.772987428239059e-05,46,6.94601247434451e-05,5.1730250461054506e-05,58
relhExp,Boreal forest,TSA_iav_Boreal forest,TSA,iav,166,3.773172837749639e-06,62,5.212582242064556e-05,4.8352649582895924e-05,59
rholvis,Boreal forest,TSA_iav_Boreal forest,TSA,iav,57,6.401524798294728e-05,119,1.6410344057186943e-05,4.7604903925760333e-05,60
aq_sp_yield_min,Boreal forest,TSA_iav_Boreal forest,TSA,iav,104,2.0032796990462894e-05,53,6.663684642541079e-05,4.660404943494789e-05,61
snowcan_unload_wind_fact,Boreal forest,TSA_iav_Boreal forest,TSA,iav,58,6.33085880237666e-05,116,1.7126650860767312e-05,4.618193716299929e-05,62
theta_psii,Boreal forest,TSA_iav_Boreal forest,TSA,iav,29,0.0001155846728662,45,6.959799465090094e-05,4.5986678215299056e-05,63
rootprof_beta,Boreal forest,TSA_iav_Boreal forest,TSA,iav,42,9.235688252104413e-05,69,4.67007129712968e-05,4.565616954974733e-05,64
lai_dl,Boreal forest,TSA_iav_Boreal forest,TSA,iav,92,2.3753241811877435e-05,47,6.918838483005452e-05,4.543514301817708e-05,65
lmr_intercept_atkin,Boreal forest,TSA_iav_Boreal forest,TSA,iav,67,4.682452597500053e-05,36,9.155082502145669e-05,4.4726299046456155e-05,66
mu,Boreal forest,TSA_iav_Boreal forest,TSA,iav,134,9.22320227286777e-06,61,5.356833513606163e-05,4.434513286319386e-05,67
rf_s2s1_bgc,Boreal forest,TSA_iav_Boreal forest,TSA,iav,93,2.355561962490149e-05,51,6.776151663897417e-05,4.420589701407268e-05,68
pc,Boreal forest,TSA_iav_Boreal forest,TSA,iav,20,0.0001467447617733,32,0.0001029902404881,4.3754521285199985e-05,69
minrelh,Boreal forest,TSA_iav_Boreal forest,TSA,iav,156,5.576788371174091e-06,65,4.919790270524471e-05,4.362111433407062e-05,70
KCN,Boreal forest,TSA_iav_Boreal forest,TSA,iav,31,0.0001053907344212,18,0.0001489647059657,4.357397154450001e-05,71
csoilc,Boreal forest,TSA_iav_Boreal forest,TSA,iav,27,0.0001262739199315,39,8.306205552662677e-05,4.321186440487323e-05,72
ssi,Boreal forest,TSA_iav_Boreal forest,TSA,iav,161,4.765045742829988e-06,67,4.782796357943181e-05,4.306291783660182e-05,73
rholnir,Boreal forest,TSA_iav_Boreal forest,TSA,iav,120,1.4665413915516956e-05,60,5.677751391252456e-05,4.21120999970076e-05,74
xl,Boreal forest,TSA_iav_Boreal forest,TSA,iav,43,8.93650599274945e-05,68,4.746300499645223e-05,4.1902054931042265e-05,75
theta_cj,Boreal forest,TSA_iav_Boreal forest,TSA,iav,33,0.0001034019356193,56,6.384085993012267e-05,3.956107568917732e-05,76
koha,Boreal forest,TSA_iav_Boreal forest,TSA,iav,73,4.017818941560308e-05,185,7.410503593818785e-07,3.9437139056221204e-05,77
prh30,Boreal forest,TSA_iav_Boreal forest,TSA,iav,63,5.073866239134472e-05,131,1.4197989785434684e-05,3.6540672605910034e-05,78
taulnir,Boreal forest,TSA_iav_Boreal forest,TSA,iav,126,1.1610469846205784e-05,66,4.8103408096945854e-05,3.649293825074007e-05,79
minpsi_hr,Boreal forest,TSA_iav_Boreal forest,TSA,iav,65,5.036851711574114e-05,129,1.4788860031707264e-05,3.557965708403388e-05,80
fun_cn_flex_c,Boreal forest,TSA_iav_Boreal forest,TSA,iav,167,3.566376118743775e-06,76,3.698931412718376e-05,3.3422938008439984e-05,81
jmax25top_sf,Boreal forest,TSA_iav_Boreal forest,TSA,iav,171,3.3756515566071843e-06,79,3.613756003992968e-05,3.276190848332249e-05,82
rf_l2s1_bgc,Boreal forest,TSA_iav_Boreal forest,TSA,iav,81,3.163033856695002e-05,55,6.415237857600176e-05,3.2522040009051734e-05,83
FR,Boreal forest,TSA_iav_Boreal forest,TSA,iav,54,6.746974818815782e-05,78,3.623996200045887e-05,3.122978618769895e-05,84
slopebeta,Boreal forest,TSA_iav_Boreal forest,TSA,iav,15,0.0001855934546647,17,0.0001545168778612,3.107657680350001e-05,85
cpha,Boreal forest,TSA_iav_Boreal forest,TSA,iav,41,9.275547322774856e-05,58,6.235127669925594e-05,3.040419652849262e-05,86
snowcan_unload_temp_fact,Boreal forest,TSA_iav_Boreal forest,TSA,iav,113,1.7101317036687103e-05,70,4.531295730494239e-05,2.821164026825529e-05,87
medlynslope,Boreal forest,TSA_iav_Boreal forest,TSA,iav,17,0.0001768919990875,11,0.0002029461653097,2.6054166222200004e-05,88
occur_hi_gdp_tree,Boreal forest,TSA_iav_Boreal forest,TSA,iav,88,2.563774675413272e-05,186,6.456658159723072e-07,2.4992080938160414e-05,89
a_exp,Boreal forest,TSA_iav_Boreal forest,TSA,iav,70,4.405060683019407e-05,109,1.909775921992568e-05,2.495284761026839e-05,90
tau_l1,Boreal forest,TSA_iav_Boreal forest,TSA,iav,169,3.4335100976071176e-06,91,2.8167873507969895e-05,2.4734363410362777e-05,91
froot_leaf,Boreal forest,TSA_iav_Boreal forest,TSA,iav,37,9.694078215236046e-05,24,0.0001198028502571,2.286206810473954e-05,92
fun_cn_flex_a,Boreal forest,TSA_iav_Boreal forest,TSA,iav,124,1.2306847775402086e-05,82,3.424963144392501e-05,2.1942783668522925e-05,93
taulvis,Boreal forest,TSA_iav_Boreal forest,TSA,iav,77,3.359022514464599e-05,139,1.1736338651320566e-05,2.1853886493325425e-05,94
tpu25ratio,Boreal forest,TSA_iav_Boreal forest,TSA,iav,82,3.01601622285444e-05,147,8.434047225870656e-06,2.1726115002673744e-05,95
tau_ref,Boreal forest,TSA_iav_Boreal forest,TSA,iav,78,3.351529746834642e-05,138,1.2074589167493375e-05,2.144070830085304e-05,96
tkd_om,Boreal forest,TSA_iav_Boreal forest,TSA,iav,143,7.21482924443545e-06,90,2.851281397062144e-05,2.129798472618599e-05,97
lwtop_ann,Boreal forest,TSA_iav_Boreal forest,TSA,iav,174,2.8820829831299744e-06,103,2.357344855930671e-05,2.0691365576176735e-05,98
tkd_clay,Boreal forest,TSA_iav_Boreal forest,TSA,iav,100,2.091663708007896e-05,187,3.548877704762088e-07,2.056174930960275e-05,99
akc_active,Boreal forest,TSA_iav_Boreal forest,TSA,iav,150,6.365892032088316e-06,95,2.662329159476562e-05,2.0257399562677303e-05,100
flivewd,Boreal forest,TSA_iav_Boreal forest,TSA,iav,99,2.14984019987971e-05,179,1.370167199386818e-06,2.0128234799410283e-05,101
enzyme_turnover_daily,Boreal forest,TSA_iav_Boreal forest,TSA,iav,56,6.457856291258723e-05,37,8.468978264360855e-05,2.0111219731021313e-05,102
som_diffus,Boreal forest,TSA_iav_Boreal forest,TSA,iav,83,2.948294039711863e-05,142,1.0156308242303956e-05,1.932663215481467e-05,103
LF,Boreal forest,TSA_iav_Boreal forest,TSA,iav,102,2.0670802665816168e-05,174,1.926669760864141e-06,1.8744132904952027e-05,104
tpuha,Boreal forest,TSA_iav_Boreal forest,TSA,iav,89,2.556795944925333e-05,154,7.442093744897127e-06,1.8125865704356203e-05,105
rh_hgh,Boreal forest,TSA_iav_Boreal forest,TSA,iav,186,4.795937386392612e-07,114,1.7754481903622943e-05,1.727488816498368e-05,106
kc_nonmyc,Boreal forest,TSA_iav_Boreal forest,TSA,iav,108,1.8208607340808317e-05,81,3.5398089751947914e-05,1.7189482411139597e-05,107
max_altdepth_cryoturbation,Boreal forest,TSA_iav_Boreal forest,TSA,iav,189,1.805354365239098e-07,117,1.6800913647134486e-05,1.6620378210610576e-05,108
cp25_yr2000,Boreal forest,TSA_iav_Boreal forest,TSA,iav,24,0.0001335076904801,27,0.0001169102389192,1.6597451560900018e-05,109
displar,Boreal forest,TSA_iav_Boreal forest,TSA,iav,105,1.918681160915925e-05,80,3.540850360620601e-05,1.622169199704676e-05,110
z_dl,Boreal forest,TSA_iav_Boreal forest,TSA,iav,86,2.7510179890367917e-05,140,1.1349572653938931e-05,1.6160607236428988e-05,111
frootcn,Boreal forest,TSA_iav_Boreal forest,TSA,iav,90,2.4819414048533883e-05,146,8.818737712780467e-06,1.6000676335753417e-05,112
tpuhd,Boreal forest,TSA_iav_Boreal forest,TSA,iav,80,3.182166068491782e-05,120,1.6402960259544186e-05,1.5418700425373633e-05,113
wood_density,Boreal forest,TSA_iav_Boreal forest,TSA,iav,94,2.335324335367428e-05,150,8.194840503059075e-06,1.5158402850615205e-05,114
wind_min,Boreal forest,TSA_iav_Boreal forest,TSA,iav,154,5.6151087639289e-06,107,2.060688852358744e-05,1.4991779759658541e-05,115
cc_dstem,Boreal forest,TSA_iav_Boreal forest,TSA,iav,175,2.777414662168132e-06,118,1.651367137470855e-05,1.3736256712540418e-05,116
Q10,Boreal forest,TSA_iav_Boreal forest,TSA,iav,121,1.3260784956135864e-05,191,1.7444518010667487e-08,1.3243340438125197e-05,117
br_root,Boreal forest,TSA_iav_Boreal forest,TSA,iav,49,8.541935625985125e-05,43,7.222086836437824e-05,1.319848789547301e-05,118
tau_s2,Boreal forest,TSA_iav_Boreal forest,TSA,iav,101,2.0898229147262023e-05,153,7.724248247874266e-06,1.3173980899387757e-05,119
