param_name,biome,criteria,variable,measure,ssp_rank,ssp_range,pi_rank,pi_range,diff_range,diff_rank
kmax,global,TSA_IAV_global,TSA,iav,9,0.0015795574855645,2,0.0040111423154238,0.0024315848298593,1
medlynintercept,global,TSA_IAV_global,TSA,iav,2,0.0025116395538161,52,0.0005212664381077,0.0019903731157084,2
leaf_long,global,TSA_IAV_global,TSA,iav,26,0.0007310171462383,3,0.0025108902388692,0.0017798730926308999,3
jmaxb1,global,TSA_IAV_global,TSA,iav,15,0.001051287292785,4,0.0024804606343798,0.0014291733415948,4
wc2wjb0,global,TSA_IAV_global,TSA,iav,56,0.0003532491492309,14,0.0016833728895916,0.0013301237403607002,5
maximum_leaf_wetted_fraction,global,TSA_IAV_global,TSA,iav,8,0.001692380310372,63,0.0003672332497298,0.0013251470606422,6
nstem,global,TSA_IAV_global,TSA,iav,3,0.0021636986383087,32,0.0008485208009432,0.0013151778373655001,7
FUN_fracfixers,global,TSA_IAV_global,TSA,iav,73,0.0002529668300438,15,0.0015043768102261,0.0012514099801823,8
jmaxb0,global,TSA_IAV_global,TSA,iav,37,0.0005154344473612,13,0.0017248595918909,0.0012094251445297,9
sand_pf,global,TSA_IAV_global,TSA,iav,28,0.0006879503831678,12,0.0018306332527853,0.0011426828696174999,10
froot_leaf,global,TSA_IAV_global,TSA,iav,24,0.0007606496579502,11,0.0018607940574906,0.0011001443995403998,11
fff,global,TSA_IAV_global,TSA,iav,19,0.0008400300518486,9,0.0018735868890421,0.0010335568371935,12
rstem,global,TSA_IAV_global,TSA,iav,7,0.001707411345309,38,0.0007050886425882,0.0010023227027207999,13
kn_nonmyc,global,TSA_IAV_global,TSA,iav,57,0.0003513791376727,18,0.0012033382819788,0.0008519591443061001,14
fnps,global,TSA_IAV_global,TSA,iav,106,0.0001503538061795,28,0.0009834918110638,0.0008331380048843001,15
leafcn,global,TSA_IAV_global,TSA,iav,10,0.0015577587288619,6,0.002340350387343,0.0007825916584810997,16
vcmaxha,global,TSA_IAV_global,TSA,iav,142,6.955618643074424e-05,33,0.0008440504297797,0.0007744942433489558,17
frac_sat_soil_dsl_init,global,TSA_IAV_global,TSA,iav,14,0.0011061673322921,8,0.0018787092629835,0.0007725419306914001,18
