param_name,biome,criteria,variable,measure,ssp_rank,ssp_range,pi_rank,pi_range,diff_range,diff_rank
sand_pf,Boreal forest,TSA_iav_Boreal forest,TSA,iav,2,0.0006016125579675,30,9.12747947135334e-05,0.0005103377632539666,1
snowcan_unload_wind_fact,Boreal forest,TSA_iav_Boreal forest,TSA,iav,13,0.0002398160516444,132,9.385997351105124e-06,0.00023043005429329488,2
wind_snowcompact_fact,Boreal forest,TSA_iav_Boreal forest,TSA,iav,7,0.0003168060736447,28,9.55342914340518e-05,0.00022127178221064819,3
fbw,Boreal forest,TSA_iav_Boreal forest,TSA,iav,11,0.0002620303353556,48,4.984291491930831e-05,0.0002121874204362917,4
zsno,Boreal forest,TSA_iav_Boreal forest,TSA,iav,40,9.246516103613572e-05,4,0.000282454731947,0.00018998957091086427,5
cv,Boreal forest,TSA_iav_Boreal forest,TSA,iav,16,0.000220570425886,81,3.1753477919040096e-05,0.0001888169479669599,6
medlynslope,Boreal forest,TSA_iav_Boreal forest,TSA,iav,101,2.9384142735650043e-05,13,0.0001978542009949,0.00016847005825924995,7
zetamaxstable,Boreal forest,TSA_iav_Boreal forest,TSA,iav,3,0.0004968894014068,2,0.0006612830382139,0.00016439363680709998,8
wc2wjb0,Boreal forest,TSA_iav_Boreal forest,TSA,iav,37,9.96586638559796e-05,6,0.0002637207630456,0.00016406209918962041,9
medlynintercept,Boreal forest,TSA_iav_Boreal forest,TSA,iav,15,0.0002255237200903,41,6.266550099863488e-05,0.00016285821909166513,10
kn_nonmyc,Boreal forest,TSA_iav_Boreal forest,TSA,iav,10,0.0003040311356439,22,0.0001470699959081,0.0001569611397358,11
slopebeta,Boreal forest,TSA_iav_Boreal forest,TSA,iav,21,0.000184638094719,85,2.980781879587807e-05,0.00015483027592312192,12
d_max,Boreal forest,TSA_iav_Boreal forest,TSA,iav,19,0.0002039063027271,49,4.909921526662087e-05,0.00015480708746047912,13
rho_max,Boreal forest,TSA_iav_Boreal forest,TSA,iav,20,0.0001909036369744,64,3.889999997067767e-05,0.00015200363700372234,14
liq_canopy_storage_scalar,Boreal forest,TSA_iav_Boreal forest,TSA,iav,23,0.0001672345255128,105,1.5840685187437642e-05,0.00015139384032536235,15
leaf_long,Boreal forest,TSA_iav_Boreal forest,TSA,iav,154,6.086639223010226e-06,19,0.0001548132272884,0.00014872658806538977,16
tpuha,Boreal forest,TSA_iav_Boreal forest,TSA,iav,24,0.0001671445019298,65,3.852246457893005e-05,0.00012862203735086996,17
KCN,Boreal forest,TSA_iav_Boreal forest,TSA,iav,6,0.0003199483652086,12,0.0002002005782252,0.00011974778698339999,18
baseflow_scalar,Boreal forest,TSA_iav_Boreal forest,TSA,iav,26,0.0001566874573444,66,3.8242842230341856e-05,0.00011844461511405815,19
lmrse,Boreal forest,TSA_iav_Boreal forest,TSA,iav,131,1.1703994321501932e-05,25,0.0001188912673014,0.00010718727297989807,20
clay_pf,Boreal forest,TSA_iav_Boreal forest,TSA,iav,28,0.0001402007062024,10,0.000244292009759,0.0001040913035566,21
ko25_coef,Boreal forest,TSA_iav_Boreal forest,TSA,iav,36,0.0001040712851646,185,5.787918262167846e-07,0.00010349249333838321,22
lmrhd,Boreal forest,TSA_iav_Boreal forest,TSA,iav,45,8.104591851655629e-05,14,0.0001806322878512,9.958636933464371e-05,23
maximum_leaf_wetted_fraction,Boreal forest,TSA_iav_Boreal forest,TSA,iav,75,4.7621805183653554e-05,21,0.0001470796250416,9.945781985794646e-05,24
theta_ip,Boreal forest,TSA_iav_Boreal forest,TSA,iav,33,0.0001127042166064,107,1.5682483699319683e-05,9.702173290708031e-05,25
pc,Boreal forest,TSA_iav_Boreal forest,TSA,iav,79,4.566001732670549e-05,23,0.0001397824011519,9.41223838251945e-05,26
krmax,Boreal forest,TSA_iav_Boreal forest,TSA,iav,31,0.0001138603802553,98,2.004592018937934e-05,9.381446006592066e-05,27
csoilc,Boreal forest,TSA_iav_Boreal forest,TSA,iav,12,0.0002409702974542,20,0.0001483247609666,9.264553648759998e-05,28
nstem,Boreal forest,TSA_iav_Boreal forest,TSA,iav,4,0.0004194187612255,3,0.0003274251448969,9.199361632860004e-05,29
kmax,Boreal forest,TSA_iav_Boreal forest,TSA,iav,25,0.0001568327444697,9,0.0002478205099019,9.098776543219999e-05,30
accum_factor,Boreal forest,TSA_iav_Boreal forest,TSA,iav,5,0.0003395941376995,8,0.0002503021038072,8.929203389229998e-05,31
tpuse_sf,Boreal forest,TSA_iav_Boreal forest,TSA,iav,29,0.0001188634245571,76,3.3414259632401355e-05,8.544916492469864e-05,32
jmaxse_sf,Boreal forest,TSA_iav_Boreal forest,TSA,iav,27,0.0001507034732552,39,6.546733410101035e-05,8.523613915418964e-05,33
grperc,Boreal forest,TSA_iav_Boreal forest,TSA,iav,76,4.7503049904355776e-05,24,0.0001253466270304,7.784357712604421e-05,34
jmaxhd,Boreal forest,TSA_iav_Boreal forest,TSA,iav,32,0.0001131016372546,71,3.525806178011903e-05,7.784357547448097e-05,35
frac_sat_soil_dsl_init,Boreal forest,TSA_iav_Boreal forest,TSA,iav,14,0.0002382187069839,16,0.000160983311964,7.72353950199e-05,36
ekn_active,Boreal forest,TSA_iav_Boreal forest,TSA,iav,44,8.387336791981087e-05,142,7.444416910834528e-06,7.642895100897634e-05,37
e_ice,Boreal forest,TSA_iav_Boreal forest,TSA,iav,8,0.0003071450624362,11,0.000231267581337,7.587748109920002e-05,38
frootcn,Boreal forest,TSA_iav_Boreal forest,TSA,iav,42,8.675043959489176e-05,118,1.263858559549802e-05,7.411185399939374e-05,39
vcmaxha,Boreal forest,TSA_iav_Boreal forest,TSA,iav,47,7.581286066710852e-05,162,4.6172827251056425e-06,7.119557794200287e-05,40
minpsi_hr,Boreal forest,TSA_iav_Boreal forest,TSA,iav,48,7.548202723626357e-05,155,5.197180117037792e-06,7.028484711922578e-05,41
zlnd,Boreal forest,TSA_iav_Boreal forest,TSA,iav,35,0.0001063145627807,63,3.9600308208549706e-05,6.671425457215029e-05,42
r_mort,Boreal forest,TSA_iav_Boreal forest,TSA,iav,49,7.453473087738749e-05,138,7.94420191119194e-06,6.659052896619555e-05,43
snowcan_unload_temp_fact,Boreal forest,TSA_iav_Boreal forest,TSA,iav,51,7.316808677052672e-05,124,1.0423608153509178e-05,6.274447861701754e-05,44
rhosnir,Boreal forest,TSA_iav_Boreal forest,TSA,iav,52,7.221244202244848e-05,130,9.727531344226605e-06,6.248491067822187e-05,45
q10_mr,Boreal forest,TSA_iav_Boreal forest,TSA,iav,57,6.635485481045617e-05,147,6.4238638988120544e-06,5.993099091164411e-05,46
jmaxb1,Boreal forest,TSA_iav_Boreal forest,TSA,iav,71,5.186238441460406e-05,27,0.0001108183598972,5.895597548259594e-05,47
tpu25ratio,Boreal forest,TSA_iav_Boreal forest,TSA,iav,18,0.0002148583243782,17,0.0001568533896565,5.800493472170001e-05,48
slatop,Boreal forest,TSA_iav_Boreal forest,TSA,iav,64,5.732089894854714e-05,26,0.0001139390322584,5.661813330985287e-05,49
rholvis,Boreal forest,TSA_iav_Boreal forest,TSA,iav,65,5.5936395284360285e-05,160,4.8353482897181554e-06,5.110104699464213e-05,50
dleaf,Boreal forest,TSA_iav_Boreal forest,TSA,iav,30,0.0001166483224312,15,0.0001646107663265,4.796244389529999e-05,51
rholnir,Boreal forest,TSA_iav_Boreal forest,TSA,iav,61,6.244279141196657e-05,109,1.4954573367108316e-05,4.7488218044858255e-05,52
cp25_yr2000,Boreal forest,TSA_iav_Boreal forest,TSA,iav,38,9.371398556921871e-05,53,4.704867391414069e-05,4.666531165507802e-05,53
lmrha,Boreal forest,TSA_iav_Boreal forest,TSA,iav,50,7.446613702508792e-05,83,3.062982227996364e-05,4.3836314745124276e-05,54
xl,Boreal forest,TSA_iav_Boreal forest,TSA,iav,97,3.1031761366991095e-05,34,7.470929945228161e-05,4.367753808529051e-05,55
theta_cj,Boreal forest,TSA_iav_Boreal forest,TSA,iav,92,3.62763833607338e-05,33,7.799313222695697e-05,4.1716748866223174e-05,56
denitrif_respiration_exponent,Boreal forest,TSA_iav_Boreal forest,TSA,iav,121,1.5500273358136363e-05,43,5.719843662920637e-05,4.169816327107001e-05,57
theta_psii,Boreal forest,TSA_iav_Boreal forest,TSA,iav,43,8.439246433640524e-05,59,4.375624912136833e-05,4.063621521503691e-05,58
tau_s2,Boreal forest,TSA_iav_Boreal forest,TSA,iav,81,4.402592450712672e-05,169,3.4479403373810502e-06,4.0577984169745667e-05,59
tausnir,Boreal forest,TSA_iav_Boreal forest,TSA,iav,67,5.4666520717686073e-05,112,1.4220572641068796e-05,4.044594807661728e-05,60
freelivfix_slope_wet,Boreal forest,TSA_iav_Boreal forest,TSA,iav,149,6.912367210405723e-06,57,4.581651167962636e-05,3.8904144469220636e-05,61
fff,Boreal forest,TSA_iav_Boreal forest,TSA,iav,177,1.5481061026723086e-06,61,4.030899933933629e-05,3.8760893236663985e-05,62
z0mr,Boreal forest,TSA_iav_Boreal forest,TSA,iav,17,0.0002173742416492,7,0.0002552218827309,3.784764108170002e-05,63
zbedrock_sf,Boreal forest,TSA_iav_Boreal forest,TSA,iav,66,5.5121146610104255e-05,102,1.7420240967805367e-05,3.770090564229889e-05,64
decomp_depth_efolding,Boreal forest,TSA_iav_Boreal forest,TSA,iav,72,5.1255467123485776e-05,114,1.367367275871556e-05,3.7581794364770216e-05,65
freelivfix_intercept,Boreal forest,TSA_iav_Boreal forest,TSA,iav,87,3.892212809875756e-05,176,2.2557847830090294e-06,3.666634331574853e-05,66
xdrdt,Boreal forest,TSA_iav_Boreal forest,TSA,iav,56,6.748773205505348e-05,79,3.305759692767696e-05,3.4430135127376527e-05,67
cpha,Boreal forest,TSA_iav_Boreal forest,TSA,iav,68,5.367439935049373e-05,32,8.74479861990296e-05,3.3773586848535875e-05,68
cryoturb_diffusion_k,Boreal forest,TSA_iav_Boreal forest,TSA,iav,93,3.597453979620885e-05,173,2.6149236258612985e-06,3.335961617034755e-05,69
jmaxb0,Boreal forest,TSA_iav_Boreal forest,TSA,iav,34,0.0001076818584781,35,7.434769448456946e-05,3.333416399353054e-05,70
fnps,Boreal forest,TSA_iav_Boreal forest,TSA,iav,186,8.034639124437915e-07,74,3.368241750775075e-05,3.287895359530696e-05,71
koha,Boreal forest,TSA_iav_Boreal forest,TSA,iav,178,1.449067381663338e-06,75,3.350030766441359e-05,3.205124028275025e-05,72
jmaxha,Boreal forest,TSA_iav_Boreal forest,TSA,iav,88,3.8785360325400975e-05,144,6.892593678677061e-06,3.1892766646723913e-05,73
fun_cn_flex_b,Boreal forest,TSA_iav_Boreal forest,TSA,iav,60,6.373745070140102e-05,80,3.2054710116691254e-05,3.168274058470977e-05,74
rhosvis,Boreal forest,TSA_iav_Boreal forest,TSA,iav,85,4.180813625516422e-05,126,1.0144310107408627e-05,3.166382614775559e-05,75
mu,Boreal forest,TSA_iav_Boreal forest,TSA,iav,84,4.246220006801776e-05,123,1.0942572447283916e-05,3.151962762073384e-05,76
FUN_fracfixers,Boreal forest,TSA_iav_Boreal forest,TSA,iav,9,0.0003051772335768,5,0.0002739254098838,3.125182369300003e-05,77
rf_s2s1_bgc,Boreal forest,TSA_iav_Boreal forest,TSA,iav,96,3.160578581216933e-05,186,4.116625072839164e-07,3.119412330488541e-05,78
fd_pft,Boreal forest,TSA_iav_Boreal forest,TSA,iav,176,1.7682520356693263e-06,82,3.103298992578746e-05,2.926473789011813e-05,79
croot_stem,Boreal forest,TSA_iav_Boreal forest,TSA,iav,99,3.0722954634146427e-05,179,1.5425942012439742e-06,2.9180360432902452e-05,80
fsr_pft,Boreal forest,TSA_iav_Boreal forest,TSA,iav,188,2.5844415101061724e-07,90,2.748371954380824e-05,2.7225275392797624e-05,81
taulnir,Boreal forest,TSA_iav_Boreal forest,TSA,iav,98,3.0957905160930443e-05,166,3.737079565219181e-06,2.7220825595711262e-05,82
snw_rds_refrz,Boreal forest,TSA_iav_Boreal forest,TSA,iav,102,2.860689882396711e-05,45,5.4771359476138426e-05,2.6164460652171317e-05,83
som_diffus,Boreal forest,TSA_iav_Boreal forest,TSA,iav,109,2.1318504238185265e-05,55,4.686398865735853e-05,2.5545484419173266e-05,84
tpuhd,Boreal forest,TSA_iav_Boreal forest,TSA,iav,55,6.904317239396496e-05,60,4.369793981535974e-05,2.5345232578605215e-05,85
csol_sand,Boreal forest,TSA_iav_Boreal forest,TSA,iav,129,1.2433323900697124e-05,67,3.71699285232549e-05,2.473660462255778e-05,86
rf_l3s2_bgc,Boreal forest,TSA_iav_Boreal forest,TSA,iav,137,1.0323443518624189e-05,73,3.439651830745155e-05,2.4073074788827364e-05,87
csol_om,Boreal forest,TSA_iav_Boreal forest,TSA,iav,170,3.2770562007691795e-06,91,2.6840058666710576e-05,2.3563002465941396e-05,88
slopemax,Boreal forest,TSA_iav_Boreal forest,TSA,iav,157,5.801270976976691e-06,88,2.8781954366022267e-05,2.2980683389045575e-05,89
displar,Boreal forest,TSA_iav_Boreal forest,TSA,iav,110,2.115087600126908e-05,58,4.410648182487376e-05,2.295560582360468e-05,90
stem_leaf,Boreal forest,TSA_iav_Boreal forest,TSA,iav,100,3.0303633634806704e-05,143,7.422064469957135e-06,2.288156916484957e-05,91
luna_theta_cj,Boreal forest,TSA_iav_Boreal forest,TSA,iav,175,2.0297904024385582e-06,94,2.351418057063015e-05,2.148439016819159e-05,92
tau_s1,Boreal forest,TSA_iav_Boreal forest,TSA,iav,115,1.833518543264273e-05,62,3.961498010943837e-05,2.1279794676795638e-05,93
csol_clay,Boreal forest,TSA_iav_Boreal forest,TSA,iav,182,1.1947066489020886e-06,96,2.183635971828718e-05,2.064165306938509e-05,94
a_coef,Boreal forest,TSA_iav_Boreal forest,TSA,iav,122,1.5456333558608315e-05,72,3.4861618510503845e-05,1.940528495189553e-05,95
relhExp,Boreal forest,TSA_iav_Boreal forest,TSA,iav,54,7.024341429771874e-05,47,5.1514409643897696e-05,1.8729004653821046e-05,96
psi50,Boreal forest,TSA_iav_Boreal forest,TSA,iav,103,2.69907930784824e-05,134,8.899899936222477e-06,1.8090893142259923e-05,97
taulvis,Boreal forest,TSA_iav_Boreal forest,TSA,iav,91,3.6360273688640365e-05,100,1.860528604830103e-05,1.7754987640339337e-05,98
fun_cn_flex_a,Boreal forest,TSA_iav_Boreal forest,TSA,iav,107,2.3857468413011892e-05,148,6.246689384814541e-06,1.761077902819735e-05,99
ndays_on,Boreal forest,TSA_iav_Boreal forest,TSA,iav,58,6.567441514308825e-05,50,4.849625408901576e-05,1.7178161054072487e-05,100
ekc_active,Boreal forest,TSA_iav_Boreal forest,TSA,iav,77,4.698924412266381e-05,84,3.013052815591805e-05,1.685871596674576e-05,101
om_frac_sf,Boreal forest,TSA_iav_Boreal forest,TSA,iav,22,0.000172333684237,18,0.0001555459969197,1.6787687317300012e-05,102
FR,Boreal forest,TSA_iav_Boreal forest,TSA,iav,118,1.6423013533883868e-05,78,3.3168448897662184e-05,1.6745435363778316e-05,103
rf_l1s1_bgc,Boreal forest,TSA_iav_Boreal forest,TSA,iav,166,3.944476946689257e-06,97,2.0652220877347135e-05,1.6707743930657878e-05,104
wood_density,Boreal forest,TSA_iav_Boreal forest,TSA,iav,191,4.362201738716821e-09,104,1.637019998475958e-05,1.6365837783020865e-05,105
br_mr,Boreal forest,TSA_iav_Boreal forest,TSA,iav,111,2.040590458332603e-05,164,4.210077275912383e-06,1.6195827307413646e-05,106
minrelh,Boreal forest,TSA_iav_Boreal forest,TSA,iav,86,3.932093993896935e-05,44,5.548518141534203e-05,1.616424147637268e-05,107
CWD,Boreal forest,TSA_iav_Boreal forest,TSA,iav,173,2.209749274860451e-06,101,1.832761878096945e-05,1.6117869506109e-05,108
a_exp,Boreal forest,TSA_iav_Boreal forest,TSA,iav,69,5.281181662215861e-05,69,3.670489551483441e-05,1.6106921107324195e-05,109
k_nitr_max_perday,Boreal forest,TSA_iav_Boreal forest,TSA,iav,95,3.195480896152347e-05,54,4.7018551685172605e-05,1.5063742723649132e-05,110
snow_canopy_storage_scalar,Boreal forest,TSA_iav_Boreal forest,TSA,iav,83,4.296371880256611e-05,89,2.8072193124999145e-05,1.4891525677566964e-05,111
rootprof_beta,Boreal forest,TSA_iav_Boreal forest,TSA,iav,74,4.877841462552074e-05,40,6.342466499673766e-05,1.4646250371216918e-05,112
ssi,Boreal forest,TSA_iav_Boreal forest,TSA,iav,62,5.915611201853799e-05,36,7.370469404880536e-05,1.4548582030267376e-05,113
rh_hgh,Boreal forest,TSA_iav_Boreal forest,TSA,iav,174,2.154020779930599e-06,103,1.6566234267663404e-05,1.4412213487732806e-05,114
br_root,Boreal forest,TSA_iav_Boreal forest,TSA,iav,114,1.901906686500865e-05,152,5.3415065075501644e-06,1.3677560357458485e-05,115
tau_l2_l3,Boreal forest,TSA_iav_Boreal forest,TSA,iav,82,4.2998715161592094e-05,86,2.958713018259146e-05,1.3411584979000635e-05,116
lwtop_ann,Boreal forest,TSA_iav_Boreal forest,TSA,iav,104,2.4426285818640592e-05,122,1.1094932654047427e-05,1.3331353164593164e-05,117
tausvis,Boreal forest,TSA_iav_Boreal forest,TSA,iav,108,2.144333755580569e-05,136,8.382789287310344e-06,1.3060548268495346e-05,118
interception_fraction,Boreal forest,TSA_iav_Boreal forest,TSA,iav,142,9.115283204783052e-06,95,2.205305609599001e-05,1.2937772891206957e-05,119
LF,Boreal forest,TSA_iav_Boreal forest,TSA,iav,135,1.0742074025557602e-05,93,2.364443933459276e-05,1.2902365309035158e-05,120
denitrif_nitrateconc_coefficient,Boreal forest,TSA_iav_Boreal forest,TSA,iav,123,1.5042171159704298e-05,175,2.3818132419070603e-06,1.2660357917797238e-05,121
tau_ref,Boreal forest,TSA_iav_Boreal forest,TSA,iav,63,5.896390230669679e-05,56,4.633182886819992e-05,1.2632073438496871e-05,122
rf_s2s3_bgc,Boreal forest,TSA_iav_Boreal forest,TSA,iav,146,8.14540340458858e-06,99,1.98272542040398e-05,1.1681850799451221e-05,123
lfuel,Boreal forest,TSA_iav_Boreal forest,TSA,iav,136,1.065350183578062e-05,189,2.975183863024311e-07,1.0355983449478188e-05,124
tkd_sand,Boreal forest,TSA_iav_Boreal forest,TSA,iav,106,2.401325770946816e-05,113,1.371674833723635e-05,1.029650937223181e-05,125
prh30,Boreal forest,TSA_iav_Boreal forest,TSA,iav,112,1.9849695552583143e-05,131,9.558975477656773e-06,1.029072007492637e-05,126
tau_s3,Boreal forest,TSA_iav_Boreal forest,TSA,iav,116,1.7574734803758874e-05,141,7.498621322293841e-06,1.0076113481465032e-05,127
cn_s3_bgc,Boreal forest,TSA_iav_Boreal forest,TSA,iav,105,2.433928112204053e-05,111,1.4331264635375485e-05,1.0008016486665047e-05,128
rstem,Boreal forest,TSA_iav_Boreal forest,TSA,iav,78,4.640643167737324e-05,68,3.688238374166541e-05,9.524047935707831e-06,129
tkm_om,Boreal forest,TSA_iav_Boreal forest,TSA,iav,184,1.0903276950746663e-06,125,1.03422209803139e-05,9.251893285239234e-06,130
wimp,Boreal forest,TSA_iav_Boreal forest,TSA,iav,89,3.80714970034321e-05,87,2.885075964335904e-05,9.220737360073058e-06,131
jmax25top_sf,Boreal forest,TSA_iav_Boreal forest,TSA,iav,125,1.431263094500701e-05,153,5.2469051093975705e-06,9.06572583560944e-06,132
fm_lroot,Boreal forest,TSA_iav_Boreal forest,TSA,iav,168,3.865902526843656e-06,116,1.2917070692369805e-05,9.05116816552615e-06,133
leafcn,Boreal forest,TSA_iav_Boreal forest,TSA,iav,53,7.120737881795292e-05,42,6.245817211149307e-05,8.749206706459844e-06,134
