param_name,biome,forcing,criteria,variable,measure,x
default,global,CTL2010,EFLX_LH_TOT_MEAN_global,EFLX_LH_TOT,mean,39.20921347250218
default,global,CTL2010,EFLX_LH_TOT_IAV_global,EFLX_LH_TOT,iav,0.6275045293603535
default,global,CTL2010,FCTR_MEAN_global,FCTR,mean,23.356711186683867
default,global,CTL2010,FCTR_IAV_global,FCTR,iav,0.41983362813142194
default,global,CTL2010,FCEV_MEAN_global,FCEV,mean,7.247010889596825
default,global,CTL2010,FCEV_IAV_global,FCEV,iav,0.2518525949347574
default,global,CTL2010,FGEV_MEAN_global,FGEV,mean,8.605491396371054
default,global,CTL2010,FGEV_IAV_global,FGEV,iav,0.2232279962450012
default,global,CTL2010,LH_TOT_derived_MEAN_global,LH_TOT_derived,mean,39.20921345307427
default,global,CTL2010,LH_TOT_derived_IAV_global,LH_TOT_derived,iav,0.6275045137573991
default,global,C285,EFLX_LH_TOT_MEAN_global,EFLX_LH_TOT,mean,39.13123323373664
default,global,C285,EFLX_LH_TOT_IAV_global,EFLX_LH_TOT,iav,0.5883726145024186
default,global,C285,FCTR_MEAN_global,FCTR,mean,23.767781932628573
default,global,C285,FCTR_IAV_global,FCTR,iav,0.3776891822012716
default,global,C285,FCEV_MEAN_global,FCEV,mean,6.312582224643582
default,global,C285,FCEV_IAV_global,FCEV,iav,0.22179166402000555
default,global,C285,FGEV_MEAN_global,FGEV,mean,9.050869068242122
default,global,C285,FGEV_IAV_global,FGEV,iav,0.24268105305478127
default,global,C285,LH_TOT_derived_MEAN_global,LH_TOT_derived,mean,39.13123322061088
default,global,C285,LH_TOT_derived_IAV_global,LH_TOT_derived,iav,0.5883725950100986
default,global,C867,EFLX_LH_TOT_MEAN_global,EFLX_LH_TOT,mean,37.30046474613194
default,global,C867,EFLX_LH_TOT_IAV_global,EFLX_LH_TOT,iav,0.6054765860658935
default,global,C867,FCTR_MEAN_global,FCTR,mean,18.713821627966738
default,global,C867,FCTR_IAV_global,FCTR,iav,0.35199111208219735
default,global,C867,FCEV_MEAN_global,FCEV,mean,10.182258167067328
default,global,C867,FCEV_IAV_global,FCEV,iav,0.34742135236711513
default,global,C867,FGEV_MEAN_global,FGEV,mean,8.404384945172861
default,global,C867,FGEV_IAV_global,FGEV,iav,0.2273233529943585
default,global,C867,LH_TOT_derived_MEAN_global,LH_TOT_derived,mean,37.30046475083829
default,global,C867,LH_TOT_derived_IAV_global,LH_TOT_derived,iav,0.6054765769090354
default,global,AF1855,EFLX_LH_TOT_MEAN_global,EFLX_LH_TOT,mean,38.481535565379936
default,global,AF1855,EFLX_LH_TOT_IAV_global,EFLX_LH_TOT,iav,0.602736292246809
default,global,AF1855,FCTR_MEAN_global,FCTR,mean,23.13943060699916
default,global,AF1855,FCTR_IAV_global,FCTR,iav,0.35604327284619847
default,global,AF1855,FCEV_MEAN_global,FCEV,mean,6.912446734988491
default,global,AF1855,FCEV_IAV_global,FCEV,iav,0.2413781182476028
default,global,AF1855,FGEV_MEAN_global,FGEV,mean,8.429658222718755
default,global,AF1855,FGEV_IAV_global,FGEV,iav,0.2204854317165144
default,global,AF1855,LH_TOT_derived_MEAN_global,LH_TOT_derived,mean,38.48153556607055
default,global,AF1855,LH_TOT_derived_IAV_global,LH_TOT_derived,iav,0.6027363060957531
default,global,AF2095,EFLX_LH_TOT_MEAN_global,EFLX_LH_TOT,mean,42.660117170164895
default,global,AF2095,EFLX_LH_TOT_IAV_global,EFLX_LH_TOT,iav,0.6327382184024434
default,global,AF2095,FCTR_MEAN_global,FCTR,mean,24.46485223512059
default,global,AF2095,FCTR_IAV_global,FCTR,iav,0.31056951488210893
default,global,AF2095,FCEV_MEAN_global,FCEV,mean,7.959852324002945
default,global,AF2095,FCEV_IAV_global,FCEV,iav,0.2636921162600372
default,global,AF2095,FGEV_MEAN_global,FGEV,mean,10.2354126074316
default,global,AF2095,FGEV_IAV_global,FGEV,iav,0.30564037020955725
default,global,AF2095,LH_TOT_derived_MEAN_global,LH_TOT_derived,mean,42.660117177082384
default,global,AF2095,LH_TOT_derived_IAV_global,LH_TOT_derived,iav,0.6327382286339592
