param_name,biome,forcing,criteria,variable,measure,x
default,Ice sheet,CTL2010,EFLX_LH_TOT_mean_Ice sheet,EFLX_LH_TOT,mean,-0.015469502121533321
default,Ice sheet,CTL2010,EFLX_LH_TOT_iav_Ice sheet,EFLX_LH_TOT,iav,0.009261237447732908
default,Tropical rain forest,CTL2010,EFLX_LH_TOT_mean_Tropical rain forest,EFLX_LH_TOT,mean,3.256376430500729
default,Tropical rain forest,CTL2010,EFLX_LH_TOT_iav_Tropical rain forest,EFLX_LH_TOT,iav,0.09859911151217436
default,Tropical seasonal forest/savanna,CTL2010,EFLX_LH_TOT_mean_Tropical seasonal forest/savanna,EFLX_LH_TOT,mean,18.886276713219207
default,Tropical seasonal forest/savanna,CTL2010,EFLX_LH_TOT_iav_Tropical seasonal forest/savanna,EFLX_LH_TOT,iav,0.24781940866627153
default,Subtropical desert,CTL2010,EFLX_LH_TOT_mean_Subtropical desert,EFLX_LH_TOT,mean,3.976146870035719
default,Subtropical desert,CTL2010,EFLX_LH_TOT_iav_Subtropical desert,EFLX_LH_TOT,iav,0.3366076618309761
default,Temperate rain forest,CTL2010,EFLX_LH_TOT_mean_Temperate rain forest,EFLX_LH_TOT,mean,0.0725040569309014
default,Temperate rain forest,CTL2010,EFLX_LH_TOT_iav_Temperate rain forest,EFLX_LH_TOT,iav,0.0020686881964508117
default,Temperate seasonal forest,CTL2010,EFLX_LH_TOT_mean_Temperate seasonal forest,EFLX_LH_TOT,mean,3.1785862344939924
default,Temperate seasonal forest,CTL2010,EFLX_LH_TOT_iav_Temperate seasonal forest,EFLX_LH_TOT,iav,0.0549106117517331
default,Woodland/shrubland,CTL2010,EFLX_LH_TOT_mean_Woodland/shrubland,EFLX_LH_TOT,mean,4.970440848379276
default,Woodland/shrubland,CTL2010,EFLX_LH_TOT_iav_Woodland/shrubland,EFLX_LH_TOT,iav,0.13423759916178885
default,Temperate grassland/desert,CTL2010,EFLX_LH_TOT_mean_Temperate grassland/desert,EFLX_LH_TOT,mean,1.2059385379684087
default,Temperate grassland/desert,CTL2010,EFLX_LH_TOT_iav_Temperate grassland/desert,EFLX_LH_TOT,iav,0.06920387949269616
default,Boreal forest,CTL2010,EFLX_LH_TOT_mean_Boreal forest,EFLX_LH_TOT,mean,2.30530653027831
default,Boreal forest,CTL2010,EFLX_LH_TOT_iav_Boreal forest,EFLX_LH_TOT,iav,0.0631251513457704
default,Tundra,CTL2010,EFLX_LH_TOT_mean_Tundra,EFLX_LH_TOT,mean,1.3731067528171677
default,Tundra,CTL2010,EFLX_LH_TOT_iav_Tundra,EFLX_LH_TOT,iav,0.04216837907094372
default,Ice sheet,CTL2010,FSH_mean_Ice sheet,FSH,mean,-0.2353736907149006
default,Ice sheet,CTL2010,FSH_iav_Ice sheet,FSH,iav,0.03222991483466239
default,Tropical rain forest,CTL2010,FSH_mean_Tropical rain forest,FSH,mean,0.6499791421418808
default,Tropical rain forest,CTL2010,FSH_iav_Tropical rain forest,FSH,iav,0.06407853952830113
