pftnum,pftname,medlynslope minimum (µmol H2O/µmol CO2),medlynslope maximum (µmol H2O/µmol CO2),Notes,CLM5 default,min perturb. from default (%),max perturb from default (%),Claire's min values,Claire's max values,
0,not_vegetated,9,9,not_vegetated default is 9; we don't want to vary these values,9,0,0,9,9,not_vegetated
1,needleleaf_evergreen_temperate_tree,1.29,4.7,The slope data is from Lin et al. (2015). Can adjust these to match Clarie's analysis using species-specific values across all PFTs.,2.35,-45.11,100.00,1.53,4.14,needleleaf_evergreen_temperate_tree
2,needleleaf_evergreen_boreal_tree,1.29,4.7,,2.35,-45.11,100.00,1.53,4.14,needleleaf_evergreen_boreal_tree
3,needleleaf_deciduous_boreal_tree,1.29,4.7,,2.35,-45.11,100.00,1.53,4.14,needleleaf_deciduous_boreal_tree
4,broadleaf_evergreen_tropical_tree,1.63,4.59,,4.12,-60.44,11.41,1.7,9.11,broadleaf_evergreen_tropical_tree
5,broadleaf_evergreen_temperate_tree,1.63,4.59,,4.12,-60.44,11.41,1.7,9.11,broadleaf_evergreen_temperate_tree
6,broadleaf_deciduous_tropical_tree,3.19,5.11,,4.45,-28.31,14.83,2.05,7.07,broadleaf_deciduous_tropical_tree
7,broadleaf_deciduous_temperate_tree,3.19,5.11,,4.45,-28.31,14.83,2.05,7.07,broadleaf_deciduous_temperate_tree
8,broadleaf_deciduous_boreal_tree,3.19,5.11,,4.45,-28.31,14.83,2.05,7.07,broadleaf_deciduous_boreal_tree
9,broadleaf_evergreen_shrub,2.25,9.27,,4.70,-52.13,97.23,0.91,5.95,broadleaf_evergreen_shrub
10,broadleaf_deciduous_temperate_shrub,2.25,9.27,,4.70,-52.13,97.23,0.91,5.95,broadleaf_deciduous_temperate_shrub
11,broadleaf_deciduous_boreal_shrub,2.25,9.27,,4.70,-52.13,97.23,0.91,5.95,broadleaf_deciduous_boreal_shrub
12,c3_arctic_grass,2,2.44, +/-10% perturbation from CLM5 default value (no observations),2.22,-9.91,9.91,3.78,8.54,c3_arctic_grass
13,c3_non-arctic_grass,3.05,9.45,,5.25,-41.90,80,3.78,8.54,c3_non-arctic_grass
14,c4_grass,0.53,4.03,,1.62,-67.28,148.77,0.65,3.93,c4_grass
15,c3_crop,3.46,7.7,,5.79,-40.24,32.99,3.89,7.57,c3_crop
16,c3_irrigated,3.46,7.7,,5.79,-40.24,32.99,3.89,7.57,c3_irrigated
17,temperate_corn,0.53,4.03,"C4 crop value is applied to temperate corn, sugarcane, and tropical corn. Should it be applied to other crop PFTs?",1.79,-70.39,125.14,0.65,3.93,
18,irrigated_temperate_corn,0.53,4.03,,1.79,-70.39,125.14,0.65,3.93,
19,spring_wheat,3.46,7.7,,5.79,-40.24,32.99,3.89,7.57,
20,irrigated_spring_wheat,3.46,7.7,,5.79,-40.24,32.99,3.89,7.57,
21,winter_wheat,3.46,7.7,,5.79,-40.24,32.99,3.89,7.57,
22,irrigated_winter_wheat,3.46,7.7,,5.79,-40.24,32.99,3.89,7.57,
23,temperate_soybean,3.46,7.7,,5.79,-40.24,32.99,3.89,7.57,
24,irrigated_temperate_soybean,3.46,7.7,,5.79,-40.24,32.99,3.89,7.57,
25,barley,3.46,7.7,,5.79,-40.24,32.99,3.89,7.57,
26,irrigated_barley,3.46,7.7,,5.79,-40.24,32.99,3.89,7.57,
27,winter_barley,3.46,7.7,,5.79,-40.24,32.99,3.89,7.57,
28,irrigated_winter_barley,3.46,7.7,,5.79,-40.24,32.99,3.89,7.57,
29,rye,3.46,7.7,,5.79,-40.24,32.99,3.89,7.57,
30,irrigated_rye,3.46,7.7,,5.79,-40.24,32.99,3.89,7.57,
31,winter_rye,3.46,7.7,,5.79,-40.24,32.99,3.89,7.57,
32,irrigated_winter_rye,3.46,7.7,,5.79,-40.24,32.99,3.89,7.57,
33,cassava,3.46,7.7,,5.79,-40.24,32.99,3.89,7.57,
34,irrigated_cassava,3.46,7.7,,5.79,-40.24,32.99,3.89,7.57,
35,citrus,3.46,7.7,,5.79,-40.24,32.99,3.89,7.57,
36,irrigated_citrus,3.46,7.7,,5.79,-40.24,32.99,3.89,7.57,
